Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	96	16	|	1	-1	squared_l2
0.54 %	0.537 %	0.4742 %	0.38848 %	|	0.65 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	9807.133674621582
250	96	16	|	2	-1	squared_l2
0.67 %	0.684 %	0.6337 %	0.54819 %	|	0.78 %	0.78 %	0.734 %	0.78 %	0.734 %	0.6521 %	14881.99234008789
250	96	16	|	4	-1	squared_l2
0.81 %	0.782 %	0.771 %	0.70888 %	|	0.93 %	0.93 %	0.863 %	0.93 %	0.863 %	0.8098 %	28213.54866027832
250	96	16	|	8	-1	squared_l2
0.84 %	0.855 %	0.856 %	0.82182 %	|	1.0 %	1.0 %	0.956 %	1.0 %	0.956 %	0.9144 %	53727.53143310547
250	96	16	|	16	-1	squared_l2
0.83 %	0.873 %	0.8895 %	0.88441 %	|	1.0 %	1.0 %	0.989 %	1.0 %	0.989 %	0.9646 %	103392.33875274658
250	96	16	|	32	-1	squared_l2
0.83 %	0.874 %	0.9004 %	0.91147 %	|	1.0 %	1.0 %	0.994 %	1.0 %	0.994 %	0.9882 %	197249.93705749512
250	96	16	|	64	-1	squared_l2
0.83 %	0.874 %	0.9042 %	0.92173 %	|	1.0 %	1.0 %	0.999 %	1.0 %	0.999 %	0.998 %	382629.1084289551
250	96	16	|	128	-1	squared_l2
0.83 %	0.874 %	0.9051 %	0.92406 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	744944.6439743042
250	96	16	|	160	-1	squared_l2
0.83 %	0.874 %	0.9051 %	0.92414 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	936600.3513336182
250	96	16	|	192	-1	squared_l2
0.83 %	0.874 %	0.9051 %	0.92416 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1135230.016708374
250	48	16	|	1	-1	squared_l2
0.37 %	0.446 %	0.4285 %	0.37885 %	|	0.64 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	4940.390586853027
250	48	16	|	2	-1	squared_l2
0.41 %	0.55 %	0.5534 %	0.51983 %	|	0.74 %	0.78 %	0.734 %	0.78 %	0.734 %	0.6521 %	8647.632598876953
250	48	16	|	4	-1	squared_l2
0.46 %	0.607 %	0.6438 %	0.64416 %	|	0.88 %	0.93 %	0.862 %	0.93 %	0.863 %	0.8098 %	15602.445602416992
250	48	16	|	8	-1	squared_l2
0.5 %	0.647 %	0.6908 %	0.71957 %	|	0.93 %	1.0 %	0.954 %	1.0 %	0.956 %	0.9143 %	29778.98120880127
250	48	16	|	16	-1	squared_l2
0.5 %	0.657 %	0.7079 %	0.755 %	|	0.93 %	1.0 %	0.986 %	1.0 %	0.989 %	0.9642 %	55310.34469604492
250	48	16	|	32	-1	squared_l2
0.5 %	0.657 %	0.7134 %	0.76998 %	|	0.93 %	1.0 %	0.991 %	1.0 %	0.994 %	0.9877 %	105614.44759368896
250	48	16	|	64	-1	squared_l2
0.5 %	0.656 %	0.7156 %	0.77528 %	|	0.93 %	1.0 %	0.996 %	1.0 %	0.999 %	0.9975 %	203200.6025314331
250	48	16	|	128	-1	squared_l2
0.5 %	0.656 %	0.7161 %	0.7766 %	|	0.93 %	1.0 %	0.997 %	1.0 %	1.0 %	0.9993 %	395249.605178833
250	48	16	|	160	-1	squared_l2
0.5 %	0.656 %	0.7162 %	0.77668 %	|	0.93 %	1.0 %	0.997 %	1.0 %	1.0 %	0.9994 %	496461.8921279907
250	48	16	|	192	-1	squared_l2
0.5 %	0.656 %	0.7162 %	0.77669 %	|	0.93 %	1.0 %	0.997 %	1.0 %	1.0 %	0.9994 %	599747.1570968628
250	24	16	|	1	-1	squared_l2
0.31 %	0.309 %	0.3405 %	0.34169 %	|	0.58 %	0.65 %	0.548 %	0.65 %	0.56 %	0.4833 %	4594.850540161133
250	24	16	|	2	-1	squared_l2
0.34 %	0.357 %	0.4132 %	0.43956 %	|	0.66 %	0.78 %	0.693 %	0.78 %	0.734 %	0.6488 %	5818.653106689453
250	24	16	|	4	-1	squared_l2
0.38 %	0.383 %	0.4595 %	0.51149 %	|	0.77 %	0.93 %	0.796 %	0.93 %	0.863 %	0.7993 %	9616.422653198242
250	24	16	|	8	-1	squared_l2
0.36 %	0.396 %	0.4826 %	0.55134 %	|	0.81 %	1.0 %	0.866 %	1.0 %	0.956 %	0.8918 %	17726.03988647461
250	24	16	|	16	-1	squared_l2
0.36 %	0.396 %	0.4893 %	0.56688 %	|	0.8 %	1.0 %	0.884 %	1.0 %	0.989 %	0.9316 %	35965.29960632324
250	24	16	|	32	-1	squared_l2
0.36 %	0.395 %	0.4901 %	0.5719 %	|	0.8 %	1.0 %	0.885 %	1.0 %	0.994 %	0.947 %	67099.26128387451
250	24	16	|	64	-1	squared_l2
0.36 %	0.395 %	0.4902 %	0.57338 %	|	0.8 %	1.0 %	0.885 %	1.0 %	0.997 %	0.9513 %	129220.00885009766
250	24	16	|	128	-1	squared_l2
0.36 %	0.395 %	0.4902 %	0.5736 %	|	0.8 %	1.0 %	0.885 %	1.0 %	0.998 %	0.9522 %	250365.7341003418
250	24	16	|	160	-1	squared_l2
0.36 %	0.395 %	0.4902 %	0.57359 %	|	0.8 %	1.0 %	0.885 %	1.0 %	0.998 %	0.9522 %	324842.6675796509
250	24	16	|	192	-1	squared_l2
0.36 %	0.395 %	0.4902 %	0.57359 %	|	0.8 %	1.0 %	0.885 %	1.0 %	0.998 %	0.9522 %	380770.80249786377
