Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	100	16	|	1	-1	dot_product
0.49 %	0.526 %	0.5087 %	0.41137 %	|	0.56 %	0.56 %	0.58 %	0.56 %	0.58 %	0.5343 %	34891.557693481445
250	100	16	|	2	-1	dot_product
0.62 %	0.626 %	0.6065 %	0.51812 %	|	0.7 %	0.7 %	0.698 %	0.7 %	0.698 %	0.6428 %	57325.45852661133
250	100	16	|	4	-1	dot_product
0.69 %	0.709 %	0.7083 %	0.63767 %	|	0.79 %	0.79 %	0.811 %	0.79 %	0.811 %	0.7661 %	104578.23276519775
250	100	16	|	8	-1	dot_product
0.74 %	0.741 %	0.7607 %	0.71812 %	|	0.87 %	0.87 %	0.867 %	0.87 %	0.867 %	0.8363 %	188011.93237304688
250	100	16	|	16	-1	dot_product
0.76 %	0.773 %	0.8067 %	0.78812 %	|	0.92 %	0.92 %	0.919 %	0.92 %	0.919 %	0.9013 %	345886.9934082031
250	100	16	|	32	-1	dot_product
0.78 %	0.799 %	0.8357 %	0.84096 %	|	0.95 %	0.95 %	0.958 %	0.95 %	0.958 %	0.9461 %	603543.3292388916
250	100	16	|	64	-1	dot_product
0.79 %	0.816 %	0.8518 %	0.87198 %	|	0.96 %	0.96 %	0.986 %	0.96 %	0.986 %	0.9806 %	1023356.1992645264
250	100	16	|	128	-1	dot_product
0.83 %	0.823 %	0.8593 %	0.88506 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9966 %	1625046.420097351
250	100	16	|	160	-1	dot_product
0.83 %	0.823 %	0.8601 %	0.88675 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9988 %	1867875.7905960083
250	100	16	|	192	-1	dot_product
0.83 %	0.822 %	0.8605 %	0.88731 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9998 %	2070283.579826355
250	50	16	|	1	-1	dot_product
0.32 %	0.392 %	0.4163 %	0.37365 %	|	0.52 %	0.56 %	0.57 %	0.56 %	0.58 %	0.5339 %	17261.171340942383
250	50	16	|	2	-1	dot_product
0.39 %	0.436 %	0.4807 %	0.45881 %	|	0.64 %	0.7 %	0.687 %	0.7 %	0.698 %	0.6419 %	30813.52710723877
250	50	16	|	4	-1	dot_product
0.43 %	0.486 %	0.537 %	0.53915 %	|	0.72 %	0.79 %	0.79 %	0.79 %	0.811 %	0.7638 %	55945.611000061035
250	50	16	|	8	-1	dot_product
0.43 %	0.498 %	0.5623 %	0.58619 %	|	0.78 %	0.87 %	0.841 %	0.87 %	0.867 %	0.8321 %	99269.08016204834
250	50	16	|	16	-1	dot_product
0.44 %	0.513 %	0.5808 %	0.62025 %	|	0.81 %	0.91 %	0.887 %	0.92 %	0.919 %	0.8929 %	183091.80736541748
250	50	16	|	32	-1	dot_product
0.45 %	0.528 %	0.5918 %	0.64349 %	|	0.84 %	0.94 %	0.92 %	0.95 %	0.958 %	0.9333 %	316470.26538848877
250	50	16	|	64	-1	dot_product
0.45 %	0.533 %	0.598 %	0.65687 %	|	0.85 %	0.95 %	0.942 %	0.96 %	0.985 %	0.9632 %	535677.3614883423
250	50	16	|	128	-1	dot_product
0.46 %	0.536 %	0.6001 %	0.66276 %	|	0.88 %	0.99 %	0.951 %	1.0 %	0.999 %	0.9763 %	852789.831161499
250	50	16	|	160	-1	dot_product
0.46 %	0.536 %	0.6005 %	0.66358 %	|	0.88 %	0.99 %	0.951 %	1.0 %	0.999 %	0.9781 %	976213.0498886108
250	50	16	|	192	-1	dot_product
0.46 %	0.536 %	0.6004 %	0.66388 %	|	0.88 %	0.99 %	0.951 %	1.0 %	0.999 %	0.9789 %	1082251.6918182373
250	25	16	|	1	-1	dot_product
0.16 %	0.238 %	0.2831 %	0.30871 %	|	0.41 %	0.53 %	0.478 %	0.56 %	0.576 %	0.5073 %	9993.171691894531
250	25	16	|	2	-1	dot_product
0.21 %	0.266 %	0.3076 %	0.36054 %	|	0.5 %	0.66 %	0.56 %	0.7 %	0.693 %	0.599 %	17312.64591217041
250	25	16	|	4	-1	dot_product
0.21 %	0.288 %	0.3311 %	0.39918 %	|	0.52 %	0.73 %	0.615 %	0.79 %	0.799 %	0.6862 %	30972.24235534668
250	25	16	|	8	-1	dot_product
0.21 %	0.291 %	0.3388 %	0.41848 %	|	0.55 %	0.79 %	0.645 %	0.86 %	0.844 %	0.7297 %	54351.90200805664
250	25	16	|	16	-1	dot_product
0.2 %	0.287 %	0.3447 %	0.43013 %	|	0.55 %	0.81 %	0.658 %	0.9 %	0.879 %	0.7615 %	98921.10824584961
250	25	16	|	32	-1	dot_product
0.2 %	0.288 %	0.3471 %	0.43631 %	|	0.56 %	0.83 %	0.669 %	0.92 %	0.897 %	0.775 %	171152.99701690674
250	25	16	|	64	-1	dot_product
0.2 %	0.289 %	0.3484 %	0.43956 %	|	0.56 %	0.83 %	0.675 %	0.93 %	0.917 %	0.7833 %	289975.4524230957
250	25	16	|	128	-1	dot_product
0.21 %	0.289 %	0.3486 %	0.44029 %	|	0.57 %	0.85 %	0.675 %	0.96 %	0.925 %	0.7865 %	460418.6773300171
250	25	16	|	160	-1	dot_product
0.21 %	0.289 %	0.3486 %	0.44044 %	|	0.57 %	0.85 %	0.675 %	0.96 %	0.925 %	0.7871 %	527467.0124053955
250	25	16	|	192	-1	dot_product
0.21 %	0.289 %	0.3486 %	0.44042 %	|	0.57 %	0.85 %	0.675 %	0.96 %	0.925 %	0.7871 %	584399.4855880737
