Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	100	16	|	1	-1	dot_product
0.37 %	0.4 %	0.4267 %	0.37124 %	|	0.51 %	0.52 %	0.481 %	0.52 %	0.481 %	0.4452 %	17420.244216918945
250	100	16	|	2	-1	dot_product
0.42 %	0.47 %	0.5278 %	0.48139 %	|	0.62 %	0.63 %	0.584 %	0.63 %	0.584 %	0.5595 %	31232.690811157227
250	100	16	|	4	-1	dot_product
0.46 %	0.552 %	0.6349 %	0.60545 %	|	0.7 %	0.71 %	0.703 %	0.73 %	0.706 %	0.6949 %	59704.63752746582
250	100	16	|	8	-1	dot_product
0.49 %	0.602 %	0.6944 %	0.67755 %	|	0.76 %	0.77 %	0.778 %	0.79 %	0.781 %	0.7717 %	101540.87543487549
250	100	16	|	16	-1	dot_product
0.5 %	0.636 %	0.7314 %	0.72611 %	|	0.83 %	0.84 %	0.828 %	0.86 %	0.832 %	0.819 %	162913.179397583
250	100	16	|	32	-1	dot_product
0.49 %	0.647 %	0.7475 %	0.75717 %	|	0.85 %	0.86 %	0.857 %	0.88 %	0.863 %	0.8502 %	285158.46729278564
250	100	16	|	64	-1	dot_product
0.5 %	0.675 %	0.7715 %	0.79005 %	|	0.88 %	0.9 %	0.9 %	0.92 %	0.908 %	0.8887 %	522399.11556243896
250	100	16	|	128	-1	dot_product
0.5 %	0.692 %	0.7883 %	0.81774 %	|	0.9 %	0.92 %	0.935 %	0.94 %	0.946 %	0.9197 %	1037963.8195037842
250	100	16	|	160	-1	dot_product
0.5 %	0.694 %	0.796 %	0.83141 %	|	0.9 %	0.92 %	0.94 %	0.94 %	0.951 %	0.9356 %	1296691.9898986816
250	100	16	|	192	-1	dot_product
0.51 %	0.696 %	0.8013 %	0.83985 %	|	0.91 %	0.93 %	0.945 %	0.95 %	0.956 %	0.9447 %	1549995.1601028442
250	50	16	|	1	-1	dot_product
0.21 %	0.324 %	0.3797 %	0.35953 %	|	0.49 %	0.52 %	0.472 %	0.52 %	0.481 %	0.4451 %	9366.178512573242
250	50	16	|	2	-1	dot_product
0.23 %	0.376 %	0.4636 %	0.456 %	|	0.54 %	0.63 %	0.573 %	0.63 %	0.584 %	0.5591 %	17166.805267333984
250	50	16	|	4	-1	dot_product
0.23 %	0.411 %	0.5402 %	0.55347 %	|	0.58 %	0.72 %	0.676 %	0.72 %	0.703 %	0.6922 %	31785.75038909912
250	50	16	|	8	-1	dot_product
0.24 %	0.44 %	0.5819 %	0.60495 %	|	0.62 %	0.78 %	0.745 %	0.78 %	0.778 %	0.7677 %	53452.06260681152
250	50	16	|	16	-1	dot_product
0.26 %	0.459 %	0.6088 %	0.63936 %	|	0.63 %	0.85 %	0.789 %	0.85 %	0.829 %	0.8122 %	85968.61362457275
250	50	16	|	32	-1	dot_product
0.26 %	0.467 %	0.6172 %	0.65839 %	|	0.63 %	0.86 %	0.808 %	0.87 %	0.86 %	0.8395 %	149336.55261993408
250	50	16	|	64	-1	dot_product
0.24 %	0.479 %	0.6329 %	0.67848 %	|	0.64 %	0.89 %	0.846 %	0.91 %	0.904 %	0.8739 %	273153.2573699951
250	50	16	|	128	-1	dot_product
0.24 %	0.484 %	0.6442 %	0.6949 %	|	0.64 %	0.91 %	0.873 %	0.93 %	0.939 %	0.9009 %	539020.1807022095
250	50	16	|	160	-1	dot_product
0.24 %	0.485 %	0.6481 %	0.70256 %	|	0.64 %	0.91 %	0.875 %	0.93 %	0.943 %	0.9144 %	676420.4740524292
250	50	16	|	192	-1	dot_product
0.24 %	0.487 %	0.6504 %	0.70809 %	|	0.65 %	0.92 %	0.879 %	0.94 %	0.947 %	0.9226 %	810721.5642929077
250	25	16	|	1	-1	dot_product
0.11 %	0.215 %	0.3134 %	0.31999 %	|	0.36 %	0.48 %	0.434 %	0.52 %	0.479 %	0.4399 %	5585.789680480957
250	25	16	|	2	-1	dot_product
0.08 %	0.24 %	0.3683 %	0.38482 %	|	0.36 %	0.57 %	0.515 %	0.63 %	0.58 %	0.5472 %	9814.33391571045
250	25	16	|	4	-1	dot_product
0.08 %	0.265 %	0.4131 %	0.44317 %	|	0.41 %	0.65 %	0.594 %	0.72 %	0.694 %	0.662 %	17697.33428955078
250	25	16	|	8	-1	dot_product
0.08 %	0.276 %	0.4356 %	0.46715 %	|	0.42 %	0.7 %	0.633 %	0.78 %	0.763 %	0.7241 %	29644.89459991455
250	25	16	|	16	-1	dot_product
0.1 %	0.286 %	0.4516 %	0.48143 %	|	0.43 %	0.73 %	0.661 %	0.85 %	0.805 %	0.758 %	46868.68190765381
250	25	16	|	32	-1	dot_product
0.1 %	0.287 %	0.4551 %	0.48757 %	|	0.42 %	0.73 %	0.671 %	0.87 %	0.825 %	0.7708 %	81208.84895324707
250	25	16	|	64	-1	dot_product
0.09 %	0.292 %	0.4634 %	0.49568 %	|	0.42 %	0.74 %	0.685 %	0.88 %	0.856 %	0.793 %	147581.19583129883
250	25	16	|	128	-1	dot_product
0.09 %	0.292 %	0.4699 %	0.50106 %	|	0.42 %	0.75 %	0.702 %	0.9 %	0.885 %	0.8098 %	290916.91970825195
250	25	16	|	160	-1	dot_product
0.09 %	0.292 %	0.472 %	0.50354 %	|	0.42 %	0.75 %	0.702 %	0.9 %	0.887 %	0.8167 %	363841.7720794678
250	25	16	|	192	-1	dot_product
0.09 %	0.293 %	0.4731 %	0.50537 %	|	0.43 %	0.76 %	0.704 %	0.91 %	0.891 %	0.8216 %	437341.30859375
