Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	128	16	|	1	-1	squared_l2
0.44 %	0.47 %	0.428 %	0.33554 %	|	0.52 %	0.52 %	0.499 %	0.52 %	0.499 %	0.4359 %	14232.683181762695
250	128	16	|	2	-1	squared_l2
0.56 %	0.646 %	0.6096 %	0.5106 %	|	0.73 %	0.73 %	0.705 %	0.73 %	0.705 %	0.6282 %	19256.997108459473
250	128	16	|	4	-1	squared_l2
0.69 %	0.787 %	0.7519 %	0.68254 %	|	0.9 %	0.9 %	0.876 %	0.9 %	0.876 %	0.7997 %	36807.58476257324
250	128	16	|	8	-1	squared_l2
0.73 %	0.826 %	0.8291 %	0.81133 %	|	0.96 %	0.96 %	0.95 %	0.96 %	0.95 %	0.9138 %	71758.5802078247
250	128	16	|	16	-1	squared_l2
0.75 %	0.838 %	0.8652 %	0.87687 %	|	0.99 %	0.99 %	0.987 %	0.99 %	0.987 %	0.9779 %	138779.66403961182
250	128	16	|	32	-1	squared_l2
0.76 %	0.843 %	0.8732 %	0.89915 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9966 %	269518.3038711548
250	128	16	|	64	-1	squared_l2
0.76 %	0.843 %	0.8748 %	0.90271 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	524221.9686508179
250	128	16	|	128	-1	squared_l2
0.76 %	0.843 %	0.8747 %	0.90295 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1024646.4252471924
250	128	16	|	160	-1	squared_l2
0.76 %	0.843 %	0.8747 %	0.90295 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1253632.6169967651
250	128	16	|	192	-1	squared_l2
0.76 %	0.843 %	0.8747 %	0.90295 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1490966.7491912842
250	64	16	|	1	-1	squared_l2
0.37 %	0.398 %	0.3983 %	0.32966 %	|	0.51 %	0.52 %	0.498 %	0.52 %	0.499 %	0.4359 %	6008.338928222656
250	64	16	|	2	-1	squared_l2
0.5 %	0.53 %	0.5377 %	0.49106 %	|	0.71 %	0.73 %	0.704 %	0.73 %	0.705 %	0.6282 %	10834.193229675293
250	64	16	|	4	-1	squared_l2
0.57 %	0.605 %	0.6369 %	0.62967 %	|	0.88 %	0.9 %	0.875 %	0.9 %	0.876 %	0.7997 %	20593.571662902832
250	64	16	|	8	-1	squared_l2
0.62 %	0.63 %	0.6836 %	0.71692 %	|	0.94 %	0.96 %	0.948 %	0.96 %	0.95 %	0.9138 %	38960.33763885498
250	64	16	|	16	-1	squared_l2
0.62 %	0.632 %	0.7048 %	0.75599 %	|	0.96 %	0.99 %	0.985 %	0.99 %	0.987 %	0.9777 %	73540.3060913086
250	64	16	|	32	-1	squared_l2
0.62 %	0.633 %	0.7099 %	0.76896 %	|	0.97 %	1.0 %	0.995 %	1.0 %	0.997 %	0.9964 %	143677.13928222656
250	64	16	|	64	-1	squared_l2
0.62 %	0.632 %	0.711 %	0.77108 %	|	0.97 %	1.0 %	0.998 %	1.0 %	1.0 %	0.9998 %	279812.3598098755
250	64	16	|	128	-1	squared_l2
