Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	50	256	|	1	-1	dot_product
0.482 %	0.49946 %	0.466471 %	0.3754355 %	|	0.5626 %	0.5629 %	0.53575 %	0.5629 %	0.53575 %	0.482147 %	7748.675346374512
250	50	256	|	2	-1	dot_product
0.5967 %	0.61995 %	0.594205 %	0.5034126 %	|	0.7033 %	0.7036 %	0.67545 %	0.7036 %	0.67545 %	0.620326 %	8490.133285522461
250	50	256	|	4	-1	dot_product
0.6787 %	0.70792 %	0.69314 %	0.6168001 %	|	0.8061 %	0.8064 %	0.78268 %	0.8064 %	0.78268 %	0.73273 %	9742.927551269531
250	50	256	|	8	-1	dot_product
0.732 %	0.7676 %	0.766512 %	0.7134893 %	|	0.8786 %	0.8791 %	0.86112 %	0.8791 %	0.86112 %	0.820989 %	10130.4292678833
250	50	256	|	16	-1	dot_product
0.7669 %	0.80717 %	0.81922 %	0.792357 %	|	0.9295 %	0.9301 %	0.91766 %	0.9301 %	0.91766 %	0.890186 %	10623.502731323242
250	50	256	|	32	-1	dot_product
0.792 %	0.83233 %	0.853694 %	0.8503312 %	|	0.964 %	0.9646 %	0.95861 %	0.9646 %	0.95861 %	0.942573 %	11840.77262878418
250	50	256	|	64	-1	dot_product
0.8068 %	0.84648 %	0.87295 %	0.8852265 %	|	0.9868 %	0.9874 %	0.98526 %	0.9874 %	0.98526 %	0.978149 %	13531.39877319336
250	50	256	|	128	-1	dot_product
0.8147 %	0.85257 %	0.88105 %	0.9006294 %	|	0.9974 %	0.9982 %	0.9978 %	0.9983 %	0.99781 %	0.996209 %	16685.795783996582
250	50	256	|	160	-1	dot_product
0.8156 %	0.85332 %	0.881984 %	0.9025682 %	|	0.9986 %	0.9994 %	0.99923 %	0.9995 %	0.99924 %	0.998623 %	17627.596855163574
250	50	256	|	192	-1	dot_product
0.8156 %	0.85357 %	0.882369 %	0.9033539 %	|	0.9988 %	0.9996 %	0.99974 %	0.9997 %	0.99975 %	0.9996 %	18510.24627685547
250	25	256	|	1	-1	dot_product
0.3247 %	0.37714 %	0.388173 %	0.3467344 %	|	0.529 %	0.5623 %	0.53039 %	0.5629 %	0.53575 %	0.4818 %	5733.275413513184
250	25	256	|	2	-1	dot_product
0.3945 %	0.45105 %	0.475265 %	0.4502783 %	|	0.6583 %	0.7028 %	0.66719 %	0.7036 %	0.67545 %	0.619682 %	6618.213653564453
250	25	256	|	4	-1	dot_product
0.4386 %	0.50049 %	0.534287 %	0.5310448 %	|	0.7482 %	0.8053 %	0.77037 %	0.8064 %	0.78268 %	0.731451 %	7792.878150939941
250	25	256	|	8	-1	dot_product
0.468 %	0.53047 %	0.573004 %	0.5904327 %	|	0.8086 %	0.8776 %	0.84373 %	0.8791 %	0.86109 %	0.818422 %	8642.55428314209
250	25	256	|	16	-1	dot_product
0.4869 %	0.54868 %	0.597244 %	0.6320297 %	|	0.8486 %	0.9274 %	0.89453 %	0.9301 %	0.91759 %	0.885451 %	9706.830978393555
250	25	256	|	32	-1	dot_product
0.4993 %	0.55962 %	0.612076 %	0.6588829 %	|	0.8732 %	0.9607 %	0.92936 %	0.9646 %	0.95841 %	0.934648 %	10853.60050201416
250	25	256	|	64	-1	dot_product
0.5059 %	0.56586 %	0.620017 %	0.6743153 %	|	0.89 %	0.9827 %	0.95105 %	0.9874 %	0.98501 %	0.966981 %	12321.42448425293
250	25	256	|	128	-1	dot_product
0.5092 %	0.5684 %	0.623458 %	0.6811853 %	|	0.8977 %	0.993 %	0.96066 %	0.9983 %	0.99747 %	0.982743 %	14812.827110290527
250	25	256	|	160	-1	dot_product
0.5095 %	0.56873 %	0.623834 %	0.6820618 %	|	0.8981 %	0.9941 %	0.9617 %	0.9995 %	0.99888 %	0.9848 %	16137.933731079102
250	25	256	|	192	-1	dot_product
0.5095 %	0.56878 %	0.623917 %	0.6824048 %	|	0.8981 %	0.9942 %	0.96201 %	0.9997 %	0.99939 %	0.985609 %	16954.08821105957
250	10	256	|	1	-1	dot_product
0.142 %	0.19022 %	0.238585 %	0.269707 %	|	0.349 %	0.5089 %	0.41798 %	0.5592 %	0.52626 %	0.448273 %	5596.590042114258
250	10	256	|	2	-1	dot_product
0.1628 %	0.21387 %	0.271454 %	0.3240981 %	|	0.4065 %	0.6177 %	0.4972 %	0.697 %	0.65656 %	0.55751 %	6434.273719787598
250	10	256	|	4	-1	dot_product
0.173 %	0.22757 %	0.289149 %	0.3572524 %	|	0.4391 %	0.6879 %	0.54566 %	0.7945 %	0.75151 %	0.631683 %	7573.652267456055
250	10	256	|	8	-1	dot_product
0.1781 %	0.2339 %	0.298291 %	0.3761595 %	|	0.4586 %	0.7335 %	0.57285 %	0.8606 %	0.81305 %	0.67668 %	8383.846282958984
250	10	256	|	16	-1	dot_product
0.1814 %	0.2367 %	0.302851 %	0.3869506 %	|	0.4683 %	0.7601 %	0.58699 %	0.9038 %	0.85047 %	0.703556 %	9409.904479980469
250	10	256	|	32	-1	dot_product
0.1824 %	0.23786 %	0.304845 %	0.3926149 %	|	0.4725 %	0.771 %	0.59329 %	0.9292 %	0.87369 %	0.718308 %	10571.503639221191
250	10	256	|	64	-1	dot_product
0.1833 %	0.23844 %	0.305713 %	0.3952341 %	|	0.4753 %	0.7777 %	0.5965 %	0.9448 %	0.88544 %	0.725654 %	11980.056762695312
250	10	256	|	128	-1	dot_product
0.1834 %	0.23862 %	0.306004 %	0.39609 %	|	0.4757 %	0.78 %	0.59758 %	0.9507 %	0.88974 %	0.728176 %	13957.715034484863
250	10	256	|	160	-1	dot_product
0.1834 %	0.23865 %	0.306025 %	0.3961623 %	|	0.4757 %	0.78 %	0.5977 %	0.9511 %	0.89017 %	0.72841 %	14846.301078796387
250	10	256	|	192	-1	dot_product
0.1834 %	0.23866 %	0.306026 %	0.3961827 %	|	0.4757 %	0.7799 %	0.59769 %	0.9511 %	0.89025 %	0.728458 %	15851.736068725586
