Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	50	256	|	1	-1	dot_product
0.3265 %	0.41324 %	0.435918 %	0.3763397 %	|	0.4772 %	0.4859 %	0.47448 %	0.486 %	0.4746 %	0.450255 %	6193.447113037109
250	50	256	|	2	-1	dot_product
0.4106 %	0.51774 %	0.557455 %	0.5064302 %	|	0.611 %	0.6231 %	0.60805 %	0.6232 %	0.60839 %	0.584037 %	6568.431854248047
250	50	256	|	4	-1	dot_product
0.4805 %	0.60147 %	0.656486 %	0.6213336 %	|	0.7248 %	0.741 %	0.72075 %	0.7411 %	0.7214 %	0.697947 %	7140.040397644043
250	50	256	|	8	-1	dot_product
0.5199 %	0.65256 %	0.717949 %	0.6984487 %	|	0.7952 %	0.8147 %	0.79354 %	0.8149 %	0.79467 %	0.773029 %	9062.21866607666
250	50	256	|	16	-1	dot_product
0.5443 %	0.68333 %	0.755163 %	0.7472129 %	|	0.841 %	0.8632 %	0.84077 %	0.8634 %	0.84233 %	0.820768 %	8505.487442016602
250	50	256	|	32	-1	dot_product
0.5616 %	0.70583 %	0.781844 %	0.7816143 %	|	0.8735 %	0.8984 %	0.87646 %	0.8988 %	0.87862 %	0.856361 %	9322.190284729004
250	50	256	|	64	-1	dot_product
0.574 %	0.72426 %	0.805246 %	0.8115923 %	|	0.9001 %	0.9268 %	0.9076 %	0.9273 %	0.91017 %	0.88841 %	10469.508171081543
250	50	256	|	128	-1	dot_product
0.5853 %	0.74154 %	0.829983 %	0.8436172 %	|	0.9246 %	0.9551 %	0.93978 %	0.9556 %	0.94282 %	0.924451 %	13459.920883178711
250	50	256	|	160	-1	dot_product
0.5888 %	0.74728 %	0.839108 %	0.8559758 %	|	0.933 %	0.9648 %	0.9512 %	0.9655 %	0.95461 %	0.938773 %	14593.029022216797
250	50	256	|	192	-1	dot_product
0.5913 %	0.7517 %	0.846961 %	0.8670448 %	|	0.9397 %	0.9727 %	0.96124 %	0.9735 %	0.9649 %	0.95176 %	15403.67603302002
250	25	256	|	1	-1	dot_product
0.1999 %	0.32486 %	0.393226 %	0.3670578 %	|	0.4307 %	0.4826 %	0.46808 %	0.486 %	0.47458 %	0.450139 %	4648.995399475098
250	25	256	|	2	-1	dot_product
0.2424 %	0.39717 %	0.489935 %	0.481242 %	|	0.5398 %	0.6173 %	0.59647 %	0.6232 %	0.60819 %	0.583538 %	5316.13826751709
250	25	256	|	4	-1	dot_product
0.2778 %	0.4531 %	0.564681 %	0.573692 %	|	0.6312 %	0.7313 %	0.7026 %	0.7409 %	0.72101 %	0.696708 %	6321.954727172852
250	25	256	|	8	-1	dot_product
0.2978 %	0.48714 %	0.609785 %	0.6305406 %	|	0.6839 %	0.8021 %	0.7697 %	0.8147 %	0.79408 %	0.770745 %	7271.552085876465
250	25	256	|	16	-1	dot_product
0.309 %	0.50601 %	0.63589 %	0.6637869 %	|	0.715 %	0.8479 %	0.81195 %	0.8629 %	0.84127 %	0.817394 %	7939.12410736084
250	25	256	|	32	-1	dot_product
0.3164 %	0.5193 %	0.654188 %	0.6862037 %	|	0.7356 %	0.8799 %	0.84338 %	0.8979 %	0.87701 %	0.851669 %	8710.289001464844
250	25	256	|	64	-1	dot_product
0.3206 %	0.52945 %	0.669718 %	0.7052913 %	|	0.7515 %	0.9053 %	0.87045 %	0.926 %	0.90809 %	0.882438 %	9756.994247436523
250	25	256	|	128	-1	dot_product
0.3252 %	0.53891 %	0.685613 %	0.7253129 %	|	0.7665 %	0.9307 %	0.89776 %	0.9537 %	0.94014 %	0.916876 %	11773.085594177246
250	25	256	|	160	-1	dot_product
0.3262 %	0.5416 %	0.691215 %	0.7329963 %	|	0.7717 %	0.939 %	0.90703 %	0.9632 %	0.95155 %	0.930482 %	13031.196594238281
250	25	256	|	192	-1	dot_product
0.3264 %	0.54376 %	0.695898 %	0.7398983 %	|	0.7748 %	0.946 %	0.91518 %	0.9711 %	0.96163 %	0.942815 %	14164.233207702637
250	10	256	|	1	-1	dot_product
0.0727 %	0.18053 %	0.287213 %	0.3172962 %	|	0.2673 %	0.444 %	0.409 %	0.4845 %	0.47199 %	0.443033 %	4754.734039306641
250	10	256	|	2	-1	dot_product
0.0849 %	0.20817 %	0.340806 %	0.388453 %	|	0.3212 %	0.5545 %	0.50221 %	0.618 %	0.60042 %	0.564142 %	5324.888229370117
250	10	256	|	4	-1	dot_product
0.0952 %	0.22922 %	0.379924 %	0.4387457 %	|	0.365 %	0.6401 %	0.57291 %	0.7303 %	0.70499 %	0.661073 %	6277.632713317871
250	10	256	|	8	-1	dot_product
0.1013 %	0.24176 %	0.401404 %	0.4656883 %	|	0.3876 %	0.6916 %	0.61527 %	0.7994 %	0.76999 %	0.720203 %	7181.382179260254
250	10	256	|	16	-1	dot_product
0.102 %	0.24775 %	0.412489 %	0.4793179 %	|	0.3959 %	0.7172 %	0.63805 %	0.8401 %	0.80941 %	0.753807 %	7806.4680099487305
250	10	256	|	32	-1	dot_product
0.1034 %	0.25177 %	0.419617 %	0.4874842 %	|	0.4028 %	0.7355 %	0.65469 %	0.8684 %	0.83823 %	0.776864 %	8586.09676361084
250	10	256	|	64	-1	dot_product
0.1037 %	0.25457 %	0.424886 %	0.4939281 %	|	0.4056 %	0.7478 %	0.66753 %	0.8897 %	0.86237 %	0.796705 %	9705.448150634766
250	10	256	|	128	-1	dot_product
0.1038 %	0.25625 %	0.429614 %	0.5001956 %	|	0.4099 %	0.7596 %	0.67915 %	0.9108 %	0.88619 %	0.817727 %	11625.218391418457
250	10	256	|	160	-1	dot_product
0.104 %	0.25673 %	0.431207 %	0.5026307 %	|	0.4111 %	0.7634 %	0.68288 %	0.9179 %	0.89417 %	0.825656 %	12497.663497924805
250	10	256	|	192	-1	dot_product
0.1042 %	0.25708 %	0.432631 %	0.5047146 %	|	0.4116 %	0.7653 %	0.68589 %	0.9235 %	0.90128 %	0.832667 %	13214.755058288574
