Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	64	256	|	1	-1	squared_l2
0.4872 %	0.48211 %	0.425152 %	0.3270096 %	|	0.5556 %	0.5556 %	0.49992 %	0.5556 %	0.49992 %	0.429442 %	5526.75724029541
250	64	256	|	2	-1	squared_l2
0.6314 %	0.64153 %	0.596396 %	0.491903 %	|	0.7354 %	0.7355 %	0.67945 %	0.7355 %	0.67945 %	0.60816 %	5642.437934875488
250	64	256	|	4	-1	squared_l2
0.7377 %	0.76805 %	0.746864 %	0.6626576 %	|	0.8759 %	0.8761 %	0.83615 %	0.8761 %	0.83615 %	0.774713 %	6254.792213439941
250	64	256	|	8	-1	squared_l2
0.7974 %	0.83957 %	0.847071 %	0.8070402 %	|	0.9599 %	0.9601 %	0.93832 %	0.9601 %	0.93832 %	0.901559 %	6843.876838684082
250	64	256	|	16	-1	squared_l2
0.819 %	0.86758 %	0.891241 %	0.8913297 %	|	0.9927 %	0.993 %	0.98579 %	0.993 %	0.98579 %	0.971671 %	7716.965675354004
250	64	256	|	32	-1	squared_l2
0.8227 %	0.87358 %	0.903256 %	0.9206385 %	|	0.9992 %	0.9995 %	0.99843 %	0.9995 %	0.99843 %	0.995987 %	8437.132835388184
250	64	256	|	64	-1	squared_l2
0.8233 %	0.8742 %	0.904865 %	0.9257702 %	|	0.9997 %	1.0 %	0.99993 %	1.0 %	0.99993 %	0.999884 %	9884.500503540039
250	64	256	|	128	-1	squared_l2
0.8231 %	0.87427 %	0.904905 %	0.9259844 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999997 %	12162.947654724121
250	64	256	|	160	-1	squared_l2
0.823 %	0.87427 %	0.904908 %	0.925986 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	12463.42658996582
250	64	256	|	192	-1	squared_l2
0.823 %	0.87426 %	0.904908 %	0.9259862 %	|	0.9997 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	13208.770751953125
250	32	256	|	1	-1	squared_l2
0.4144 %	0.43915 %	0.408654 %	0.3246659 %	|	0.5538 %	0.5556 %	0.49991 %	0.5556 %	0.49992 %	0.429442 %	4521.274566650391
250	32	256	|	2	-1	squared_l2
0.5204 %	0.56433 %	0.556168 %	0.4825179 %	|	0.7318 %	0.7355 %	0.67944 %	0.7355 %	0.67945 %	0.60816 %	4833.745956420898
250	32	256	|	4	-1	squared_l2
