Program: faiss Topk: 1000 Num_split: 4 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	96	16	|	1	-1	squared_l2
0.429 %	0.4447 %	0.40286 %	0.349931 %	|	0.507 %	0.508 %	0.4733 %	0.508 %	0.4735 %	0.41696 %	259364.98641967773
8000	96	16	|	2	-1	squared_l2
0.565 %	0.5805 %	0.54757 %	0.489994 %	|	0.674 %	0.675 %	0.6321 %	0.675 %	0.6323 %	0.57231 %	463188.2667541504
8000	96	16	|	4	-1	squared_l2
0.67 %	0.6928 %	0.67724 %	0.63245 %	|	0.816 %	0.817 %	0.7773 %	0.817 %	0.7775 %	0.72457 %	904594.9935913086
8000	96	16	|	8	-1	squared_l2
0.729 %	0.7632 %	0.76496 %	0.740422 %	|	0.9 %	0.901 %	0.8794 %	0.901 %	0.8796 %	0.83897 %	1786206.0546875
8000	96	16	|	16	-1	squared_l2
0.762 %	0.8012 %	0.81829 %	0.813521 %	|	0.95 %	0.951 %	0.9397 %	0.951 %	0.9399 %	0.91813 %	3477165.699005127
8000	96	16	|	32	-1	squared_l2
0.785 %	0.8214 %	0.84423 %	0.852397 %	|	0.978 %	0.979 %	0.9759 %	0.979 %	0.9761 %	0.96227 %	6796646.690368652
8000	96	16	|	64	-1	squared_l2
0.792 %	0.828 %	0.85505 %	0.870861 %	|	0.991 %	0.992 %	0.9913 %	0.992 %	0.9915 %	0.98476 %	13207887.744903564
8000	96	16	|	128	-1	squared_l2
0.793 %	0.8303 %	0.8592 %	0.877867 %	|	0.994 %	0.995 %	0.9964 %	0.995 %	0.9966 %	0.9939 %	25594537.830352783
8000	96	16	|	256	-1	squared_l2
0.795 %	0.8307 %	0.86032 %	0.880468 %	|	0.996 %	0.997 %	0.9972 %	0.997 %	0.9974 %	0.99717 %	49370501.89971924
8000	48	16	|	1	-1	squared_l2
0.291 %	0.3332 %	0.32961 %	0.30893 %	|	0.476 %	0.502 %	0.4646 %	0.508 %	0.4728 %	0.41396 %	131183.3381652832
8000	48	16	|	2	-1	squared_l2
0.379 %	0.4211 %	0.42389 %	0.415143 %	|	0.627 %	0.669 %	0.6176 %	0.675 %	0.6314 %	0.56776 %	249880.69534301758
8000	48	16	|	4	-1	squared_l2
0.437 %	0.4788 %	0.49769 %	0.507982 %	|	0.746 %	0.81 %	0.7557 %	0.817 %	0.7765 %	0.71767 %	483635.13946533203
8000	48	16	|	8	-1	squared_l2
0.461 %	0.5138 %	0.54275 %	0.570013 %	|	0.814 %	0.893 %	0.8498 %	0.901 %	0.8782 %	0.82931 %	950384.4261169434
8000	48	16	|	16	-1	squared_l2
0.479 %	0.5314 %	0.56968 %	0.609185 %	|	0.855 %	0.943 %	0.9039 %	0.951 %	0.9385 %	0.90614 %	1839999.008178711
8000	48	16	|	32	-1	squared_l2
0.482 %	0.5411 %	0.58208 %	0.628673 %	|	0.873 %	0.971 %	0.9363 %	0.979 %	0.9747 %	0.94795 %	3591571.2356567383
8000	48	16	|	64	-1	squared_l2
0.484 %	0.544 %	0.58693 %	0.637736 %	|	0.882 %	0.984 %	0.9492 %	0.992 %	0.9901 %	0.96853 %	6982490.825653076
8000	48	16	|	128	-1	squared_l2
0.485 %	0.5452 %	0.58847 %	0.641021 %	|	0.885 %	0.987 %	0.9529 %	0.995 %	0.9952 %	0.97668 %	13538694.667816162
8000	48	16	|	256	-1	squared_l2
0.485 %	0.5453 %	0.58897 %	0.642112 %	|	0.885 %	0.989 %	0.9534 %	0.997 %	0.996 %	0.97939 %	26106689.834594727
8000	24	16	|	1	-1	squared_l2
0.151 %	0.1937 %	0.21181 %	0.224632 %	|	0.332 %	0.458 %	0.3821 %	0.489 %	0.455 %	0.37387 %	79713.24920654297
8000	24	16	|	2	-1	squared_l2
0.193 %	0.2285 %	0.25712 %	0.282721 %	|	0.413 %	0.598 %	0.4846 %	0.655 %	0.6069 %	0.49853 %	149066.54357910156
8000	24	16	|	4	-1	squared_l2
0.218 %	0.2537 %	0.28849 %	0.326707 %	|	0.476 %	0.709 %	0.5652 %	0.795 %	0.74 %	0.60549 %	286179.256439209
8000	24	16	|	8	-1	squared_l2
0.225 %	0.2656 %	0.30558 %	0.353078 %	|	0.503 %	0.771 %	0.6106 %	0.873 %	0.8294 %	0.67573 %	561767.7688598633
8000	24	16	|	16	-1	squared_l2
0.229 %	0.2703 %	0.31334 %	0.3678 %	|	0.519 %	0.805 %	0.6318 %	0.92 %	0.8783 %	0.71569 %	1089752.3880004883
8000	24	16	|	32	-1	squared_l2
0.228 %	0.2716 %	0.31638 %	0.373774 %	|	0.52 %	0.822 %	0.6429 %	0.945 %	0.906 %	0.73362 %	2098419.47555542
8000	24	16	|	64	-1	squared_l2
0.23 %	0.2722 %	0.31718 %	0.375853 %	|	0.522 %	0.826 %	0.6447 %	0.956 %	0.916 %	0.74012 %	4077507.5912475586
8000	24	16	|	128	-1	squared_l2
0.23 %	0.2722 %	0.31732 %	0.376364 %	|	0.522 %	0.827 %	0.6453 %	0.959 %	0.9185 %	0.74191 %	7905770.301818848
8000	24	16	|	256	-1	squared_l2
0.23 %	0.2722 %	0.31732 %	0.376483 %	|	0.522 %	0.827 %	0.6453 %	0.96 %	0.9187 %	0.74226 %	15234178.829193115
