Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	96	16	|	1	-1	squared_l2
0.4925 %	0.51385 %	0.48084 %	0.3930475 %	|	0.6016 %	0.6025 %	0.56085 %	0.6025 %	0.56086 %	0.498721 %	9807.133674621582
250	96	16	|	2	-1	squared_l2
0.6203 %	0.65752 %	0.638565 %	0.5576824 %	|	0.773 %	0.7739 %	0.73721 %	0.7739 %	0.73722 %	0.674644 %	14881.99234008789
250	96	16	|	4	-1	squared_l2
0.6997 %	0.75226 %	0.756783 %	0.7056864 %	|	0.8923 %	0.8935 %	0.86745 %	0.8935 %	0.86746 %	0.81946 %	28213.54866027832
250	96	16	|	8	-1	squared_l2
0.7412 %	0.80123 %	0.82443 %	0.8082376 %	|	0.9577 %	0.9591 %	0.94431 %	0.9591 %	0.94432 %	0.91462 %	53727.53143310547
250	96	16	|	16	-1	squared_l2
0.756 %	0.82081 %	0.855393 %	0.8650529 %	|	0.9856 %	0.9871 %	0.98125 %	0.9871 %	0.98126 %	0.966839 %	103392.33875274658
250	96	16	|	32	-1	squared_l2
0.761 %	0.82748 %	0.866397 %	0.8894173 %	|	0.9953 %	0.9969 %	0.99538 %	0.9969 %	0.99539 %	0.989618 %	197249.93705749512
250	96	16	|	64	-1	squared_l2
0.7634 %	0.82878 %	0.869953 %	0.8981271 %	|	0.9979 %	0.9996 %	0.99929 %	0.9996 %	0.9993 %	0.997979 %	382629.1084289551
250	96	16	|	128	-1	squared_l2
0.7625 %	0.82893 %	0.870629 %	0.9003589 %	|	0.9983 %	1.0 %	0.99996 %	1.0 %	0.99997 %	0.999847 %	744944.6439743042
250	96	16	|	160	-1	squared_l2
0.7628 %	0.82898 %	0.870655 %	0.9005379 %	|	0.9983 %	1.0 %	0.99997 %	1.0 %	0.99998 %	0.999958 %	936600.3513336182
250	96	16	|	192	-1	squared_l2
0.7627 %	0.82908 %	0.870662 %	0.9006051 %	|	0.9983 %	1.0 %	0.99999 %	1.0 %	1.0 %	0.999985 %	1135230.016708374
250	48	16	|	1	-1	squared_l2
0.3083 %	0.38878 %	0.411813 %	0.3761683 %	|	0.5665 %	0.6018 %	0.55526 %	0.6025 %	0.56085 %	0.498613 %	4940.390586853027
250	48	16	|	2	-1	squared_l2
0.3715 %	0.47408 %	0.519752 %	0.513727 %	|	0.716 %	0.773 %	0.72826 %	0.7739 %	0.7372 %	0.674321 %	8647.632598876953
250	48	16	|	4	-1	squared_l2
0.4082 %	0.52419 %	0.590588 %	0.6200233 %	|	0.8138 %	0.8926 %	0.85426 %	0.8935 %	0.86744 %	0.818748 %	15602.445602416992
