Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	100	16	|	1	-1	dot_product
0.4334 %	0.46725 %	0.447337 %	0.3687253 %	|	0.558 %	0.5627 %	0.53517 %	0.5629 %	0.53575 %	0.481972 %	34891.557693481445
250	100	16	|	2	-1	dot_product
0.5325 %	0.57557 %	0.565809 %	0.4919999 %	|	0.6978 %	0.7034 %	0.67469 %	0.7036 %	0.67545 %	0.620009 %	57325.45852661133
250	100	16	|	4	-1	dot_product
0.6065 %	0.6545 %	0.656326 %	0.5995149 %	|	0.8001 %	0.8062 %	0.78183 %	0.8064 %	0.78267 %	0.732306 %	104578.23276519775
250	100	16	|	8	-1	dot_product
0.6559 %	0.70845 %	0.722469 %	0.6896055 %	|	0.8726 %	0.8789 %	0.86024 %	0.8791 %	0.86111 %	0.820502 %	188011.93237304688
250	100	16	|	16	-1	dot_product
0.6874 %	0.74361 %	0.769573 %	0.7615827 %	|	0.9234 %	0.9299 %	0.91674 %	0.9301 %	0.91765 %	0.889668 %	345886.9934082031
250	100	16	|	32	-1	dot_product
0.7096 %	0.76614 %	0.800108 %	0.8133668 %	|	0.9573 %	0.9644 %	0.95768 %	0.9646 %	0.9586 %	0.94204 %	603543.3292388916
250	100	16	|	64	-1	dot_product
0.7239 %	0.77934 %	0.81753 %	0.8445854 %	|	0.9801 %	0.9872 %	0.98427 %	0.9874 %	0.98525 %	0.977593 %	1023356.1992645264
250	100	16	|	128	-1	dot_product
0.7301 %	0.78451 %	0.825 %	0.8587387 %	|	0.9908 %	0.998 %	0.9968 %	0.9983 %	0.9978 %	0.995643 %	1625046.420097351
250	100	16	|	160	-1	dot_product
0.7317 %	0.78529 %	0.825968 %	0.8605744 %	|	0.992 %	0.9992 %	0.99823 %	0.9995 %	0.99923 %	0.998058 %	1867875.7905960083
250	100	16	|	192	-1	dot_product
0.7312 %	0.78549 %	0.826239 %	0.8613484 %	|	0.9922 %	0.9994 %	0.99874 %	0.9997 %	0.99974 %	0.999034 %	2070283.579826355
250	50	16	|	1	-1	dot_product
