Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	100	16	|	1	-1	dot_product
0.2923 %	0.38473 %	0.423342 %	0.3741621 %	|	0.4672 %	0.4853 %	0.47317 %	0.486 %	0.4746 %	0.450225 %	17420.244216918945
250	100	16	|	2	-1	dot_product
0.3644 %	0.48105 %	0.537927 %	0.5007664 %	|	0.5984 %	0.6224 %	0.60606 %	0.6232 %	0.60839 %	0.583957 %	31232.690811157227
250	100	16	|	4	-1	dot_product
0.4258 %	0.55742 %	0.630472 %	0.6108653 %	|	0.7072 %	0.7398 %	0.71796 %	0.7411 %	0.72138 %	0.697792 %	59704.63752746582
250	100	16	|	8	-1	dot_product
0.4616 %	0.60436 %	0.688384 %	0.6836533 %	|	0.7738 %	0.8131 %	0.79029 %	0.8149 %	0.79463 %	0.772795 %	101540.87543487549
250	100	16	|	16	-1	dot_product
0.4839 %	0.63333 %	0.723505 %	0.7291809 %	|	0.817 %	0.861 %	0.83695 %	0.8634 %	0.84225 %	0.820442 %	162913.179397583
250	100	16	|	32	-1	dot_product
0.5004 %	0.65443 %	0.748864 %	0.7612255 %	|	0.848 %	0.896 %	0.87228 %	0.8988 %	0.87851 %	0.855958 %	285158.46729278564
250	100	16	|	64	-1	dot_product
0.512 %	0.67195 %	0.771126 %	0.789273 %	|	0.8738 %	0.9241 %	0.90301 %	0.9272 %	0.91001 %	0.887918 %	522399.11556243896
250	100	16	|	128	-1	dot_product
0.5217 %	0.68875 %	0.794698 %	0.819448 %	|	0.8968 %	0.9517 %	0.93449 %	0.9555 %	0.94265 %	0.923877 %	1037963.8195037842
250	100	16	|	160	-1	dot_product
0.5252 %	0.6938 %	0.803548 %	0.83114 %	|	0.9047 %	0.9613 %	0.9457 %	0.9654 %	0.95444 %	0.938171 %	1296691.9898986816
250	100	16	|	192	-1	dot_product
0.527 %	0.69832 %	0.810965 %	0.8417146 %	|	0.9111 %	0.9692 %	0.95556 %	0.9734 %	0.96473 %	0.951133 %	1549995.1601028442
250	50	16	|	1	-1	dot_product
0.1745 %	0.29962 %	0.372114 %	0.3571728 %	|	0.4072 %	0.4772 %	0.45864 %	0.4857 %	0.47412 %	0.449054 %	9366.178512573242
250	50	16	|	2	-1	dot_product
0.2089 %	0.36159 %	0.459927 %	0.4615454 %	|	0.507 %	0.6093 %	0.58223 %	0.6224 %	0.60742 %	0.581109 %	17166.805267333984
250	50	16	|	4	-1	dot_product
0.2403 %	0.41116 %	0.529109 %	0.5449422 %	|	0.5925 %	0.7206 %	0.68485 %	0.7398 %	0.71952 %	0.692713 %	31785.75038909912
250	50	16	|	8	-1	dot_product
0.2608 %	0.44264 %	0.571942 %	0.5960908 %	|	0.6437 %	0.7911 %	0.75002 %	0.8135 %	0.79218 %	0.765515 %	53452.06260681152
250	50	16	|	16	-1	dot_product
0.2713 %	0.46101 %	0.597411 %	0.6263251 %	|	0.6733 %	0.8363 %	0.79141 %	0.8618 %	0.8391 %	0.811266 %	85968.61362457275
250	50	16	|	32	-1	dot_product
0.2781 %	0.47346 %	0.615641 %	0.6470446 %	|	0.6947 %	0.8676 %	0.82249 %	0.8966 %	0.87437 %	0.845004 %	149336.55261993408
250	50	16	|	64	-1	dot_product
0.2835 %	0.48346 %	0.631333 %	0.6649398 %	|	0.7118 %	0.8928 %	0.84979 %	0.9246 %	0.90531 %	0.875354 %	273153.2573699951
250	50	16	|	128	-1	dot_product
0.288 %	0.49334 %	0.64753 %	0.6842922 %	|	0.7279 %	0.9176 %	0.8776 %	0.9525 %	0.93733 %	0.909484 %	539020.1807022095
250	50	16	|	160	-1	dot_product
0.2888 %	0.49604 %	0.653523 %	0.691913 %	|	0.734 %	0.9264 %	0.88727 %	0.9622 %	0.9487 %	0.923048 %	676420.4740524292
250	50	16	|	192	-1	dot_product
0.2895 %	0.49854 %	0.658702 %	0.6988802 %	|	0.737 %	0.9329 %	0.8955 %	0.9701 %	0.95877 %	0.935367 %	810721.5642929077
250	25	16	|	1	-1	dot_product
0.1171 %	0.21674 %	0.298668 %	0.3099735 %	|	0.3249 %	0.4489 %	0.41548 %	0.4818 %	0.46898 %	0.438292 %	5585.789680480957
250	25	16	|	2	-1	dot_product
0.1338 %	0.25552 %	0.358502 %	0.372465 %	|	0.392 %	0.5664 %	0.5164 %	0.6143 %	0.59612 %	0.557068 %	9814.33391571045
250	25	16	|	4	-1	dot_product
0.1488 %	0.28652 %	0.405364 %	0.4178316 %	|	0.4465 %	0.6639 %	0.59851 %	0.727 %	0.70156 %	0.654509 %	17697.33428955078
250	25	16	|	8	-1	dot_product
0.1563 %	0.30535 %	0.433701 %	0.4411903 %	|	0.4789 %	0.7226 %	0.64991 %	0.7968 %	0.76799 %	0.715107 %	29644.89459991455
250	25	16	|	16	-1	dot_product
0.1584 %	0.31576 %	0.450063 %	0.4517002 %	|	0.4989 %	0.7569 %	0.68096 %	0.8421 %	0.81005 %	0.75122 %	46868.68190765381
250	25	16	|	32	-1	dot_product
0.1595 %	0.32346 %	0.461595 %	0.4566025 %	|	0.5128 %	0.7824 %	0.7041 %	0.8729 %	0.84059 %	0.776617 %	81208.84895324707
250	25	16	|	64	-1	dot_product
0.161 %	0.32904 %	0.471201 %	0.4595583 %	|	0.5225 %	0.802 %	0.72405 %	0.8981 %	0.86761 %	0.799304 %	147581.19583129883
250	25	16	|	128	-1	dot_product
0.1622 %	0.33382 %	0.481189 %	0.462768 %	|	0.5318 %	0.8213 %	0.7446 %	0.9231 %	0.89549 %	0.824559 %	290916.91970825195
250	25	16	|	160	-1	dot_product
0.1615 %	0.33527 %	0.484718 %	0.4645854 %	|	0.5356 %	0.827 %	0.75105 %	0.9317 %	0.90525 %	0.834645 %	363841.7720794678
250	25	16	|	192	-1	dot_product
0.1616 %	0.33663 %	0.487848 %	0.4664573 %	|	0.5382 %	0.8322 %	0.75676 %	0.939 %	0.91403 %	0.843868 %	437341.30859375
