Program: faiss Topk: 1000 Num_split: 4 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	128	16	|	1	-1	squared_l2
0.369 %	0.3791 %	0.35361 %	0.305051 %	|	0.47 %	0.471 %	0.417 %	0.471 %	0.417 %	0.36937 %	332100.6774902344
8000	128	16	|	2	-1	squared_l2
0.47 %	0.5088 %	0.48721 %	0.435232 %	|	0.624 %	0.626 %	0.5766 %	0.626 %	0.5766 %	0.52014 %	616552.3529052734
8000	128	16	|	4	-1	squared_l2
0.558 %	0.6158 %	0.61252 %	0.569892 %	|	0.776 %	0.78 %	0.727 %	0.78 %	0.727 %	0.67499 %	1225712.9669189453
8000	128	16	|	8	-1	squared_l2
0.618 %	0.689 %	0.70338 %	0.680206 %	|	0.879 %	0.883 %	0.8446 %	0.883 %	0.8446 %	0.80145 %	2432570.8389282227
8000	128	16	|	16	-1	squared_l2
0.654 %	0.7338 %	0.76063 %	0.757794 %	|	0.94 %	0.945 %	0.9252 %	0.945 %	0.9252 %	0.8957 %	4812495.231628418
8000	128	16	|	32	-1	squared_l2
0.671 %	0.7518 %	0.79024 %	0.80266 %	|	0.968 %	0.974 %	0.9688 %	0.974 %	0.9688 %	0.95274 %	9360728.740692139
8000	128	16	|	64	-1	squared_l2
0.683 %	0.7587 %	0.80313 %	0.824849 %	|	0.986 %	0.993 %	0.989 %	0.993 %	0.9891 %	0.98258 %	18226806.831359863
8000	128	16	|	128	-1	squared_l2
0.685 %	0.7616 %	0.80823 %	0.83402 %	|	0.991 %	0.998 %	0.9967 %	0.998 %	0.9968 %	0.99514 %	35457538.70010376
8000	128	16	|	256	-1	squared_l2
0.685 %	0.7627 %	0.80964 %	0.836969 %	|	0.992 %	0.999 %	0.9991 %	0.999 %	0.9992 %	0.99914 %	68590462.20779419
8000	64	16	|	1	-1	squared_l2
0.238 %	0.295 %	0.29755 %	0.277845 %	|	0.43 %	0.468 %	0.4121 %	0.471 %	0.4169 %	0.36858 %	170395.46966552734
8000	64	16	|	2	-1	squared_l2
0.286 %	0.3702 %	0.38953 %	0.380532 %	|	0.565 %	0.623 %	0.5662 %	0.626 %	0.5765 %	0.51855 %	330218.9826965332
8000	64	16	|	4	-1	squared_l2
0.316 %	0.4296 %	0.4667 %	0.475217 %	|	0.683 %	0.777 %	0.7089 %	0.78 %	0.7269 %	0.67188 %	647815.8950805664
8000	64	16	|	8	-1	squared_l2
0.342 %	0.4628 %	0.51624 %	0.543903 %	|	0.756 %	0.879 %	0.8187 %	0.883 %	0.8444 %	0.79611 %	1285260.8680725098
8000	64	16	|	16	-1	squared_l2
0.359 %	0.483 %	0.54615 %	0.588302 %	|	0.801 %	0.939 %	0.8911 %	0.945 %	0.925 %	0.88709 %	2534266.948699951
8000	64	16	|	32	-1	squared_l2
0.363 %	0.4916 %	0.56013 %	0.61225 %	|	0.821 %	0.967 %	0.9279 %	0.974 %	0.9685 %	0.94039 %	4941551.685333252
8000	64	16	|	64	-1	squared_l2
0.366 %	0.4947 %	0.56572 %	0.623513 %	|	0.832 %	0.986 %	0.9447 %	0.993 %	0.9888 %	0.96765 %	9590606.021881104
8000	64	16	|	128	-1	squared_l2
0.367 %	0.4955 %	0.56783 %	0.627993 %	|	0.836 %	0.991 %	0.9505 %	0.998 %	0.9965 %	0.97845 %	18689753.15093994
8000	64	16	|	256	-1	squared_l2
0.367 %	0.4958 %	0.56835 %	0.629252 %	|	0.837 %	0.992 %	0.952 %	0.999 %	0.9989 %	0.98187 %	36076983.83331299
8000	32	16	|	1	-1	squared_l2
0.136 %	0.2036 %	0.23037 %	0.237188 %	|	0.348 %	0.459 %	0.3765 %	0.471 %	0.416 %	0.35784 %	101349.44915771484
8000	32	16	|	2	-1	squared_l2
0.154 %	0.2413 %	0.28391 %	0.308694 %	|	0.429 %	0.598 %	0.4977 %	0.625 %	0.5741 %	0.49466 %	194003.48663330078
8000	32	16	|	4	-1	squared_l2
0.172 %	0.2677 %	0.32578 %	0.367954 %	|	0.496 %	0.735 %	0.5982 %	0.779 %	0.7209 %	0.62644 %	384064.76974487305
8000	32	16	|	8	-1	squared_l2
0.182 %	0.2835 %	0.35038 %	0.407449 %	|	0.545 %	0.813 %	0.6666 %	0.882 %	0.8336 %	0.72466 %	746046.9245910645
8000	32	16	|	16	-1	squared_l2
0.183 %	0.2896 %	0.36392 %	0.429923 %	|	0.558 %	0.855 %	0.7065 %	0.942 %	0.9085 %	0.78765 %	1457598.3047485352
8000	32	16	|	32	-1	squared_l2
0.183 %	0.2926 %	0.36943 %	0.440801 %	|	0.563 %	0.875 %	0.7236 %	0.97 %	0.9456 %	0.82047 %	2837950.7064819336
8000	32	16	|	64	-1	squared_l2
0.183 %	0.2939 %	0.37139 %	0.445365 %	|	0.567 %	0.886 %	0.7312 %	0.988 %	0.9617 %	0.83449 %	5525339.508056641
8000	32	16	|	128	-1	squared_l2
0.183 %	0.2942 %	0.37195 %	0.446786 %	|	0.567 %	0.889 %	0.733 %	0.992 %	0.9672 %	0.83896 %	10744637.01248169
8000	32	16	|	256	-1	squared_l2
0.183 %	0.2941 %	0.37199 %	0.447071 %	|	0.566 %	0.89 %	0.7334 %	0.993 %	0.9687 %	0.83991 %	20754525.184631348
