Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	128	16	|	1	-1	squared_l2
0.4581 %	0.46545 %	0.418064 %	0.3255399 %	|	0.5554 %	0.5556 %	0.49992 %	0.5556 %	0.49992 %	0.429442 %	14232.683181762695
250	128	16	|	2	-1	squared_l2
0.5892 %	0.61324 %	0.58091 %	0.4873796 %	|	0.7352 %	0.7355 %	0.67945 %	0.7355 %	0.67945 %	0.60816 %	19256.997108459473
250	128	16	|	4	-1	squared_l2
0.6848 %	0.727 %	0.71914 %	0.6516324 %	|	0.8756 %	0.8761 %	0.83615 %	0.8761 %	0.83615 %	0.774713 %	36807.58476257324
250	128	16	|	8	-1	squared_l2
0.7353 %	0.78981 %	0.807874 %	0.7847198 %	|	0.9589 %	0.9601 %	0.93832 %	0.9601 %	0.93832 %	0.901559 %	71758.5802078247
250	128	16	|	16	-1	squared_l2
0.7532 %	0.81367 %	0.846477 %	0.8588594 %	|	0.9917 %	0.993 %	0.98579 %	0.993 %	0.98579 %	0.971671 %	138779.66403961182
250	128	16	|	32	-1	squared_l2
0.7577 %	0.81918 %	0.857064 %	0.8846088 %	|	0.9982 %	0.9995 %	0.99843 %	0.9995 %	0.99843 %	0.995987 %	269518.3038711548
250	128	16	|	64	-1	squared_l2
0.7579 %	0.81993 %	0.858567 %	0.8892299 %	|	0.9987 %	1.0 %	0.99993 %	1.0 %	0.99993 %	0.999884 %	524221.9686508179
250	128	16	|	128	-1	squared_l2
0.7584 %	0.81999 %	0.8586 %	0.8894122 %	|	0.9987 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999997 %	1024646.4252471924
250	128	16	|	160	-1	squared_l2
0.7584 %	0.81999 %	0.858601 %	0.8894134 %	|	0.9987 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1253632.6169967651
250	128	16	|	192	-1	squared_l2
0.7584 %	0.81999 %	0.858601 %	0.8894134 %	|	0.9987 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1490966.7491912842
250	64	16	|	1	-1	squared_l2
0.3403 %	0.3913 %	0.382076 %	0.3189352 %	|	0.5418 %	0.5555 %	0.4983 %	0.5556 %	0.49992 %	0.429406 %	6008.338928222656
250	64	16	|	2	-1	squared_l2
0.4234 %	0.49116 %	0.506954 %	0.4648914 %	|	0.7113 %	0.7354 %	0.67632 %	0.7355 %	0.67945 %	0.608036 %	10834.193229675293
250	64	16	|	4	-1	squared_l2
0.4768 %	0.56246 %	0.599796 %	0.5960721 %	|	0.8396 %	0.876 %	0.83086 %	0.8761 %	0.83615 %	0.774436 %	20593.571662902832
250	64	16	|	8	-1	squared_l2
0.5049 %	0.59912 %	0.653491 %	0.6861389 %	|	0.9114 %	0.9598 %	0.93064 %	0.9601 %	0.93832 %	0.900963 %	38960.33763885498
250	64	16	|	16	-1	squared_l2
0.5115 %	0.61202 %	0.675541 %	0.7309832 %	|	0.9363 %	0.9927 %	0.97575 %	0.993 %	0.98579 %	0.97056 %	73540.3060913086
250	64	16	|	32	-1	squared_l2
0.5131 %	0.6149 %	0.681216 %	0.7457432 %	|	0.9408 %	0.9992 %	0.98745 %	0.9995 %	0.99843 %	0.994419 %	143677.13928222656
250	64	16	|	64	-1	squared_l2
0.5136 %	0.61502 %	0.681766 %	0.7480334 %	|	0.9412 %	0.9997 %	0.98874 %	1.0 %	0.99993 %	0.998178 %	279812.3598098755
250	64	16	|	128	-1	squared_l2
0.5135 %	0.61506 %	0.681757 %	0.7480773 %	|	0.941 %	0.9997 %	0.9888 %	1.0 %	1.0 %	0.998283 %	539521.2650299072
250	64	16	|	160	-1	squared_l2
0.5135 %	0.61506 %	0.681758 %	0.7480778 %	|	0.941 %	0.9997 %	0.9888 %	1.0 %	1.0 %	0.998286 %	670530.9152603149
250	64	16	|	192	-1	squared_l2
0.5135 %	0.61506 %	0.681758 %	0.7480779 %	|	0.941 %	0.9997 %	0.9888 %	1.0 %	1.0 %	0.998286 %	802263.3790969849
250	32	16	|	1	-1	squared_l2
0.2282 %	0.2884 %	0.31865 %	0.3032979 %	|	0.4662 %	0.5497 %	0.47842 %	0.5556 %	0.49978 %	0.427863 %	5217.0515060424805
250	32	16	|	2	-1	squared_l2
0.2767 %	0.34729 %	0.399666 %	0.4200189 %	|	0.5921 %	0.7229 %	0.63639 %	0.7354 %	0.67906 %	0.60346 %	7316.160202026367
250	32	16	|	4	-1	squared_l2
0.302 %	0.38623 %	0.454736 %	0.510496 %	|	0.6765 %	0.8558 %	0.76404 %	0.8757 %	0.83511 %	0.762296 %	12121.081352233887
250	32	16	|	8	-1	squared_l2
0.3159 %	0.40228 %	0.483621 %	0.5653876 %	|	0.7199 %	0.9334 %	0.838 %	0.9596 %	0.93634 %	0.876323 %	24675.750732421875
250	32	16	|	16	-1	squared_l2
0.3157 %	0.40712 %	0.493947 %	0.5897198 %	|	0.7304 %	0.9615 %	0.86697 %	0.9922 %	0.98264 %	0.932668 %	42597.079277038574
250	32	16	|	32	-1	squared_l2
0.3157 %	0.4078 %	0.495472 %	0.5958465 %	|	0.7313 %	0.9654 %	0.87198 %	0.9987 %	0.99454 %	0.948929 %	91682.48176574707
250	32	16	|	64	-1	squared_l2
0.3163 %	0.40759 %	0.495271 %	0.5960058 %	|	0.7316 %	0.9651 %	0.87196 %	0.9992 %	0.99572 %	0.950627 %	177286.64875030518
250	32	16	|	128	-1	squared_l2
0.3158 %	0.40759 %	0.495235 %	0.5958855 %	|	0.7317 %	0.9653 %	0.872 %	0.9992 %	0.99577 %	0.950583 %	350003.0279159546
250	32	16	|	160	-1	squared_l2
0.3158 %	0.40759 %	0.495236 %	0.5958859 %	|	0.7317 %	0.9653 %	0.872 %	0.9992 %	0.99577 %	0.950582 %	427630.30529022217
250	32	16	|	192	-1	squared_l2
0.3158 %	0.40759 %	0.495236 %	0.5958861 %	|	0.7317 %	0.9653 %	0.872 %	0.9992 %	0.99577 %	0.950582 %	510153.2459259033
