Program: faissGPU Topk: 1000 Num_split: 4 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	48	256	|	1	-1	squared_l2
0.11 %	0.119 %	0.1099 %	0.09506 %	|	0.11 %	0.11 %	0.119 %	0.11 %	0.119 %	0.1099 %	44446.372985839844
8000	48	256	|	2	-1	squared_l2
0.14 %	0.157 %	0.1464 %	0.12992 %	|	0.14 %	0.14 %	0.157 %	0.14 %	0.157 %	0.1464 %	41558.074951171875
8000	48	256	|	4	-1	squared_l2
0.18 %	0.198 %	0.1835 %	0.16441 %	|	0.18 %	0.18 %	0.198 %	0.18 %	0.198 %	0.1835 %	42820.93048095703
8000	48	256	|	8	-1	squared_l2
0.19 %	0.218 %	0.2104 %	0.1943 %	|	0.19 %	0.19 %	0.218 %	0.19 %	0.218 %	0.2104 %	46356.39190673828
8000	48	256	|	16	-1	squared_l2
0.21 %	0.235 %	0.2294 %	0.21938 %	|	0.21 %	0.21 %	0.235 %	0.21 %	0.235 %	0.2294 %	56872.65396118164
8000	48	256	|	32	-1	squared_l2
0.21 %	0.243 %	0.2398 %	0.23411 %	|	0.21 %	0.21 %	0.243 %	0.21 %	0.243 %	0.2398 %	69212.81814575195
8000	48	256	|	64	-1	squared_l2
0.21 %	0.245 %	0.246 %	0.24279 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.246 %	99551.58233642578
8000	48	256	|	128	-1	squared_l2
0.21 %	0.245 %	0.2482 %	0.24711 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.2482 %	152400.68435668945
8000	48	256	|	160	-1	squared_l2
0.21 %	0.245 %	0.249 %	0.24797 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.249 %	177026.27182006836
8000	48	256	|	192	-1	squared_l2
0.21 %	0.245 %	0.2492 %	0.24822 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.2492 %	200745.67794799805
8000	48	256	|	256	-1	squared_l2
0.21 %	0.245 %	0.2496 %	0.24864 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.2496 %	870142.0783996582
8000	24	256	|	1	-1	squared_l2
0.09 %	0.114 %	0.1091 %	0.09499 %	|	0.11 %	0.11 %	0.119 %	0.11 %	0.119 %	0.1099 %	41839.69497680664
8000	24	256	|	2	-1	squared_l2
0.1 %	0.148 %	0.1443 %	0.12965 %	|	0.14 %	0.14 %	0.157 %	0.14 %	0.157 %	0.1464 %	40645.599365234375
8000	24	256	|	4	-1	squared_l2
0.13 %	0.183 %	0.1795 %	0.16358 %	|	0.18 %	0.18 %	0.198 %	0.18 %	0.198 %	0.1835 %	43453.121185302734
8000	24	256	|	8	-1	squared_l2
0.13 %	0.2 %	0.2045 %	0.19265 %	|	0.19 %	0.19 %	0.218 %	0.19 %	0.218 %	0.2104 %	46771.14486694336
8000	24	256	|	16	-1	squared_l2
0.13 %	0.214 %	0.2212 %	0.21616 %	|	0.21 %	0.21 %	0.235 %	0.21 %	0.235 %	0.2294 %	55529.40368652344
8000	24	256	|	32	-1	squared_l2
0.13 %	0.22 %	0.2294 %	0.22939 %	|	0.21 %	0.21 %	0.243 %	0.21 %	0.243 %	0.2398 %	64910.221099853516
8000	24	256	|	64	-1	squared_l2
0.13 %	0.222 %	0.2343 %	0.23687 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.246 %	93690.20462036133
8000	24	256	|	128	-1	squared_l2
0.13 %	0.222 %	0.2358 %	0.24029 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.2482 %	142492.67578125
8000	24	256	|	160	-1	squared_l2
0.13 %	0.222 %	0.2365 %	0.24097 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.249 %	165568.6378479004
8000	24	256	|	192	-1	squared_l2
0.13 %	0.222 %	0.2367 %	0.24113 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.2492 %	186550.52185058594
8000	24	256	|	256	-1	squared_l2
0.13 %	0.222 %	0.2369 %	0.24142 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.2496 %	769929.2182922363
8000	12	256	|	1	-1	squared_l2
0.07 %	0.086 %	0.0928 %	0.08921 %	|	0.09 %	0.11 %	0.116 %	0.11 %	0.119 %	0.1091 %	41258.62121582031
8000	12	256	|	2	-1	squared_l2
0.08 %	0.104 %	0.1171 %	0.11796 %	|	0.11 %	0.14 %	0.152 %	0.14 %	0.156 %	0.1447 %	41673.75564575195
8000	12	256	|	4	-1	squared_l2
0.08 %	0.121 %	0.1362 %	0.14212 %	|	0.13 %	0.18 %	0.188 %	0.18 %	0.196 %	0.1797 %	39800.64392089844
8000	12	256	|	8	-1	squared_l2
