Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	48	256	|	1	-1	squared_l2
0.6 %	0.542 %	0.4771 %	0.38882 %	|	0.65 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	5153.155326843262
250	48	256	|	2	-1	squared_l2
0.71 %	0.698 %	0.6387 %	0.54968 %	|	0.78 %	0.78 %	0.734 %	0.78 %	0.734 %	0.6521 %	5591.106414794922
250	48	256	|	4	-1	squared_l2
0.84 %	0.81 %	0.7811 %	0.7135 %	|	0.93 %	0.93 %	0.863 %	0.93 %	0.863 %	0.8098 %	6190.586090087891
250	48	256	|	8	-1	squared_l2
0.88 %	0.877 %	0.8674 %	0.83053 %	|	1.0 %	1.0 %	0.956 %	1.0 %	0.956 %	0.9144 %	6720.519065856934
250	48	256	|	16	-1	squared_l2
0.88 %	0.893 %	0.9028 %	0.89657 %	|	1.0 %	1.0 %	0.989 %	1.0 %	0.989 %	0.9646 %	7754.302024841309
250	48	256	|	32	-1	squared_l2
0.88 %	0.897 %	0.9159 %	0.92603 %	|	1.0 %	1.0 %	0.994 %	1.0 %	0.994 %	0.9882 %	8242.321014404297
250	48	256	|	64	-1	squared_l2
0.88 %	0.9 %	0.9196 %	0.93685 %	|	1.0 %	1.0 %	0.999 %	1.0 %	0.999 %	0.998 %	10312.032699584961
250	48	256	|	128	-1	squared_l2
0.88 %	0.901 %	0.9202 %	0.93929 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	12089.133262634277
250	48	256	|	160	-1	squared_l2
0.88 %	0.901 %	0.9203 %	0.93946 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	12733.36410522461
250	48	256	|	192	-1	squared_l2
0.88 %	0.901 %	0.9203 %	0.93953 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	13597.941398620605
250	24	256	|	1	-1	squared_l2
0.49 %	0.455 %	0.4391 %	0.38161 %	|	0.65 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	4409.7185134887695
250	24	256	|	2	-1	squared_l2
0.55 %	0.57 %	0.5647 %	0.52637 %	|	0.78 %	0.78 %	0.734 %	0.78 %	0.734 %	0.6521 %	4691.290855407715
250	24	256	|	4	-1	squared_l2
0.64 %	0.637 %	0.663 %	0.65737 %	|	0.93 %	0.93 %	0.863 %	0.93 %	0.863 %	0.8098 %	5167.0074462890625
250	24	256	|	8	-1	squared_l2
0.65 %	0.68 %	0.7122 %	0.73801 %	|	1.0 %	1.0 %	0.956 %	1.0 %	0.956 %	0.9144 %	5570.673942565918
250	24	256	|	16	-1	squared_l2
0.64 %	0.687 %	0.7305 %	0.7756 %	|	1.0 %	1.0 %	0.989 %	1.0 %	0.989 %	0.9646 %	6266.73698425293
250	24	256	|	32	-1	squared_l2
0.64 %	0.688 %	0.7367 %	0.79116 %	|	1.0 %	1.0 %	0.994 %	1.0 %	0.994 %	0.9879 %	7217.35954284668
250	24	256	|	64	-1	squared_l2
0.64 %	0.688 %	0.7386 %	0.79694 %	|	1.0 %	1.0 %	0.999 %	1.0 %	0.999 %	0.9977 %	8591.699600219727
250	24	256	|	128	-1	squared_l2
0.64 %	0.688 %	0.739 %	0.79817 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	10478.782653808594
250	24	256	|	160	-1	squared_l2
0.64 %	0.688 %	0.7391 %	0.79827 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9997 %	11423.492431640625
250	24	256	|	192	-1	squared_l2
0.64 %	0.688 %	0.7391 %	0.79829 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9997 %	12785.31551361084
250	12	256	|	1	-1	squared_l2
0.32 %	0.33 %	0.3503 %	0.35126 %	|	0.56 %	0.62 %	0.539 %	0.65 %	0.56 %	0.4834 %	4588.460922241211
250	12	256	|	2	-1	squared_l2
0.3 %	0.403 %	0.43 %	0.456 %	|	0.68 %	0.75 %	0.703 %	0.78 %	0.734 %	0.6506 %	4816.937446594238
250	12	256	|	4	-1	squared_l2
0.33 %	0.42 %	0.482 %	0.5356 %	|	0.77 %	0.9 %	0.811 %	0.93 %	0.863 %	0.8036 %	5285.143852233887
250	12	256	|	8	-1	squared_l2
0.35 %	0.438 %	0.5058 %	0.579 %	|	0.81 %	0.95 %	0.881 %	1.0 %	0.956 %	0.9003 %	5661.916732788086
250	12	256	|	16	-1	squared_l2
0.34 %	0.442 %	0.5134 %	0.59536 %	|	0.81 %	0.95 %	0.898 %	1.0 %	0.989 %	0.9417 %	6360.888481140137
250	12	256	|	32	-1	squared_l2
0.34 %	0.442 %	0.5154 %	0.60124 %	|	0.81 %	0.95 %	0.9 %	1.0 %	0.994 %	0.9589 %	7313.51375579834
250	12	256	|	64	-1	squared_l2
0.34 %	0.442 %	0.5159 %	0.60309 %	|	0.81 %	0.95 %	0.901 %	1.0 %	0.999 %	0.965 %	8588.504791259766
250	12	256	|	128	-1	squared_l2
0.34 %	0.442 %	0.516 %	0.60339 %	|	0.81 %	0.95 %	0.902 %	1.0 %	1.0 %	0.966 %	10316.252708435059
250	12	256	|	160	-1	squared_l2
0.34 %	0.442 %	0.516 %	0.60342 %	|	0.81 %	0.95 %	0.902 %	1.0 %	1.0 %	0.9661 %	11076.116561889648
250	12	256	|	192	-1	squared_l2
0.34 %	0.442 %	0.516 %	0.60339 %	|	0.81 %	0.95 %	0.902 %	1.0 %	1.0 %	0.9661 %	11825.799942016602
