Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	50	256	|	1	-1	dot_product
0.38 %	0.424 %	0.4337 %	0.37211 %	|	0.52 %	0.52 %	0.481 %	0.52 %	0.481 %	0.4452 %	6193.447113037109
250	50	256	|	2	-1	dot_product
0.43 %	0.506 %	0.54 %	0.48366 %	|	0.63 %	0.63 %	0.584 %	0.63 %	0.584 %	0.5595 %	6568.431854248047
250	50	256	|	4	-1	dot_product
0.5 %	0.595 %	0.6575 %	0.61168 %	|	0.72 %	0.73 %	0.702 %	0.73 %	0.706 %	0.6949 %	7140.040397644043
250	50	256	|	8	-1	dot_product
0.52 %	0.645 %	0.7209 %	0.68745 %	|	0.77 %	0.79 %	0.777 %	0.79 %	0.781 %	0.7717 %	9062.21866607666
250	50	256	|	16	-1	dot_product
0.57 %	0.684 %	0.7585 %	0.73941 %	|	0.84 %	0.86 %	0.828 %	0.86 %	0.832 %	0.8189 %	8505.487442016602
250	50	256	|	32	-1	dot_product
0.56 %	0.697 %	0.7798 %	0.77386 %	|	0.86 %	0.88 %	0.859 %	0.88 %	0.863 %	0.8501 %	9322.190284729004
250	50	256	|	64	-1	dot_product
0.56 %	0.724 %	0.8062 %	0.80915 %	|	0.9 %	0.92 %	0.904 %	0.92 %	0.908 %	0.8887 %	10469.508171081543
250	50	256	|	128	-1	dot_product
0.57 %	0.737 %	0.8257 %	0.83982 %	|	0.91 %	0.94 %	0.941 %	0.94 %	0.946 %	0.9205 %	13459.920883178711
250	50	256	|	160	-1	dot_product
0.57 %	0.738 %	0.8349 %	0.85469 %	|	0.91 %	0.94 %	0.946 %	0.94 %	0.951 %	0.9364 %	14593.029022216797
250	50	256	|	192	-1	dot_product
0.57 %	0.74 %	0.8399 %	0.86363 %	|	0.92 %	0.95 %	0.951 %	0.95 %	0.956 %	0.9456 %	15403.67603302002
250	25	256	|	1	-1	dot_product
0.19 %	0.327 %	0.3909 %	0.36252 %	|	0.47 %	0.52 %	0.475 %	0.52 %	0.481 %	0.4451 %	4648.995399475098
250	25	256	|	2	-1	dot_product
0.19 %	0.375 %	0.4771 %	0.46362 %	|	0.53 %	0.63 %	0.577 %	0.63 %	0.584 %	0.5591 %	5316.13826751709
250	25	256	|	4	-1	dot_product
0.23 %	0.433 %	0.5654 %	0.56812 %	|	0.61 %	0.71 %	0.686 %	0.73 %	0.705 %	0.6934 %	6321.954727172852
250	25	256	|	8	-1	dot_product
0.26 %	0.468 %	0.6145 %	0.62367 %	|	0.65 %	0.77 %	0.754 %	0.79 %	0.78 %	0.7698 %	7271.552085876465
250	25	256	|	16	-1	dot_product
0.29 %	0.496 %	0.6439 %	0.66034 %	|	0.71 %	0.84 %	0.801 %	0.86 %	0.831 %	0.8164 %	7939.12410736084
250	25	256	|	32	-1	dot_product
0.29 %	0.504 %	0.6552 %	0.68257 %	|	0.7 %	0.86 %	0.826 %	0.88 %	0.862 %	0.846 %	8710.289001464844
250	25	256	|	64	-1	dot_product
0.29 %	0.518 %	0.6734 %	0.70663 %	|	0.71 %	0.9 %	0.864 %	0.92 %	0.907 %	0.8832 %	9756.994247436523
250	25	256	|	128	-1	dot_product
0.28 %	0.529 %	0.6847 %	0.7255 %	|	0.73 %	0.92 %	0.894 %	0.94 %	0.945 %	0.9128 %	11773.085594177246
250	25	256	|	160	-1	dot_product
0.28 %	0.53 %	0.6904 %	0.73484 %	|	0.73 %	0.92 %	0.897 %	0.94 %	0.949 %	0.9275 %	13031.196594238281
250	25	256	|	192	-1	dot_product
0.29 %	0.531 %	0.6925 %	0.7405 %	|	0.74 %	0.93 %	0.9 %	0.95 %	0.954 %	0.9361 %	14164.233207702637
250	10	256	|	1	-1	dot_product
0.1 %	0.174 %	0.2894 %	0.31462 %	|	0.32 %	0.49 %	0.419 %	0.52 %	0.477 %	0.4366 %	4754.734039306641
250	10	256	|	2	-1	dot_product
0.09 %	0.203 %	0.3445 %	0.38009 %	|	0.36 %	0.57 %	0.497 %	0.63 %	0.577 %	0.5422 %	5324.888229370117
250	10	256	|	4	-1	dot_product
0.09 %	0.229 %	0.3892 %	0.43835 %	|	0.39 %	0.63 %	0.573 %	0.72 %	0.688 %	0.6572 %	6277.632713317871
250	10	256	|	8	-1	dot_product
0.09 %	0.241 %	0.4127 %	0.46418 %	|	0.41 %	0.67 %	0.615 %	0.78 %	0.758 %	0.7186 %	7181.382179260254
250	10	256	|	16	-1	dot_product
0.11 %	0.252 %	0.4267 %	0.48074 %	|	0.43 %	0.71 %	0.645 %	0.84 %	0.799 %	0.755 %	7806.4680099487305
250	10	256	|	32	-1	dot_product
0.11 %	0.253 %	0.4307 %	0.48793 %	|	0.43 %	0.71 %	0.655 %	0.86 %	0.825 %	0.7708 %	8586.09676361084
250	10	256	|	64	-1	dot_product
0.1 %	0.258 %	0.438 %	0.49654 %	|	0.43 %	0.73 %	0.674 %	0.9 %	0.855 %	0.7944 %	9705.448150634766
250	10	256	|	128	-1	dot_product
0.1 %	0.26 %	0.4425 %	0.50277 %	|	0.43 %	0.74 %	0.695 %	0.92 %	0.881 %	0.8118 %	11625.218391418457
250	10	256	|	160	-1	dot_product
0.1 %	0.26 %	0.4433 %	0.50579 %	|	0.43 %	0.74 %	0.695 %	0.92 %	0.882 %	0.8199 %	12497.663497924805
250	10	256	|	192	-1	dot_product
0.1 %	0.26 %	0.444 %	0.50732 %	|	0.43 %	0.74 %	0.695 %	0.93 %	0.885 %	0.8245 %	13214.755058288574
