Program: faissGPU Topk: 1000 Num_split: 4 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	64	256	|	1	-1	squared_l2
0.06 %	0.093 %	0.0875 %	0.07962 %	|	0.08 %	0.08 %	0.093 %	0.08 %	0.093 %	0.0876 %	47618.00765991211
8000	64	256	|	2	-1	squared_l2
0.09 %	0.143 %	0.1274 %	0.11794 %	|	0.11 %	0.11 %	0.143 %	0.11 %	0.143 %	0.1275 %	50473.30856323242
8000	64	256	|	4	-1	squared_l2
0.13 %	0.177 %	0.1674 %	0.15746 %	|	0.15 %	0.15 %	0.177 %	0.15 %	0.177 %	0.1675 %	47340.77453613281
8000	64	256	|	8	-1	squared_l2
0.14 %	0.2 %	0.1959 %	0.18985 %	|	0.17 %	0.17 %	0.2 %	0.17 %	0.2 %	0.196 %	51600.64697265625
8000	64	256	|	16	-1	squared_l2
0.17 %	0.226 %	0.2187 %	0.21389 %	|	0.21 %	0.21 %	0.227 %	0.21 %	0.227 %	0.2188 %	61582.75604248047
8000	64	256	|	32	-1	squared_l2
0.17 %	0.234 %	0.2326 %	0.23039 %	|	0.21 %	0.21 %	0.235 %	0.21 %	0.235 %	0.2327 %	75216.38870239258
8000	64	256	|	64	-1	squared_l2
0.18 %	0.24 %	0.2403 %	0.24181 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2404 %	107815.17028808594
8000	64	256	|	128	-1	squared_l2
0.18 %	0.24 %	0.2426 %	0.24723 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2427 %	166765.97595214844
8000	64	256	|	160	-1	squared_l2
0.18 %	0.24 %	0.2431 %	0.24831 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2432 %	750956.5353393555
8000	64	256	|	192	-1	squared_l2
0.18 %	0.24 %	0.2435 %	0.24883 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2436 %	994018.6500549316
8000	64	256	|	256	-1	squared_l2
0.18 %	0.24 %	0.244 %	0.24954 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2441 %	1330149.745941162
8000	32	256	|	1	-1	squared_l2
0.07 %	0.092 %	0.0871 %	0.07959 %	|	0.08 %	0.08 %	0.093 %	0.08 %	0.093 %	0.0876 %	41296.10061645508
8000	32	256	|	2	-1	squared_l2
0.08 %	0.14 %	0.1267 %	0.11788 %	|	0.11 %	0.11 %	0.143 %	0.11 %	0.143 %	0.1275 %	39324.4743347168
8000	32	256	|	4	-1	squared_l2
0.11 %	0.172 %	0.1661 %	0.15731 %	|	0.15 %	0.15 %	0.177 %	0.15 %	0.177 %	0.1675 %	40847.3014831543
8000	32	256	|	8	-1	squared_l2
0.12 %	0.195 %	0.1938 %	0.18956 %	|	0.17 %	0.17 %	0.2 %	0.17 %	0.2 %	0.196 %	45107.84149169922
8000	32	256	|	16	-1	squared_l2
0.14 %	0.218 %	0.2152 %	0.21324 %	|	0.21 %	0.21 %	0.227 %	0.21 %	0.227 %	0.2188 %	54850.38757324219
8000	32	256	|	32	-1	squared_l2
0.14 %	0.222 %	0.228 %	0.22935 %	|	0.21 %	0.21 %	0.235 %	0.21 %	0.235 %	0.2327 %	68396.09146118164
8000	32	256	|	64	-1	squared_l2
0.15 %	0.227 %	0.2346 %	0.24022 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2404 %	99147.6058959961
8000	32	256	|	128	-1	squared_l2
0.15 %	0.227 %	0.2363 %	0.24499 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2427 %	152078.05633544922
8000	32	256	|	160	-1	squared_l2
