Program: faiss Topk: 1000 Num_split: 4 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	96	16	|	1	-1	squared_l2
0.11 %	0.119 %	0.1099 %	0.09506 %	|	0.11 %	0.11 %	0.119 %	0.11 %	0.119 %	0.1099 %	259364.98641967773
8000	96	16	|	2	-1	squared_l2
0.14 %	0.157 %	0.1464 %	0.12992 %	|	0.14 %	0.14 %	0.157 %	0.14 %	0.157 %	0.1464 %	463188.2667541504
8000	96	16	|	4	-1	squared_l2
0.18 %	0.198 %	0.1835 %	0.16441 %	|	0.18 %	0.18 %	0.198 %	0.18 %	0.198 %	0.1835 %	904594.9935913086
8000	96	16	|	8	-1	squared_l2
0.19 %	0.218 %	0.2104 %	0.1943 %	|	0.19 %	0.19 %	0.218 %	0.19 %	0.218 %	0.2104 %	1786206.0546875
8000	96	16	|	16	-1	squared_l2
0.19 %	0.235 %	0.2294 %	0.21938 %	|	0.21 %	0.21 %	0.235 %	0.21 %	0.235 %	0.2294 %	3477165.699005127
8000	96	16	|	32	-1	squared_l2
0.19 %	0.243 %	0.2398 %	0.23411 %	|	0.21 %	0.21 %	0.243 %	0.21 %	0.243 %	0.2398 %	6796646.690368652
8000	96	16	|	64	-1	squared_l2
0.19 %	0.245 %	0.246 %	0.24279 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.246 %	13207887.744903564
8000	96	16	|	128	-1	squared_l2
0.19 %	0.245 %	0.2482 %	0.24711 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.2482 %	25594537.830352783
8000	96	16	|	256	-1	squared_l2
0.19 %	0.245 %	0.2496 %	0.24864 %	|	0.21 %	0.21 %	0.245 %	0.21 %	0.245 %	0.2496 %	49370501.89971924
8000	48	16	|	1	-1	squared_l2
0.09 %	0.113 %	0.1072 %	0.09489 %	|	0.11 %	0.11 %	0.119 %	0.11 %	0.119 %	0.1099 %	131183.3381652832
8000	48	16	|	2	-1	squared_l2
0.12 %	0.144 %	0.1411 %	0.12947 %	|	0.14 %	0.14 %	0.157 %	0.14 %	0.157 %	0.1464 %	249880.69534301758
8000	48	16	|	4	-1	squared_l2
0.14 %	0.178 %	0.1747 %	0.16298 %	|	0.18 %	0.18 %	0.198 %	0.18 %	0.198 %	0.1835 %	483635.13946533203
8000	48	16	|	8	-1	squared_l2
0.15 %	0.191 %	0.1972 %	0.19166 %	|	0.19 %	0.19 %	0.217 %	0.19 %	0.218 %	0.2104 %	950384.4261169434
8000	48	16	|	16	-1	squared_l2
0.17 %	0.202 %	0.2136 %	0.21452 %	|	0.21 %	0.21 %	0.234 %	0.21 %	0.235 %	0.2294 %	1839999.008178711
8000	48	16	|	32	-1	squared_l2
0.17 %	0.209 %	0.2218 %	0.22704 %	|	0.21 %	0.21 %	0.242 %	0.21 %	0.243 %	0.2398 %	3591571.2356567383
8000	48	16	|	64	-1	squared_l2
0.17 %	0.211 %	0.2266 %	0.23412 %	|	0.21 %	0.21 %	0.244 %	0.21 %	0.245 %	0.246 %	6982490.825653076
8000	48	16	|	128	-1	squared_l2
0.17 %	0.211 %	0.2281 %	0.23744 %	|	0.21 %	0.21 %	0.244 %	0.21 %	0.245 %	0.2481 %	13538694.667816162
8000	48	16	|	256	-1	squared_l2
0.17 %	0.211 %	0.229 %	0.23858 %	|	0.21 %	0.21 %	0.244 %	0.21 %	0.245 %	0.2495 %	26106689.834594727
8000	24	16	|	1	-1	squared_l2
0.04 %	0.085 %	0.0869 %	0.08613 %	|	0.11 %	0.11 %	0.111 %	0.11 %	0.119 %	0.1076 %	79713.24920654297
8000	24	16	|	2	-1	squared_l2
0.05 %	0.103 %	0.1094 %	0.11331 %	|	0.12 %	0.14 %	0.145 %	0.14 %	0.157 %	0.1434 %	149066.54357910156
8000	24	16	|	4	-1	squared_l2
0.06 %	0.115 %	0.1273 %	0.13554 %	|	0.15 %	0.18 %	0.178 %	0.18 %	0.198 %	0.1788 %	286179.256439209
8000	24	16	|	8	-1	squared_l2
0.07 %	0.121 %	0.1375 %	0.15235 %	|	0.16 %	0.19 %	0.192 %	0.19 %	0.218 %	0.2032 %	561767.7688598633
8000	24	16	|	16	-1	squared_l2
0.07 %	0.125 %	0.1426 %	0.16351 %	|	0.18 %	0.21 %	0.205 %	0.21 %	0.234 %	0.2185 %	1089752.3880004883
8000	24	16	|	32	-1	squared_l2
0.07 %	0.125 %	0.1443 %	0.16783 %	|	0.18 %	0.21 %	0.209 %	0.21 %	0.242 %	0.2252 %	2098419.47555542
8000	24	16	|	64	-1	squared_l2
0.07 %	0.125 %	0.1452 %	0.16988 %	|	0.18 %	0.21 %	0.21 %	0.21 %	0.244 %	0.2289 %	4077507.5912475586
8000	24	16	|	128	-1	squared_l2
0.07 %	0.125 %	0.1452 %	0.17065 %	|	0.18 %	0.21 %	0.21 %	0.21 %	0.244 %	0.23 %	7905770.301818848
8000	24	16	|	256	-1	squared_l2
0.07 %	0.125 %	0.1452 %	0.17082 %	|	0.18 %	0.21 %	0.21 %	0.21 %	0.244 %	0.2304 %	15234178.829193115
