Program: faiss Topk: 1000 Num_split: 4 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	128	16	|	1	-1	squared_l2
0.07 %	0.093 %	0.0876 %	0.07962 %	|	0.08 %	0.08 %	0.093 %	0.08 %	0.093 %	0.0876 %	332100.6774902344
8000	128	16	|	2	-1	squared_l2
0.1 %	0.143 %	0.1275 %	0.11794 %	|	0.11 %	0.11 %	0.143 %	0.11 %	0.143 %	0.1275 %	616552.3529052734
8000	128	16	|	4	-1	squared_l2
0.13 %	0.177 %	0.1675 %	0.15746 %	|	0.15 %	0.15 %	0.177 %	0.15 %	0.177 %	0.1675 %	1225712.9669189453
8000	128	16	|	8	-1	squared_l2
0.14 %	0.199 %	0.196 %	0.18985 %	|	0.17 %	0.17 %	0.2 %	0.17 %	0.2 %	0.196 %	2432570.8389282227
8000	128	16	|	16	-1	squared_l2
0.17 %	0.225 %	0.2188 %	0.21389 %	|	0.21 %	0.21 %	0.227 %	0.21 %	0.227 %	0.2188 %	4812495.231628418
8000	128	16	|	32	-1	squared_l2
0.17 %	0.233 %	0.2327 %	0.23039 %	|	0.21 %	0.21 %	0.235 %	0.21 %	0.235 %	0.2327 %	9360728.740692139
8000	128	16	|	64	-1	squared_l2
0.18 %	0.239 %	0.2404 %	0.24181 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2404 %	18226806.831359863
8000	128	16	|	128	-1	squared_l2
0.18 %	0.239 %	0.2427 %	0.24723 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2427 %	35457538.70010376
8000	128	16	|	256	-1	squared_l2
0.18 %	0.239 %	0.2441 %	0.24954 %	|	0.22 %	0.22 %	0.241 %	0.22 %	0.241 %	0.2441 %	68590462.20779419
8000	64	16	|	1	-1	squared_l2
0.05 %	0.085 %	0.0848 %	0.07921 %	|	0.07 %	0.08 %	0.093 %	0.08 %	0.093 %	0.0876 %	170395.46966552734
8000	64	16	|	2	-1	squared_l2
0.05 %	0.126 %	0.1217 %	0.11706 %	|	0.1 %	0.11 %	0.143 %	0.11 %	0.143 %	0.1275 %	330218.9826965332
8000	64	16	|	4	-1	squared_l2
0.07 %	0.148 %	0.1577 %	0.15526 %	|	0.13 %	0.14 %	0.176 %	0.15 %	0.177 %	0.1675 %	647815.8950805664
8000	64	16	|	8	-1	squared_l2
0.07 %	0.164 %	0.1817 %	0.18591 %	|	0.15 %	0.16 %	0.199 %	0.17 %	0.2 %	0.196 %	1285260.8680725098
8000	64	16	|	16	-1	squared_l2
0.08 %	0.179 %	0.1999 %	0.20786 %	|	0.18 %	0.2 %	0.226 %	0.21 %	0.227 %	0.2188 %	2534266.948699951
8000	64	16	|	32	-1	squared_l2
0.08 %	0.184 %	0.2102 %	0.22206 %	|	0.17 %	0.2 %	0.234 %	0.21 %	0.235 %	0.2327 %	4941551.685333252
8000	64	16	|	64	-1	squared_l2
0.08 %	0.188 %	0.216 %	0.23126 %	|	0.18 %	0.21 %	0.24 %	0.22 %	0.241 %	0.2404 %	9590606.021881104
8000	64	16	|	128	-1	squared_l2
0.08 %	0.188 %	0.2173 %	0.23542 %	|	0.18 %	0.21 %	0.24 %	0.22 %	0.241 %	0.2427 %	18689753.15093994
8000	64	16	|	256	-1	squared_l2
0.08 %	0.188 %	0.2182 %	0.23682 %	|	0.18 %	0.21 %	0.24 %	0.22 %	0.241 %	0.2441 %	36076983.83331299
8000	32	16	|	1	-1	squared_l2
0.02 %	0.069 %	0.0764 %	0.07629 %	|	0.06 %	0.08 %	0.093 %	0.08 %	0.093 %	0.0872 %	101349.44915771484
8000	32	16	|	2	-1	squared_l2
0.03 %	0.098 %	0.1039 %	0.11025 %	|	0.08 %	0.11 %	0.138 %	0.11 %	0.143 %	0.1266 %	194003.48663330078
8000	32	16	|	4	-1	squared_l2
0.03 %	0.109 %	0.1285 %	0.14253 %	|	0.1 %	0.15 %	0.168 %	0.15 %	0.177 %	0.166 %	384064.76974487305
8000	32	16	|	8	-1	squared_l2
0.04 %	0.12 %	0.1448 %	0.1656 %	|	0.12 %	0.17 %	0.189 %	0.17 %	0.2 %	0.1931 %	746046.9245910645
8000	32	16	|	16	-1	squared_l2
0.04 %	0.124 %	0.1537 %	0.18064 %	|	0.13 %	0.19 %	0.208 %	0.21 %	0.227 %	0.2139 %	1457598.3047485352
8000	32	16	|	32	-1	squared_l2
0.04 %	0.125 %	0.1583 %	0.18868 %	|	0.13 %	0.19 %	0.214 %	0.21 %	0.235 %	0.2262 %	2837950.7064819336
8000	32	16	|	64	-1	squared_l2
0.04 %	0.126 %	0.1601 %	0.19321 %	|	0.13 %	0.2 %	0.218 %	0.22 %	0.239 %	0.2326 %	5525339.508056641
8000	32	16	|	128	-1	squared_l2
0.04 %	0.126 %	0.1605 %	0.19477 %	|	0.13 %	0.2 %	0.218 %	0.22 %	0.239 %	0.234 %	10744637.01248169
8000	32	16	|	256	-1	squared_l2
0.04 %	0.126 %	0.1608 %	0.19514 %	|	0.13 %	0.2 %	0.218 %	0.22 %	0.239 %	0.2349 %	20754525.184631348
