Program: scann Topk: 1000 Num_split: 20 Batch: 1
L	Threashold	m	|	w	r	Metric
8000	0.2	96	|	1	-1	squared_l2
0.03 %	0.021 %	0.0205 %	0.01764 %	|	0.03 %	0.03 %	0.021 %	0.03 %	0.021 %	0.0205 %	52644.72961425781
8000	0.2	96	|	2	-1	squared_l2
0.03 %	0.031 %	0.0276 %	0.02488 %	|	0.03 %	0.03 %	0.031 %	0.03 %	0.031 %	0.0276 %	60718.536376953125
8000	0.2	96	|	4	-1	squared_l2
0.05 %	0.041 %	0.0344 %	0.03196 %	|	0.05 %	0.05 %	0.041 %	0.05 %	0.041 %	0.0344 %	75066.56646728516
8000	0.2	96	|	8	-1	squared_l2
0.05 %	0.043 %	0.0404 %	0.03895 %	|	0.05 %	0.05 %	0.043 %	0.05 %	0.043 %	0.0404 %	99173.06900024414
8000	0.2	96	|	16	-1	squared_l2
0.05 %	0.046 %	0.0446 %	0.04404 %	|	0.05 %	0.05 %	0.046 %	0.05 %	0.046 %	0.0446 %	142913.818359375
8000	0.2	96	|	32	-1	squared_l2
0.05 %	0.049 %	0.0476 %	0.04733 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0476 %	225244.04525756836
8000	0.2	96	|	64	-1	squared_l2
0.05 %	0.049 %	0.0485 %	0.0489 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0485 %	381410.5987548828
8000	0.2	96	|	128	-1	squared_l2
0.05 %	0.049 %	0.0489 %	0.04968 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0489 %	681204.7958374023
8000	0.2	96	|	256	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05001 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	1262222.7668762207
8000	0.2	48	|	1	-1	squared_l2
0.03 %	0.021 %	0.0201 %	0.01764 %	|	0.03 %	0.03 %	0.021 %	0.03 %	0.021 %	0.0205 %	50310.611724853516
8000	0.2	48	|	2	-1	squared_l2
0.03 %	0.031 %	0.0267 %	0.02487 %	|	0.03 %	0.03 %	0.031 %	0.03 %	0.031 %	0.0276 %	55992.12646484375
8000	0.2	48	|	4	-1	squared_l2
0.03 %	0.041 %	0.0333 %	0.03189 %	|	0.05 %	0.05 %	0.041 %	0.05 %	0.041 %	0.0344 %	65984.24911499023
8000	0.2	48	|	8	-1	squared_l2
0.03 %	0.042 %	0.0392 %	0.03876 %	|	0.05 %	0.05 %	0.043 %	0.05 %	0.043 %	0.0404 %	81344.6044921875
8000	0.2	48	|	16	-1	squared_l2
0.03 %	0.044 %	0.0431 %	0.04373 %	|	0.05 %	0.05 %	0.046 %	0.05 %	0.046 %	0.0446 %	107779.97970581055
8000	0.2	48	|	32	-1	squared_l2
0.02 %	0.047 %	0.0456 %	0.0469 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0476 %	156643.86749267578
8000	0.2	48	|	64	-1	squared_l2
0.02 %	0.047 %	0.0463 %	0.04838 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0485 %	246672.6303100586
8000	0.2	48	|	128	-1	squared_l2
0.02 %	0.047 %	0.0467 %	0.04912 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0489 %	414487.361907959
8000	0.2	48	|	256	-1	squared_l2
0.02 %	0.047 %	0.0468 %	0.04942 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	740829.9446105957
8000	0.2	24	|	1	-1	squared_l2
0.02 %	0.01 %	0.0161 %	0.01684 %	|	0.02 %	0.03 %	0.019 %	0.03 %	0.021 %	0.02 %	48700.809478759766
8000	0.2	24	|	2	-1	squared_l2
0.02 %	0.017 %	0.02 %	0.023 %	|	0.02 %	0.03 %	0.028 %	0.03 %	0.031 %	0.027 %	53255.08117675781
8000	0.2	24	|	4	-1	squared_l2
0.02 %	0.021 %	0.0227 %	0.02787 %	|	0.03 %	0.05 %	0.038 %	0.05 %	0.041 %	0.0327 %	60547.828674316406
8000	0.2	24	|	8	-1	squared_l2
0.02 %	0.02 %	0.0245 %	0.03176 %	|	0.03 %	0.05 %	0.038 %	0.05 %	0.043 %	0.0374 %	71663.85650634766
8000	0.2	24	|	16	-1	squared_l2
0.02 %	0.021 %	0.0246 %	0.03368 %	|	0.03 %	0.04 %	0.038 %	0.05 %	0.046 %	0.0404 %	88977.81372070312
8000	0.2	24	|	32	-1	squared_l2
0.02 %	0.02 %	0.0251 %	0.03446 %	|	0.02 %	0.04 %	0.04 %	0.05 %	0.049 %	0.0423 %	117733.95538330078
8000	0.2	24	|	64	-1	squared_l2
0.02 %	0.02 %	0.0247 %	0.03438 %	|	0.02 %	0.04 %	0.04 %	0.05 %	0.047 %	0.0422 %	172138.69094848633
8000	0.2	24	|	128	-1	squared_l2
0.02 %	0.02 %	0.0243 %	0.03426 %	|	0.02 %	0.04 %	0.038 %	0.05 %	0.047 %	0.0421 %	265777.587890625
8000	0.2	24	|	256	-1	squared_l2
0.02 %	0.019 %	0.0245 %	0.03404 %	|	0.02 %	0.04 %	0.039 %	0.05 %	0.047 %	0.0422 %	444935.79864501953
