Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
250	0.2	96	|	1	-1	squared_l2
0.4 %	0.482 %	0.4364 %	0.35862 %	|	0.56 %	0.56 %	0.52 %	0.56 %	0.52 %	0.4493 %	1637.7925872802734
250	0.2	96	|	2	-1	squared_l2
0.57 %	0.638 %	0.6178 %	0.53301 %	|	0.78 %	0.78 %	0.706 %	0.78 %	0.706 %	0.6437 %	1439.7859573364258
250	0.2	96	|	4	-1	squared_l2
0.66 %	0.748 %	0.7413 %	0.68473 %	|	0.9 %	0.9 %	0.846 %	0.9 %	0.846 %	0.7952 %	1884.317398071289
250	0.2	96	|	8	-1	squared_l2
0.72 %	0.809 %	0.8204 %	0.80222 %	|	0.97 %	0.97 %	0.929 %	0.97 %	0.929 %	0.8958 %	2562.0460510253906
250	0.2	96	|	16	-1	squared_l2
0.73 %	0.839 %	0.8705 %	0.87822 %	|	1.0 %	1.0 %	0.988 %	1.0 %	0.988 %	0.9666 %	3741.3835525512695
250	0.2	96	|	32	-1	squared_l2
0.73 %	0.847 %	0.8848 %	0.90552 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9902 %	5896.902084350586
250	0.2	96	|	64	-1	squared_l2
0.73 %	0.847 %	0.8888 %	0.91496 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9986 %	9883.403778076172
250	0.2	96	|	128	-1	squared_l2
0.73 %	0.846 %	0.8894 %	0.91743 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	17751.288414001465
250	0.2	96	|	160	-1	squared_l2
0.73 %	0.846 %	0.8894 %	0.9176 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	22028.398513793945
250	0.2	96	|	192	-1	squared_l2
0.73 %	0.846 %	0.8894 %	0.91764 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	26361.06014251709
250	0.2	48	|	1	-1	squared_l2
0.31 %	0.382 %	0.3823 %	0.3446 %	|	0.51 %	0.56 %	0.519 %	0.56 %	0.52 %	0.4493 %	957.489013671875
250	0.2	48	|	2	-1	squared_l2
0.41 %	0.48 %	0.5114 %	0.49848 %	|	0.71 %	0.78 %	0.703 %	0.78 %	0.706 %	0.6436 %	1241.3263320922852
250	0.2	48	|	4	-1	squared_l2
0.45 %	0.537 %	0.5893 %	0.61115 %	|	0.83 %	0.9 %	0.84 %	0.9 %	0.846 %	0.7947 %	1547.8134155273438
250	0.2	48	|	8	-1	squared_l2
0.44 %	0.567 %	0.6301 %	0.6871 %	|	0.89 %	0.97 %	0.921 %	0.97 %	0.929 %	0.895 %	1953.4111022949219
250	0.2	48	|	16	-1	squared_l2
0.46 %	0.583 %	0.6534 %	0.72849 %	|	0.89 %	1.0 %	0.979 %	1.0 %	0.988 %	0.9652 %	2619.0757751464844
250	0.2	48	|	32	-1	squared_l2
0.46 %	0.587 %	0.6595 %	0.74227 %	|	0.89 %	1.0 %	0.988 %	1.0 %	0.997 %	0.9884 %	3646.0161209106445
250	0.2	48	|	64	-1	squared_l2
0.46 %	0.587 %	0.6612 %	0.74693 %	|	0.89 %	1.0 %	0.991 %	1.0 %	1.0 %	0.9968 %	5601.334571838379
250	0.2	48	|	128	-1	squared_l2
0.46 %	0.587 %	0.6616 %	0.74789 %	|	0.89 %	1.0 %	0.99 %	1.0 %	1.0 %	0.9981 %	9609.93766784668
250	0.2	48	|	160	-1	squared_l2
0.46 %	0.587 %	0.6615 %	0.74794 %	|	0.89 %	1.0 %	0.99 %	1.0 %	1.0 %	0.9981 %	11720.22819519043
250	0.2	48	|	192	-1	squared_l2
0.46 %	0.587 %	0.6615 %	0.74792 %	|	0.89 %	1.0 %	0.99 %	1.0 %	1.0 %	0.9981 %	14005.613327026367
250	0.2	24	|	1	-1	squared_l2
0.2 %	0.2 %	0.2648 %	0.30387 %	|	0.39 %	0.52 %	0.439 %	0.56 %	0.52 %	0.4411 %	943.3746337890625
250	0.2	24	|	2	-1	squared_l2
0.21 %	0.241 %	0.3298 %	0.40536 %	|	0.51 %	0.7 %	0.566 %	0.78 %	0.703 %	0.6227 %	1169.8484420776367
250	0.2	24	|	4	-1	squared_l2
0.2 %	0.26 %	0.3612 %	0.46126 %	|	0.55 %	0.81 %	0.647 %	0.9 %	0.836 %	0.7479 %	1409.5783233642578
250	0.2	24	|	8	-1	squared_l2
0.21 %	0.263 %	0.3721 %	0.49397 %	|	0.54 %	0.86 %	0.683 %	0.96 %	0.91 %	0.8194 %	1705.1219940185547
250	0.2	24	|	16	-1	squared_l2
0.23 %	0.263 %	0.3776 %	0.50591 %	|	0.57 %	0.89 %	0.706 %	0.98 %	0.966 %	0.8627 %	2112.2217178344727
250	0.2	24	|	32	-1	squared_l2
0.23 %	0.261 %	0.3775 %	0.5073 %	|	0.56 %	0.89 %	0.709 %	0.98 %	0.973 %	0.8724 %	2724.3852615356445
250	0.2	24	|	64	-1	squared_l2
0.23 %	0.261 %	0.3781 %	0.50579 %	|	0.56 %	0.89 %	0.709 %	0.98 %	0.975 %	0.8739 %	3757.9774856567383
250	0.2	24	|	128	-1	squared_l2
0.23 %	0.261 %	0.3779 %	0.50498 %	|	0.56 %	0.89 %	0.708 %	0.98 %	0.974 %	0.873 %	5814.576148986816
250	0.2	24	|	160	-1	squared_l2
0.23 %	0.261 %	0.3778 %	0.5049 %	|	0.56 %	0.89 %	0.707 %	0.98 %	0.974 %	0.873 %	6962.6569747924805
250	0.2	24	|	192	-1	squared_l2
0.23 %	0.261 %	0.3778 %	0.50481 %	|	0.56 %	0.89 %	0.707 %	0.98 %	0.974 %	0.8729 %	8213.472366333008
