Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
250	0.2	100	|	1	-1	dot_product
0.41 %	0.438 %	0.431 %	0.35034 %	|	0.48 %	0.48 %	0.471 %	0.48 %	0.471 %	0.4451 %	1297.3546981811523
250	0.2	100	|	2	-1	dot_product
0.53 %	0.543 %	0.5377 %	0.46267 %	|	0.62 %	0.62 %	0.592 %	0.62 %	0.592 %	0.5618 %	1370.835304260254
250	0.2	100	|	4	-1	dot_product
0.62 %	0.627 %	0.6342 %	0.57177 %	|	0.73 %	0.73 %	0.698 %	0.73 %	0.698 %	0.6753 %	1801.3238906860352
250	0.2	100	|	8	-1	dot_product
0.71 %	0.704 %	0.7156 %	0.67032 %	|	0.83 %	0.83 %	0.802 %	0.83 %	0.802 %	0.7758 %	2590.3701782226562
250	0.2	100	|	16	-1	dot_product
0.75 %	0.751 %	0.776 %	0.7462 %	|	0.87 %	0.87 %	0.87 %	0.87 %	0.87 %	0.8544 %	4118.561744689941
250	0.2	100	|	32	-1	dot_product
0.8 %	0.793 %	0.8193 %	0.80859 %	|	0.93 %	0.93 %	0.93 %	0.93 %	0.93 %	0.9187 %	7295.465469360352
250	0.2	100	|	64	-1	dot_product
0.84 %	0.817 %	0.847 %	0.85242 %	|	0.98 %	0.98 %	0.974 %	0.98 %	0.974 %	0.9664 %	13799.595832824707
250	0.2	100	|	128	-1	dot_product
0.86 %	0.829 %	0.8606 %	0.87505 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9939 %	26045.966148376465
250	0.2	100	|	160	-1	dot_product
0.86 %	0.831 %	0.8613 %	0.87804 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.998 %	31967.06771850586
250	0.2	100	|	192	-1	dot_product
0.86 %	0.831 %	0.8614 %	0.8793 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9994 %	37989.40181732178
250	0.2	50	|	1	-1	dot_product
0.29 %	0.345 %	0.3711 %	0.33479 %	|	0.47 %	0.48 %	0.469 %	0.48 %	0.471 %	0.4451 %	980.1626205444336
250	0.2	50	|	2	-1	dot_product
0.36 %	0.411 %	0.4444 %	0.42734 %	|	0.6 %	0.62 %	0.59 %	0.62 %	0.592 %	0.5618 %	1111.1021041870117
250	0.2	50	|	4	-1	dot_product
0.42 %	0.468 %	0.5052 %	0.50371 %	|	0.71 %	0.73 %	0.694 %	0.73 %	0.698 %	0.6749 %	1334.214210510254
250	0.2	50	|	8	-1	dot_product
0.47 %	0.519 %	0.5521 %	0.56399 %	|	0.81 %	0.83 %	0.794 %	0.83 %	0.802 %	0.7745 %	1718.1634902954102
250	0.2	50	|	16	-1	dot_product
0.48 %	0.536 %	0.5832 %	0.60482 %	|	0.84 %	0.87 %	0.859 %	0.87 %	0.87 %	0.8516 %	2414.4887924194336
250	0.2	50	|	32	-1	dot_product
0.49 %	0.562 %	0.601 %	0.63435 %	|	0.9 %	0.93 %	0.917 %	0.93 %	0.93 %	0.9133 %	3760.051727294922
250	0.2	50	|	64	-1	dot_product
0.51 %	0.574 %	0.6138 %	0.65302 %	|	0.93 %	0.97 %	0.954 %	0.98 %	0.974 %	0.9588 %	6512.951850891113
250	0.2	50	|	128	-1	dot_product
