Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
250	0.2	100	|	1	-1	dot_product
0.29 %	0.366 %	0.4242 %	0.36793 %	|	0.39 %	0.39 %	0.414 %	0.39 %	0.414 %	0.4323 %	868.6542510986328
250	0.2	100	|	2	-1	dot_product
0.46 %	0.517 %	0.5798 %	0.52355 %	|	0.61 %	0.61 %	0.591 %	0.61 %	0.591 %	0.5975 %	953.8650512695312
250	0.2	100	|	4	-1	dot_product
0.53 %	0.613 %	0.6711 %	0.65539 %	|	0.72 %	0.72 %	0.713 %	0.72 %	0.713 %	0.7029 %	1132.4405670166016
250	0.2	100	|	8	-1	dot_product
0.57 %	0.69 %	0.7551 %	0.76628 %	|	0.82 %	0.83 %	0.826 %	0.84 %	0.827 %	0.8055 %	1497.8647232055664
250	0.2	100	|	16	-1	dot_product
0.6 %	0.706 %	0.7802 %	0.81192 %	|	0.85 %	0.87 %	0.852 %	0.88 %	0.853 %	0.8399 %	2283.453941345215
250	0.2	100	|	32	-1	dot_product
0.62 %	0.722 %	0.7995 %	0.83738 %	|	0.87 %	0.9 %	0.876 %	0.91 %	0.877 %	0.8701 %	4301.810264587402
250	0.2	100	|	64	-1	dot_product
0.65 %	0.748 %	0.8209 %	0.85701 %	|	0.9 %	0.94 %	0.914 %	0.95 %	0.916 %	0.8995 %	9110.426902770996
250	0.2	100	|	128	-1	dot_product
0.68 %	0.77 %	0.8523 %	0.88401 %	|	0.92 %	0.97 %	0.953 %	0.98 %	0.957 %	0.9452 %	18935.012817382812
250	0.2	100	|	160	-1	dot_product
0.68 %	0.781 %	0.8664 %	0.89384 %	|	0.92 %	0.97 %	0.973 %	0.98 %	0.977 %	0.9664 %	23908.448219299316
250	0.2	100	|	192	-1	dot_product
0.68 %	0.785 %	0.8748 %	0.90328 %	|	0.92 %	0.97 %	0.985 %	0.99 %	0.991 %	0.9816 %	28739.404678344727
250	0.2	50	|	1	-1	dot_product
0.17 %	0.282 %	0.3831 %	0.36228 %	|	0.34 %	0.39 %	0.411 %	0.39 %	0.414 %	0.4323 %	781.8937301635742
250	0.2	50	|	2	-1	dot_product
0.25 %	0.384 %	0.5058 %	0.50145 %	|	0.53 %	0.61 %	0.583 %	0.61 %	0.591 %	0.5969 %	837.6598358154297
250	0.2	50	|	4	-1	dot_product
0.26 %	0.438 %	0.5702 %	0.60395 %	|	0.61 %	0.72 %	0.697 %	0.72 %	0.713 %	0.7018 %	949.0251541137695
250	0.2	50	|	8	-1	dot_product
0.27 %	0.485 %	0.6254 %	0.6783 %	|	0.68 %	0.82 %	0.796 %	0.84 %	0.827 %	0.8033 %	1150.7272720336914
250	0.2	50	|	16	-1	dot_product
0.28 %	0.492 %	0.6391 %	0.70267 %	|	0.71 %	0.85 %	0.811 %	0.88 %	0.852 %	0.8359 %	1571.1545944213867
250	0.2	50	|	32	-1	dot_product
0.27 %	0.498 %	0.6497 %	0.71536 %	|	0.73 %	0.87 %	0.83 %	0.91 %	0.875 %	0.8633 %	2516.19815826416
250	0.2	50	|	64	-1	dot_product
0.29 %	0.515 %	0.6638 %	0.72602 %	|	0.76 %	0.9 %	0.861 %	0.95 %	0.914 %	0.8897 %	4797.36328125
250	0.2	50	|	128	-1	dot_product
0.3 %	0.523 %	0.6817 %	0.74087 %	|	0.78 %	0.93 %	0.888 %	0.98 %	0.954 %	0.9305 %	9890.72322845459
250	0.2	50	|	160	-1	dot_product
0.3 %	0.528 %	0.6886 %	0.74702 %	|	0.78 %	0.93 %	0.906 %	0.98 %	0.974 %	0.9495 %	12311.935424804688
250	0.2	50	|	192	-1	dot_product
0.3 %	0.527 %	0.6925 %	0.75286 %	|	0.77 %	0.93 %	0.917 %	0.98 %	0.987 %	0.9628 %	14700.722694396973
250	0.2	25	|	1	-1	dot_product
0.08 %	0.18 %	0.3038 %	0.33836 %	|	0.29 %	0.38 %	0.376 %	0.39 %	0.414 %	0.4298 %	835.1564407348633
250	0.2	25	|	2	-1	dot_product
0.1 %	0.242 %	0.3847 %	0.43682 %	|	0.42 %	0.56 %	0.513 %	0.6 %	0.584 %	0.5856 %	805.211067199707
250	0.2	25	|	4	-1	dot_product
0.11 %	0.261 %	0.4148 %	0.49014 %	|	0.43 %	0.64 %	0.584 %	0.71 %	0.698 %	0.677 %	877.9525756835938
250	0.2	25	|	8	-1	dot_product
0.11 %	0.278 %	0.4418 %	0.52339 %	|	0.45 %	0.71 %	0.646 %	0.81 %	0.796 %	0.758 %	999.903678894043
250	0.2	25	|	16	-1	dot_product
