Program: scann Topk: 1000 Num_split: 20 Batch: 1
L	Threashold	m	|	w	r	Metric
8000	0.2	128	|	1	-1	squared_l2
0.01 %	0.018 %	0.0213 %	0.01721 %	|	0.01 %	0.01 %	0.018 %	0.01 %	0.018 %	0.0213 %	63086.98654174805
8000	0.2	128	|	2	-1	squared_l2
0.01 %	0.026 %	0.0289 %	0.02417 %	|	0.01 %	0.01 %	0.026 %	0.01 %	0.026 %	0.0289 %	73378.08609008789
8000	0.2	128	|	4	-1	squared_l2
0.01 %	0.033 %	0.0353 %	0.03175 %	|	0.01 %	0.01 %	0.033 %	0.01 %	0.033 %	0.0353 %	94377.04086303711
8000	0.2	128	|	8	-1	squared_l2
0.01 %	0.038 %	0.0403 %	0.03798 %	|	0.01 %	0.01 %	0.038 %	0.01 %	0.038 %	0.0403 %	128363.13247680664
8000	0.2	128	|	16	-1	squared_l2
0.02 %	0.04 %	0.0427 %	0.04248 %	|	0.02 %	0.02 %	0.04 %	0.02 %	0.04 %	0.0428 %	193771.8391418457
8000	0.2	128	|	32	-1	squared_l2
0.04 %	0.044 %	0.0446 %	0.0456 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0447 %	311190.128326416
8000	0.2	128	|	64	-1	squared_l2
0.04 %	0.046 %	0.046 %	0.04773 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0461 %	541121.0060119629
8000	0.2	128	|	128	-1	squared_l2
0.04 %	0.046 %	0.0464 %	0.04877 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0465 %	986187.9348754883
8000	0.2	128	|	256	-1	squared_l2
0.04 %	0.046 %	0.0468 %	0.04922 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	1851258.2778930664
8000	0.2	64	|	1	-1	squared_l2
0.01 %	0.017 %	0.0218 %	0.01745 %	|	0.01 %	0.01 %	0.018 %	0.01 %	0.018 %	0.022 %	72834.49172973633
8000	0.2	64	|	2	-1	squared_l2
0.01 %	0.024 %	0.0286 %	0.02433 %	|	0.01 %	0.01 %	0.025 %	0.01 %	0.025 %	0.0293 %	68945.88470458984
8000	0.2	64	|	4	-1	squared_l2
0.01 %	0.031 %	0.0355 %	0.03166 %	|	0.01 %	0.01 %	0.033 %	0.01 %	0.033 %	0.0363 %	81021.78573608398
8000	0.2	64	|	8	-1	squared_l2
0.01 %	0.035 %	0.0391 %	0.03767 %	|	0.01 %	0.01 %	0.037 %	0.01 %	0.037 %	0.0404 %	101055.62210083008
8000	0.2	64	|	16	-1	squared_l2
0.02 %	0.038 %	0.0411 %	0.04205 %	|	0.02 %	0.02 %	0.04 %	0.02 %	0.04 %	0.0425 %	135499.4773864746
8000	0.2	64	|	32	-1	squared_l2
0.02 %	0.041 %	0.0433 %	0.04518 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0448 %	200949.19204711914
8000	0.2	64	|	64	-1	squared_l2
0.02 %	0.043 %	0.0446 %	0.04727 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0462 %	320056.4384460449
8000	0.2	64	|	128	-1	squared_l2
0.02 %	0.043 %	0.0448 %	0.04832 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0465 %	554057.1212768555
8000	0.2	64	|	256	-1	squared_l2
0.02 %	0.043 %	0.0452 %	0.04873 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	997765.5410766602
8000	0.2	32	|	1	-1	squared_l2
0.01 %	0.015 %	0.0205 %	0.01702 %	|	0.01 %	0.01 %	0.017 %	0.01 %	0.018 %	0.0213 %	56851.38702392578
8000	0.2	32	|	2	-1	squared_l2
0.01 %	0.02 %	0.0277 %	0.02374 %	|	0.01 %	0.01 %	0.023 %	0.01 %	0.024 %	0.0289 %	62511.444091796875
8000	0.2	32	|	4	-1	squared_l2
0.01 %	0.028 %	0.0327 %	0.03103 %	|	0.01 %	0.01 %	0.032 %	0.01 %	0.033 %	0.0357 %	70226.66931152344
8000	0.2	32	|	8	-1	squared_l2
0.01 %	0.03 %	0.0359 %	0.03678 %	|	0.01 %	0.01 %	0.036 %	0.01 %	0.037 %	0.0396 %	81589.6987915039
8000	0.2	32	|	16	-1	squared_l2
0.02 %	0.033 %	0.0381 %	0.04086 %	|	0.03 %	0.03 %	0.04 %	0.03 %	0.041 %	0.0425 %	100530.62438964844
8000	0.2	32	|	32	-1	squared_l2
0.02 %	0.035 %	0.0388 %	0.04366 %	|	0.03 %	0.04 %	0.043 %	0.04 %	0.044 %	0.044 %	134327.88848876953
8000	0.2	32	|	64	-1	squared_l2
0.02 %	0.037 %	0.0399 %	0.04534 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.0455 %	198880.19561767578
8000	0.2	32	|	128	-1	squared_l2
0.02 %	0.037 %	0.0401 %	0.04582 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.046 %	316697.5975036621
8000	0.2	32	|	256	-1	squared_l2
0.02 %	0.037 %	0.0401 %	0.04607 %	|	0.03 %	0.04 %	0.045 %	0.04 %	0.046 %	0.0464 %	537692.5468444824
