Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
250	0.2	128	|	1	-1	squared_l2
0.5 %	0.507 %	0.4658 %	0.36319 %	|	0.59 %	0.59 %	0.541 %	0.59 %	0.541 %	0.4757 %	1192.9988861083984
250	0.2	128	|	2	-1	squared_l2
0.63 %	0.669 %	0.6184 %	0.51023 %	|	0.77 %	0.77 %	0.73 %	0.77 %	0.73 %	0.6401 %	1607.3226928710938
250	0.2	128	|	4	-1	squared_l2
0.72 %	0.769 %	0.7577 %	0.68022 %	|	0.88 %	0.88 %	0.866 %	0.88 %	0.866 %	0.8087 %	2229.8574447631836
250	0.2	128	|	8	-1	squared_l2
0.79 %	0.828 %	0.8352 %	0.80978 %	|	0.97 %	0.97 %	0.963 %	0.97 %	0.963 %	0.9193 %	3261.1608505249023
250	0.2	128	|	16	-1	squared_l2
0.8 %	0.843 %	0.8689 %	0.87867 %	|	1.0 %	1.0 %	0.995 %	1.0 %	0.995 %	0.9779 %	5068.564414978027
250	0.2	128	|	32	-1	squared_l2
0.8 %	0.844 %	0.8768 %	0.90147 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9978 %	8351.03988647461
250	0.2	128	|	64	-1	squared_l2
0.8 %	0.844 %	0.8779 %	0.90613 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	14583.635330200195
250	0.2	128	|	128	-1	squared_l2
0.8 %	0.844 %	0.8779 %	0.90643 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	27212.50057220459
250	0.2	128	|	160	-1	squared_l2
0.8 %	0.844 %	0.8779 %	0.90643 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	33042.62161254883
250	0.2	128	|	192	-1	squared_l2
0.8 %	0.844 %	0.8779 %	0.90643 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	39181.2801361084
250	0.2	64	|	1	-1	squared_l2
0.4 %	0.414 %	0.4175 %	0.35091 %	|	0.55 %	0.59 %	0.54 %	0.59 %	0.541 %	0.4757 %	1021.2898254394531
250	0.2	64	|	2	-1	squared_l2
0.5 %	0.527 %	0.5317 %	0.48446 %	|	0.73 %	0.77 %	0.728 %	0.77 %	0.73 %	0.6401 %	1336.669921875
250	0.2	64	|	4	-1	squared_l2
0.55 %	0.578 %	0.6184 %	0.61304 %	|	0.84 %	0.88 %	0.863 %	0.88 %	0.866 %	0.8085 %	1736.8078231811523
250	0.2	64	|	8	-1	squared_l2
0.59 %	0.613 %	0.6621 %	0.69772 %	|	0.91 %	0.97 %	0.956 %	0.97 %	0.963 %	0.9185 %	2320.6710815429688
250	0.2	64	|	16	-1	squared_l2
0.61 %	0.616 %	0.6781 %	0.73891 %	|	0.94 %	1.0 %	0.986 %	1.0 %	0.995 %	0.9764 %	3263.974189758301
250	0.2	64	|	32	-1	squared_l2
0.61 %	0.616 %	0.6818 %	0.75122 %	|	0.94 %	1.0 %	0.99 %	1.0 %	1.0 %	0.996 %	4925.131797790527
250	0.2	64	|	64	-1	squared_l2
0.61 %	0.616 %	0.6826 %	0.75338 %	|	0.94 %	1.0 %	0.99 %	1.0 %	1.0 %	0.9982 %	8218.073844909668
250	0.2	64	|	128	-1	squared_l2
0.61 %	0.616 %	0.6826 %	0.75353 %	|	0.94 %	1.0 %	0.99 %	1.0 %	1.0 %	0.9982 %	14735.41259765625
250	0.2	64	|	160	-1	squared_l2
0.61 %	0.616 %	0.6826 %	0.75353 %	|	0.94 %	1.0 %	0.99 %	1.0 %	1.0 %	0.9982 %	17692.184448242188
250	0.2	64	|	192	-1	squared_l2
0.61 %	0.616 %	0.6826 %	0.75353 %	|	0.94 %	1.0 %	0.99 %	1.0 %	1.0 %	0.9982 %	20878.243446350098
250	0.2	32	|	1	-1	squared_l2
0.26 %	0.326 %	0.3481 %	0.33014 %	|	0.5 %	0.59 %	0.525 %	0.6 %	0.546 %	0.4701 %	952.7444839477539
250	0.2	32	|	2	-1	squared_l2
0.35 %	0.39 %	0.4234 %	0.4373 %	|	0.6 %	0.75 %	0.686 %	0.77 %	0.728 %	0.6341 %	1212.6922607421875
250	0.2	32	|	4	-1	squared_l2
0.38 %	0.416 %	0.4711 %	0.52593 %	|	0.7 %	0.85 %	0.795 %	0.88 %	0.867 %	0.7973 %	1497.2925186157227
250	0.2	32	|	8	-1	squared_l2
0.4 %	0.424 %	0.4956 %	0.5769 %	|	0.75 %	0.93 %	0.859 %	0.97 %	0.961 %	0.8929 %	1875.448226928711
250	0.2	32	|	16	-1	squared_l2
0.4 %	0.431 %	0.5017 %	0.59878 %	|	0.77 %	0.96 %	0.879 %	1.0 %	0.99 %	0.9411 %	2396.1544036865234
250	0.2	32	|	32	-1	squared_l2
0.4 %	0.433 %	0.5037 %	0.6034 %	|	0.77 %	0.96 %	0.881 %	1.0 %	0.994 %	0.956 %	3206.1100006103516
250	0.2	32	|	64	-1	squared_l2
0.4 %	0.433 %	0.5028 %	0.60375 %	|	0.77 %	0.96 %	0.88 %	1.0 %	0.994 %	0.9563 %	4663.252830505371
250	0.2	32	|	128	-1	squared_l2
0.4 %	0.433 %	0.5027 %	0.60376 %	|	0.77 %	0.96 %	0.88 %	1.0 %	0.994 %	0.9561 %	7823.801040649414
250	0.2	32	|	160	-1	squared_l2
0.4 %	0.433 %	0.5027 %	0.60376 %	|	0.77 %	0.96 %	0.88 %	1.0 %	0.994 %	0.9561 %	9290.623664855957
250	0.2	32	|	192	-1	squared_l2
0.4 %	0.433 %	0.5027 %	0.60376 %	|	0.77 %	0.96 %	0.88 %	1.0 %	0.994 %	0.9561 %	10822.582244873047
