Program: scann Topk: 1000 Num_split: 20 Batch: 1
L	Threashold	m	|	w	r	Metric
8000	0.2	96	|	1	-1	squared_l2
0.3576 %	0.37336 %	0.356905 %	0.3216223 %	|	0.4807 %	0.5001 %	0.4428 %	0.5075 %	0.45132 %	0.396777 %	52644.72961425781
8000	0.2	96	|	2	-1	squared_l2
0.4585 %	0.49285 %	0.484767 %	0.452892 %	|	0.6353 %	0.6581 %	0.6049 %	0.6659 %	0.61511 %	0.553606 %	60718.536376953125
8000	0.2	96	|	4	-1	squared_l2
0.5348 %	0.58503 %	0.594945 %	0.5771998 %	|	0.7657 %	0.7909 %	0.7464 %	0.7992 %	0.75764 %	0.703023 %	75066.56646728516
8000	0.2	96	|	8	-1	squared_l2
0.5879 %	0.64682 %	0.672976 %	0.6751602 %	|	0.855 %	0.8835 %	0.85119 %	0.8923 %	0.86332 %	0.823191 %	99173.06900024414
8000	0.2	96	|	16	-1	squared_l2
0.6173 %	0.68274 %	0.719454 %	0.7394236 %	|	0.908 %	0.938 %	0.9188 %	0.9471 %	0.93119 %	0.904477 %	142913.818359375
8000	0.2	96	|	32	-1	squared_l2
0.6337 %	0.69919 %	0.742734 %	0.7746517 %	|	0.9353 %	0.9651 %	0.95335 %	0.974 %	0.96576 %	0.950948 %	225244.04525756836
8000	0.2	96	|	64	-1	squared_l2
0.6386 %	0.70635 %	0.752782 %	0.7912617 %	|	0.9455 %	0.9753 %	0.96861 %	0.9842 %	0.98104 %	0.973667 %	381410.5987548828
8000	0.2	96	|	128	-1	squared_l2
0.6409 %	0.70871 %	0.756635 %	0.7979463 %	|	0.9494 %	0.9793 %	0.97434 %	0.9883 %	0.98682 %	0.982969 %	681204.7958374023
8000	0.2	96	|	256	-1	squared_l2
0.6413 %	0.7094 %	0.757741 %	0.8001378 %	|	0.9501 %	0.9805 %	0.97621 %	0.9894 %	0.98865 %	0.986006 %	1262222.7668762207
8000	0.2	48	|	1	-1	squared_l2
0.231 %	0.24497 %	0.254042 %	0.2595522 %	|	0.4072 %	0.4917 %	0.4065 %	0.5109 %	0.45179 %	0.385464 %	50310.611724853516
8000	0.2	48	|	2	-1	squared_l2
0.281 %	0.30199 %	0.321508 %	0.3408959 %	|	0.5171 %	0.6398 %	0.54146 %	0.6691 %	0.61322 %	0.53007 %	55992.12646484375
8000	0.2	48	|	4	-1	squared_l2
0.3153 %	0.34279 %	0.372075 %	0.4062072 %	|	0.604 %	0.7612 %	0.65012 %	0.8008 %	0.75247 %	0.660753 %	65984.24911499023
8000	0.2	48	|	8	-1	squared_l2
0.3358 %	0.36831 %	0.403931 %	0.4508819 %	|	0.6583 %	0.8436 %	0.72614 %	0.8934 %	0.85463 %	0.760519 %	81344.6044921875
8000	0.2	48	|	16	-1	squared_l2
0.3452 %	0.38195 %	0.42136 %	0.4770974 %	|	0.687 %	0.8906 %	0.77114 %	0.9475 %	0.91975 %	0.824241 %	107779.97970581055
8000	0.2	48	|	32	-1	squared_l2
0.3494 %	0.38835 %	0.42942 %	0.4901716 %	|	0.7026 %	0.9149 %	0.79296 %	0.9743 %	0.95283 %	0.85877 %	156643.86749267578
8000	0.2	48	|	64	-1	squared_l2
0.3508 %	0.39082 %	0.432446 %	0.4957327 %	|	0.7069 %	0.9231 %	0.80197 %	0.9846 %	0.9675 %	0.874617 %	246672.6303100586
8000	0.2	48	|	128	-1	squared_l2
0.3515 %	0.39128 %	0.43351 %	0.4977056 %	|	0.7093 %	0.9262 %	0.80517 %	0.9885 %	0.97304 %	0.880841 %	414487.361907959
8000	0.2	48	|	256	-1	squared_l2
0.3517 %	0.39134 %	0.433825 %	0.4981729 %	|	0.7093 %	0.9275 %	0.80619 %	0.9897 %	0.97473 %	0.882654 %	740829.9446105957
8000	0.2	24	|	1	-1	squared_l2
0.1021 %	0.09677 %	0.111117 %	0.1425594 %	|	0.2136 %	0.3413 %	0.22604 %	0.4554 %	0.37052 %	0.265399 %	48700.809478759766
8000	0.2	24	|	2	-1	squared_l2
0.1157 %	0.111 %	0.128323 %	0.1681256 %	|	0.2461 %	0.4147 %	0.27336 %	0.5757 %	0.47538 %	0.330893 %	53255.08117675781
8000	0.2	24	|	4	-1	squared_l2
0.1222 %	0.11938 %	0.137874 %	0.1837719 %	|	0.2683 %	0.4616 %	0.30132 %	0.6647 %	0.54861 %	0.376261 %	60547.828674316406
8000	0.2	24	|	8	-1	squared_l2
0.1251 %	0.12385 %	0.141948 %	0.1907018 %	|	0.2788 %	0.4838 %	0.31632 %	0.7153 %	0.59195 %	0.400252 %	71663.85650634766
8000	0.2	24	|	16	-1	squared_l2
0.1263 %	0.12498 %	0.142188 %	0.1920416 %	|	0.2821 %	0.4922 %	0.32014 %	0.7378 %	0.61062 %	0.408445 %	88977.81372070312
8000	0.2	24	|	32	-1	squared_l2
0.1259 %	0.12396 %	0.140853 %	0.1905179 %	|	0.2803 %	0.4935 %	0.32006 %	0.7436 %	0.61484 %	0.408082 %	117733.95538330078
8000	0.2	24	|	64	-1	squared_l2
0.1255 %	0.12366 %	0.139605 %	0.1882741 %	|	0.2786 %	0.4914 %	0.31809 %	0.7425 %	0.61325 %	0.404996 %	172138.69094848633
8000	0.2	24	|	128	-1	squared_l2
0.1249 %	0.12313 %	0.138781 %	0.186509 %	|	0.2778 %	0.4912 %	0.31712 %	0.7404 %	0.61092 %	0.402287 %	265777.587890625
8000	0.2	24	|	256	-1	squared_l2
0.1246 %	0.12281 %	0.138276 %	0.1854247 %	|	0.2772 %	0.4906 %	0.31643 %	0.7397 %	0.60951 %	0.400584 %	444935.79864501953
