Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
250	0.2	96	|	1	-1	squared_l2
0.4741 %	0.5057 %	0.478168 %	0.3932488 %	|	0.5867 %	0.5929 %	0.55738 %	0.5943 %	0.55912 %	0.498371 %	1637.7925872802734
250	0.2	96	|	2	-1	squared_l2
0.5941 %	0.64773 %	0.635405 %	0.5566002 %	|	0.7534 %	0.7602 %	0.73108 %	0.7616 %	0.73282 %	0.672514 %	1439.7859573364258
250	0.2	96	|	4	-1	squared_l2
0.682 %	0.74536 %	0.754493 %	0.7047253 %	|	0.8775 %	0.8845 %	0.86175 %	0.8859 %	0.86349 %	0.815016 %	1884.317398071289
250	0.2	96	|	8	-1	squared_l2
0.7265 %	0.7972 %	0.827286 %	0.8120101 %	|	0.9442 %	0.9513 %	0.94021 %	0.9527 %	0.94195 %	0.911518 %	2562.0460510253906
250	0.2	96	|	16	-1	squared_l2
0.748 %	0.81891 %	0.861968 %	0.8743955 %	|	0.9758 %	0.983 %	0.97791 %	0.9844 %	0.97965 %	0.964848 %	3741.3835525512695
250	0.2	96	|	32	-1	squared_l2
0.7567 %	0.82678 %	0.875382 %	0.9032284 %	|	0.9884 %	0.9957 %	0.99294 %	0.9971 %	0.99468 %	0.98947 %	5896.902084350586
250	0.2	96	|	64	-1	squared_l2
0.7585 %	0.82909 %	0.87924 %	0.9134199 %	|	0.9908 %	0.9982 %	0.99752 %	0.9996 %	0.99926 %	0.997926 %	9883.403778076172
250	0.2	96	|	128	-1	squared_l2
0.7588 %	0.82933 %	0.880012 %	0.9160709 %	|	0.9912 %	0.9986 %	0.99824 %	1.0 %	0.99998 %	0.999834 %	17751.288414001465
250	0.2	96	|	160	-1	squared_l2
0.7588 %	0.82933 %	0.880047 %	0.9162805 %	|	0.9912 %	0.9986 %	0.99825 %	1.0 %	0.99999 %	0.999931 %	22028.398513793945
250	0.2	96	|	192	-1	squared_l2
0.7588 %	0.82934 %	0.880067 %	0.9163596 %	|	0.9912 %	0.9986 %	0.99826 %	1.0 %	1.0 %	0.999979 %	26361.06014251709
250	0.2	48	|	1	-1	squared_l2
0.2999 %	0.38885 %	0.41328 %	0.3771587 %	|	0.5512 %	0.5931 %	0.55404 %	0.5943 %	0.55912 %	0.498245 %	957.489013671875
250	0.2	48	|	2	-1	squared_l2
0.3614 %	0.47288 %	0.522362 %	0.5152947 %	|	0.7001 %	0.7602 %	0.72409 %	0.7616 %	0.73282 %	0.672242 %	1241.3263320922852
250	0.2	48	|	4	-1	squared_l2
0.403 %	0.52377 %	0.594781 %	0.624004 %	|	0.8073 %	0.8843 %	0.85106 %	0.8859 %	0.86349 %	0.814445 %	1547.8134155273438
250	0.2	48	|	8	-1	squared_l2
0.4202 %	0.54938 %	0.634446 %	0.6914109 %	|	0.8618 %	0.9508 %	0.92605 %	0.9527 %	0.94195 %	0.910533 %	1953.4111022949219
250	0.2	48	|	16	-1	squared_l2
0.4287 %	0.55885 %	0.651816 %	0.7254811 %	|	0.887 %	0.9824 %	0.9615 %	0.9844 %	0.97965 %	0.963373 %	2619.0757751464844
250	0.2	48	|	32	-1	squared_l2
0.4314 %	0.56196 %	0.658461 %	0.7400113 %	|	0.897 %	0.9951 %	0.97538 %	0.9971 %	0.99468 %	0.987536 %	3646.0161209106445
250	0.2	48	|	64	-1	squared_l2
0.4321 %	0.5628 %	0.660201 %	0.7449476 %	|	0.899 %	0.9974 %	0.97954 %	0.9996 %	0.99926 %	0.995729 %	5601.334571838379
250	0.2	48	|	128	-1	squared_l2
0.4323 %	0.563 %	0.660506 %	0.7461287 %	|	0.8991 %	0.9978 %	0.98016 %	1.0 %	0.99997 %	0.997535 %	9609.93766784668
250	0.2	48	|	160	-1	squared_l2
0.4323 %	0.56298 %	0.660512 %	0.7462132 %	|	0.899 %	0.9978 %	0.98017 %	1.0 %	0.99998 %	0.997619 %	11720.22819519043
250	0.2	48	|	192	-1	squared_l2
0.4323 %	0.56299 %	0.660518 %	0.7462379 %	|	0.899 %	0.9978 %	0.98018 %	1.0 %	0.99999 %	0.997663 %	14005.613327026367
250	0.2	24	|	1	-1	squared_l2
0.1213 %	0.20966 %	0.282207 %	0.3286857 %	|	0.3604 %	0.5495 %	0.46742 %	0.5929 %	0.55611 %	0.486207 %	943.3746337890625
250	0.2	24	|	2	-1	squared_l2
0.1393 %	0.2385 %	0.330607 %	0.4140361 %	|	0.4261 %	0.6887 %	0.58042 %	0.7595 %	0.7262 %	0.642455 %	1169.8484420776367
250	0.2	24	|	4	-1	squared_l2
0.149 %	0.25295 %	0.35721 %	0.4665624 %	|	0.4699 %	0.786 %	0.65148 %	0.8819 %	0.85081 %	0.757152 %	1409.5783233642578
250	0.2	24	|	8	-1	squared_l2
0.1509 %	0.26018 %	0.368783 %	0.4923921 %	|	0.4884 %	0.8353 %	0.68715 %	0.9472 %	0.92304 %	0.824591 %	1705.1219940185547
