Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
250	0.2	100	|	1	-1	dot_product
0.2972 %	0.36643 %	0.401523 %	0.3464203 %	|	0.3997 %	0.4031 %	0.40622 %	0.4031 %	0.40633 %	0.409657 %	868.6542510986328
250	0.2	100	|	2	-1	dot_product
0.4231 %	0.51437 %	0.56213 %	0.5143636 %	|	0.5756 %	0.5818 %	0.58247 %	0.5818 %	0.58267 %	0.580949 %	953.8650512695312
250	0.2	100	|	4	-1	dot_product
0.5228 %	0.63083 %	0.686137 %	0.6631815 %	|	0.723 %	0.732 %	0.72943 %	0.7321 %	0.72997 %	0.721465 %	1132.4405670166016
250	0.2	100	|	8	-1	dot_product
0.5803 %	0.69752 %	0.756666 %	0.7620461 %	|	0.8138 %	0.8266 %	0.81992 %	0.8268 %	0.82074 %	0.808281 %	1497.8647232055664
250	0.2	100	|	16	-1	dot_product
0.6081 %	0.72624 %	0.787843 %	0.8098202 %	|	0.8584 %	0.8729 %	0.86204 %	0.8732 %	0.86315 %	0.8506 %	2283.453941345215
250	0.2	100	|	32	-1	dot_product
0.6261 %	0.74439 %	0.807321 %	0.8349556 %	|	0.8887 %	0.9052 %	0.88929 %	0.9057 %	0.8908 %	0.877325 %	4301.810264587402
250	0.2	100	|	64	-1	dot_product
0.6391 %	0.76317 %	0.8277 %	0.8558945 %	|	0.9151 %	0.9334 %	0.91832 %	0.9343 %	0.92027 %	0.904848 %	9110.426902770996
250	0.2	100	|	128	-1	dot_product
0.6561 %	0.78614 %	0.857799 %	0.8824449 %	|	0.9474 %	0.9686 %	0.95676 %	0.9697 %	0.95946 %	0.946815 %	18935.012817382812
250	0.2	100	|	160	-1	dot_product
0.6601 %	0.79361 %	0.869338 %	0.8924669 %	|	0.9577 %	0.9801 %	0.97122 %	0.9813 %	0.9744 %	0.964447 %	23908.448219299316
250	0.2	100	|	192	-1	dot_product
0.6634 %	0.79885 %	0.878326 %	0.9009809 %	|	0.9658 %	0.9889 %	0.98283 %	0.9904 %	0.9863 %	0.979567 %	28739.404678344727
250	0.2	50	|	1	-1	dot_product
0.1821 %	0.28492 %	0.363556 %	0.3417515 %	|	0.3571 %	0.4002 %	0.40134 %	0.4031 %	0.40633 %	0.409635 %	781.8937301635742
250	0.2	50	|	2	-1	dot_product
0.2527 %	0.38637 %	0.491997 %	0.4930698 %	|	0.5057 %	0.5768 %	0.57196 %	0.5818 %	0.58263 %	0.580675 %	837.6598358154297
250	0.2	50	|	4	-1	dot_product
0.3018 %	0.45897 %	0.581678 %	0.6093723 %	|	0.6191 %	0.7225 %	0.71089 %	0.7321 %	0.72971 %	0.720412 %	949.0251541137695
250	0.2	50	|	8	-1	dot_product
0.3248 %	0.49641 %	0.627345 %	0.6743255 %	|	0.6836 %	0.8124 %	0.79138 %	0.8267 %	0.82007 %	0.805679 %	1150.7272720336914
250	0.2	50	|	16	-1	dot_product
0.3373 %	0.51109 %	0.645401 %	0.7012044 %	|	0.7147 %	0.855 %	0.82618 %	0.8729 %	0.86189 %	0.846297 %	1571.1545944213867
250	0.2	50	|	32	-1	dot_product
0.3451 %	0.5199 %	0.656861 %	0.7143209 %	|	0.7329 %	0.8837 %	0.8483 %	0.9048 %	0.88864 %	0.871239 %	2516.19815826416
250	0.2	50	|	64	-1	dot_product
0.3493 %	0.5287 %	0.668733 %	0.7254373 %	|	0.747 %	0.9081 %	0.87139 %	0.9332 %	0.91717 %	0.896709 %	4797.36328125
250	0.2	50	|	128	-1	dot_product
0.3571 %	0.53928 %	0.686184 %	0.7403124 %	|	0.7666 %	0.9382 %	0.90278 %	0.9678 %	0.95505 %	0.93565 %	9890.72322845459
250	0.2	50	|	160	-1	dot_product
0.3583 %	0.54236 %	0.692785 %	0.7462399 %	|	0.7712 %	0.9477 %	0.91409 %	0.979 %	0.96925 %	0.951999 %	12311.935424804688
250	0.2	50	|	192	-1	dot_product
0.3584 %	0.54441 %	0.698026 %	0.7514106 %	|	0.7731 %	0.955 %	0.92333 %	0.9877 %	0.98062 %	0.965988 %	14700.722694396973
250	0.2	25	|	1	-1	dot_product
0.0821 %	0.18279 %	0.290914 %	0.3203996 %	|	0.2528 %	0.3772 %	0.36479 %	0.4029 %	0.40575 %	0.407836 %	835.1564407348633
250	0.2	25	|	2	-1	dot_product
0.1112 %	0.23708 %	0.375398 %	0.4279085 %	|	0.3465 %	0.529 %	0.50448 %	0.5802 %	0.57918 %	0.571697 %	805.211067199707
250	0.2	25	|	4	-1	dot_product
0.1275 %	0.27115 %	0.425699 %	0.4928578 %	|	0.4075 %	0.6445 %	0.60432 %	0.7268 %	0.71981 %	0.696694 %	877.9525756835938
250	0.2	25	|	8	-1	dot_product
0.1339 %	0.28653 %	0.447708 %	0.5208049 %	|	0.4353 %	0.706 %	0.65296 %	0.8131 %	0.79976 %	0.762586 %	999.903678894043
250	0.2	25	|	16	-1	dot_product
0.1375 %	0.29142 %	0.454455 %	0.5286316 %	|	0.4472 %	0.732 %	0.66957 %	0.8523 %	0.83276 %	0.787953 %	1242.8522109985352
250	0.2	25	|	32	-1	dot_product
0.1397 %	0.29428 %	0.458846 %	0.531291 %	|	0.4556 %	0.7489 %	0.68009 %	0.8776 %	0.85281 %	0.802187 %	1744.4849014282227
250	0.2	25	|	64	-1	dot_product
0.1405 %	0.29726 %	0.463637 %	0.5332975 %	|	0.4603 %	0.7623 %	0.69182 %	0.8979 %	0.87328 %	0.816714 %	2831.1729431152344
250	0.2	25	|	128	-1	dot_product
0.1412 %	0.30034 %	0.470998 %	0.5366987 %	|	0.4668 %	0.7814 %	0.70851 %	0.9243 %	0.90103 %	0.839837 %	5199.027061462402
250	0.2	25	|	160	-1	dot_product
0.1408 %	0.30081 %	0.473842 %	0.5382861 %	|	0.4673 %	0.7864 %	0.71391 %	0.932 %	0.91098 %	0.849615 %	6425.49991607666
250	0.2	25	|	192	-1	dot_product
0.1404 %	0.30094 %	0.476112 %	0.5397593 %	|	0.468 %	0.7894 %	0.71866 %	0.937 %	0.91914 %	0.858003 %	7630.133628845215
