Program: scann Topk: 1000 Num_split: 20 Batch: 1
L	Threashold	m	|	w	r	Metric
8000	0.2	128	|	1	-1	squared_l2
0.3269 %	0.35943 %	0.337712 %	0.2934586 %	|	0.4426 %	0.4512 %	0.40867 %	0.4529 %	0.41146 %	0.363081 %	63086.98654174805
8000	0.2	128	|	2	-1	squared_l2
0.4296 %	0.48427 %	0.469232 %	0.4232396 %	|	0.6042 %	0.616 %	0.57132 %	0.6181 %	0.57513 %	0.517922 %	73378.08609008789
8000	0.2	128	|	4	-1	squared_l2
0.5151 %	0.58747 %	0.588689 %	0.5533067 %	|	0.7493 %	0.7633 %	0.72346 %	0.765 %	0.7276 %	0.670895 %	94377.04086303711
8000	0.2	128	|	8	-1	squared_l2
0.5802 %	0.6594 %	0.678047 %	0.6628073 %	|	0.8675 %	0.8824 %	0.84365 %	0.8841 %	0.84798 %	0.800539 %	128363.13247680664
8000	0.2	128	|	16	-1	squared_l2
0.6106 %	0.70015 %	0.734076 %	0.7396496 %	|	0.9285 %	0.9444 %	0.92305 %	0.946 %	0.92744 %	0.895381 %	193771.8391418457
8000	0.2	128	|	32	-1	squared_l2
0.6254 %	0.71947 %	0.763026 %	0.7841161 %	|	0.9614 %	0.9774 %	0.9666 %	0.979 %	0.97103 %	0.953474 %	311190.128326416
8000	0.2	128	|	64	-1	squared_l2
0.6319 %	0.72741 %	0.775442 %	0.8056822 %	|	0.9752 %	0.9919 %	0.98634 %	0.9935 %	0.99079 %	0.982684 %	541121.0060119629
8000	0.2	128	|	128	-1	squared_l2
0.633 %	0.73023 %	0.779993 %	0.8143003 %	|	0.9791 %	0.9958 %	0.99264 %	0.9974 %	0.9971 %	0.994472 %	986187.9348754883
8000	0.2	128	|	256	-1	squared_l2
0.6337 %	0.73075 %	0.781057 %	0.8169732 %	|	0.9806 %	0.9973 %	0.99459 %	0.9989 %	0.99904 %	0.997913 %	1851258.2778930664
8000	0.2	64	|	1	-1	squared_l2
0.197 %	0.25643 %	0.267705 %	0.2562548 %	|	0.387 %	0.4448 %	0.39123 %	0.4525 %	0.41123 %	0.356888 %	72834.49172973633
8000	0.2	64	|	2	-1	squared_l2
0.242 %	0.32321 %	0.350036 %	0.351198 %	|	0.5133 %	0.6045 %	0.53842 %	0.6158 %	0.57258 %	0.506118 %	68945.88470458984
8000	0.2	64	|	4	-1	squared_l2
0.2784 %	0.37418 %	0.416506 %	0.4346234 %	|	0.6209 %	0.7494 %	0.67235 %	0.7655 %	0.72332 %	0.651621 %	81021.78573608398
8000	0.2	64	|	8	-1	squared_l2
0.3023 %	0.40794 %	0.46226 %	0.4972674 %	|	0.6995 %	0.8609 %	0.77661 %	0.8815 %	0.84363 %	0.773395 %	101055.62210083008
8000	0.2	64	|	16	-1	squared_l2
0.3145 %	0.42598 %	0.489209 %	0.5377839 %	|	0.7395 %	0.9221 %	0.84227 %	0.9448 %	0.9222 %	0.860693 %	135499.4773864746
8000	0.2	64	|	32	-1	squared_l2
0.3177 %	0.43257 %	0.502414 %	0.5597782 %	|	0.7571 %	0.9528 %	0.87551 %	0.9775 %	0.96498 %	0.911936 %	200949.19204711914
8000	0.2	64	|	64	-1	squared_l2
0.3196 %	0.43605 %	0.507816 %	0.5699692 %	|	0.7646 %	0.9666 %	0.89033 %	0.9923 %	0.98502 %	0.936915 %	320056.4384460449
8000	0.2	64	|	128	-1	squared_l2
0.3192 %	0.43654 %	0.509218 %	0.5735743 %	|	0.7666 %	0.9699 %	0.89441 %	0.9961 %	0.99144 %	0.946205 %	554057.1212768555
8000	0.2	64	|	256	-1	squared_l2
0.3195 %	0.4368 %	0.509491 %	0.5744685 %	|	0.7675 %	0.9712 %	0.89552 %	0.9975 %	0.99331 %	0.948754 %	997765.5410766602
8000	0.2	32	|	1	-1	squared_l2
0.1067 %	0.16445 %	0.194919 %	0.2108678 %	|	0.2856 %	0.411 %	0.33006 %	0.448 %	0.39963 %	0.332443 %	56851.38702392578
8000	0.2	32	|	2	-1	squared_l2
0.1238 %	0.19627 %	0.242734 %	0.2742938 %	|	0.3568 %	0.5491 %	0.43807 %	0.6065 %	0.55323 %	0.459215 %	62511.444091796875
8000	0.2	32	|	4	-1	squared_l2
0.136 %	0.2209 %	0.278589 %	0.32553 %	|	0.4152 %	0.6711 %	0.52913 %	0.7529 %	0.696 %	0.575778 %	70226.66931152344
8000	0.2	32	|	8	-1	squared_l2
0.1435 %	0.23498 %	0.301097 %	0.3612078 %	|	0.4537 %	0.7565 %	0.59128 %	0.8637 %	0.80564 %	0.665846 %	81589.6987915039
8000	0.2	32	|	16	-1	squared_l2
0.1469 %	0.24267 %	0.313242 %	0.3823858 %	|	0.4725 %	0.8022 %	0.62732 %	0.9276 %	0.87637 %	0.724053 %	100530.62438964844
8000	0.2	32	|	32	-1	squared_l2
0.1466 %	0.2446 %	0.317851 %	0.3926265 %	|	0.4786 %	0.8236 %	0.6424 %	0.9587 %	0.91233 %	0.753901 %	134327.88848876953
8000	0.2	32	|	64	-1	squared_l2
0.1466 %	0.2446 %	0.319121 %	0.3962637 %	|	0.4781 %	0.8301 %	0.6473 %	0.9712 %	0.92732 %	0.766047 %	198880.19561767578
8000	0.2	32	|	128	-1	squared_l2
0.1464 %	0.24448 %	0.318943 %	0.3969554 %	|	0.479 %	0.8316 %	0.64759 %	0.974 %	0.93148 %	0.769583 %	316697.5975036621
8000	0.2	32	|	256	-1	squared_l2
0.1465 %	0.24435 %	0.318705 %	0.3966627 %	|	0.4791 %	0.8324 %	0.64745 %	0.9746 %	0.93211 %	0.769674 %	537692.5468444824
