Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
250	0.2	128	|	1	-1	squared_l2
0.4557 %	0.46588 %	0.417042 %	0.3255725 %	|	0.5466 %	0.5471 %	0.49644 %	0.5471 %	0.49644 %	0.427085 %	1192.9988861083984
250	0.2	128	|	2	-1	squared_l2
0.5839 %	0.62024 %	0.580853 %	0.4843178 %	|	0.7209 %	0.7215 %	0.6784 %	0.7215 %	0.6784 %	0.603133 %	1607.3226928710938
250	0.2	128	|	4	-1	squared_l2
0.6873 %	0.73671 %	0.725177 %	0.6519434 %	|	0.8661 %	0.8671 %	0.8327 %	0.8671 %	0.8327 %	0.770847 %	2229.8574447631836
250	0.2	128	|	8	-1	squared_l2
0.7448 %	0.80304 %	0.819438 %	0.7918804 %	|	0.9563 %	0.9575 %	0.93626 %	0.9575 %	0.93626 %	0.899126 %	3261.1608505249023
250	0.2	128	|	16	-1	squared_l2
0.7664 %	0.82856 %	0.86112 %	0.8719041 %	|	0.9904 %	0.9917 %	0.98425 %	0.9917 %	0.98425 %	0.970695 %	5068.564414978027
250	0.2	128	|	32	-1	squared_l2
0.7696 %	0.83524 %	0.872664 %	0.8997828 %	|	0.9975 %	0.9988 %	0.99796 %	0.9988 %	0.99796 %	0.99572 %	8351.03988647461
250	0.2	128	|	64	-1	squared_l2
0.7706 %	0.83627 %	0.874311 %	0.9048463 %	|	0.9987 %	1.0 %	0.99995 %	1.0 %	0.99995 %	0.99984 %	14583.635330200195
250	0.2	128	|	128	-1	squared_l2
0.7706 %	0.83627 %	0.874372 %	0.9050872 %	|	0.9987 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999999 %	27212.50057220459
250	0.2	128	|	160	-1	squared_l2
0.7706 %	0.83627 %	0.874373 %	0.9050884 %	|	0.9987 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	33042.62161254883
250	0.2	128	|	192	-1	squared_l2
0.7706 %	0.83627 %	0.874373 %	0.9050888 %	|	0.9987 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	39181.2801361084
250	0.2	64	|	1	-1	squared_l2
0.3288 %	0.38378 %	0.377759 %	0.3171078 %	|	0.5282 %	0.5471 %	0.49502 %	0.5471 %	0.49644 %	0.427039 %	1021.2898254394531
250	0.2	64	|	2	-1	squared_l2
0.4083 %	0.48631 %	0.501125 %	0.4599653 %	|	0.6911 %	0.7213 %	0.67553 %	0.7215 %	0.6784 %	0.603032 %	1336.669921875
250	0.2	64	|	4	-1	squared_l2
0.4655 %	0.55447 %	0.594651 %	0.5919107 %	|	0.8215 %	0.8669 %	0.8278 %	0.8671 %	0.8327 %	0.770603 %	1736.8078231811523
250	0.2	64	|	8	-1	squared_l2
0.4987 %	0.59094 %	0.64824 %	0.6833855 %	|	0.8984 %	0.9571 %	0.9283 %	0.9575 %	0.93626 %	0.898532 %	2320.6710815429688
250	0.2	64	|	16	-1	squared_l2
0.5061 %	0.60383 %	0.670977 %	0.7291798 %	|	0.9259 %	0.9912 %	0.97381 %	0.9917 %	0.98425 %	0.969549 %	3263.974189758301
250	0.2	64	|	32	-1	squared_l2
0.5079 %	0.60671 %	0.676933 %	0.7443338 %	|	0.9311 %	0.9982 %	0.98628 %	0.9988 %	0.99795 %	0.994104 %	4925.131797790527
250	0.2	64	|	64	-1	squared_l2
0.5081 %	0.60715 %	0.677618 %	0.7467233 %	|	0.9319 %	0.9992 %	0.98797 %	1.0 %	0.99994 %	0.998058 %	8218.073844909668
250	0.2	64	|	128	-1	squared_l2
0.5081 %	0.60715 %	0.677629 %	0.7467874 %	|	0.9319 %	0.9992 %	0.98802 %	1.0 %	0.99999 %	0.998204 %	14735.41259765625
250	0.2	64	|	160	-1	squared_l2
0.5081 %	0.60715 %	0.677629 %	0.7467874 %	|	0.9319 %	0.9992 %	0.98802 %	1.0 %	0.99999 %	0.998205 %	17692.184448242188
250	0.2	64	|	192	-1	squared_l2
