Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
1000	32	16	|	1	-1	squared_l2
0.163 %	0.2151 %	0.22318 %	0.180511 %	|	0.351 %	0.428 %	0.3594 %	0.431 %	0.3703 %	0.29111 %	95.37529945373535
1000	32	16	|	2	-1	squared_l2
0.19 %	0.2601 %	0.28686 %	0.271593 %	|	0.457 %	0.587 %	0.499 %	0.595 %	0.5321 %	0.43715 %	112.16521263122559
1000	32	16	|	4	-1	squared_l2
0.193 %	0.2875 %	0.33156 %	0.349726 %	|	0.52 %	0.705 %	0.6114 %	0.732 %	0.6902 %	0.5897 %	181.27918243408203
1000	32	16	|	8	-1	squared_l2
0.196 %	0.3004 %	0.35476 %	0.401698 %	|	0.554 %	0.786 %	0.6791 %	0.842 %	0.8166 %	0.71275 %	313.10081481933594
1000	32	16	|	16	-1	squared_l2
0.197 %	0.3054 %	0.36402 %	0.428033 %	|	0.565 %	0.834 %	0.7113 %	0.925 %	0.8991 %	0.78826 %	569.227933883667
1000	32	16	|	32	-1	squared_l2
0.197 %	0.3063 %	0.3668 %	0.437911 %	|	0.569 %	0.857 %	0.723 %	0.968 %	0.945 %	0.82361 %	1053.5516738891602
1000	32	16	|	64	-1	squared_l2
0.197 %	0.3064 %	0.36725 %	0.440307 %	|	0.569 %	0.859 %	0.7248 %	0.981 %	0.9602 %	0.83388 %	1993.957757949829
1000	32	16	|	128	-1	squared_l2
0.197 %	0.3064 %	0.3673 %	0.440651 %	|	0.569 %	0.861 %	0.7252 %	0.986 %	0.9634 %	0.83552 %	3800.1866340637207
1000	32	16	|	192	-1	squared_l2
0.197 %	0.3064 %	0.3673 %	0.440671 %	|	0.569 %	0.861 %	0.7252 %	0.986 %	0.9636 %	0.83565 %	5565.124273300171
1000	32	16	|	256	-1	squared_l2
0.197 %	0.3064 %	0.3673 %	0.440675 %	|	0.569 %	0.861 %	0.7252 %	0.987 %	0.9637 %	0.83566 %	7343.080043792725
1000	32	16	|	512	-1	squared_l2
0.197 %	0.3064 %	0.3673 %	0.440675 %	|	0.569 %	0.861 %	0.7252 %	0.987 %	0.9637 %	0.83566 %	14130.179166793823
1000	64	16	|	1	-1	squared_l2
0.251 %	0.2809 %	0.26109 %	0.183293 %	|	0.42 %	0.431 %	0.3698 %	0.431 %	0.3703 %	0.29116 %	124.31073188781738
1000	64	16	|	2	-1	squared_l2
0.318 %	0.3636 %	0.36043 %	0.291055 %	|	0.569 %	0.595 %	0.5299 %	0.595 %	0.5321 %	0.43871 %	174.17025566101074
1000	64	16	|	4	-1	squared_l2
0.341 %	0.4256 %	0.44262 %	0.403637 %	|	0.679 %	0.732 %	0.6835 %	0.732 %	0.6906 %	0.5996 %	304.98671531677246
1000	64	16	|	8	-1	squared_l2
0.36 %	0.457 %	0.49587 %	0.4939 %	|	0.756 %	0.84 %	0.8013 %	0.842 %	0.8184 %	0.74458 %	555.9210777282715
1000	64	16	|	16	-1	squared_l2
0.365 %	0.4751 %	0.52547 %	0.552372 %	|	0.805 %	0.922 %	0.8765 %	0.927 %	0.9067 %	0.85417 %	1047.9812622070312
1000	64	16	|	32	-1	squared_l2
0.371 %	0.4827 %	0.53856 %	0.58401 %	|	0.832 %	0.965 %	0.9161 %	0.972 %	0.9606 %	0.92595 %	1971.7450141906738
1000	64	16	|	64	-1	squared_l2
0.372 %	0.4847 %	0.54238 %	0.59714 %	|	0.838 %	0.978 %	0.9298 %	0.989 %	0.9861 %	0.95987 %	3750.497817993164
1000	64	16	|	128	-1	squared_l2
0.372 %	0.4855 %	0.54337 %	0.601086 %	|	0.841 %	0.984 %	0.9344 %	0.996 %	0.9965 %	0.97228 %	7205.251216888428
1000	64	16	|	192	-1	squared_l2
0.372 %	0.4855 %	0.54345 %	0.601647 %	|	0.841 %	0.986 %	0.9349 %	0.999 %	0.9982 %	0.97444 %	10524.71923828125
1000	64	16	|	256	-1	squared_l2
0.372 %	0.4855 %	0.54348 %	0.601774 %	|	0.841 %	0.987 %	0.9351 %	1.0 %	0.9985 %	0.97488 %	13716.75705909729
1000	64	16	|	512	-1	squared_l2
0.372 %	0.4855 %	0.54348 %	0.601819 %	|	0.841 %	0.987 %	0.9351 %	1.0 %	0.9988 %	0.9752 %	26596.353769302368
1000	128	16	|	1	-1	squared_l2
0.344 %	0.3476 %	0.2868 %	0.183763 %	|	0.431 %	0.431 %	0.3703 %	0.431 %	0.3703 %	0.29117 %	184.5409870147705
1000	128	16	|	2	-1	squared_l2
0.458 %	0.4786 %	0.42372 %	0.297973 %	|	0.595 %	0.595 %	0.5321 %	0.595 %	0.5321 %	0.43874 %	297.6503372192383
1000	128	16	|	4	-1	squared_l2
0.539 %	0.5869 %	0.55865 %	0.440052 %	|	0.729 %	0.732 %	0.6906 %	0.732 %	0.6906 %	0.59974 %	549.9958992004395
1000	128	16	|	8	-1	squared_l2
0.597 %	0.6596 %	0.66222 %	0.583753 %	|	0.836 %	0.842 %	0.8184 %	0.842 %	0.8184 %	0.74572 %	1045.4108715057373
1000	128	16	|	16	-1	squared_l2
0.626 %	0.7 %	0.72695 %	0.695741 %	|	0.918 %	0.927 %	0.9067 %	0.927 %	0.9067 %	0.85855 %	2005.6002140045166
1000	128	16	|	32	-1	squared_l2
0.644 %	0.7194 %	0.76107 %	0.765466 %	|	0.961 %	0.972 %	0.9606 %	0.972 %	0.9607 %	0.93599 %	3849.7142791748047
1000	128	16	|	64	-1	squared_l2
0.646 %	0.7262 %	0.77476 %	0.799691 %	|	0.977 %	0.989 %	0.9862 %	0.989 %	0.9864 %	0.97671 %	7372.700929641724
1000	128	16	|	128	-1	squared_l2
0.649 %	0.7285 %	0.77971 %	0.812915 %	|	0.984 %	0.996 %	0.9968 %	0.996 %	0.997 %	0.9939 %	13996.713161468506
1000	128	16	|	192	-1	squared_l2
0.649 %	0.729 %	0.78056 %	0.815846 %	|	0.986 %	0.999 %	0.9989 %	0.999 %	0.9992 %	0.99772 %	20621.500968933105
1000	128	16	|	256	-1	squared_l2
0.65 %	0.7292 %	0.78082 %	0.816753 %	|	0.987 %	1.0 %	0.9993 %	1.0 %	0.9996 %	0.99891 %	27418.39361190796
1000	128	16	|	512	-1	squared_l2
0.65 %	0.7292 %	0.781 %	0.817413 %	|	0.987 %	1.0 %	0.9997 %	1.0 %	1.0 %	0.99998 %	52874.45259094238
1000	256	16	|	1	-1	squared_l2
0.402 %	0.3666 %	0.29081 %	0.183828 %	|	0.431 %	0.431 %	0.3703 %	0.431 %	0.3703 %	0.29117 %	326.6417980194092
1000	256	16	|	2	-1	squared_l2
0.546 %	0.5223 %	0.43754 %	0.298278 %	|	0.595 %	0.595 %	0.5321 %	0.595 %	0.5321 %	0.43874 %	568.8412189483643
1000	256	16	|	4	-1	squared_l2
0.665 %	0.6674 %	0.59492 %	0.443769 %	|	0.732 %	0.732 %	0.6906 %	0.732 %	0.6906 %	0.59974 %	1064.643144607544
1000	256	16	|	8	-1	squared_l2
0.761 %	0.7763 %	0.73279 %	0.602174 %	|	0.842 %	0.842 %	0.8184 %	0.842 %	0.8184 %	0.74572 %	2064.177989959717
1000	256	16	|	16	-1	squared_l2
0.823 %	0.845 %	0.83248 %	0.744228 %	|	0.927 %	0.927 %	0.9067 %	0.927 %	0.9067 %	0.85855 %	4002.5644302368164
1000	256	16	|	32	-1	squared_l2
0.854 %	0.8825 %	0.89228 %	0.850611 %	|	0.972 %	0.972 %	0.9607 %	0.972 %	0.9607 %	0.93599 %	7680.915594100952
1000	256	16	|	64	-1	squared_l2
0.864 %	0.8978 %	0.91831 %	0.910929 %	|	0.989 %	0.989 %	0.9864 %	0.989 %	0.9864 %	0.97671 %	14559.480428695679
1000	256	16	|	128	-1	squared_l2
0.869 %	0.9037 %	0.92759 %	0.935047 %	|	0.996 %	0.996 %	0.997 %	0.996 %	0.997 %	0.99391 %	27852.041721343994
1000	256	16	|	192	-1	squared_l2
0.87 %	0.9045 %	0.92906 %	0.94028 %	|	0.999 %	0.999 %	0.9992 %	0.999 %	0.9992 %	0.99773 %	41127.4311542511
1000	256	16	|	256	-1	squared_l2
0.871 %	0.9048 %	0.92963 %	0.941943 %	|	1.0 %	1.0 %	0.9996 %	1.0 %	0.9996 %	0.99892 %	54214.630126953125
1000	256	16	|	512	-1	squared_l2
0.871 %	0.9049 %	0.93008 %	0.94326 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99999 %	103529.30641174316
1000	32	64	|	1	-1	squared_l2
0.211 %	0.2637 %	0.25174 %	0.182936 %	|	0.4 %	0.431 %	0.3678 %	0.431 %	0.3703 %	0.2911 %	98.64521026611328
1000	32	64	|	2	-1	squared_l2
0.257 %	0.3369 %	0.34113 %	0.287624 %	|	0.534 %	0.594 %	0.5248 %	0.595 %	0.5321 %	0.43861 %	129.03165817260742
1000	32	64	|	4	-1	squared_l2
0.29 %	0.386 %	0.41038 %	0.390963 %	|	0.642 %	0.73 %	0.6701 %	0.732 %	0.6906 %	0.59903 %	211.96961402893066
1000	32	64	|	8	-1	squared_l2
0.307 %	0.4099 %	0.45275 %	0.469247 %	|	0.713 %	0.836 %	0.7752 %	0.842 %	0.8184 %	0.74142 %	375.2114772796631
1000	32	64	|	16	-1	squared_l2
0.313 %	0.422 %	0.47332 %	0.516666 %	|	0.751 %	0.915 %	0.8387 %	0.927 %	0.9065 %	0.84546 %	685.1351261138916
1000	32	64	|	32	-1	squared_l2
0.317 %	0.4268 %	0.4818 %	0.540076 %	|	0.767 %	0.954 %	0.869 %	0.972 %	0.9599 %	0.90854 %	1279.956579208374
1000	32	64	|	64	-1	squared_l2
0.318 %	0.4277 %	0.48387 %	0.548668 %	|	0.769 %	0.968 %	0.8789 %	0.989 %	0.984 %	0.93476 %	2433.3653450012207
1000	32	64	|	128	-1	squared_l2
0.318 %	0.428 %	0.48442 %	0.550817 %	|	0.771 %	0.973 %	0.8814 %	0.996 %	0.9938 %	0.94316 %	4644.7107791900635
1000	32	64	|	192	-1	squared_l2
0.318 %	0.428 %	0.48444 %	0.551067 %	|	0.771 %	0.973 %	0.8814 %	0.998 %	0.9955 %	0.94409 %	6778.122425079346
1000	32	64	|	256	-1	squared_l2
0.318 %	0.428 %	0.48445 %	0.551109 %	|	0.771 %	0.974 %	0.8815 %	0.999 %	0.9958 %	0.94431 %	8843.415975570679
1000	32	64	|	512	-1	squared_l2
0.318 %	0.428 %	0.48445 %	0.551124 %	|	0.771 %	0.974 %	0.8815 %	0.999 %	0.9958 %	0.9444 %	17342.698335647583
1000	64	64	|	1	-1	squared_l2
0.319 %	0.3312 %	0.28246 %	0.183728 %	|	0.427 %	0.431 %	0.3703 %	0.431 %	0.3703 %	0.29117 %	140.44809341430664
1000	64	64	|	2	-1	squared_l2
0.395 %	0.4465 %	0.41089 %	0.297408 %	|	0.591 %	0.595 %	0.5321 %	0.595 %	0.5321 %	0.43874 %	204.97584342956543
1000	64	64	|	4	-1	squared_l2
0.447 %	0.5363 %	0.53018 %	0.434889 %	|	0.72 %	0.732 %	0.6906 %	0.732 %	0.6906 %	0.59974 %	367.16771125793457
1000	64	64	|	8	-1	squared_l2
0.491 %	0.5909 %	0.61544 %	0.564713 %	|	0.826 %	0.842 %	0.818 %	0.842 %	0.8184 %	0.74571 %	681.7135810852051
1000	64	64	|	16	-1	squared_l2
0.511 %	0.623 %	0.66555 %	0.658211 %	|	0.902 %	0.927 %	0.9056 %	0.927 %	0.9067 %	0.85852 %	1294.3744659423828
1000	64	64	|	32	-1	squared_l2
0.523 %	0.6388 %	0.69239 %	0.713649 %	|	0.94 %	0.972 %	0.9591 %	0.972 %	0.9607 %	0.93587 %	2457.796335220337
1000	64	64	|	64	-1	squared_l2
0.526 %	0.6445 %	0.70311 %	0.740078 %	|	0.953 %	0.989 %	0.984 %	0.989 %	0.9864 %	0.97637 %	4688.126087188721
1000	64	64	|	128	-1	squared_l2
0.529 %	0.6465 %	0.70664 %	0.749617 %	|	0.959 %	0.996 %	0.9938 %	0.996 %	0.997 %	0.99333 %	8963.589668273926
1000	64	64	|	192	-1	squared_l2
0.529 %	0.6466 %	0.70714 %	0.75161 %	|	0.959 %	0.999 %	0.9956 %	0.999 %	0.9992 %	0.99697 %	13410.330772399902
1000	64	64	|	256	-1	squared_l2
0.53 %	0.6467 %	0.70727 %	0.752167 %	|	0.96 %	1.0 %	0.996 %	1.0 %	0.9996 %	0.99811 %	17297.9793548584
1000	64	64	|	512	-1	squared_l2
0.53 %	0.6467 %	0.70733 %	0.75254 %	|	0.96 %	1.0 %	0.9963 %	1.0 %	1.0 %	0.99909 %	33331.7711353302
1000	128	64	|	1	-1	squared_l2
0.384 %	0.3627 %	0.29031 %	0.183807 %	|	0.431 %	0.431 %	0.3703 %	0.431 %	0.3703 %	0.29117 %	220.95918655395508
1000	128	64	|	2	-1	squared_l2
0.522 %	0.5132 %	0.43562 %	0.298246 %	|	0.595 %	0.595 %	0.5321 %	0.595 %	0.5321 %	0.43874 %	361.55033111572266
1000	128	64	|	4	-1	squared_l2
0.631 %	0.6529 %	0.58923 %	0.443422 %	|	0.732 %	0.732 %	0.6906 %	0.732 %	0.6906 %	0.59974 %	676.9628524780273
1000	128	64	|	8	-1	squared_l2
0.712 %	0.7512 %	0.71979 %	0.599821 %	|	0.842 %	0.842 %	0.8184 %	0.842 %	0.8184 %	0.74572 %	1291.2945747375488
1000	128	64	|	16	-1	squared_l2
