Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	256	|	1	-1	squared_l2
0.381 %	0.3627 %	0.30709 %	0.20241 %	|	0.422 %	0.422 %	0.3732 %	0.422 %	0.3732 %	0.30873 %	38.4066104888916
800	0.2	256	|	2	-1	squared_l2
0.53 %	0.5223 %	0.45788 %	0.328039 %	|	0.599 %	0.599 %	0.5449 %	0.599 %	0.5449 %	0.46293 %	44.518470764160156
800	0.2	256	|	4	-1	squared_l2
0.649 %	0.6612 %	0.60882 %	0.4763 %	|	0.749 %	0.749 %	0.7034 %	0.749 %	0.7034 %	0.62213 %	57.225704193115234
800	0.2	256	|	8	-1	squared_l2
0.748 %	0.7639 %	0.73712 %	0.630326 %	|	0.873 %	0.873 %	0.8327 %	0.873 %	0.8327 %	0.76417 %	47.234535217285156
800	0.2	256	|	16	-1	squared_l2
0.803 %	0.826 %	0.82943 %	0.764763 %	|	0.95 %	0.95 %	0.9194 %	0.95 %	0.9194 %	0.87527 %	59.89503860473633
800	0.2	256	|	25	-1	squared_l2
0.825 %	0.8509 %	0.86683 %	0.831359 %	|	0.976 %	0.976 %	0.9559 %	0.976 %	0.9559 %	0.92594 %	82.70072937011719
800	0.2	256	|	30	-1	squared_l2
0.83 %	0.8556 %	0.87695 %	0.851587 %	|	0.982 %	0.982 %	0.9649 %	0.982 %	0.9649 %	0.94083 %	133.17584991455078
800	0.2	256	|	35	-1	squared_l2
0.831 %	0.8603 %	0.8843 %	0.866595 %	|	0.987 %	0.987 %	0.9719 %	0.987 %	0.9719 %	0.95157 %	162.3823642730713
800	0.2	256	|	40	-1	squared_l2
0.831 %	0.863 %	0.88978 %	0.878093 %	|	0.987 %	0.987 %	0.9765 %	0.987 %	0.9765 %	0.95972 %	171.19264602661133
800	0.2	256	|	45	-1	squared_l2
0.833 %	0.8657 %	0.89427 %	0.887336 %	|	0.99 %	0.99 %	0.9811 %	0.99 %	0.9811 %	0.96669 %	166.3198471069336
800	0.2	256	|	50	-1	squared_l2
0.834 %	0.867 %	0.89718 %	0.894405 %	|	0.991 %	0.991 %	0.9836 %	0.991 %	0.9836 %	0.97168 %	152.41146087646484
800	0.2	256	|	55	-1	squared_l2
0.834 %	0.8688 %	0.89945 %	0.90031 %	|	0.991 %	0.991 %	0.9868 %	0.991 %	0.9868 %	0.97585 %	178.89809608459473
800	0.2	256	|	60	-1	squared_l2
0.834 %	0.8694 %	0.90125 %	0.904778 %	|	0.992 %	0.992 %	0.9881 %	0.992 %	0.9881 %	0.97884 %	175.00638961791992
800	0.2	256	|	65	-1	squared_l2
0.835 %	0.8698 %	0.90287 %	0.908594 %	|	0.993 %	0.993 %	0.9897 %	0.993 %	0.9897 %	0.98156 %	213.6833667755127
800	0.2	256	|	75	-1	squared_l2
0.836 %	0.8716 %	0.90499 %	0.914515 %	|	0.995 %	0.995 %	0.9926 %	0.995 %	0.9926 %	0.98579 %	219.160795211792
800	0.2	256	|	90	-1	squared_l2
0.836 %	0.8735 %	0.90694 %	0.920401 %	|	0.995 %	0.995 %	0.9953 %	0.995 %	0.9953 %	0.9899 %	264.6374702453613
800	0.2	256	|	110	-1	squared_l2
0.837 %	0.874 %	0.90856 %	0.925105 %	|	0.996 %	0.996 %	0.9967 %	0.996 %	0.9967 %	0.99343 %	299.8471260070801
800	0.2	256	|	130	-1	squared_l2
0.839 %	0.8748 %	0.90963 %	0.927954 %	|	0.998 %	0.998 %	0.9981 %	0.998 %	0.9981 %	0.9955 %	345.0934886932373
800	0.2	256	|	150	-1	squared_l2
0.839 %	0.8751 %	0.91024 %	0.929881 %	|	0.998 %	0.998 %	0.9984 %	0.998 %	0.9984 %	0.99693 %	396.1799144744873
800	0.2	256	|	170	-1	squared_l2
0.839 %	0.8754 %	0.91061 %	0.931127 %	|	0.998 %	0.998 %	0.999 %	0.998 %	0.999 %	0.99782 %	476.09734535217285
800	0.2	256	|	200	-1	squared_l2
0.839 %	0.8757 %	0.91109 %	0.932389 %	|	0.998 %	0.998 %	0.9994 %	0.998 %	0.9994 %	0.99875 %	504.7295093536377
800	0.2	256	|	220	-1	squared_l2
0.84 %	0.8758 %	0.91121 %	0.932846 %	|	0.999 %	0.999 %	0.9995 %	0.999 %	0.9995 %	0.99903 %	581.0062885284424
800	0.2	256	|	250	-1	squared_l2
0.841 %	0.8759 %	0.91143 %	0.9333 %	|	1.0 %	1.0 %	0.9998 %	1.0 %	0.9998 %	0.99945 %	659.7452163696289
800	0.2	256	|	310	-1	squared_l2
0.841 %	0.876 %	0.91159 %	0.933812 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99988 %	756.608247756958
800	0.2	256	|	400	-1	squared_l2
0.841 %	0.876 %	0.91159 %	0.934091 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99996 %	971.0297584533691
800	0.2	256	|	500	-1	squared_l2
0.841 %	0.876 %	0.91161 %	0.934166 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99997 %	1199.9473571777344
800	0.2	256	|	800	-1	squared_l2
0.841 %	0.876 %	0.91163 %	0.934197 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1824.7201442718506
800	0.2	128	|	1	-1	squared_l2
0.309 %	0.3218 %	0.29539 %	0.202144 %	|	0.419 %	0.422 %	0.3732 %	0.422 %	0.3732 %	0.30873 %	32.16719627380371
