Program: scann Topk: 1000 Num_split: 1 Batch: 1
L	Threashold	m	|	w	r	Metric
4000	0.2	256	|	1	-1	squared_l2
0.27 %	0.222 %	0.1607 %	0.08042 %	|	0.27 %	0.27 %	0.222 %	0.27 %	0.222 %	0.1607 %	2673.4352111816406
4000	0.2	256	|	2	-1	squared_l2
0.41 %	0.35 %	0.2603 %	0.13724 %	|	0.42 %	0.42 %	0.354 %	0.42 %	0.354 %	0.2603 %	2384.2334747314453
4000	0.2	256	|	4	-1	squared_l2
0.55 %	0.479 %	0.3819 %	0.22087 %	|	0.58 %	0.58 %	0.489 %	0.58 %	0.489 %	0.3826 %	2687.9310607910156
4000	0.2	256	|	8	-1	squared_l2
0.61 %	0.606 %	0.5237 %	0.34112 %	|	0.68 %	0.68 %	0.636 %	0.68 %	0.636 %	0.5277 %	3047.4185943603516
4000	0.2	256	|	16	-1	squared_l2
0.66 %	0.694 %	0.6451 %	0.47637 %	|	0.75 %	0.75 %	0.742 %	0.75 %	0.742 %	0.6578 %	3467.2021865844727
4000	0.2	256	|	25	-1	squared_l2
0.73 %	0.748 %	0.7145 %	0.57165 %	|	0.83 %	0.83 %	0.811 %	0.83 %	0.811 %	0.735 %	3901.7677307128906
4000	0.2	256	|	30	-1	squared_l2
0.74 %	0.772 %	0.7439 %	0.6099 %	|	0.85 %	0.85 %	0.846 %	0.85 %	0.846 %	0.7686 %	4140.496253967285
4000	0.2	256	|	35	-1	squared_l2
0.77 %	0.795 %	0.768 %	0.64156 %	|	0.88 %	0.88 %	0.872 %	0.88 %	0.872 %	0.796 %	4358.482360839844
4000	0.2	256	|	40	-1	squared_l2
0.78 %	0.808 %	0.7846 %	0.66874 %	|	0.89 %	0.89 %	0.893 %	0.89 %	0.893 %	0.8163 %	4576.611518859863
4000	0.2	256	|	45	-1	squared_l2
0.8 %	0.817 %	0.7997 %	0.69196 %	|	0.91 %	0.91 %	0.908 %	0.91 %	0.908 %	0.8331 %	4766.678810119629
4000	0.2	256	|	50	-1	squared_l2
0.81 %	0.824 %	0.8104 %	0.71354 %	|	0.92 %	0.92 %	0.917 %	0.92 %	0.917 %	0.8474 %	4999.852180480957
4000	0.2	256	|	55	-1	squared_l2
0.81 %	0.828 %	0.8211 %	0.73189 %	|	0.92 %	0.92 %	0.922 %	0.92 %	0.922 %	0.8606 %	5186.724662780762
4000	0.2	256	|	60	-1	squared_l2
0.81 %	0.832 %	0.8286 %	0.74675 %	|	0.92 %	0.92 %	0.929 %	0.92 %	0.929 %	0.8711 %	5419.754981994629
4000	0.2	256	|	65	-1	squared_l2
0.82 %	0.834 %	0.8343 %	0.75983 %	|	0.93 %	0.93 %	0.933 %	0.93 %	0.933 %	0.8796 %	5599.212646484375
4000	0.2	256	|	75	-1	squared_l2
0.85 %	0.844 %	0.8453 %	0.7839 %	|	0.97 %	0.97 %	0.945 %	0.97 %	0.945 %	0.8953 %	6048.727035522461
4000	0.2	256	|	90	-1	squared_l2
0.85 %	0.847 %	0.858 %	0.81099 %	|	0.98 %	0.98 %	0.953 %	0.98 %	0.953 %	0.913 %	6606.507301330566
4000	0.2	256	|	110	-1	squared_l2
0.87 %	0.855 %	0.8711 %	0.83602 %	|	1.0 %	1.0 %	0.964 %	1.0 %	0.964 %	0.9315 %	7415.008544921875
4000	0.2	256	|	130	-1	squared_l2
0.87 %	0.86 %	0.8786 %	0.85538 %	|	1.0 %	1.0 %	0.971 %	1.0 %	0.971 %	0.9437 %	8178.73477935791
4000	0.2	256	|	150	-1	squared_l2
0.87 %	0.865 %	0.8859 %	0.86921 %	|	1.0 %	1.0 %	0.979 %	1.0 %	0.979 %	0.9542 %	9166.431427001953
4000	0.2	256	|	170	-1	squared_l2
0.87 %	0.869 %	0.8909 %	0.88095 %	|	1.0 %	1.0 %	0.984 %	1.0 %	0.984 %	0.9624 %	9858.67977142334
4000	0.2	256	|	200	-1	squared_l2
0.87 %	0.872 %	0.8969 %	0.89334 %	|	1.0 %	1.0 %	0.987 %	1.0 %	0.987 %	0.9712 %	11033.368110656738
4000	0.2	256	|	220	-1	squared_l2
0.87 %	0.874 %	0.8984 %	0.89902 %	|	1.0 %	1.0 %	0.992 %	1.0 %	0.992 %	0.9748 %	11722.445487976074
4000	0.2	256	|	250	-1	squared_l2
