Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
800	32	256	|	1	-1	squared_l2
0.238 %	0.3098 %	0.28979 %	0.205328 %	|	0.398 %	0.409 %	0.3926 %	0.409 %	0.3933 %	0.31754 %	60.75334548950195
800	32	256	|	16	-1	squared_l2
0.407 %	0.511 %	0.56863 %	0.597581 %	|	0.841 %	0.935 %	0.8991 %	0.937 %	0.9202 %	0.87731 %	67.33560562133789
800	32	256	|	32	-1	squared_l2
0.414 %	0.5182 %	0.58178 %	0.628134 %	|	0.866 %	0.975 %	0.9396 %	0.979 %	0.9699 %	0.94232 %	72.79109954833984
800	32	256	|	64	-1	squared_l2
0.414 %	0.5205 %	0.58578 %	0.640682 %	|	0.873 %	0.986 %	0.9531 %	0.991 %	0.9908 %	0.97273 %	83.76312255859375
800	32	256	|	128	-1	squared_l2
0.414 %	0.5208 %	0.58669 %	0.644493 %	|	0.874 %	0.993 %	0.9567 %	0.998 %	0.9983 %	0.98376 %	102.0212173461914
800	32	256	|	256	-1	squared_l2
0.414 %	0.5209 %	0.58679 %	0.645137 %	|	0.874 %	0.994 %	0.9575 %	1.0 %	0.9999 %	0.98586 %	138.81397247314453
800	32	256	|	320	-1	squared_l2
0.414 %	0.5209 %	0.5868 %	0.645163 %	|	0.874 %	0.994 %	0.9576 %	1.0 %	1.0 %	0.98601 %	161.64064407348633
800	32	256	|	384	-1	squared_l2
0.414 %	0.5209 %	0.5868 %	0.645171 %	|	0.874 %	0.994 %	0.9576 %	1.0 %	1.0 %	0.98604 %	173.1865406036377
800	32	256	|	448	-1	squared_l2
0.414 %	0.5209 %	0.5868 %	0.645171 %	|	0.874 %	0.994 %	0.9576 %	1.0 %	1.0 %	0.98604 %	176.5766143798828
800	32	256	|	512	-1	squared_l2
0.414 %	0.5209 %	0.5868 %	0.64517 %	|	0.874 %	0.994 %	0.9576 %	1.0 %	1.0 %	0.98605 %	185.95623970031738
800	32	256	|	576	-1	squared_l2
0.414 %	0.5209 %	0.5868 %	0.645169 %	|	0.874 %	0.994 %	0.9576 %	1.0 %	1.0 %	0.98605 %	202.13961601257324
800	32	256	|	640	-1	squared_l2
0.414 %	0.5209 %	0.5868 %	0.64517 %	|	0.874 %	0.994 %	0.9576 %	1.0 %	1.0 %	0.98605 %	234.541654586792
800	32	256	|	704	-1	squared_l2
0.414 %	0.5209 %	0.5868 %	0.64517 %	|	0.874 %	0.994 %	0.9576 %	1.0 %	1.0 %	0.98605 %	247.56407737731934
800	32	256	|	768	-1	squared_l2
0.414 %	0.5209 %	0.5868 %	0.64517 %	|	0.874 %	0.994 %	0.9576 %	1.0 %	1.0 %	0.98605 %	262.44163513183594
800	64	256	|	1	-1	squared_l2
