Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
4000	12	256	|	1	-1	squared_l2
0.1967 %	0.24529 %	0.224128 %	0.1216437 %	|	0.3595 %	0.3794 %	0.3276 %	0.3798 %	0.32859 %	0.241471 %	2369.6188926696777
4000	12	256	|	16	-1	squared_l2
0.3106 %	0.43527 %	0.509676 %	0.5303961 %	|	0.7508 %	0.8987 %	0.83377 %	0.9038 %	0.86572 %	0.787282 %	2431.941270828247
4000	12	256	|	32	-1	squared_l2
0.3141 %	0.44457 %	0.529911 %	0.585304 %	|	0.7738 %	0.9476 %	0.88479 %	0.955 %	0.93264 %	0.879129 %	2469.8362350463867
4000	12	256	|	64	-1	squared_l2
0.3163 %	0.44741 %	0.538752 %	0.6132587 %	|	0.7832 %	0.9734 %	0.90939 %	0.9839 %	0.97075 %	0.934627 %	2604.4013500213623
4000	12	256	|	128	-1	squared_l2
0.3167 %	0.44858 %	0.541943 %	0.6255633 %	|	0.7872 %	0.983 %	0.91974 %	0.9953 %	0.9896 %	0.962342 %	2674.74102973938
4000	12	256	|	256	-1	squared_l2
0.3167 %	0.44883 %	0.542792 %	0.6300155 %	|	0.7878 %	0.9852 %	0.92253 %	0.9986 %	0.99661 %	0.973367 %	2808.7027072906494
4000	12	256	|	320	-1	squared_l2
0.3167 %	0.44887 %	0.542882 %	0.6305768 %	|	0.788 %	0.9856 %	0.92275 %	0.9992 %	0.99747 %	0.974918 %	2872.271776199341
4000	12	256	|	384	-1	squared_l2
0.3167 %	0.44887 %	0.542928 %	0.6308693 %	|	0.788 %	0.9856 %	0.92291 %	0.9992 %	0.99809 %	0.975709 %	2931.7445755004883
4000	12	256	|	448	-1	squared_l2
0.3167 %	0.44886 %	0.542942 %	0.6310526 %	|	0.788 %	0.9858 %	0.92303 %	0.9994 %	0.99844 %	0.976193 %	2994.5058822631836
4000	12	256	|	512	-1	squared_l2
0.3167 %	0.44886 %	0.542953 %	0.6311598 %	|	0.788 %	0.9858 %	0.92305 %	0.9996 %	0.99866 %	0.976495 %	3056.5645694732666
4000	12	256	|	576	-1	squared_l2
0.3167 %	0.44886 %	0.542956 %	0.6312214 %	|	0.788 %	0.9859 %	0.92309 %	0.9997 %	0.99886 %	0.97667 %	3117.870807647705
4000	12	256	|	640	-1	squared_l2
0.3167 %	0.44886 %	0.542956 %	0.6312637 %	|	0.788 %	0.9859 %	0.92311 %	0.9997 %	0.99893 %	0.976777 %	3169.2278385162354
4000	12	256	|	704	-1	squared_l2
0.3167 %	0.44886 %	0.542959 %	0.6312905 %	|	0.788 %	0.986 %	0.92312 %	0.9998 %	0.99898 %	0.976833 %	3230.915307998657
4000	12	256	|	768	-1	squared_l2
0.3167 %	0.44886 %	0.542964 %	0.6313083 %	|	0.788 %	0.986 %	0.92312 %	0.9998 %	0.999 %	0.976868 %	3308.082103729248
4000	12	256	|	1024	-1	squared_l2
0.3167 %	0.44886 %	0.542966 %	0.6313399 %	|	0.788 %	0.986 %	0.92312 %	0.9998 %	0.99906 %	0.976966 %	3514.6243572235107
4000	12	256	|	1280	-1	squared_l2
0.3167 %	0.44886 %	0.542969 %	0.6313513 %	|	0.788 %	0.986 %	0.92312 %	0.9998 %	0.99907 %	0.977005 %	3765.338897705078
4000	12	256	|	1536	-1	squared_l2
0.3167 %	0.44886 %	0.54297 %	0.6313532 %	|	0.788 %	0.986 %	0.92312 %	0.9998 %	0.99907 %	0.977013 %	4516.10541343689
4000	12	256	|	2048	-1	squared_l2
