Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
800	20	256	|	1	-1	dot_product
0.2518 %	0.29817 %	0.311807 %	0.2723296 %	|	0.4463 %	0.4953 %	0.45294 %	0.4994 %	0.46859 %	0.407907 %	697.7133750915527
800	20	256	|	16	-1	dot_product
0.3883 %	0.45094 %	0.502913 %	0.5386746 %	|	0.7531 %	0.8839 %	0.81502 %	0.8962 %	0.87593 %	0.817937 %	808.8083267211914
800	20	256	|	32	-1	dot_product
0.3978 %	0.46115 %	0.516738 %	0.5652046 %	|	0.7787 %	0.9217 %	0.84854 %	0.9369 %	0.92154 %	0.867987 %	942.7464008331299
800	20	256	|	64	-1	dot_product
0.4029 %	0.46694 %	0.52488 %	0.5823177 %	|	0.794 %	0.9472 %	0.87012 %	0.965 %	0.95321 %	0.903236 %	1178.7402629852295
800	20	256	|	128	-1	dot_product
0.406 %	0.47058 %	0.529811 %	0.5925568 %	|	0.8046 %	0.963 %	0.88419 %	0.9837 %	0.97541 %	0.926807 %	1821.4218616485596
800	20	256	|	256	-1	dot_product
0.4082 %	0.47247 %	0.532371 %	0.5979881 %	|	0.8105 %	0.9732 %	0.89181 %	0.9952 %	0.98817 %	0.940378 %	3097.672462463379
800	20	256	|	320	-1	dot_product
0.4083 %	0.47271 %	0.532734 %	0.5989415 %	|	0.811 %	0.9741 %	0.89304 %	0.9963 %	0.99039 %	0.942803 %	3477.2229194641113
800	20	256	|	384	-1	dot_product
0.4085 %	0.47301 %	0.533004 %	0.5994646 %	|	0.8117 %	0.9748 %	0.89401 %	0.9972 %	0.99202 %	0.944296 %	5781.313180923462
800	20	256	|	448	-1	dot_product
0.4084 %	0.47319 %	0.533139 %	0.5997933 %	|	0.8119 %	0.9752 %	0.8945 %	0.9977 %	0.99295 %	0.945191 %	7511.940717697144
800	20	256	|	512	-1	dot_product
0.4085 %	0.47323 %	0.533216 %	0.5999839 %	|	0.8121 %	0.9759 %	0.8949 %	0.9985 %	0.9936 %	0.945752 %	8571.677684783936
800	20	256	|	576	-1	dot_product
0.4085 %	0.47323 %	0.533263 %	0.6000947 %	|	0.8121 %	0.976 %	0.89503 %	0.9988 %	0.99388 %	0.946072 %	9656.868934631348
800	20	256	|	640	-1	dot_product
0.4085 %	0.47324 %	0.533299 %	0.6001544 %	|	0.8122 %	0.9761 %	0.89514 %	0.999 %	0.99409 %	0.946246 %	10717.462301254272
800	20	256	|	704	-1	dot_product
0.4085 %	0.47324 %	0.53331 %	0.6001813 %	|	0.8122 %	0.9762 %	0.89517 %	0.9991 %	0.99416 %	0.94634 %	11947.778940200806
800	20	256	|	768	-1	dot_product
0.4085 %	0.47326 %	0.533313 %	0.6001941 %	|	0.8122 %	0.9763 %	0.8952 %	0.9992 %	0.99421 %	0.946375 %	12805.577516555786
800	25	256	|	1	-1	dot_product
0.2969 %	0.34093 %	0.341205 %	0.2849057 %	|	0.4723 %	0.4989 %	0.4636 %	0.4994 %	0.46872 %	0.410166 %	697.2310543060303
800	25	256	|	16	-1	dot_product
0.4696 %	0.53817 %	0.579248 %	0.5958117 %	|	0.8239 %	0.8945 %	0.85647 %	0.8964 %	0.8773 %	0.833016 %	849.7891426086426
800	25	256	|	32	-1	dot_product
0.4829 %	0.55222 %	0.599114 %	0.6310187 %	|	0.8551 %	0.9349 %	0.89777 %	0.9373 %	0.9238 %	0.888734 %	976.2430191040039
800	25	256	|	64	-1	dot_product
0.4912 %	0.56075 %	0.611504 %	0.6544591 %	|	0.876 %	0.9626 %	0.92569 %	0.9654 %	0.95642 %	0.929813 %	1230.2334308624268
800	25	256	|	128	-1	dot_product
0.4959 %	0.566 %	0.61884 %	0.6690134 %	|	0.8894 %	0.9804 %	0.94403 %	0.9843 %	0.97948 %	0.958349 %	1936.3837242126465
800	25	256	|	256	-1	dot_product
0.4997 %	0.56832 %	0.622619 %	0.6769956 %	|	0.8973 %	0.9918 %	0.95438 %	0.996 %	0.99302 %	0.975501 %	3274.5237350463867
800	25	256	|	320	-1	dot_product
0.4998 %	0.56862 %	0.623345 %	0.6784285 %	|	0.8982 %	0.9928 %	0.9562 %	0.9971 %	0.99542 %	0.978747 %	3655.014753341675
800	25	256	|	384	-1	dot_product
0.5001 %	0.56893 %	0.623811 %	0.6792807 %	|	0.8988 %	0.9937 %	0.95749 %	0.998 %	0.99712 %	0.980787 %	5751.925706863403
800	25	256	|	448	-1	dot_product
0.5002 %	0.56903 %	0.624063 %	0.6797955 %	|	0.8989 %	0.9942 %	0.9582 %	0.9985 %	0.99811 %	0.982052 %	7552.714109420776
800	25	256	|	512	-1	dot_product
0.5002 %	0.5692 %	0.624204 %	0.6801016 %	|	0.8995 %	0.9949 %	0.95868 %	0.9993 %	0.99885 %	0.98285 %	8587.73136138916
800	25	256	|	576	-1	dot_product
0.5002 %	0.56924 %	0.624276 %	0.680283 %	|	0.8997 %	0.9951 %	0.95888 %	0.9996 %	0.99914 %	0.983297 %	9662.68253326416
800	25	256	|	640	-1	dot_product
0.5003 %	0.56928 %	0.62431 %	0.680389 %	|	0.8998 %	0.9952 %	0.95905 %	0.9998 %	0.99937 %	0.983537 %	10722.803592681885
800	25	256	|	704	-1	dot_product
0.5003 %	0.56928 %	0.624334 %	0.6804388 %	|	0.8998 %	0.9953 %	0.95912 %	0.9999 %	0.99945 %	0.983683 %	11763.938665390015
800	25	256	|	768	-1	dot_product
0.5003 %	0.56928 %	0.624341 %	0.6804588 %	|	0.8998 %	0.9953 %	0.95915 %	1.0 %	0.9995 %	0.983739 %	12965.671062469482
800	50	256	|	1	-1	dot_product
0.4374 %	0.44128 %	0.400605 %	0.3069076 %	|	0.4992 %	0.4994 %	0.46874 %	0.4994 %	0.46874 %	0.410632 %	742.7423000335693
800	50	256	|	16	-1	dot_product
0.7497 %	0.77883 %	0.778664 %	0.7277936 %	|	0.8958 %	0.8964 %	0.8774 %	0.8964 %	0.87741 %	0.837292 %	891.17431640625
800	50	256	|	32	-1	dot_product
0.7794 %	0.81084 %	0.821253 %	0.7941958 %	|	0.9364 %	0.9373 %	0.92399 %	0.9373 %	0.924 %	0.895282 %	1111.8223667144775
800	50	256	|	64	-1	dot_product
0.7986 %	0.83091 %	0.850281 %	0.8432404 %	|	0.9645 %	0.9654 %	0.95666 %	0.9654 %	0.95667 %	0.939014 %	1440.5360221862793
800	50	256	|	128	-1	dot_product
0.8116 %	0.84375 %	0.868235 %	0.8759279 %	|	0.9834 %	0.9843 %	0.97984 %	0.9843 %	0.97985 %	0.970485 %	2295.839309692383
800	50	256	|	256	-1	dot_product
0.8194 %	0.85038 %	0.8777 %	0.8941242 %	|	0.9951 %	0.996 %	0.99342 %	0.996 %	0.99343 %	0.990127 %	3957.772731781006
800	50	256	|	320	-1	dot_product
0.82 %	0.85157 %	0.879321 %	0.8974354 %	|	0.9962 %	0.9971 %	0.99582 %	0.9971 %	0.99584 %	0.993932 %	4431.543588638306
800	50	256	|	384	-1	dot_product
0.8205 %	0.85244 %	0.880326 %	0.8994037 %	|	0.9971 %	0.998 %	0.99756 %	0.998 %	0.99758 %	0.996358 %	5780.636310577393
800	50	256	|	448	-1	dot_product
0.8207 %	0.85294 %	0.880976 %	0.9006343 %	|	0.9976 %	0.9985 %	0.99855 %	0.9985 %	0.99858 %	0.997865 %	7560.904264450073
800	50	256	|	512	-1	dot_product
0.8212 %	0.85325 %	0.881377 %	0.9013867 %	|	0.9984 %	0.9993 %	0.9993 %	0.9993 %	0.99933 %	0.998842 %	8545.43399810791
800	50	256	|	576	-1	dot_product
