Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
800	20	256	|	1	-1	dot_product
0.1733 %	0.32321 %	0.406439 %	0.3493078 %	|	0.4312 %	0.5139 %	0.50179 %	0.5184 %	0.51167 %	0.472292 %	606.5208911895752
800	20	256	|	16	-1	dot_product
0.24 %	0.446 %	0.599203 %	0.6355876 %	|	0.6322 %	0.8436 %	0.80711 %	0.8789 %	0.86546 %	0.83747 %	715.641975402832
800	20	256	|	32	-1	dot_product
0.2441 %	0.4518 %	0.608506 %	0.6507212 %	|	0.6443 %	0.865 %	0.82568 %	0.9044 %	0.89006 %	0.86257 %	741.2731647491455
800	20	256	|	64	-1	dot_product
0.2465 %	0.45628 %	0.615995 %	0.6615765 %	|	0.6543 %	0.8825 %	0.84061 %	0.9255 %	0.91077 %	0.882962 %	778.0394554138184
800	20	256	|	128	-1	dot_product
0.248 %	0.45883 %	0.621305 %	0.6697286 %	|	0.6599 %	0.8953 %	0.85178 %	0.9417 %	0.92722 %	0.899188 %	896.0015773773193
800	20	256	|	256	-1	dot_product
0.2489 %	0.46087 %	0.625993 %	0.6767557 %	|	0.6639 %	0.9034 %	0.86122 %	0.9529 %	0.94123 %	0.914359 %	1174.4942665100098
800	20	256	|	320	-1	dot_product
0.2488 %	0.46147 %	0.627429 %	0.6789697 %	|	0.6655 %	0.9067 %	0.86444 %	0.9568 %	0.94608 %	0.919381 %	1407.4337482452393
800	20	256	|	384	-1	dot_product
0.249 %	0.46217 %	0.628681 %	0.680833 %	|	0.6662 %	0.9086 %	0.86699 %	0.9598 %	0.9502 %	0.923857 %	1548.0144023895264
800	20	256	|	448	-1	dot_product
0.2495 %	0.46268 %	0.629912 %	0.6826306 %	|	0.6677 %	0.9112 %	0.86933 %	0.9631 %	0.95382 %	0.928038 %	1822.002649307251
800	20	256	|	512	-1	dot_product
0.2495 %	0.46326 %	0.631146 %	0.6843973 %	|	0.6683 %	0.9131 %	0.8718 %	0.9662 %	0.95772 %	0.932179 %	1949.8133659362793
800	20	256	|	576	-1	dot_product
0.2498 %	0.46378 %	0.632235 %	0.686085 %	|	0.6697 %	0.9156 %	0.87395 %	0.9699 %	0.96101 %	0.936064 %	2282.360553741455
800	20	256	|	640	-1	dot_product
0.2502 %	0.46417 %	0.633323 %	0.6877991 %	|	0.6707 %	0.9179 %	0.87614 %	0.9728 %	0.9644 %	0.940191 %	2411.290407180786
800	20	256	|	704	-1	dot_product
0.2505 %	0.46474 %	0.634617 %	0.6900226 %	|	0.6718 %	0.9204 %	0.87866 %	0.9758 %	0.96829 %	0.945386 %	2834.00297164917
800	20	256	|	768	-1	dot_product
0.2514 %	0.4662 %	0.636887 %	0.693732 %	|	0.6751 %	0.926 %	0.88357 %	0.9824 %	0.97524 %	0.95393 %	3060.6276988983154
800	25	256	|	1	-1	dot_product
0.2168 %	0.35951 %	0.428383 %	0.3527633 %	|	0.4631 %	0.517 %	0.50804 %	0.5184 %	0.51169 %	0.472395 %	585.8566761016846
800	25	256	|	16	-1	dot_product
0.307 %	0.51353 %	0.655252 %	0.6790498 %	|	0.712 %	0.8662 %	0.83668 %	0.8811 %	0.86812 %	0.844173 %	704.1265964508057
800	25	256	|	32	-1	dot_product
0.3114 %	0.52098 %	0.666889 %	0.6983512 %	|	0.7268 %	0.889 %	0.85817 %	0.9073 %	0.89362 %	0.870817 %	750.2307891845703
800	25	256	|	64	-1	dot_product
0.3139 %	0.52701 %	0.676181 %	0.7123888 %	|	0.7386 %	0.9083 %	0.87603 %	0.929 %	0.91493 %	0.892641 %	809.934139251709
800	25	256	|	128	-1	dot_product
0.3153 %	0.5307 %	0.682864 %	0.7230532 %	|	0.7458 %	0.9231 %	0.88947 %	0.9458 %	0.93225 %	0.910227 %	1012.22825050354
800	25	256	|	256	-1	dot_product
0.3165 %	0.53391 %	0.688986 %	0.7323163 %	|	0.7502 %	0.9326 %	0.90122 %	0.9574 %	0.94707 %	0.926811 %	1397.0379829406738
800	25	256	|	320	-1	dot_product
0.3166 %	0.53472 %	0.690857 %	0.7352798 %	|	0.7521 %	0.936 %	0.90509 %	0.9614 %	0.95221 %	0.932309 %	1561.0933303833008
800	25	256	|	384	-1	dot_product
0.3172 %	0.53564 %	0.692447 %	0.7377585 %	|	0.7536 %	0.9384 %	0.90848 %	0.9644 %	0.95657 %	0.937235 %	1864.072322845459
800	25	256	|	448	-1	dot_product
0.318 %	0.5365 %	0.693984 %	0.7401444 %	|	0.7549 %	0.9415 %	0.9114 %	0.968 %	0.96041 %	0.941913 %	2030.400276184082
800	25	256	|	512	-1	dot_product
0.3182 %	0.53734 %	0.695479 %	0.7424837 %	|	0.7564 %	0.9439 %	0.91451 %	0.9711 %	0.9645 %	0.946407 %	2367.4991130828857
800	25	256	|	576	-1	dot_product
0.3183 %	0.53816 %	0.69681 %	0.7447012 %	|	0.7579 %	0.9468 %	0.91716 %	0.9749 %	0.96818 %	0.950777 %	2604.7229766845703
800	25	256	|	640	-1	dot_product
0.3186 %	0.53869 %	0.698202 %	0.7469778 %	|	0.7594 %	0.9495 %	0.91982 %	0.9779 %	0.97182 %	0.955313 %	3025.529146194458
800	25	256	|	704	-1	dot_product
0.3188 %	0.53934 %	0.699851 %	0.7499048 %	|	0.761 %	0.9521 %	0.92281 %	0.9808 %	0.97606 %	0.961084 %	3238.4400367736816
800	25	256	|	768	-1	dot_product
0.3194 %	0.54103 %	0.702796 %	0.7546511 %	|	0.7649 %	0.9579 %	0.92872 %	0.988 %	0.98358 %	0.970476 %	3768.0037021636963
800	50	256	|	1	-1	dot_product
0.3586 %	0.45414 %	0.464229 %	0.3553604 %	|	0.5129 %	0.5184 %	0.51164 %	0.5184 %	0.51169 %	0.47242 %	614.4235134124756
800	50	256	|	16	-1	dot_product
0.5571 %	0.70873 %	0.780788 %	0.7605079 %	|	0.856 %	0.8817 %	0.8674 %	0.8819 %	0.86932 %	0.847763 %	751.4064311981201
800	50	256	|	32	-1	dot_product
0.5689 %	0.72358 %	0.800278 %	0.7922675 %	|	0.8799 %	0.9082 %	0.8929 %	0.9086 %	0.89529 %	0.875508 %	796.0696220397949
800	50	256	|	64	-1	dot_product
0.5784 %	0.73548 %	0.815974 %	0.8163428 %	|	0.8988 %	0.9301 %	0.91424 %	0.9305 %	0.91701 %	0.898531 %	907.3295593261719
800	50	256	|	128	-1	dot_product
0.5848 %	0.74391 %	0.827953 %	0.835172 %	|	0.9135 %	0.9472 %	0.93152 %	0.9477 %	0.93482 %	0.917323 %	1214.700698852539
800	50	256	|	256	-1	dot_product
0.5887 %	0.75122 %	0.838741 %	0.8517636 %	|	0.9234 %	0.9589 %	0.94642 %	0.9596 %	0.95024 %	0.935202 %	1710.5753421783447
800	50	256	|	320	-1	dot_product
0.5891 %	0.75342 %	0.84206 %	0.8570777 %	|	0.9269 %	0.963 %	0.9515 %	0.9639 %	0.95555 %	0.941189 %	2007.8041553497314
800	50	256	|	384	-1	dot_product
0.5906 %	0.75552 %	0.845104 %	0.8615926 %	|	0.9297 %	0.9663 %	0.95601 %	0.9671 %	0.96014 %	0.946485 %	2438.2495880126953
800	50	256	|	448	-1	dot_product
0.5918 %	0.75725 %	0.847952 %	0.8658946 %	|	0.9328 %	0.9698 %	0.95985 %	0.9707 %	0.96419 %	0.951629 %	2687.331438064575
800	50	256	|	512	-1	dot_product
0.5918 %	0.75921 %	0.850659 %	0.8700156 %	|	0.9353 %	0.9729 %	0.96402 %	0.9738 %	0.96843 %	0.956515 %	3135.5631351470947
800	50	256	|	576	-1	dot_product
0.5929 %	0.76072 %	0.853173 %	0.8740644 %	|	0.938 %	0.9764 %	0.96769 %	0.9776 %	0.97227 %	0.961307 %	3740.9467697143555
800	50	256	|	640	-1	dot_product
0.594 %	0.76216 %	0.855805 %	0.8781531 %	|	0.9405 %	0.9794 %	0.97137 %	0.9807 %	0.97609 %	0.966255 %	4095.473527908325
800	50	256	|	704	-1	dot_product
0.5955 %	0.76387 %	0.859025 %	0.8832391 %	|	0.9431 %	0.9825 %	0.97559 %	0.9838 %	0.98052 %	0.972511 %	4616.205215454102
800	50	256	|	768	-1	dot_product
0.5981 %	0.76711 %	0.864154 %	0.8913543 %	|	0.9492 %	0.9902 %	0.98315 %	0.9915 %	0.9884 %	0.982596 %	4854.4251918792725
1000	20	256	|	1	-1	dot_product
0.1782 %	0.32109 %	0.406101 %	0.3241908 %	|	0.423 %	0.4987 %	0.49338 %	0.5028 %	0.50152 %	0.464085 %	642.338752746582
1000	20	256	|	16	-1	dot_product
0.2567 %	0.46183 %	0.621195 %	0.6556277 %	|	0.6665 %	0.8605 %	0.8278 %	0.8882 %	0.87795 %	0.856954 %	737.5743389129639
1000	20	256	|	32	-1	dot_product
0.2605 %	0.46703 %	0.629262 %	0.6719256 %	|	0.6779 %	0.8828 %	0.8469 %	0.9146 %	0.90335 %	0.882055 %	778.343677520752
1000	20	256	|	64	-1	dot_product
0.2618 %	0.47114 %	0.635196 %	0.6829337 %	|	0.6849 %	0.897 %	0.86139 %	0.9325 %	0.92338 %	0.901408 %	844.8004722595215
1000	20	256	|	128	-1	dot_product
0.2627 %	0.47397 %	0.639435 %	0.6905081 %	|	0.6895 %	0.9075 %	0.87214 %	0.9459 %	0.93921 %	0.91646 %	956.2416076660156
1000	20	256	|	256	-1	dot_product
0.2634 %	0.47612 %	0.643143 %	0.6964797 %	|	0.6936 %	0.9172 %	0.88108 %	0.9592 %	0.95286 %	0.92972 %	1230.9880256652832
1000	20	256	|	320	-1	dot_product
0.2638 %	0.47663 %	0.644128 %	0.6982818 %	|	0.6951 %	0.9208 %	0.88341 %	0.9639 %	0.95661 %	0.933935 %	1367.4397468566895
1000	20	256	|	384	-1	dot_product
0.2641 %	0.47708 %	0.644926 %	0.6997937 %	|	0.696 %	0.923 %	0.88543 %	0.9668 %	0.95983 %	0.937388 %	1567.0146942138672
1000	20	256	|	448	-1	dot_product
0.2646 %	0.4773 %	0.645639 %	0.7010393 %	|	0.6968 %	0.9244 %	0.88719 %	0.9696 %	0.96264 %	0.940295 %	1618.7820434570312
1000	20	256	|	512	-1	dot_product
0.2645 %	0.47754 %	0.646225 %	0.7021655 %	|	0.6973 %	0.9259 %	0.8885 %	0.9717 %	0.96471 %	0.942912 %	1745.4948425292969
1000	20	256	|	576	-1	dot_product
0.2643 %	0.47785 %	0.646833 %	0.7032473 %	|	0.6976 %	0.9275 %	0.89006 %	0.9735 %	0.9671 %	0.94555 %	2079.0719985961914
1000	20	256	|	640	-1	dot_product
0.2645 %	0.47821 %	0.647353 %	0.7042541 %	|	0.6985 %	0.9291 %	0.89145 %	0.9758 %	0.96936 %	0.94799 %	2171.586513519287
