Program: faissGPU Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
800	16	256	|	1	-1	squared_l2
0.2993 %	0.33606 %	0.305532 %	0.2123322 %	|	0.4711 %	0.4833 %	0.4171 %	0.4834 %	0.41736 %	0.329513 %	576.6594409942627
800	16	256	|	16	-1	squared_l2
0.4615 %	0.5538 %	0.617711 %	0.654839 %	|	0.8803 %	0.9614 %	0.92835 %	0.9625 %	0.9415 %	0.897721 %	652.1439552307129
800	16	256	|	32	-1	squared_l2
0.4649 %	0.5613 %	0.632813 %	0.6936667 %	|	0.8984 %	0.9902 %	0.96561 %	0.9917 %	0.98414 %	0.963614 %	696.6583728790283
800	16	256	|	64	-1	squared_l2
0.4655 %	0.56268 %	0.636899 %	0.7075448 %	|	0.9019 %	0.9966 %	0.97565 %	0.9984 %	0.99751 %	0.989266 %	770.8497047424316
800	16	256	|	128	-1	squared_l2
0.4653 %	0.56285 %	0.637493 %	0.7103384 %	|	0.9025 %	0.9981 %	0.97707 %	0.9999 %	0.99973 %	0.994726 %	844.3169593811035
800	16	256	|	256	-1	squared_l2
0.4653 %	0.56288 %	0.637527 %	0.7105424 %	|	0.9025 %	0.9981 %	0.97719 %	1.0 %	0.99994 %	0.995181 %	1040.5466556549072
800	16	256	|	320	-1	squared_l2
0.4653 %	0.56288 %	0.637527 %	0.7105445 %	|	0.9025 %	0.9981 %	0.97718 %	1.0 %	0.99994 %	0.995186 %	1120.2375888824463
800	16	256	|	384	-1	squared_l2
0.4653 %	0.56288 %	0.637527 %	0.7105444 %	|	0.9025 %	0.9981 %	0.97719 %	1.0 %	0.99994 %	0.995189 %	1334.5890045166016
800	16	256	|	448	-1	squared_l2
0.4653 %	0.56288 %	0.63753 %	0.7105439 %	|	0.9025 %	0.9981 %	0.97719 %	1.0 %	0.99994 %	0.995189 %	1406.0909748077393
800	16	256	|	512	-1	squared_l2
0.4653 %	0.56288 %	0.63753 %	0.7105448 %	|	0.9025 %	0.9981 %	0.97719 %	1.0 %	0.99994 %	0.995187 %	1523.2603549957275
800	16	256	|	576	-1	squared_l2
0.4653 %	0.56288 %	0.63753 %	0.710544 %	|	0.9025 %	0.9981 %	0.97719 %	1.0 %	0.99994 %	0.995189 %	1577.976942062378
800	16	256	|	640	-1	squared_l2
0.4653 %	0.56288 %	0.63753 %	0.710544 %	|	0.9025 %	0.9981 %	0.97719 %	1.0 %	0.99994 %	0.995189 %	1613.3513450622559
800	16	256	|	704	-1	squared_l2
