Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
7000	96	256	|	1	-1	squared_l2
0.5218 %	0.47629 %	0.42531 %	0.3667769 %	|	0.5318 %	0.5322 %	0.47913 %	0.5325 %	0.47955 %	0.426392 %	26593.961715698242
7000	96	256	|	16	-1	squared_l2
0.9335 %	0.92719 %	0.916133 %	0.8873325 %	|	0.9605 %	0.9609 %	0.94681 %	0.9612 %	0.9472 %	0.925249 %	225258.95595550537
7000	96	256	|	32	-1	squared_l2
0.9551 %	0.95444 %	0.954079 %	0.9415553 %	|	0.9835 %	0.9839 %	0.97836 %	0.9842 %	0.97875 %	0.96753 %	422255.4683685303
7000	96	256	|	64	-1	squared_l2
0.9644 %	0.96556 %	0.970608 %	0.9683566 %	|	0.994 %	0.9944 %	0.99238 %	0.9947 %	0.99278 %	0.987914 %	796148.3812332153
7000	96	256	|	128	-1	squared_l2
0.9681 %	0.96929 %	0.976423 %	0.9787973 %	|	0.998 %	0.9984 %	0.99727 %	0.9987 %	0.99767 %	0.996111 %	1511282.2723388672
7000	96	256	|	256	-1	squared_l2
0.9687 %	0.97043 %	0.978048 %	0.9820385 %	|	0.9987 %	0.9991 %	0.99888 %	0.9993 %	0.99926 %	0.998874 %	2877483.0961227417
7000	96	256	|	320	-1	squared_l2
0.9688 %	0.97051 %	0.978242 %	0.9824444 %	|	0.9988 %	0.9992 %	0.99903 %	0.9995 %	0.99942 %	0.999243 %	3471148.943901062
7000	96	256	|	384	-1	squared_l2
0.9689 %	0.9706 %	0.978333 %	0.9826423 %	|	0.9989 %	0.9993 %	0.99916 %	0.9996 %	0.99954 %	0.999415 %	4114370.5463409424
7000	96	256	|	448	-1	squared_l2
0.9689 %	0.97063 %	0.978409 %	0.9827673 %	|	0.9989 %	0.9993 %	0.99923 %	0.9996 %	0.99961 %	0.999544 %	4719155.807495117
7000	96	256	|	512	-1	squared_l2
0.969 %	0.97067 %	0.978442 %	0.9828349 %	|	0.999 %	0.9994 %	0.99927 %	0.9997 %	0.99966 %	0.999609 %	5341463.599205017
7000	96	256	|	576	-1	squared_l2
0.969 %	0.97067 %	0.978458 %	0.9828831 %	|	0.999 %	0.9994 %	0.99927 %	0.9997 %	0.99966 %	0.999643 %	5917242.093086243
7000	96	256	|	640	-1	squared_l2
0.969 %	0.97069 %	0.978466 %	0.9829093 %	|	0.999 %	0.9994 %	0.99929 %	0.9997 %	0.99968 %	0.999661 %	6586156.330108643
7000	96	256	|	704	-1	squared_l2
0.969 %	0.97069 %	0.978472 %	0.9829307 %	|	0.999 %	0.9994 %	0.9993 %	0.9997 %	0.99969 %	0.999674 %	7185299.048423767
7000	96	256	|	768	-1	squared_l2
