Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
4000	12	16	|	1	-1	squared_l2
0.1152 %	0.17364 %	0.193368 %	0.1215643 %	|	0.29 %	0.3764 %	0.31743 %	0.3798 %	0.32859 %	0.241467 %	493.7856197357178
4000	12	16	|	16	-1	squared_l2
0.149 %	0.24297 %	0.331939 %	0.4222223 %	|	0.4539 %	0.806 %	0.64817 %	0.903 %	0.86034 %	0.747927 %	1258.8622570037842
4000	12	16	|	32	-1	squared_l2
0.1492 %	0.24382 %	0.335738 %	0.4428268 %	|	0.4562 %	0.8264 %	0.66051 %	0.952 %	0.91876 %	0.803148 %	1872.4136352539062
4000	12	16	|	64	-1	squared_l2
0.1491 %	0.24384 %	0.33665 %	0.450346 %	|	0.4564 %	0.831 %	0.66335 %	0.9769 %	0.94547 %	0.825739 %	2991.8487071990967
4000	12	16	|	128	-1	squared_l2
0.149 %	0.24391 %	0.33681 %	0.4523271 %	|	0.4564 %	0.832 %	0.66409 %	0.9844 %	0.95447 %	0.832243 %	5064.260482788086
4000	12	16	|	256	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4526875 %	|	0.4564 %	0.8321 %	0.66411 %	0.9858 %	0.95622 %	0.83344 %	8938.530445098877
4000	12	16	|	320	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4527064 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.95631 %	0.833521 %	10842.097520828247
4000	12	16	|	384	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4527157 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.95638 %	0.833562 %	12851.345777511597
4000	12	16	|	448	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4527188 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.9564 %	0.833573 %	14798.802852630615
4000	12	16	|	512	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4527196 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.95641 %	0.833575 %	16625.697374343872
4000	12	16	|	576	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4527204 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.95642 %	0.833575 %	18453.495502471924
4000	12	16	|	640	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4527206 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.95642 %	0.833576 %	20269.187927246094
4000	12	16	|	704	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.452721 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.95642 %	0.833577 %	22124.49312210083
4000	12	16	|	768	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4527212 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.95642 %	0.833578 %	23915.989875793457
4000	12	16	|	1024	-1	squared_l2
0.149 %	0.24391 %	0.336824 %	0.4527216 %	|	0.4564 %	0.8321 %	0.66411 %	0.9859 %	0.95644 %	0.83358 %	31118.37339401245
4000	24	16	|	1	-1	squared_l2
0.1817 %	0.23228 %	0.218008 %	0.1216416 %	|	0.3507 %	0.3781 %	0.32522 %	0.3798 %	0.32859 %	0.241471 %	540.1656627655029
4000	24	16	|	16	-1	squared_l2
0.2886 %	0.40507 %	0.478583 %	0.5098026 %	|	0.7208 %	0.8941 %	0.81752 %	0.9038 %	0.86566 %	0.785852 %	1927.5422096252441
4000	24	16	|	32	-1	squared_l2
0.2905 %	0.4121 %	0.496207 %	0.5584677 %	|	0.7392 %	0.941 %	0.86519 %	0.955 %	0.93246 %	0.87545 %	3101.9601821899414
4000	24	16	|	64	-1	squared_l2
0.2919 %	0.41478 %	0.503691 %	0.5832032 %	|	0.7477 %	0.9652 %	0.88729 %	0.9839 %	0.97042 %	0.928247 %	5304.570913314819
4000	24	16	|	128	-1	squared_l2
