Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
1000	25	16	|	1	-1	dot_product
0.1493 %	0.1997 %	0.235275 %	0.2270152 %	|	0.3358 %	0.4497 %	0.38459 %	0.4764 %	0.44321 %	0.371813 %	7712.846755981445
1000	25	16	|	2	-1	dot_product
0.1809 %	0.23769 %	0.284548 %	0.2977649 %	|	0.4151 %	0.5779 %	0.4884 %	0.6208 %	0.58282 %	0.494373 %	12032.815933227539
1000	25	16	|	4	-1	dot_product
0.1996 %	0.25959 %	0.315664 %	0.3506208 %	|	0.4705 %	0.6727 %	0.55952 %	0.7351 %	0.69192 %	0.592869 %	17013.322830200195
1000	25	16	|	8	-1	dot_product
0.2102 %	0.27193 %	0.33365 %	0.3860318 %	|	0.5037 %	0.7391 %	0.60616 %	0.8183 %	0.77173 %	0.663626 %	23445.16611099243
1000	25	16	|	16	-1	dot_product
0.2156 %	0.2787 %	0.343531 %	0.4080709 %	|	0.5206 %	0.7723 %	0.63298 %	0.8697 %	0.82767 %	0.711715 %	32002.047300338745
1000	25	16	|	25	-1	dot_product
0.218 %	0.2814 %	0.347064 %	0.4172275 %	|	0.5281 %	0.7893 %	0.64314 %	0.8969 %	0.85372 %	0.732741 %	39565.58036804199
1000	25	16	|	30	-1	dot_product
0.219 %	0.28181 %	0.348224 %	0.4202016 %	|	0.5315 %	0.796 %	0.64687 %	0.9072 %	0.86268 %	0.739685 %	43356.563568115234
1000	25	16	|	35	-1	dot_product
0.2192 %	0.28218 %	0.34901 %	0.4223514 %	|	0.5334 %	0.8003 %	0.6495 %	0.9147 %	0.86901 %	0.744648 %	46365.54265022278
1000	25	16	|	40	-1	dot_product
0.2197 %	0.28259 %	0.349687 %	0.4240088 %	|	0.5348 %	0.8044 %	0.65127 %	0.9217 %	0.87423 %	0.748794 %	49149.29986000061
1000	25	16	|	45	-1	dot_product
0.2202 %	0.28287 %	0.350164 %	0.4253819 %	|	0.5352 %	0.8075 %	0.65276 %	0.9263 %	0.87838 %	0.752158 %	51998.14748764038
1000	25	16	|	50	-1	dot_product
0.2203 %	0.28303 %	0.350493 %	0.4264542 %	|	0.5357 %	0.8099 %	0.65381 %	0.93 %	0.88151 %	0.754774 %	54597.66364097595
1000	25	16	|	55	-1	dot_product
0.2203 %	0.28337 %	0.350911 %	0.4273484 %	|	0.5362 %	0.8111 %	0.65509 %	0.933 %	0.8849 %	0.757119 %	57746.639251708984
1000	25	16	|	60	-1	dot_product
0.2203 %	0.28354 %	0.351135 %	0.4280892 %	|	0.537 %	0.8125 %	0.65572 %	0.936 %	0.88732 %	0.758934 %	59574.25951957703
1000	25	16	|	65	-1	dot_product
0.2205 %	0.28363 %	0.351386 %	0.4287545 %	|	0.5374 %	0.8142 %	0.65659 %	0.9398 %	0.88964 %	0.760632 %	62354.72893714905
1000	25	16	|	75	-1	dot_product
0.2208 %	0.28369 %	0.351695 %	0.4297599 %	|	0.5378 %	0.8157 %	0.65783 %	0.9431 %	0.89305 %	0.763135 %	66915.81559181213
1000	25	16	|	90	-1	dot_product
0.2207 %	0.28385 %	0.352061 %	0.4308829 %	|	0.5381 %	0.8172 %	0.65911 %	0.9471 %	0.89721 %	0.766136 %	73678.25508117676
1000	25	16	|	110	-1	dot_product
0.2211 %	0.28418 %	0.352398 %	0.4319394 %	|	0.5392 %	0.8189 %	0.66029 %	0.9508 %	0.90138 %	0.768814 %	81236.77563667297
1000	25	16	|	130	-1	dot_product
0.2211 %	0.28444 %	0.352641 %	0.4326256 %	|	0.54 %	0.8201 %	0.66139 %	0.9537 %	0.90422 %	0.770684 %	88857.24997520447
1000	25	16	|	150	-1	dot_product
0.2213 %	0.28453 %	0.352859 %	0.4331484 %	|	0.5402 %	0.8209 %	0.66206 %	0.9558 %	0.90625 %	0.772119 %	95352.57840156555
1000	25	16	|	170	-1	dot_product
0.2215 %	0.28461 %	0.352973 %	0.4335366 %	|	0.541 %	0.8221 %	0.66261 %	0.9583 %	0.90773 %	0.773125 %	102258.0418586731
1000	25	16	|	200	-1	dot_product
0.2217 %	0.28469 %	0.353124 %	0.4339646 %	|	0.5414 %	0.8229 %	0.66297 %	0.9598 %	0.90928 %	0.77434 %	110091.04251861572
1000	25	16	|	220	-1	dot_product
0.2218 %	0.28478 %	0.353205 %	0.4341572 %	|	0.5416 %	0.8239 %	0.66327 %	0.9614 %	0.91007 %	0.77487 %	117258.18824768066
1000	25	16	|	250	-1	dot_product
0.2218 %	0.28482 %	0.353283 %	0.4343858 %	|	0.5419 %	0.8246 %	0.66362 %	0.9626 %	0.91115 %	0.775552 %	123456.23064041138
1000	25	16	|	310	-1	dot_product
0.2218 %	0.28485 %	0.353366 %	0.4346827 %	|	0.5421 %	0.8255 %	0.66396 %	0.9647 %	0.91259 %	0.776478 %	139157.9761505127
1000	25	16	|	400	-1	dot_product
0.2218 %	0.28486 %	0.353438 %	0.4349138 %	|	0.5421 %	0.8258 %	0.66421 %	0.9655 %	0.91366 %	0.777185 %	157979.01821136475
1000	25	16	|	500	-1	dot_product
0.2218 %	0.28488 %	0.353488 %	0.4350395 %	|	0.5421 %	0.8259 %	0.66438 %	0.9662 %	0.91444 %	0.777543 %	179542.17386245728
1000	25	16	|	800	-1	dot_product
0.2218 %	0.28489 %	0.353511 %	0.4351299 %	|	0.5421 %	0.826 %	0.66451 %	0.9668 %	0.91498 %	0.777843 %	229418.26963424683
1000	25	16	|	1000	-1	dot_product
0.2218 %	0.28489 %	0.353512 %	0.435133 %	|	0.5421 %	0.826 %	0.66452 %	0.9669 %	0.91502 %	0.777859 %	258587.81695365906
1000	50	16	|	1	-1	dot_product
0.2741 %	0.32078 %	0.321121 %	0.2643333 %	|	0.4459 %	0.4767 %	0.44271 %	0.4779 %	0.44905 %	0.388594 %	14258.694410324097
1000	50	16	|	2	-1	dot_product
0.3438 %	0.39885 %	0.412539 %	0.3645485 %	|	0.5758 %	0.6223 %	0.58294 %	0.6241 %	0.59332 %	0.525504 %	22644.620180130005
1000	50	16	|	4	-1	dot_product
0.3911 %	0.45268 %	0.479898 %	0.4523862 %	|	0.6747 %	0.7379 %	0.693 %	0.7403 %	0.70849 %	0.643995 %	31560.417890548706
1000	50	16	|	8	-1	dot_product
0.4236 %	0.48737 %	0.525254 %	0.5216822 %	|	0.7463 %	0.8228 %	0.77488 %	0.826 %	0.79682 %	0.739302 %	43982.162952423096
1000	50	16	|	16	-1	dot_product
0.4427 %	0.50941 %	0.555567 %	0.5727743 %	|	0.7888 %	0.8761 %	0.83378 %	0.8803 %	0.86292 %	0.815051 %	60506.27303123474
1000	50	16	|	25	-1	dot_product
0.451 %	0.51919 %	0.568816 %	0.5972158 %	|	0.812 %	0.9056 %	0.86231 %	0.9104 %	0.89603 %	0.853667 %	74539.91031646729
1000	50	16	|	30	-1	dot_product
0.4551 %	0.52277 %	0.573398 %	0.6055401 %	|	0.8208 %	0.917 %	0.87236 %	0.9224 %	0.90809 %	0.867503 %	81446.74229621887
1000	50	16	|	35	-1	dot_product
0.4583 %	0.52535 %	0.576609 %	0.6119284 %	|	0.8275 %	0.9256 %	0.87956 %	0.9315 %	0.91694 %	0.878104 %	87321.07162475586
1000	50	16	|	40	-1	dot_product
0.4608 %	0.527 %	0.579521 %	0.6170443 %	|	0.8329 %	0.9333 %	0.88584 %	0.9392 %	0.9245 %	0.887237 %	93403.23877334595
1000	50	16	|	45	-1	dot_product
0.462 %	0.5287 %	0.581775 %	0.6213084 %	|	0.8372 %	0.939 %	0.89087 %	0.945 %	0.93071 %	0.894902 %	97918.42484474182
1000	50	16	|	50	-1	dot_product
0.4633 %	0.52977 %	0.583519 %	0.6247357 %	|	0.8401 %	0.9433 %	0.89484 %	0.9493 %	0.93568 %	0.901171 %	103144.57678794861
1000	50	16	|	55	-1	dot_product
0.4641 %	0.53082 %	0.585081 %	0.6277412 %	|	0.8421 %	0.9468 %	0.89872 %	0.9528 %	0.94056 %	0.906936 %	108725.28505325317
1000	50	16	|	60	-1	dot_product
0.4649 %	0.53169 %	0.586313 %	0.6302924 %	|	0.8447 %	0.9505 %	0.90171 %	0.9565 %	0.94436 %	0.911634 %	113440.8929347992
1000	50	16	|	65	-1	dot_product
0.4661 %	0.53273 %	0.58752 %	0.6325554 %	|	0.8479 %	0.9547 %	0.90481 %	0.961 %	0.94817 %	0.91605 %	117854.19917106628
1000	50	16	|	75	-1	dot_product
0.4674 %	0.53405 %	0.589299 %	0.6361613 %	|	0.8512 %	0.9593 %	0.90961 %	0.9658 %	0.95431 %	0.922984 %	127188.19284439087
1000	50	16	|	90	-1	dot_product
0.4686 %	0.53556 %	0.591371 %	0.6403952 %	|	0.8546 %	0.9644 %	0.91478 %	0.9711 %	0.96137 %	0.931297 %	138708.153963089
1000	50	16	|	110	-1	dot_product
0.4694 %	0.53714 %	0.593398 %	0.6444595 %	|	0.858 %	0.9687 %	0.92009 %	0.976 %	0.96819 %	0.939393 %	154925.14443397522
1000	50	16	|	130	-1	dot_product
0.4705 %	0.53831 %	0.594783 %	0.6473075 %	|	0.8608 %	0.9723 %	0.92359 %	0.98 %	0.97308 %	0.945317 %	168700.30093193054
1000	50	16	|	150	-1	dot_product
0.4708 %	0.53886 %	0.595877 %	0.6494527 %	|	0.8628 %	0.9748 %	0.92615 %	0.9828 %	0.97689 %	0.949975 %	180856.10938072205
1000	50	16	|	170	-1	dot_product
0.4718 %	0.53943 %	0.596679 %	0.6511 %	|	0.8647 %	0.9774 %	0.92842 %	0.9857 %	0.98 %	0.953548 %	193546.62013053894
1000	50	16	|	200	-1	dot_product
0.4727 %	0.54012 %	0.59769 %	0.6530709 %	|	0.8662 %	0.9799 %	0.93099 %	0.9882 %	0.98349 %	0.957837 %	210024.2202281952
1000	50	16	|	220	-1	dot_product
0.4732 %	0.54036 %	0.598153 %	0.6540559 %	|	0.8677 %	0.9818 %	0.93218 %	0.9902 %	0.98517 %	0.960073 %	220734.2987060547
1000	50	16	|	250	-1	dot_product
0.4739 %	0.54085 %	0.598759 %	0.6552486 %	|	0.8694 %	0.9837 %	0.93373 %	0.9921 %	0.98742 %	0.962792 %	236969.8543548584
1000	50	16	|	310	-1	dot_product
0.4749 %	0.54126 %	0.599484 %	0.6568638 %	|	0.8706 %	0.9861 %	0.93601 %	0.9949 %	0.99065 %	0.96661 %	265249.7761249542
1000	50	16	|	400	-1	dot_product
0.4755 %	0.54188 %	0.600171 %	0.6582903 %	|	0.872 %	0.9878 %	0.93833 %	0.9967 %	0.99398 %	0.970041 %	302882.1702003479
1000	50	16	|	500	-1	dot_product
0.4757 %	0.54215 %	0.600492 %	0.6591316 %	|	0.8724 %	0.9887 %	0.93964 %	0.9979 %	0.99592 %	0.97209 %	341661.1771583557
1000	50	16	|	800	-1	dot_product
0.4758 %	0.54246 %	0.600871 %	0.6599082 %	|	0.8733 %	0.9899 %	0.94085 %	0.9992 %	0.99771 %	0.974251 %	436890.3064727783
1000	50	16	|	1000	-1	dot_product
0.4758 %	0.54247 %	0.600892 %	0.6599755 %	|	0.8734 %	0.9902 %	0.94096 %	0.9996 %	0.99792 %	0.97445 %	497394.4733142853
1000	100	16	|	1	-1	dot_product
0.4049 %	0.41849 %	0.377652 %	0.2839666 %	|	0.4775 %	0.4779 %	0.44907 %	0.4779 %	0.44907 %	0.389149 %	26823.927640914917
1000	100	16	|	2	-1	dot_product
0.5203 %	0.54309 %	0.50595 %	0.4021635 %	|	0.6236 %	0.6241 %	0.59335 %	0.6241 %	0.59335 %	0.526704 %	41881.78992271423
1000	100	16	|	4	-1	dot_product
0.6103 %	0.63648 %	0.612081 %	0.5155938 %	|	0.7396 %	0.7403 %	0.70855 %	0.7403 %	0.70856 %	0.646233 %	59004.671573638916
1000	100	16	|	8	-1	dot_product
0.6731 %	0.7043 %	0.693278 %	0.6166417 %	|	0.8251 %	0.8261 %	0.79694 %	0.8261 %	0.79696 %	0.74313 %	81581.08830451965
1000	100	16	|	16	-1	dot_product
0.7108 %	0.75098 %	0.753948 %	0.7024129 %	|	0.8791 %	0.8804 %	0.86316 %	0.8804 %	0.86319 %	0.821357 %	113637.20560073853
1000	100	16	|	25	-1	dot_product
0.7316 %	0.77326 %	0.783206 %	0.7479172 %	|	0.9087 %	0.9105 %	0.89638 %	0.9105 %	0.89644 %	0.862054 %	140749.99165534973
1000	100	16	|	30	-1	dot_product
0.7401 %	0.7808 %	0.793332 %	0.7644355 %	|	0.9205 %	0.9225 %	0.90848 %	0.9225 %	0.90854 %	0.876828 %	153623.32916259766
1000	100	16	|	35	-1	dot_product
0.7474 %	0.78601 %	0.800938 %	0.7773236 %	|	0.9295 %	0.9316 %	0.91739 %	0.9316 %	0.91745 %	0.888227 %	165547.22595214844
1000	100	16	|	40	-1	dot_product
0.7532 %	0.79048 %	0.807495 %	0.7879106 %	|	0.9372 %	0.9393 %	0.92499 %	0.9393 %	0.92505 %	0.898028 %	176494.0571784973
1000	100	16	|	45	-1	dot_product
0.7567 %	0.79435 %	0.812887 %	0.7968872 %	|	0.9428 %	0.9451 %	0.93124 %	0.9451 %	0.9313 %	0.906385 %	185473.05631637573
1000	100	16	|	50	-1	dot_product
0.7593 %	0.79718 %	0.817235 %	0.8042857 %	|	0.9468 %	0.9494 %	0.93625 %	0.9494 %	0.93631 %	0.913284 %	196192.28172302246
1000	100	16	|	55	-1	dot_product
0.7608 %	0.79976 %	0.821143 %	0.8108532 %	|	0.9503 %	0.9529 %	0.94119 %	0.9529 %	0.94125 %	0.919645 %	206175.41646957397
1000	100	16	|	60	-1	dot_product
0.7631 %	0.80188 %	0.824283 %	0.8164056 %	|	0.954 %	0.9566 %	0.94504 %	0.9566 %	0.9451 %	0.924871 %	214642.13800430298
1000	100	16	|	65	-1	dot_product
0.7666 %	0.80414 %	0.827284 %	0.8214188 %	|	0.9584 %	0.9611 %	0.94895 %	0.9611 %	0.94901 %	0.929792 %	225501.54328346252
1000	100	16	|	75	-1	dot_product
0.7691 %	0.80742 %	0.831851 %	0.8295429 %	|	0.9633 %	0.9661 %	0.95513 %	0.9661 %	0.95522 %	0.937616 %	242789.65663909912
1000	100	16	|	90	-1	dot_product
0.7719 %	0.81141 %	0.83715 %	0.8392113 %	|	0.9686 %	0.9714 %	0.96225 %	0.9714 %	0.96234 %	0.947097 %	266312.79587745667
1000	100	16	|	110	-1	dot_product
0.7746 %	0.81481 %	0.842158 %	0.8485687 %	|	0.9734 %	0.9763 %	0.96914 %	0.9763 %	0.96925 %	0.956406 %	295519.82402801514
1000	100	16	|	130	-1	dot_product
0.7777 %	0.81718 %	0.845704 %	0.8552149 %	|	0.9773 %	0.9803 %	0.97412 %	0.9803 %	0.97424 %	0.963317 %	320953.8254737854
1000	100	16	|	150	-1	dot_product
0.7793 %	0.81886 %	0.848539 %	0.8604274 %	|	0.9802 %	0.9832 %	0.97806 %	0.9832 %	0.9782 %	0.968914 %	347759.7906589508
1000	100	16	|	170	-1	dot_product
0.781 %	0.82049 %	0.850559 %	0.8643291 %	|	0.983 %	0.9861 %	0.98124 %	0.9861 %	0.98138 %	0.973173 %	371481.68873786926
1000	100	16	|	200	-1	dot_product
0.7826 %	0.82207 %	0.852971 %	0.8689793 %	|	0.9855 %	0.9886 %	0.98478 %	0.9886 %	0.98493 %	0.978376 %	404440.9124851227
1000	100	16	|	220	-1	dot_product
0.7842 %	0.82286 %	0.854207 %	0.8713041 %	|	0.9875 %	0.9906 %	0.98648 %	0.9906 %	0.98663 %	0.981113 %	426391.54744148254
1000	100	16	|	250	-1	dot_product
0.7858 %	0.82386 %	0.855681 %	0.8741793 %	|	0.9894 %	0.9925 %	0.98879 %	0.9925 %	0.98896 %	0.984517 %	455453.34815979004
1000	100	16	|	310	-1	dot_product
0.7873 %	0.82528 %	0.857677 %	0.8781288 %	|	0.9922 %	0.9953 %	0.99211 %	0.9953 %	0.99228 %	0.989274 %	510678.22313308716
1000	100	16	|	400	-1	dot_product
0.7878 %	0.82676 %	0.859478 %	0.8816001 %	|	0.994 %	0.9971 %	0.99551 %	0.9971 %	0.99569 %	0.993742 %	586261.9807720184
1000	100	16	|	500	-1	dot_product
0.7883 %	0.82769 %	0.860462 %	0.8837255 %	|	0.9952 %	0.9983 %	0.99752 %	0.9983 %	0.99771 %	0.996448 %	661322.0658302307
1000	100	16	|	800	-1	dot_product
0.7888 %	0.82846 %	0.861581 %	0.8858737 %	|	0.9965 %	0.9996 %	0.99945 %	0.9996 %	0.99969 %	0.999506 %	847885.0002288818
1000	100	16	|	1000	-1	dot_product
0.7889 %	0.82859 %	0.861704 %	0.8861343 %	|	0.9969 %	1.0 %	0.99974 %	1.0 %	1.0 %	0.999942 %	961625.2706050873
1000	25	64	|	1	-1	dot_product
0.2224 %	0.27451 %	0.289307 %	0.2514231 %	|	0.4146 %	0.474 %	0.42936 %	0.4779 %	0.4487 %	0.385679 %	9023.949146270752
1000	25	64	|	2	-1	dot_product
0.2761 %	0.33732 %	0.363536 %	0.3408646 %	|	0.5329 %	0.6169 %	0.5607 %	0.624 %	0.59262 %	0.519891 %	14075.543880462646
1000	25	64	|	4	-1	dot_product
0.313 %	0.37718 %	0.415748 %	0.4152946 %	|	0.6197 %	0.7292 %	0.66028 %	0.7401 %	0.70716 %	0.634703 %	19977.124214172363
1000	25	64	|	8	-1	dot_product
