Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
4000	10	16	|	1	-1	dot_product
0.0497 %	0.08709 %	0.12316 %	0.1072122 %	|	0.1545 %	0.2734 %	0.21551 %	0.3252 %	0.28141 %	0.210506 %	1317.7893161773682
4000	10	16	|	16	-1	dot_product
0.068 %	0.11418 %	0.174634 %	0.2335245 %	|	0.2205 %	0.4525 %	0.33465 %	0.6589 %	0.58149 %	0.447369 %	5263.2646560668945
4000	10	16	|	32	-1	dot_product
0.0681 %	0.11449 %	0.176094 %	0.2404302 %	|	0.2216 %	0.4593 %	0.33846 %	0.6842 %	0.60262 %	0.462006 %	7605.846405029297
4000	10	16	|	64	-1	dot_product
0.0679 %	0.11456 %	0.176592 %	0.2434013 %	|	0.2216 %	0.4623 %	0.33963 %	0.6961 %	0.61208 %	0.467922 %	10994.279384613037
4000	10	16	|	128	-1	dot_product
0.0679 %	0.11455 %	0.176717 %	0.244466 %	|	0.2216 %	0.4627 %	0.33981 %	0.7019 %	0.61497 %	0.47001 %	15980.490684509277
4000	10	16	|	256	-1	dot_product
0.0679 %	0.11456 %	0.176745 %	0.2448006 %	|	0.2216 %	0.463 %	0.33993 %	0.7043 %	0.61618 %	0.470656 %	23147.928476333618
4000	10	16	|	320	-1	dot_product
0.0679 %	0.11458 %	0.176749 %	0.2448374 %	|	0.2216 %	0.463 %	0.33995 %	0.7042 %	0.6163 %	0.470729 %	26773.274660110474
4000	10	16	|	384	-1	dot_product
0.0679 %	0.11458 %	0.176749 %	0.2448534 %	|	0.2216 %	0.463 %	0.33994 %	0.7042 %	0.61636 %	0.470762 %	28929.09860610962
4000	10	16	|	448	-1	dot_product
0.0679 %	0.11458 %	0.176749 %	0.2448634 %	|	0.2216 %	0.463 %	0.33994 %	0.7043 %	0.61641 %	0.470787 %	31341.323614120483
4000	10	16	|	512	-1	dot_product
0.0679 %	0.11458 %	0.17675 %	0.2448705 %	|	0.2216 %	0.4631 %	0.33995 %	0.7044 %	0.61643 %	0.470795 %	33571.83313369751
4000	10	16	|	576	-1	dot_product
0.0679 %	0.11458 %	0.17675 %	0.2448732 %	|	0.2216 %	0.4631 %	0.33995 %	0.7045 %	0.61645 %	0.470805 %	35763.51261138916
4000	10	16	|	640	-1	dot_product
0.0679 %	0.11458 %	0.17675 %	0.2448769 %	|	0.2216 %	0.4631 %	0.33994 %	0.7046 %	0.61646 %	0.470812 %	37872.57170677185
4000	10	16	|	704	-1	dot_product
0.0679 %	0.11458 %	0.17675 %	0.2448792 %	|	0.2216 %	0.4631 %	0.33994 %	0.7046 %	0.61645 %	0.470813 %	39569.41747665405
4000	10	16	|	768	-1	dot_product
0.0679 %	0.11458 %	0.17675 %	0.2448812 %	|	0.2216 %	0.4631 %	0.33994 %	0.7046 %	0.61646 %	0.470816 %	42277.310848236084
4000	10	16	|	1024	-1	dot_product
0.0679 %	0.11458 %	0.17675 %	0.2448828 %	|	0.2216 %	0.4631 %	0.33994 %	0.7045 %	0.61647 %	0.470824 %	49006.484031677246
4000	25	16	|	1	-1	dot_product
0.1273 %	0.16193 %	0.170222 %	0.121385 %	|	0.2643 %	0.3252 %	0.27259 %	0.3361 %	0.29489 %	0.225916 %	2160.061836242676
4000	25	16	|	16	-1	dot_product
0.2106 %	0.26905 %	0.323132 %	0.3522132 %	|	0.4877 %	0.6959 %	0.57533 %	0.7651 %	0.71522 %	0.604759 %	11302.973747253418
4000	25	16	|	32	-1	dot_product
0.2154 %	0.27617 %	0.335366 %	0.381394 %	|	0.5048 %	0.736 %	0.60473 %	0.8248 %	0.77603 %	0.660683 %	16801.186084747314
4000	25	16	|	64	-1	dot_product
0.2164 %	0.27948 %	0.34195 %	0.399383 %	|	0.5134 %	0.7631 %	0.62205 %	0.8702 %	0.81851 %	0.69715 %	24802.506923675537
4000	25	16	|	128	-1	dot_product
0.2183 %	0.28128 %	0.345206 %	0.4096349 %	|	0.518 %	0.777 %	0.63114 %	0.9004 %	0.84578 %	0.719198 %	36785.42399406433
4000	25	16	|	256	-1	dot_product
0.2189 %	0.28185 %	0.34679 %	0.4149256 %	|	0.5216 %	0.7847 %	0.63543 %	0.9195 %	0.86222 %	0.731202 %	53780.120849609375
4000	25	16	|	320	-1	dot_product
0.219 %	0.28193 %	0.34702 %	0.4159756 %	|	0.5219 %	0.7859 %	0.6359 %	0.9234 %	0.86515 %	0.733671 %	61119.03262138367
4000	25	16	|	384	-1	dot_product
0.2192 %	0.28198 %	0.347237 %	0.4166398 %	|	0.5222 %	0.7873 %	0.63652 %	0.9262 %	0.86787 %	0.735349 %	67905.41338920593
4000	25	16	|	448	-1	dot_product
0.2193 %	0.282 %	0.347323 %	0.4170976 %	|	0.5223 %	0.7883 %	0.63691 %	0.9284 %	0.86962 %	0.736524 %	72491.28198623657
4000	25	16	|	512	-1	dot_product
0.2193 %	0.28201 %	0.347394 %	0.4174339 %	|	0.5222 %	0.7885 %	0.63707 %	0.9291 %	0.87091 %	0.737409 %	79640.5987739563
4000	25	16	|	576	-1	dot_product
0.2194 %	0.28201 %	0.34744 %	0.4176608 %	|	0.5222 %	0.7888 %	0.63722 %	0.9306 %	0.8719 %	0.737957 %	86782.65881538391
4000	25	16	|	640	-1	dot_product
0.2195 %	0.28202 %	0.347488 %	0.4178444 %	|	0.5223 %	0.7894 %	0.63744 %	0.9321 %	0.87283 %	0.738432 %	90941.07913970947
4000	25	16	|	704	-1	dot_product
0.2195 %	0.28207 %	0.347535 %	0.4179858 %	|	0.5223 %	0.7895 %	0.6376 %	0.9326 %	0.87336 %	0.738809 %	96310.4305267334
4000	25	16	|	768	-1	dot_product
0.2195 %	0.28209 %	0.347576 %	0.4180905 %	|	0.5226 %	0.7899 %	0.63769 %	0.9335 %	0.87384 %	0.739095 %	101619.46725845337
4000	25	16	|	1024	-1	dot_product
