Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
4000	10	16	|	1	-1	dot_product
0.0377 %	0.11966 %	0.240021 %	0.1819949 %	|	0.1768 %	0.4005 %	0.35714 %	0.4626 %	0.4392 %	0.35908 %	369.63772773742676
4000	10	16	|	16	-1	dot_product
0.0399 %	0.13213 %	0.296598 %	0.415607 %	|	0.2025 %	0.5513 %	0.47143 %	0.8163 %	0.79435 %	0.710367 %	817.1882629394531
4000	10	16	|	32	-1	dot_product
0.0398 %	0.13216 %	0.296764 %	0.4159702 %	|	0.2024 %	0.5519 %	0.47205 %	0.824 %	0.79949 %	0.713667 %	1168.4439182281494
4000	10	16	|	64	-1	dot_product
0.0398 %	0.13219 %	0.296821 %	0.4157044 %	|	0.2025 %	0.5522 %	0.47225 %	0.8269 %	0.8021 %	0.714775 %	1655.2026271820068
4000	10	16	|	128	-1	dot_product
0.0398 %	0.13221 %	0.296853 %	0.4154044 %	|	0.2025 %	0.5522 %	0.47226 %	0.828 %	0.80341 %	0.715295 %	2331.991672515869
4000	10	16	|	256	-1	dot_product
0.0398 %	0.13222 %	0.296877 %	0.4151462 %	|	0.2025 %	0.5524 %	0.47234 %	0.8292 %	0.80437 %	0.715677 %	3346.729278564453
4000	10	16	|	320	-1	dot_product
0.0398 %	0.13222 %	0.296886 %	0.4150579 %	|	0.2025 %	0.5524 %	0.47234 %	0.8296 %	0.8046 %	0.715734 %	3788.332939147949
4000	10	16	|	384	-1	dot_product
0.0398 %	0.13223 %	0.296889 %	0.414987 %	|	0.2025 %	0.5524 %	0.47234 %	0.8298 %	0.80471 %	0.715775 %	4219.514846801758
4000	10	16	|	448	-1	dot_product
0.0398 %	0.13223 %	0.29689 %	0.414926 %	|	0.2025 %	0.5524 %	0.47235 %	0.8298 %	0.80477 %	0.715793 %	4615.550518035889
4000	10	16	|	512	-1	dot_product
0.0398 %	0.13223 %	0.296889 %	0.4148754 %	|	0.2025 %	0.5524 %	0.47235 %	0.83 %	0.80482 %	0.715815 %	5013.18097114563
4000	10	16	|	576	-1	dot_product
0.0398 %	0.13223 %	0.296887 %	0.4148296 %	|	0.2025 %	0.5524 %	0.47235 %	0.83 %	0.80492 %	0.715828 %	5403.484106063843
4000	10	16	|	640	-1	dot_product
0.0398 %	0.13223 %	0.296893 %	0.4147952 %	|	0.2025 %	0.5525 %	0.47237 %	0.8301 %	0.80492 %	0.715847 %	5793.8501834869385
4000	10	16	|	704	-1	dot_product
0.0398 %	0.13223 %	0.296895 %	0.4147626 %	|	0.2025 %	0.5525 %	0.47237 %	0.8301 %	0.80495 %	0.715858 %	6173.933267593384
4000	10	16	|	768	-1	dot_product
0.0398 %	0.13223 %	0.296894 %	0.4147413 %	|	0.2025 %	0.5525 %	0.47237 %	0.8301 %	0.80505 %	0.715888 %	6555.583238601685
4000	10	16	|	1024	-1	dot_product
0.0398 %	0.13223 %	0.296889 %	0.4146379 %	|	0.2025 %	0.5525 %	0.47239 %	0.8302 %	0.8052 %	0.715911 %	8061.903953552246
4000	25	16	|	1	-1	dot_product
0.1247 %	0.23903 %	0.308689 %	0.1872251 %	|	0.3286 %	0.4559 %	0.42483 %	0.4649 %	0.44185 %	0.3626 %	439.4865036010742
4000	25	16	|	16	-1	dot_product
0.1819 %	0.32761 %	0.498594 %	0.5587663 %	|	0.4961 %	0.7911 %	0.7382 %	0.891 %	0.8792 %	0.839764 %	1547.4209785461426
4000	25	16	|	32	-1	dot_product
0.1821 %	0.32843 %	0.501045 %	0.5701806 %	|	0.4977 %	0.8011 %	0.74537 %	0.9148 %	0.90086 %	0.863761 %	2457.55934715271
4000	25	16	|	64	-1	dot_product
0.1826 %	0.32895 %	0.502118 %	0.5741299 %	|	0.4994 %	0.8057 %	0.74917 %	0.9271 %	0.9133 %	0.874625 %	3749.6776580810547
4000	25	16	|	128	-1	dot_product
0.1826 %	0.32907 %	0.50274 %	0.5761114 %	|	0.4998 %	0.8081 %	0.75083 %	0.9349 %	0.9202 %	0.881005 %	5517.518520355225
4000	25	16	|	256	-1	dot_product
0.1827 %	0.32919 %	0.503066 %	0.5771809 %	|	0.5003 %	0.8101 %	0.75223 %	0.9406 %	0.92562 %	0.885321 %	8126.474142074585
4000	25	16	|	320	-1	dot_product
0.1827 %	0.32921 %	0.50313 %	0.5774242 %	|	0.5003 %	0.8107 %	0.75242 %	0.9419 %	0.927 %	0.886446 %	9268.234491348267
4000	25	16	|	384	-1	dot_product
0.1827 %	0.32922 %	0.503185 %	0.577583 %	|	0.5003 %	0.8111 %	0.75263 %	0.9428 %	0.92807 %	0.887294 %	10343.877077102661
4000	25	16	|	448	-1	dot_product
0.1827 %	0.32923 %	0.503227 %	0.5777147 %	|	0.5003 %	0.8114 %	0.75282 %	0.9438 %	0.92899 %	0.887963 %	11407.06181526184
4000	25	16	|	512	-1	dot_product
0.1827 %	0.32922 %	0.503259 %	0.5778273 %	|	0.5003 %	0.8114 %	0.75296 %	0.9443 %	0.92965 %	0.888501 %	12430.72533607483
4000	25	16	|	576	-1	dot_product
0.1827 %	0.32922 %	0.503285 %	0.5779163 %	|	0.5003 %	0.8117 %	0.75312 %	0.945 %	0.93041 %	0.888993 %	13428.576469421387
4000	25	16	|	640	-1	dot_product
0.1827 %	0.32922 %	0.503301 %	0.5779892 %	|	0.5003 %	0.8119 %	0.75318 %	0.9458 %	0.93097 %	0.889419 %	14437.55841255188
4000	25	16	|	704	-1	dot_product
0.1827 %	0.32922 %	0.503314 %	0.5780396 %	|	0.5003 %	0.8119 %	0.75319 %	0.9461 %	0.93125 %	0.889716 %	15428.19857597351
4000	25	16	|	768	-1	dot_product
0.1827 %	0.32922 %	0.503325 %	0.5781084 %	|	0.5003 %	0.812 %	0.75329 %	0.9463 %	0.93171 %	0.890057 %	16413.475036621094
4000	25	16	|	1024	-1	dot_product
0.1827 %	0.32924 %	0.50338 %	0.5782549 %	|	0.5004 %	0.8129 %	0.75351 %	0.9483 %	0.93295 %	0.891128 %	20315.32096862793
4000	50	16	|	1	-1	dot_product
0.2098 %	0.33219 %	0.344257 %	0.189024 %	|	0.425 %	0.464 %	0.4401 %	0.465 %	0.44201 %	0.362965 %	539.7419929504395
4000	50	16	|	16	-1	dot_product
0.3306 %	0.52426 %	0.677825 %	0.6811494 %	|	0.7436 %	0.8832 %	0.86153 %	0.8981 %	0.8917 %	0.867769 %	2615.478038787842
4000	50	16	|	32	-1	dot_product
0.3322 %	0.52917 %	0.688419 %	0.7151182 %	|	0.754 %	0.9087 %	0.88228 %	0.9276 %	0.92092 %	0.90475 %	4310.548543930054
4000	50	16	|	64	-1	dot_product
0.3337 %	0.53212 %	0.693639 %	0.730298 %	|	0.7601 %	0.9229 %	0.89514 %	0.9454 %	0.93912 %	0.924799 %	6691.992998123169
4000	50	16	|	128	-1	dot_product
0.3342 %	0.5336 %	0.696787 %	0.7388142 %	|	0.7626 %	0.9313 %	0.9025 %	0.957 %	0.95071 %	0.937279 %	9960.118293762207
4000	50	16	|	256	-1	dot_product
0.3354 %	0.53461 %	0.698752 %	0.7444271 %	|	0.7655 %	0.9374 %	0.90811 %	0.9649 %	0.95926 %	0.946208 %	14774.986743927002
4000	50	16	|	320	-1	dot_product
0.3356 %	0.53486 %	0.69931 %	0.7459051 %	|	0.7663 %	0.9389 %	0.90952 %	0.9669 %	0.96148 %	0.948817 %	16875.060319900513
4000	50	16	|	384	-1	dot_product
0.3355 %	0.53505 %	0.699723 %	0.7470014 %	|	0.7667 %	0.9402 %	0.91085 %	0.9686 %	0.96352 %	0.950779 %	18826.88879966736
4000	50	16	|	448	-1	dot_product
0.3355 %	0.53527 %	0.7 %	0.7478194 %	|	0.7671 %	0.9418 %	0.91185 %	0.9705 %	0.96502 %	0.952244 %	20772.154569625854
4000	50	16	|	512	-1	dot_product
0.3355 %	0.53535 %	0.700234 %	0.7485352 %	|	0.7671 %	0.9427 %	0.91255 %	0.9715 %	0.9662 %	0.953474 %	22659.130811691284
4000	50	16	|	576	-1	dot_product
0.3355 %	0.53543 %	0.70044 %	0.7491399 %	|	0.7672 %	0.9435 %	0.91336 %	0.9726 %	0.96756 %	0.954613 %	24517.940521240234
4000	50	16	|	640	-1	dot_product
0.3355 %	0.53547 %	0.700609 %	0.7496466 %	|	0.7675 %	0.9443 %	0.91389 %	0.9736 %	0.9685 %	0.955607 %	26374.501943588257
4000	50	16	|	704	-1	dot_product
0.3355 %	0.53549 %	0.700723 %	0.7500849 %	|	0.7676 %	0.9447 %	0.91417 %	0.9742 %	0.96906 %	0.956349 %	28193.77875328064
4000	50	16	|	768	-1	dot_product
0.3355 %	0.53552 %	0.700859 %	0.7504848 %	|	0.7677 %	0.945 %	0.91463 %	0.9744 %	0.9697 %	0.957095 %	30011.940479278564
4000	50	16	|	1024	-1	dot_product
0.3357 %	0.53565 %	0.701269 %	0.7517861 %	|	0.7685 %	0.947 %	0.91585 %	0.9774 %	0.97197 %	0.959618 %	37216.12358093262
4000	100	16	|	1	-1	dot_product
0.3288 %	0.40131 %	0.358919 %	0.1894276 %	|	0.4598 %	0.465 %	0.44196 %	0.465 %	0.44201 %	0.36297 %	740.5643463134766
4000	100	16	|	16	-1	dot_product
0.5718 %	0.72172 %	0.803203 %	0.7450195 %	|	0.8733 %	0.8978 %	0.89015 %	0.8983 %	0.89219 %	0.869986 %	4796.45848274231
4000	100	16	|	32	-1	dot_product
0.5813 %	0.73518 %	0.82603 %	0.8039235 %	|	0.898 %	0.9274 %	0.91885 %	0.9282 %	0.92214 %	0.909018 %	8044.989347457886
4000	100	16	|	64	-1	dot_product
0.5867 %	0.74316 %	0.837614 %	0.832762 %	|	0.9124 %	0.9455 %	0.93708 %	0.9464 %	0.94113 %	0.931113 %	12681.162118911743
4000	100	16	|	128	-1	dot_product
0.5891 %	0.74777 %	0.844733 %	0.8497007 %	|	0.9225 %	0.9575 %	0.94857 %	0.9588 %	0.95352 %	0.945172 %	19022.249937057495
4000	100	16	|	256	-1	dot_product
0.5922 %	0.75114 %	0.84961 %	0.8614188 %	|	0.9287 %	0.9654 %	0.95706 %	0.9669 %	0.96273 %	0.955386 %	28418.21265220642
4000	100	16	|	320	-1	dot_product
