Program: faiss Topk: 1000 Num_split: 20 Batch: 128
L	m	k_star	|	w	Reorder	Metric
7000	64	256	|	1	-1	squared_l2
0.3913 %	0.40622 %	0.370378 %	0.317791 %	|	0.4608 %	0.4608 %	0.42898 %	0.4608 %	0.42898 %	0.37931 %	24847.135543823242
7000	64	256	|	16	-1	squared_l2
0.7269 %	0.78577 %	0.80413 %	0.795307 %	|	0.948 %	0.9489 %	0.93342 %	0.9489 %	0.93343 %	0.90374 %	149701.2186050415
7000	64	256	|	32	-1	squared_l2
0.7463 %	0.80563 %	0.834451 %	0.8426313 %	|	0.9812 %	0.9822 %	0.97343 %	0.9822 %	0.97344 %	0.958227 %	273071.75159454346
7000	64	256	|	64	-1	squared_l2
0.7517 %	0.81387 %	0.847375 %	0.8650978 %	|	0.9924 %	0.9935 %	0.99159 %	0.9935 %	0.9916 %	0.985514 %	503785.2954864502
7000	64	256	|	128	-1	squared_l2
0.7541 %	0.81626 %	0.851846 %	0.8737368 %	|	0.9975 %	0.9987 %	0.99793 %	0.9987 %	0.99794 %	0.996115 %	948789.7443771362
7000	64	256	|	256	-1	squared_l2
0.7548 %	0.81695 %	0.853099 %	0.8763498 %	|	0.9987 %	0.9999 %	0.99961 %	0.9999 %	0.99962 %	0.999277 %	1811137.866973877
7000	64	256	|	320	-1	squared_l2
0.7548 %	0.81704 %	0.853215 %	0.8766473 %	|	0.9987 %	0.9999 %	0.9998 %	0.9999 %	0.99981 %	0.999614 %	2226456.780433655
7000	64	256	|	384	-1	squared_l2
0.7548 %	0.81709 %	0.853266 %	0.8768004 %	|	0.9987 %	0.9999 %	0.99987 %	0.9999 %	0.99988 %	0.999779 %	2638943.3765411377
7000	64	256	|	448	-1	squared_l2
0.7548 %	0.81711 %	0.85329 %	0.8768818 %	|	0.9987 %	0.9999 %	0.99992 %	0.9999 %	0.99993 %	0.999855 %	3056686.2630844116
7000	64	256	|	512	-1	squared_l2
0.7548 %	0.81711 %	0.853307 %	0.8769294 %	|	0.9987 %	0.9999 %	0.99993 %	0.9999 %	0.99994 %	0.999906 %	3463755.1498413086
7000	64	256	|	576	-1	squared_l2
0.7548 %	0.81713 %	0.853315 %	0.8769543 %	|	0.9987 %	0.9999 %	0.99995 %	0.9999 %	0.99996 %	0.99994 %	3868158.3213806152
7000	64	256	|	640	-1	squared_l2
0.7548 %	0.81713 %	0.853318 %	0.8769709 %	|	0.9987 %	0.9999 %	0.99997 %	0.9999 %	0.99998 %	0.999961 %	4293798.236846924
7000	64	256	|	704	-1	squared_l2
0.7548 %	0.81714 %	0.853325 %	0.876984 %	|	0.9988 %	1.0 %	0.99998 %	1.0 %	0.99999 %	0.99998 %	4678669.8389053345
7000	64	256	|	768	-1	squared_l2
0.7548 %	0.81714 %	0.853331 %	0.8769926 %	|	0.9988 %	1.0 %	0.99999 %	1.0 %	1.0 %	0.999988 %	5058287.491798401
7000	64	256	|	1024	-1	squared_l2
0.7548 %	0.81714 %	0.853333 %	0.877006 %	|	0.9988 %	1.0 %	0.99999 %	1.0 %	1.0 %	0.999995 %	6648961.591720581
7000	64	256	|	1280	-1	squared_l2
0.7548 %	0.81714 %	0.853333 %	0.877009 %	|	0.9988 %	1.0 %	0.99999 %	1.0 %	1.0 %	0.999996 %	-1
7000	64	256	|	1536	-1	squared_l2
0.7548 %	0.81714 %	0.853333 %	0.8770096 %	|	0.9988 %	1.0 %	0.99999 %	1.0 %	1.0 %	0.999996 %	-1
7000	64	256	|	2048	-1	squared_l2
0.7548 %	0.81714 %	0.853333 %	0.8770102 %	|	0.9988 %	1.0 %	0.99999 %	1.0 %	1.0 %	0.999997 %	-1
7000	32	256	|	1	-1	squared_l2
0.2983 %	0.3523 %	0.340958 %	0.3049933 %	|	0.4551 %	0.4608 %	0.42857 %	0.4608 %	0.42898 %	0.379278 %	20086.302757263184
7000	32	256	|	16	-1	squared_l2
0.4996 %	0.60769 %	0.655923 %	0.681479 %	|	0.9097 %	0.9488 %	0.92864 %	0.9489 %	0.93343 %	0.903135 %	89472.68486022949
7000	32	256	|	32	-1	squared_l2
0.5093 %	0.61902 %	0.674114 %	0.7112839 %	|	0.9387 %	0.9821 %	0.96742 %	0.9822 %	0.97344 %	0.957251 %	158189.33486938477
7000	32	256	|	64	-1	squared_l2
0.5118 %	0.62329 %	0.681619 %	0.7250463 %	|	0.9474 %	0.9934 %	0.9846 %	0.9935 %	0.9916 %	0.98412 %	286498.42739105225
7000	32	256	|	128	-1	squared_l2
0.5122 %	0.62449 %	0.684135 %	0.7301652 %	|	0.9512 %	0.9986 %	0.99035 %	0.9987 %	0.99794 %	0.994418 %	533819.3511962891
7000	32	256	|	256	-1	squared_l2
0.5121 %	0.6247 %	0.684786 %	0.7316246 %	|	0.9519 %	0.9997 %	0.99189 %	0.9999 %	0.99962 %	0.997444 %	1012422.9907989502
7000	32	256	|	320	-1	squared_l2
0.5121 %	0.62473 %	0.684832 %	0.7317793 %	|	0.9519 %	0.9997 %	0.99207 %	0.9999 %	0.99981 %	0.997765 %	1242135.38646698
7000	32	256	|	384	-1	squared_l2
0.5121 %	0.62473 %	0.684857 %	0.7318582 %	|	0.9519 %	0.9997 %	0.99213 %	0.9999 %	0.99988 %	0.997922 %	1470236.086845398
7000	32	256	|	448	-1	squared_l2
0.5121 %	0.62473 %	0.684868 %	0.7318966 %	|	0.9519 %	0.9997 %	0.99217 %	0.9999 %	0.99993 %	0.997993 %	1710114.74609375
7000	32	256	|	512	-1	squared_l2
0.5121 %	0.62472 %	0.684875 %	0.7319144 %	|	0.9519 %	0.9997 %	0.99217 %	0.9999 %	0.99994 %	0.998035 %	1940435.996055603
7000	32	256	|	576	-1	squared_l2
0.5121 %	0.62472 %	0.684885 %	0.7319286 %	|	0.9519 %	0.9997 %	0.99218 %	0.9999 %	0.99996 %	0.998067 %	2167889.485359192
7000	32	256	|	640	-1	squared_l2
0.5121 %	0.62472 %	0.684885 %	0.7319367 %	|	0.9519 %	0.9997 %	0.99218 %	0.9999 %	0.99998 %	0.998087 %	2405940.8235549927
7000	32	256	|	704	-1	squared_l2
0.5121 %	0.62473 %	0.684891 %	0.7319423 %	|	0.952 %	0.9998 %	0.99219 %	1.0 %	0.99999 %	0.998106 %	2655247.902870178
7000	32	256	|	768	-1	squared_l2
0.5121 %	0.62473 %	0.684892 %	0.731946 %	|	0.952 %	0.9998 %	0.9922 %	1.0 %	1.0 %	0.998113 %	2839144.4969177246
7000	32	256	|	1024	-1	squared_l2
0.5121 %	0.62473 %	0.684894 %	0.7319506 %	|	0.952 %	0.9998 %	0.9922 %	1.0 %	1.0 %	0.998119 %	3721195.363998413
7000	32	256	|	1280	-1	squared_l2
0.5121 %	0.62473 %	0.684894 %	0.7319516 %	|	0.952 %	0.9998 %	0.9922 %	1.0 %	1.0 %	0.99812 %	-1
7000	32	256	|	1536	-1	squared_l2
0.5121 %	0.62473 %	0.684894 %	0.7319518 %	|	0.952 %	0.9998 %	0.9922 %	1.0 %	1.0 %	0.99812 %	-1
7000	32	256	|	2048	-1	squared_l2
0.5121 %	0.62473 %	0.684894 %	0.731952 %	|	0.952 %	0.9998 %	0.9922 %	1.0 %	1.0 %	0.998121 %	-1
7000	16	256	|	1	-1	squared_l2
0.1925 %	0.26126 %	0.27838 %	0.2716689 %	|	0.4074 %	0.4581 %	0.41458 %	0.4606 %	0.42868 %	0.376237 %	17387.39013671875
7000	16	256	|	16	-1	squared_l2
0.279 %	0.39753 %	0.467969 %	0.525396 %	|	0.7289 %	0.9287 %	0.83786 %	0.9484 %	0.93077 %	0.867538 %	49822.731018066406
7000	16	256	|	32	-1	squared_l2
0.2826 %	0.40237 %	0.476691 %	0.5413702 %	|	0.7437 %	0.9569 %	0.86309 %	0.9816 %	0.96988 %	0.910661 %	81203.72772216797
7000	16	256	|	64	-1	squared_l2
0.2822 %	0.40363 %	0.479805 %	0.5480995 %	|	0.7456 %	0.9655 %	0.87296 %	0.9928 %	0.98716 %	0.929836 %	139746.00791931152
7000	16	256	|	128	-1	squared_l2
0.2825 %	0.40381 %	0.480673 %	0.5502687 %	|	0.7471 %	0.969 %	0.87558 %	0.9978 %	0.99291 %	0.936242 %	253523.12088012695
