Program: faiss Topk: 1000 Num_split: 1 Batch: 128
L	m	k_star	|	w	Reorder	Metric
1000	8	16	|	1	-1	squared_l2
0.1142 %	0.16019 %	0.201831 %	0.1881464 %	|	0.2994 %	0.4563 %	0.35623 %	0.4741 %	0.40373 %	0.312864 %	473.75988960266113
1000	8	16	|	2	-1	squared_l2
0.1256 %	0.18024 %	0.239912 %	0.2692355 %	|	0.3504 %	0.5843 %	0.44958 %	0.6361 %	0.56016 %	0.449672 %	644.1137790679932
1000	8	16	|	4	-1	squared_l2
0.1288 %	0.18962 %	0.263241 %	0.3296982 %	|	0.3756 %	0.6755 %	0.51259 %	0.7792 %	0.70617 %	0.578062 %	884.8373889923096
1000	8	16	|	8	-1	squared_l2
0.1296 %	0.1934 %	0.274293 %	0.3655614 %	|	0.3875 %	0.7264 %	0.54572 %	0.8835 %	0.8173 %	0.669346 %	1291.2275791168213
1000	8	16	|	16	-1	squared_l2
0.1308 %	0.19443 %	0.278271 %	0.3825904 %	|	0.3906 %	0.7438 %	0.55797 %	0.939 %	0.87934 %	0.718018 %	2094.93350982666
1000	8	16	|	25	-1	squared_l2
0.1306 %	0.19456 %	0.279008 %	0.3871239 %	|	0.3914 %	0.7476 %	0.56015 %	0.9558 %	0.89736 %	0.731524 %	2837.315082550049
1000	8	16	|	30	-1	squared_l2
0.1306 %	0.1946 %	0.279143 %	0.3881234 %	|	0.3916 %	0.7483 %	0.56058 %	0.9595 %	0.9013 %	0.734516 %	3327.6617527008057
1000	8	16	|	35	-1	squared_l2
0.1301 %	0.19464 %	0.279196 %	0.3886732 %	|	0.3914 %	0.7486 %	0.56077 %	0.9608 %	0.90331 %	0.736128 %	3748.2879161834717
1000	8	16	|	40	-1	squared_l2
0.1302 %	0.19466 %	0.279219 %	0.3890172 %	|	0.3917 %	0.7486 %	0.56086 %	0.9622 %	0.90486 %	0.737146 %	4201.685428619385
1000	8	16	|	45	-1	squared_l2
0.1303 %	0.19467 %	0.279226 %	0.3892294 %	|	0.3917 %	0.7486 %	0.56083 %	0.9629 %	0.90571 %	0.737726 %	4619.971752166748
1000	8	16	|	50	-1	squared_l2
0.1302 %	0.19467 %	0.279237 %	0.3893692 %	|	0.3917 %	0.7487 %	0.56088 %	0.963 %	0.90633 %	0.738168 %	5012.944459915161
1000	8	16	|	55	-1	squared_l2
0.1301 %	0.19467 %	0.279248 %	0.3894545 %	|	0.3917 %	0.7489 %	0.56091 %	0.9635 %	0.90679 %	0.738439 %	5503.897190093994
1000	8	16	|	60	-1	squared_l2
0.1303 %	0.19468 %	0.279249 %	0.3895146 %	|	0.3917 %	0.749 %	0.56091 %	0.9638 %	0.90705 %	0.738612 %	5901.997804641724
1000	8	16	|	65	-1	squared_l2
0.1302 %	0.19467 %	0.279253 %	0.3895566 %	|	0.3916 %	0.749 %	0.56093 %	0.9637 %	0.90718 %	0.738732 %	6307.7099323272705
1000	8	16	|	75	-1	squared_l2
0.1303 %	0.19468 %	0.279257 %	0.3896074 %	|	0.3917 %	0.749 %	0.56096 %	0.9639 %	0.90743 %	0.738895 %	7121.726036071777
1000	8	16	|	90	-1	squared_l2
0.1302 %	0.19468 %	0.279259 %	0.3896361 %	|	0.3917 %	0.749 %	0.56097 %	0.964 %	0.90757 %	0.738985 %	8379.218578338623
1000	8	16	|	110	-1	squared_l2
0.1303 %	0.19467 %	0.27926 %	0.3896512 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90762 %	0.739015 %	9858.84141921997
1000	8	16	|	130	-1	squared_l2
0.1303 %	0.19467 %	0.279262 %	0.3896551 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90762 %	0.739024 %	11608.160734176636
1000	8	16	|	150	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.3896565 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90763 %	0.739029 %	13167.754411697388
1000	8	16	|	170	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.389657 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90763 %	0.739032 %	14844.683170318604
1000	8	16	|	200	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.3896571 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90764 %	0.739032 %	16915.44485092163
1000	8	16	|	220	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.389657 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90764 %	0.739032 %	18700.58035850525
1000	8	16	|	250	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.389657 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90764 %	0.739032 %	21586.937427520752
1000	8	16	|	310	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.389657 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90764 %	0.739032 %	26336.956024169922
1000	8	16	|	400	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.389657 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90764 %	0.739032 %	32854.17938232422
1000	8	16	|	500	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.389657 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90764 %	0.739032 %	40392.98677444458
1000	8	16	|	800	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.389657 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90764 %	0.739032 %	61606.698513031006
1000	8	16	|	1000	-1	squared_l2
0.1302 %	0.19467 %	0.279262 %	0.389657 %	|	0.3917 %	0.749 %	0.56098 %	0.964 %	0.90764 %	0.739032 %	82779.85167503357
1000	16	16	|	1	-1	squared_l2
0.1835 %	0.23121 %	0.244059 %	0.1923117 %	|	0.3948 %	0.4705 %	0.39002 %	0.4742 %	0.40385 %	0.313764 %	566.2047863006592
1000	16	16	|	2	-1	squared_l2
0.2175 %	0.27494 %	0.309662 %	0.290481 %	|	0.4944 %	0.6255 %	0.52516 %	0.6364 %	0.56143 %	0.456699 %	811.6340637207031
1000	16	16	|	4	-1	squared_l2
0.2326 %	0.30203 %	0.357075 %	0.3814598 %	|	0.5628 %	0.7605 %	0.63849 %	0.7811 %	0.71318 %	0.608345 %	1238.260269165039
1000	16	16	|	8	-1	squared_l2
0.2401 %	0.31608 %	0.385318 %	0.4463992 %	|	0.5992 %	0.8505 %	0.71394 %	0.892 %	0.84082 %	0.740553 %	2001.469612121582
1000	16	16	|	16	-1	squared_l2
0.2433 %	0.32205 %	0.398515 %	0.4840593 %	|	0.6143 %	0.897 %	0.75187 %	0.9575 %	0.92651 %	0.83167 %	3451.139211654663
1000	16	16	|	25	-1	squared_l2
