Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
7000	0.55	48	|	1	-1	squared_l2
0.1807 %	0.19851 %	0.215844 %	0.2314927 %	|	0.3484 %	0.4616 %	0.36495 %	0.5094 %	0.44728 %	0.365775 %	2848.4816551208496
7000	0.55	48	|	16	-1	squared_l2
0.269 %	0.30408 %	0.345223 %	0.4055655 %	|	0.5623 %	0.8017 %	0.6492 %	0.9206 %	0.86868 %	0.725559 %	12079.28729057312
7000	0.55	48	|	32	-1	squared_l2
0.2732 %	0.30826 %	0.351234 %	0.415514 %	|	0.5716 %	0.8187 %	0.66447 %	0.9419 %	0.89575 %	0.750308 %	21208.678483963013
7000	0.55	48	|	64	-1	squared_l2
0.2738 %	0.30963 %	0.353462 %	0.419594 %	|	0.5754 %	0.8249 %	0.66976 %	0.9507 %	0.90619 %	0.760925 %	38851.09043121338
7000	0.55	48	|	128	-1	squared_l2
0.2744 %	0.30994 %	0.354203 %	0.4209184 %	|	0.5762 %	0.826 %	0.67182 %	0.9535 %	0.91037 %	0.764857 %	73237.64324188232
7000	0.55	48	|	256	-1	squared_l2
0.2745 %	0.31 %	0.35436 %	0.421205 %	|	0.5767 %	0.8269 %	0.67249 %	0.9546 %	0.91165 %	0.765894 %	139624.68600273132
7000	0.55	48	|	320	-1	squared_l2
0.2742 %	0.30995 %	0.354346 %	0.4212144 %	|	0.5767 %	0.8269 %	0.67251 %	0.9547 %	0.91184 %	0.766041 %	172254.1263103485
7000	0.55	48	|	384	-1	squared_l2
0.2742 %	0.30985 %	0.354362 %	0.421215 %	|	0.5768 %	0.8268 %	0.6725 %	0.9549 %	0.91191 %	0.766054 %	204601.744890213
7000	0.55	48	|	448	-1	squared_l2
0.2742 %	0.3099 %	0.354358 %	0.4212254 %	|	0.5765 %	0.8269 %	0.67251 %	0.9549 %	0.9119 %	0.76612 %	237068.42184066772
7000	0.55	48	|	512	-1	squared_l2
0.2742 %	0.30991 %	0.354354 %	0.4212264 %	|	0.5764 %	0.8268 %	0.67254 %	0.9549 %	0.91196 %	0.766135 %	269178.4203052521
7000	0.55	48	|	576	-1	squared_l2
0.2742 %	0.30996 %	0.354354 %	0.421224 %	|	0.5764 %	0.8268 %	0.67257 %	0.9549 %	0.91201 %	0.766171 %	301227.8265953064
7000	0.55	48	|	640	-1	squared_l2
0.2742 %	0.30997 %	0.354344 %	0.4212262 %	|	0.5766 %	0.8269 %	0.67256 %	0.9549 %	0.912 %	0.766181 %	333120.65982818604
7000	0.55	48	|	704	-1	squared_l2
0.2742 %	0.30993 %	0.354357 %	0.4212288 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91198 %	0.766178 %	365080.7173252106
7000	0.55	48	|	768	-1	squared_l2
0.2742 %	0.30996 %	0.35435 %	0.4212288 %	|	0.5766 %	0.8268 %	0.67249 %	0.9549 %	0.91198 %	0.766172 %	396706.1598300934
7000	0.55	48	|	1024	-1	squared_l2
0.2742 %	0.30997 %	0.354354 %	0.4212207 %	|	0.5766 %	0.8268 %	0.67248 %	0.9549 %	0.91198 %	0.766181 %	524125.7038116455
7000	0.55	48	|	1280	-1	squared_l2
0.2742 %	0.30997 %	0.354352 %	0.4212168 %	|	0.5766 %	0.8268 %	0.67248 %	0.9549 %	0.91198 %	0.766172 %	650891.969203949
7000	0.55	48	|	1536	-1	squared_l2
0.2742 %	0.30997 %	0.354347 %	0.4212139 %	|	0.5766 %	0.8268 %	0.6725 %	0.9549 %	0.91198 %	0.766167 %	777839.8785591125
7000	0.55	48	|	2048	-1	squared_l2
0.2742 %	0.30996 %	0.354357 %	0.421214 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91198 %	0.76617 %	1030952.3181915283
7000	0.55	48	|	2560	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766167 %	1285105.7770252228
7000	0.55	48	|	3072	-1	squared_l2
0.2742 %	0.30996 %	0.354362 %	0.4212123 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766165 %	1541562.1936321259
7000	0.55	48	|	4096	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.4212131 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	2064512.9590034485
7000	0.55	48	|	4608	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	2332867.1638965607
7000	0.55	48	|	5120	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	2608110.062599182
7000	0.55	48	|	5632	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	2891657.7863693237
7000	0.55	48	|	6144	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	3184218.595981598
7000	0.55	48	|	6656	-1	squared_l2
0.2742 %	0.30996 %	0.354361 %	0.421213 %	|	0.5766 %	0.8268 %	0.67254 %	0.9549 %	0.91197 %	0.766166 %	3489550.6324768066
7000	0.2	24	|	1	-1	squared_l2
0.0973 %	0.09653 %	0.112323 %	0.1436853 %	|	0.2082 %	0.343 %	0.22975 %	0.4624 %	0.37808 %	0.269999 %	2622.4615573883057
7000	0.2	24	|	16	-1	squared_l2
0.1246 %	0.12471 %	0.141671 %	0.1914665 %	|	0.2811 %	0.4911 %	0.32056 %	0.7377 %	0.61084 %	0.407327 %	7934.051513671875
7000	0.2	24	|	32	-1	squared_l2
0.1254 %	0.124 %	0.140612 %	0.190007 %	|	0.2793 %	0.4918 %	0.32014 %	0.7433 %	0.6148 %	0.407127 %	12663.357973098755
7000	0.2	24	|	64	-1	squared_l2
0.125 %	0.1233 %	0.139442 %	0.1878772 %	|	0.2788 %	0.4927 %	0.31809 %	0.7431 %	0.6128 %	0.404317 %	21733.32381248474
7000	0.2	24	|	128	-1	squared_l2
0.1246 %	0.1229 %	0.138707 %	0.1862649 %	|	0.2777 %	0.4909 %	0.31707 %	0.7401 %	0.6106 %	0.401801 %	39328.76682281494
7000	0.2	24	|	256	-1	squared_l2
0.1246 %	0.12284 %	0.138313 %	0.1853064 %	|	0.2766 %	0.49 %	0.31624 %	0.7395 %	0.60913 %	0.4004 %	73098.84476661682
7000	0.2	24	|	320	-1	squared_l2
0.1246 %	0.12278 %	0.13825 %	0.1851275 %	|	0.2771 %	0.4908 %	0.31622 %	0.739 %	0.6088 %	0.400109 %	89757.46870040894
7000	0.2	24	|	384	-1	squared_l2
0.1246 %	0.12291 %	0.138246 %	0.1850015 %	|	0.2774 %	0.4908 %	0.31628 %	0.7389 %	0.60855 %	0.399902 %	106242.32459068298
7000	0.2	24	|	448	-1	squared_l2
0.1246 %	0.12279 %	0.138179 %	0.1849282 %	|	0.2772 %	0.4903 %	0.31615 %	0.7392 %	0.60834 %	0.399742 %	122551.33867263794
7000	0.2	24	|	512	-1	squared_l2
0.1246 %	0.12297 %	0.138147 %	0.1848665 %	|	0.2771 %	0.4901 %	0.31617 %	0.7392 %	0.60836 %	0.399694 %	138847.0287322998
7000	0.2	24	|	576	-1	squared_l2
0.1246 %	0.12288 %	0.13812 %	0.1848171 %	|	0.277 %	0.4898 %	0.3161 %	0.7389 %	0.60819 %	0.399648 %	155166.8553352356
7000	0.2	24	|	640	-1	squared_l2
0.1246 %	0.12285 %	0.138135 %	0.1847986 %	|	0.277 %	0.4901 %	0.31602 %	0.7388 %	0.60819 %	0.399586 %	171300.80938339233
7000	0.2	24	|	704	-1	squared_l2
0.1246 %	0.1228 %	0.13812 %	0.1847813 %	|	0.2771 %	0.4898 %	0.31605 %	0.7386 %	0.60804 %	0.39956 %	187509.2191696167
7000	0.2	24	|	768	-1	squared_l2
0.1247 %	0.12281 %	0.13811 %	0.1847594 %	|	0.2772 %	0.4897 %	0.31602 %	0.7389 %	0.608 %	0.399537 %	203627.5577545166
7000	0.2	24	|	1024	-1	squared_l2
0.1247 %	0.12283 %	0.138085 %	0.1847138 %	|	0.2776 %	0.4896 %	0.31607 %	0.7388 %	0.6079 %	0.399424 %	268024.53780174255
7000	0.2	24	|	1280	-1	squared_l2
0.1247 %	0.12281 %	0.138097 %	0.1846969 %	|	0.2773 %	0.4894 %	0.31602 %	0.7389 %	0.60785 %	0.399391 %	332249.3007183075
7000	0.2	24	|	1536	-1	squared_l2
0.1247 %	0.12278 %	0.138089 %	0.184682 %	|	0.2772 %	0.4892 %	0.31594 %	0.7389 %	0.60783 %	0.39938 %	396354.8367023468
7000	0.2	24	|	2048	-1	squared_l2
0.1247 %	0.12276 %	0.138092 %	0.1846677 %	|	0.2769 %	0.4893 %	0.31595 %	0.7389 %	0.60781 %	0.399349 %	524268.82886886597
7000	0.2	24	|	2560	-1	squared_l2
0.1247 %	0.12274 %	0.138082 %	0.1846641 %	|	0.2769 %	0.4893 %	0.31594 %	0.7389 %	0.60779 %	0.399348 %	653017.4827575684
7000	0.2	24	|	3072	-1	squared_l2
0.1247 %	0.12275 %	0.138077 %	0.1846614 %	|	0.2769 %	0.4892 %	0.31592 %	0.7389 %	0.6078 %	0.399353 %	782408.1172943115
7000	0.2	24	|	4096	-1	squared_l2
0.1247 %	0.12274 %	0.138072 %	0.1846585 %	|	0.2769 %	0.4892 %	0.31591 %	0.7389 %	0.6078 %	0.39935 %	1046241.7573928833
7000	0.2	24	|	4608	-1	squared_l2
0.1247 %	0.12274 %	0.138073 %	0.184659 %	|	0.2769 %	0.4892 %	0.31591 %	0.7389 %	0.6078 %	0.399349 %	1181557.0480823517
7000	0.2	24	|	5120	-1	squared_l2
0.1247 %	0.12276 %	0.138074 %	0.1846591 %	|	0.277 %	0.4892 %	0.31591 %	0.7389 %	0.6078 %	0.399349 %	1319825.1564502716
7000	0.2	24	|	5632	-1	squared_l2
0.1247 %	0.12276 %	0.138074 %	0.1846591 %	|	0.277 %	0.4892 %	0.31591 %	0.7389 %	0.6078 %	0.399349 %	1460421.499490738
7000	0.2	24	|	6144	-1	squared_l2
0.1247 %	0.12276 %	0.138074 %	0.1846591 %	|	0.277 %	0.4892 %	0.31591 %	0.7389 %	0.6078 %	0.399349 %	1608727.7953624725
7000	0.2	24	|	6656	-1	squared_l2
0.1247 %	0.12276 %	0.138074 %	0.1846591 %	|	0.277 %	0.4892 %	0.31591 %	0.7389 %	0.6078 %	0.399349 %	1757598.8738536835
