Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	256	|	1	-1	dot_product
0.368 %	0.3735 %	0.33455 %	0.239471 %	|	0.408 %	0.408 %	0.385 %	0.408 %	0.385 %	0.33642 %	53.38311195373535
800	0.2	256	|	2	-1	dot_product
0.506 %	0.5189 %	0.48569 %	0.37446 %	|	0.577 %	0.577 %	0.5476 %	0.577 %	0.5476 %	0.49229 %	39.18147087097168
800	0.2	256	|	4	-1	dot_product
0.63 %	0.6493 %	0.63088 %	0.527162 %	|	0.741 %	0.741 %	0.7028 %	0.741 %	0.7028 %	0.64921 %	40.38429260253906
800	0.2	256	|	8	-1	dot_product
0.715 %	0.7461 %	0.74514 %	0.671876 %	|	0.856 %	0.856 %	0.8295 %	0.856 %	0.8295 %	0.7823 %	59.84616279602051
800	0.2	256	|	16	-1	dot_product
0.755 %	0.8008 %	0.82306 %	0.788268 %	|	0.927 %	0.927 %	0.9118 %	0.927 %	0.9118 %	0.88356 %	57.81412124633789
800	0.2	256	|	25	-1	dot_product
0.777 %	0.8234 %	0.85335 %	0.840192 %	|	0.96 %	0.96 %	0.9496 %	0.96 %	0.9496 %	0.92936 %	56.05268478393555
800	0.2	256	|	30	-1	dot_product
0.782 %	0.8306 %	0.86195 %	0.856744 %	|	0.971 %	0.971 %	0.9612 %	0.971 %	0.9612 %	0.94396 %	59.735774993896484
800	0.2	256	|	35	-1	dot_product
0.79 %	0.8345 %	0.86739 %	0.868279 %	|	0.98 %	0.98 %	0.9688 %	0.98 %	0.9688 %	0.95366 %	102.68330574035645
800	0.2	256	|	40	-1	dot_product
0.794 %	0.837 %	0.8713 %	0.876828 %	|	0.986 %	0.986 %	0.9738 %	0.986 %	0.9738 %	0.9613 %	109.01618003845215
800	0.2	256	|	45	-1	dot_product
0.795 %	0.8381 %	0.87432 %	0.882857 %	|	0.987 %	0.987 %	0.9776 %	0.987 %	0.9776 %	0.96692 %	116.78481101989746
800	0.2	256	|	50	-1	dot_product
0.797 %	0.8394 %	0.87696 %	0.887985 %	|	0.989 %	0.989 %	0.9812 %	0.989 %	0.9812 %	0.97196 %	120.2387809753418
800	0.2	256	|	55	-1	dot_product
0.798 %	0.8411 %	0.87879 %	0.891906 %	|	0.99 %	0.99 %	0.9838 %	0.99 %	0.9838 %	0.97576 %	115.87285995483398
800	0.2	256	|	60	-1	dot_product
0.799 %	0.8424 %	0.88028 %	0.895088 %	|	0.991 %	0.991 %	0.9861 %	0.991 %	0.9861 %	0.97872 %	132.64870643615723
800	0.2	256	|	65	-1	dot_product
0.8 %	0.8432 %	0.88156 %	0.897836 %	|	0.992 %	0.992 %	0.988 %	0.992 %	0.988 %	0.98133 %	145.7357406616211
800	0.2	256	|	75	-1	dot_product
0.802 %	0.8443 %	0.88345 %	0.901952 %	|	0.995 %	0.995 %	0.9901 %	0.995 %	0.9901 %	0.98534 %	109.79294776916504
800	0.2	256	|	90	-1	dot_product
0.801 %	0.8455 %	0.88542 %	0.906076 %	|	0.995 %	0.995 %	0.993 %	0.995 %	0.993 %	0.98978 %	141.56222343444824
800	0.2	256	|	110	-1	dot_product
0.801 %	0.8465 %	0.88708 %	0.909344 %	|	0.995 %	0.995 %	0.9956 %	0.995 %	0.9956 %	0.9935 %	140.66243171691895
800	0.2	256	|	130	-1	dot_product
0.801 %	0.8471 %	0.88786 %	0.911303 %	|	0.995 %	0.995 %	0.9969 %	0.995 %	0.9969 %	0.99567 %	210.74819564819336
800	0.2	256	|	150	-1	dot_product
0.802 %	0.8474 %	0.88847 %	0.912608 %	|	0.996 %	0.996 %	0.9981 %	0.996 %	0.9981 %	0.99706 %	181.95390701293945
800	0.2	256	|	170	-1	dot_product
0.803 %	0.8481 %	0.88875 %	0.913458 %	|	0.998 %	0.998 %	0.9991 %	0.998 %	0.9991 %	0.99797 %	219.09379959106445
800	0.2	256	|	200	-1	dot_product
0.803 %	0.8481 %	0.88896 %	0.914269 %	|	0.999 %	0.999 %	0.9994 %	0.999 %	0.9994 %	0.9988 %	261.1043453216553
800	0.2	256	|	220	-1	dot_product
0.803 %	0.8481 %	0.8891 %	0.914622 %	|	0.999 %	0.999 %	0.9995 %	0.999 %	0.9995 %	0.99922 %	258.49151611328125
800	0.2	256	|	250	-1	dot_product
0.804 %	0.8482 %	0.88926 %	0.915001 %	|	1.0 %	1.0 %	0.9997 %	1.0 %	0.9997 %	0.99958 %	275.13623237609863
800	0.2	256	|	310	-1	dot_product
0.804 %	0.8483 %	0.88939 %	0.915375 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99987 %	319.3638324737549
800	0.2	256	|	400	-1	dot_product
0.804 %	0.8483 %	0.88941 %	0.915562 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.99997 %	422.6696491241455
800	0.2	256	|	500	-1	dot_product
0.804 %	0.8483 %	0.88943 %	0.915624 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	473.3750820159912
