Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
4000	0.2	96	|	1	-1	squared_l2
0.1984 %	0.19134 %	0.150872 %	0.0861601 %	|	0.2245 %	0.2264 %	0.19719 %	0.2266 %	0.19745 %	0.151711 %	115.11564254760742
4000	0.2	96	|	2	-1	squared_l2
0.3013 %	0.29849 %	0.239802 %	0.1411915 %	|	0.3525 %	0.3558 %	0.31176 %	0.3564 %	0.31238 %	0.242019 %	98.54650497436523
4000	0.2	96	|	4	-1	squared_l2
0.4188 %	0.42792 %	0.360658 %	0.2271846 %	|	0.5044 %	0.5101 %	0.45603 %	0.5105 %	0.45698 %	0.366419 %	122.42007255554199
4000	0.2	96	|	8	-1	squared_l2
0.5417 %	0.56439 %	0.504315 %	0.3512787 %	|	0.6651 %	0.6713 %	0.61592 %	0.6722 %	0.61743 %	0.517752 %	143.67127418518066
4000	0.2	96	|	16	-1	squared_l2
0.634 %	0.67755 %	0.644427 %	0.5052657 %	|	0.7979 %	0.8045 %	0.76083 %	0.8059 %	0.76257 %	0.673423 %	171.59223556518555
4000	0.2	96	|	25	-1	squared_l2
0.6783 %	0.73303 %	0.72022 %	0.6079411 %	|	0.8665 %	0.8733 %	0.83721 %	0.8747 %	0.83895 %	0.763881 %	197.6778507232666
4000	0.2	96	|	30	-1	squared_l2
0.6952 %	0.75063 %	0.746999 %	0.6479266 %	|	0.8902 %	0.8971 %	0.86324 %	0.8985 %	0.86498 %	0.797442 %	213.14120292663574
4000	0.2	96	|	35	-1	squared_l2
0.7046 %	0.76424 %	0.766827 %	0.6793141 %	|	0.9059 %	0.9128 %	0.88387 %	0.9142 %	0.88561 %	0.82303 %	231.24384880065918
4000	0.2	96	|	40	-1	squared_l2
0.7124 %	0.77509 %	0.782172 %	0.7052059 %	|	0.9186 %	0.9255 %	0.90025 %	0.9269 %	0.90199 %	0.843499 %	248.52967262268066
4000	0.2	96	|	45	-1	squared_l2
0.7197 %	0.7828 %	0.794445 %	0.7268388 %	|	0.9293 %	0.9363 %	0.91254 %	0.9377 %	0.91428 %	0.860168 %	266.4377689361572
4000	0.2	96	|	50	-1	squared_l2
0.726 %	0.789 %	0.804527 %	0.7452954 %	|	0.938 %	0.945 %	0.92223 %	0.9464 %	0.92397 %	0.874219 %	275.97498893737793
4000	0.2	96	|	55	-1	squared_l2
0.7303 %	0.79403 %	0.81275 %	0.7607631 %	|	0.9448 %	0.9518 %	0.93069 %	0.9532 %	0.93243 %	0.885912 %	290.1937961578369
4000	0.2	96	|	60	-1	squared_l2
0.7343 %	0.79804 %	0.819609 %	0.7740829 %	|	0.9513 %	0.9583 %	0.93738 %	0.9597 %	0.93912 %	0.895911 %	305.1023483276367
4000	0.2	96	|	65	-1	squared_l2
0.7365 %	0.80132 %	0.825601 %	0.7859437 %	|	0.9548 %	0.9618 %	0.94325 %	0.9632 %	0.94499 %	0.904669 %	315.9792423248291
4000	0.2	96	|	75	-1	squared_l2
0.7411 %	0.80677 %	0.83517 %	0.8052356 %	|	0.9628 %	0.97 %	0.953 %	0.9714 %	0.95474 %	0.919159 %	344.8009490966797
4000	0.2	96	|	90	-1	squared_l2
0.7456 %	0.81224 %	0.845376 %	0.8270626 %	|	0.9699 %	0.9771 %	0.96321 %	0.9785 %	0.96495 %	0.935034 %	384.5052719116211
4000	0.2	96	|	110	-1	squared_l2
0.749 %	0.81696 %	0.854372 %	0.8473631 %	|	0.9758 %	0.983 %	0.97232 %	0.9844 %	0.97406 %	0.949935 %	429.86536026000977
4000	0.2	96	|	130	-1	squared_l2
0.7511 %	0.81997 %	0.860184 %	0.8613111 %	|	0.9795 %	0.9867 %	0.97846 %	0.9881 %	0.9802 %	0.960041 %	479.6915054321289
4000	0.2	96	|	150	-1	squared_l2
0.7532 %	0.82201 %	0.864248 %	0.871487 %	|	0.9823 %	0.9895 %	0.98266 %	0.9909 %	0.9844 %	0.9674 %	528.0680656433105
4000	0.2	96	|	170	-1	squared_l2
0.7542 %	0.82352 %	0.867294 %	0.8791467 %	|	0.9839 %	0.9912 %	0.98576 %	0.9926 %	0.9875 %	0.973075 %	569.9083805084229
4000	0.2	96	|	200	-1	squared_l2
0.7557 %	0.82512 %	0.87056 %	0.8875328 %	|	0.986 %	0.9934 %	0.98914 %	0.9948 %	0.99088 %	0.979307 %	637.1486186981201
4000	0.2	96	|	220	-1	squared_l2
0.7559 %	0.82583 %	0.872105 %	0.8916687 %	|	0.9867 %	0.9941 %	0.99056 %	0.9955 %	0.9923 %	0.982316 %	681.7679405212402
4000	0.2	96	|	250	-1	squared_l2
0.7564 %	0.82648 %	0.873781 %	0.8963816 %	|	0.9876 %	0.995 %	0.99221 %	0.9964 %	0.99395 %	0.985715 %	744.9734210968018
4000	0.2	96	|	310	-1	squared_l2
0.7572 %	0.8275 %	0.875953 %	0.9027141 %	|	0.9887 %	0.9961 %	0.99439 %	0.9975 %	0.99613 %	0.990309 %	871.9174861907959
4000	0.2	96	|	400	-1	squared_l2
0.7577 %	0.82831 %	0.877681 %	0.9079466 %	|	0.9898 %	0.9972 %	0.996 %	0.9986 %	0.99774 %	0.99425 %	1081.5141201019287
4000	0.2	96	|	500	-1	squared_l2
0.7581 %	0.82879 %	0.878623 %	0.9110488 %	|	0.9903 %	0.9977 %	0.99703 %	0.9991 %	0.99877 %	0.996459 %	1295.8135604858398
4000	0.2	96	|	800	-1	squared_l2
0.7587 %	0.8292 %	0.879644 %	0.9146458 %	|	0.9911 %	0.9985 %	0.99796 %	0.9999 %	0.9997 %	0.99892 %	1954.474925994873
4000	0.2	96	|	1000	-1	squared_l2
0.7587 %	0.82925 %	0.879858 %	0.9154583 %	|	0.9911 %	0.9985 %	0.9981 %	0.9999 %	0.99984 %	0.999448 %	2320.176839828491
4000	0.2	96	|	1250	-1	squared_l2
0.7588 %	0.82931 %	0.879981 %	0.9159325 %	|	0.9912 %	0.9986 %	0.9982 %	1.0 %	0.99994 %	0.999752 %	2816.823959350586
4000	0.2	96	|	1500	-1	squared_l2
0.7588 %	0.82933 %	0.880025 %	0.9161623 %	|	0.9912 %	0.9986 %	0.99824 %	1.0 %	0.99998 %	0.999876 %	3312.5059604644775
4000	0.2	96	|	1750	-1	squared_l2
0.7588 %	0.82934 %	0.880049 %	0.916269 %	|	0.9912 %	0.9986 %	0.99826 %	1.0 %	1.0 %	0.999937 %	3791.36323928833
4000	0.2	96	|	1900	-1	squared_l2
0.7588 %	0.82934 %	0.880056 %	0.9163082 %	|	0.9912 %	0.9986 %	0.99826 %	1.0 %	1.0 %	0.99996 %	4099.648475646973
4000	0.2	96	|	2000	-1	squared_l2
0.7588 %	0.82934 %	0.880058 %	0.9163268 %	|	0.9912 %	0.9986 %	0.99826 %	1.0 %	1.0 %	0.999965 %	4307.2216510772705
4000	0.2	96	|	2048	-1	squared_l2
0.7588 %	0.82934 %	0.88006 %	0.9163325 %	|	0.9912 %	0.9986 %	0.99826 %	1.0 %	1.0 %	0.999967 %	4381.684303283691
4000	0.2	48	|	1	-1	squared_l2
0.1506 %	0.17321 %	0.148759 %	0.0865394 %	|	0.2218 %	0.2264 %	0.19766 %	0.2264 %	0.19791 %	0.152437 %	64.65530395507812
4000	0.2	48	|	2	-1	squared_l2
0.2191 %	0.2587 %	0.231485 %	0.1414511 %	|	0.3464 %	0.3569 %	0.31203 %	0.3573 %	0.31276 %	0.242404 %	82.01098442077637
4000	0.2	48	|	4	-1	squared_l2
0.283 %	0.34959 %	0.336162 %	0.2269506 %	|	0.4883 %	0.5107 %	0.45565 %	0.5113 %	0.45727 %	0.366611 %	105.31401634216309
4000	0.2	48	|	8	-1	squared_l2
0.343 %	0.43454 %	0.446802 %	0.3481671 %	|	0.6319 %	0.6719 %	0.61448 %	0.6726 %	0.61768 %	0.517862 %	132.74455070495605
4000	0.2	48	|	16	-1	squared_l2
0.3849 %	0.49598 %	0.538862 %	0.486719 %	|	0.7485 %	0.8047 %	0.756 %	0.8059 %	0.76273 %	0.673449 %	161.5924835205078
4000	0.2	48	|	25	-1	squared_l2
0.405 %	0.52266 %	0.582313 %	0.5670208 %	|	0.8049 %	0.8733 %	0.82975 %	0.8747 %	0.83895 %	0.763782 %	183.32648277282715
4000	0.2	48	|	30	-1	squared_l2
0.4084 %	0.53092 %	0.596675 %	0.5954838 %	|	0.8236 %	0.897 %	0.85464 %	0.8985 %	0.86499 %	0.797308 %	197.28684425354004
4000	0.2	48	|	35	-1	squared_l2
0.4124 %	0.53715 %	0.607061 %	0.6167098 %	|	0.8363 %	0.9127 %	0.87419 %	0.9142 %	0.88554 %	0.822804 %	208.2226276397705
4000	0.2	48	|	40	-1	squared_l2
0.4148 %	0.54165 %	0.615114 %	0.6335052 %	|	0.8459 %	0.9254 %	0.88981 %	0.9269 %	0.90201 %	0.843187 %	219.81048583984375
4000	0.2	48	|	45	-1	squared_l2
0.418 %	0.5451 %	0.621159 %	0.6470934 %	|	0.8545 %	0.9362 %	0.90148 %	0.9378 %	0.91429 %	0.859795 %	228.88898849487305
4000	0.2	48	|	50	-1	squared_l2
0.4206 %	0.54752 %	0.6261 %	0.6582902 %	|	0.8609 %	0.9448 %	0.91062 %	0.9464 %	0.92399 %	0.873771 %	241.0566806793213
4000	0.2	48	|	55	-1	squared_l2
0.4225 %	0.5498 %	0.63005 %	0.6674328 %	|	0.8657 %	0.9515 %	0.9185 %	0.9532 %	0.93243 %	0.885407 %	249.8476505279541
4000	0.2	48	|	60	-1	squared_l2
0.4237 %	0.55125 %	0.633367 %	0.6751272 %	|	0.8706 %	0.958 %	0.92481 %	0.9597 %	0.93914 %	0.895349 %	259.0644359588623
4000	0.2	48	|	65	-1	squared_l2
0.4245 %	0.5526 %	0.636224 %	0.6817751 %	|	0.8731 %	0.9613 %	0.93026 %	0.9632 %	0.94498 %	0.904039 %	272.8910446166992
4000	0.2	48	|	75	-1	squared_l2
0.4273 %	0.555 %	0.640741 %	0.6923149 %	|	0.8805 %	0.9695 %	0.93923 %	0.9714 %	0.95476 %	0.918417 %	291.5494441986084
4000	0.2	48	|	90	-1	squared_l2
0.4287 %	0.55713 %	0.645497 %	0.7039173 %	|	0.8854 %	0.9766 %	0.94865 %	0.9785 %	0.96494 %	0.934115 %	320.8153247833252
4000	0.2	48	|	110	-1	squared_l2
0.4302 %	0.55916 %	0.649571 %	0.7142761 %	|	0.89 %	0.9825 %	0.95716 %	0.9844 %	0.97406 %	0.948858 %	355.23271560668945
4000	0.2	48	|	130	-1	squared_l2
0.4303 %	0.56031 %	0.652279 %	0.7211117 %	|	0.8919 %	0.9862 %	0.96265 %	0.9881 %	0.98018 %	0.958823 %	382.9660415649414
4000	0.2	48	|	150	-1	squared_l2
0.4301 %	0.56103 %	0.654046 %	0.7260738 %	|	0.8937 %	0.9889 %	0.96642 %	0.9909 %	0.9844 %	0.966071 %	417.665958404541
4000	0.2	48	|	170	-1	squared_l2
0.4307 %	0.5613 %	0.655448 %	0.7296893 %	|	0.8945 %	0.9906 %	0.96924 %	0.9926 %	0.98752 %	0.971645 %	452.08072662353516
4000	0.2	48	|	200	-1	squared_l2
0.4309 %	0.5618 %	0.656808 %	0.7336366 %	|	0.8959 %	0.9928 %	0.97233 %	0.9948 %	0.99088 %	0.977717 %	504.7645568847656
4000	0.2	48	|	220	-1	squared_l2
0.4312 %	0.56204 %	0.657445 %	0.7355335 %	|	0.8964 %	0.9935 %	0.97351 %	0.9955 %	0.9923 %	0.980664 %	538.698673248291
4000	0.2	48	|	250	-1	squared_l2
0.4313 %	0.56233 %	0.658239 %	0.7376794 %	|	0.8967 %	0.9944 %	0.975 %	0.9964 %	0.99395 %	0.983979 %	594.0208435058594
4000	0.2	48	|	310	-1	squared_l2
0.4315 %	0.56268 %	0.659059 %	0.7405627 %	|	0.8971 %	0.9955 %	0.97693 %	0.9975 %	0.99613 %	0.988434 %	668.6244010925293
4000	0.2	48	|	400	-1	squared_l2
0.4317 %	0.56271 %	0.659708 %	0.7428563 %	|	0.8979 %	0.9965 %	0.97829 %	0.9986 %	0.99774 %	0.992247 %	803.9405345916748
4000	0.2	48	|	500	-1	squared_l2
0.4319 %	0.56289 %	0.660014 %	0.7442038 %	|	0.8983 %	0.9969 %	0.97915 %	0.9991 %	0.99877 %	0.994356 %	943.0592060089111
4000	0.2	48	|	800	-1	squared_l2
0.4324 %	0.56301 %	0.660409 %	0.7456631 %	|	0.8991 %	0.9977 %	0.97993 %	0.9999 %	0.9997 %	0.996692 %	1373.579978942871
4000	0.2	48	|	1000	-1	squared_l2
0.4324 %	0.56298 %	0.660455 %	0.7459604 %	|	0.8991 %	0.9977 %	0.98006 %	0.9999 %	0.99983 %	0.997185 %	1679.6441078186035
4000	0.2	48	|	1250	-1	squared_l2
0.4323 %	0.563 %	0.660481 %	0.7461315 %	|	0.899 %	0.9978 %	0.98013 %	1.0 %	0.99993 %	0.997463 %	2043.5750484466553
4000	0.2	48	|	1500	-1	squared_l2
0.4323 %	0.563 %	0.660508 %	0.7462009 %	|	0.899 %	0.9978 %	0.98017 %	1.0 %	0.99997 %	0.997576 %	2421.238899230957
4000	0.2	48	|	1750	-1	squared_l2
0.4323 %	0.563 %	0.660512 %	0.7462311 %	|	0.899 %	0.9978 %	0.98018 %	1.0 %	0.99999 %	0.997629 %	2784.219980239868
4000	0.2	48	|	1900	-1	squared_l2
0.4323 %	0.56299 %	0.660517 %	0.7462376 %	|	0.899 %	0.9978 %	0.98018 %	1.0 %	0.99999 %	0.997649 %	3012.556791305542
4000	0.2	48	|	2000	-1	squared_l2
0.4323 %	0.56299 %	0.660516 %	0.7462408 %	|	0.899 %	0.9978 %	0.98018 %	1.0 %	0.99999 %	0.997653 %	3146.042823791504
4000	0.2	48	|	2048	-1	squared_l2
0.4323 %	0.56299 %	0.660516 %	0.7462413 %	|	0.899 %	0.9978 %	0.98018 %	1.0 %	0.99999 %	0.997654 %	3209.8095417022705
4000	0.2	32	|	1	-1	squared_l2
0.1042 %	0.14517 %	0.141579 %	0.0864061 %	|	0.2035 %	0.2252 %	0.19599 %	0.2257 %	0.19769 %	0.1522 %	65.77253341674805
4000	0.2	32	|	2	-1	squared_l2
0.1468 %	0.20684 %	0.213692 %	0.141243 %	|	0.3107 %	0.3549 %	0.30775 %	0.3567 %	0.31252 %	0.24228 %	80.5966854095459
4000	0.2	32	|	4	-1	squared_l2
0.1788 %	0.26688 %	0.296294 %	0.2257611 %	|	0.4229 %	0.5061 %	0.44472 %	0.5111 %	0.45709 %	0.366497 %	103.64985466003418
4000	0.2	32	|	8	-1	squared_l2
0.213 %	0.31618 %	0.373615 %	0.3396092 %	|	0.5292 %	0.6624 %	0.58796 %	0.6721 %	0.61748 %	0.517395 %	128.51595878601074
4000	0.2	32	|	16	-1	squared_l2
0.2297 %	0.34627 %	0.429018 %	0.4524056 %	|	0.6006 %	0.789 %	0.70569 %	0.8057 %	0.76231 %	0.670908 %	153.02062034606934
4000	0.2	32	|	25	-1	squared_l2
0.2373 %	0.35828 %	0.452715 %	0.508378 %	|	0.6338 %	0.8523 %	0.76187 %	0.8745 %	0.83835 %	0.757801 %	177.5822639465332
4000	0.2	32	|	30	-1	squared_l2
0.2385 %	0.36152 %	0.459874 %	0.5265757 %	|	0.6446 %	0.8736 %	0.77982 %	0.8984 %	0.86429 %	0.789227 %	189.3784999847412
4000	0.2	32	|	35	-1	squared_l2
0.2385 %	0.36406 %	0.464966 %	0.539555 %	|	0.6505 %	0.8872 %	0.79373 %	0.9141 %	0.88475 %	0.812597 %	199.57518577575684
4000	0.2	32	|	40	-1	squared_l2
0.2398 %	0.36622 %	0.468556 %	0.5494116 %	|	0.6551 %	0.8982 %	0.80461 %	0.9268 %	0.90102 %	0.831073 %	213.5293483734131
4000	0.2	32	|	45	-1	squared_l2
0.2411 %	0.36746 %	0.471186 %	0.557159 %	|	0.6586 %	0.9079 %	0.81253 %	0.9375 %	0.91324 %	0.845904 %	218.86968612670898
4000	0.2	32	|	50	-1	squared_l2
0.2423 %	0.36838 %	0.473382 %	0.5633549 %	|	0.6627 %	0.9159 %	0.81804 %	0.9463 %	0.92276 %	0.858175 %	227.92959213256836
4000	0.2	32	|	55	-1	squared_l2
0.2419 %	0.36921 %	0.475093 %	0.5683089 %	|	0.665 %	0.9217 %	0.82323 %	0.953 %	0.93106 %	0.868139 %	235.1226806640625
4000	0.2	32	|	60	-1	squared_l2
0.2425 %	0.36963 %	0.476509 %	0.5723561 %	|	0.6673 %	0.9266 %	0.827 %	0.9594 %	0.93766 %	0.876652 %	246.95515632629395
4000	0.2	32	|	65	-1	squared_l2
0.2421 %	0.37013 %	0.477581 %	0.5757936 %	|	0.6688 %	0.9291 %	0.83018 %	0.9629 %	0.94347 %	0.883931 %	253.828763961792
4000	0.2	32	|	75	-1	squared_l2
0.2433 %	0.37073 %	0.479269 %	0.5810817 %	|	0.6714 %	0.9353 %	0.83567 %	0.971 %	0.95302 %	0.895917 %	273.6659049987793
4000	0.2	32	|	90	-1	squared_l2
0.2439 %	0.37147 %	0.481039 %	0.5867085 %	|	0.6736 %	0.9415 %	0.84109 %	0.9781 %	0.96295 %	0.908632 %	296.6296672821045
4000	0.2	32	|	110	-1	squared_l2
