Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	100	|	1	-1	dot_product
0.319 %	0.33463 %	0.306688 %	0.2092753 %	|	0.3542 %	0.3543 %	0.3482 %	0.3543 %	0.3482 %	0.309877 %	182.05904960632324
800	0.2	100	|	2	-1	dot_product
0.4351 %	0.45783 %	0.428404 %	0.3154579 %	|	0.4905 %	0.4906 %	0.48199 %	0.4906 %	0.48199 %	0.436039 %	132.02428817749023
800	0.2	100	|	4	-1	dot_product
0.5352 %	0.56364 %	0.539463 %	0.4279898 %	|	0.6092 %	0.6093 %	0.601 %	0.6093 %	0.601 %	0.554341 %	149.80435371398926
800	0.2	100	|	8	-1	dot_product
0.6184 %	0.65302 %	0.63679 %	0.5392359 %	|	0.7108 %	0.7109 %	0.70636 %	0.7109 %	0.70636 %	0.662477 %	174.05414581298828
800	0.2	100	|	16	-1	dot_product
0.689 %	0.72445 %	0.716207 %	0.6402216 %	|	0.8005 %	0.8007 %	0.79469 %	0.8007 %	0.79469 %	0.755444 %	232.59401321411133
800	0.2	100	|	25	-1	dot_product
0.7244 %	0.76093 %	0.758179 %	0.6979066 %	|	0.8467 %	0.847 %	0.84201 %	0.847 %	0.84201 %	0.807176 %	272.6321220397949
800	0.2	100	|	30	-1	dot_product
0.7368 %	0.77349 %	0.773298 %	0.7197793 %	|	0.8626 %	0.8629 %	0.8588 %	0.8629 %	0.8588 %	0.826362 %	291.4388179779053
800	0.2	100	|	35	-1	dot_product
0.7467 %	0.78369 %	0.78515 %	0.7372553 %	|	0.8754 %	0.8757 %	0.87244 %	0.8757 %	0.87244 %	0.841585 %	319.1092014312744
800	0.2	100	|	40	-1	dot_product
0.756 %	0.79173 %	0.795036 %	0.7518959 %	|	0.8875 %	0.8878 %	0.88383 %	0.8878 %	0.88383 %	0.854544 %	337.2941017150879
800	0.2	100	|	45	-1	dot_product
0.764 %	0.79856 %	0.803164 %	0.7643509 %	|	0.8972 %	0.8975 %	0.89352 %	0.8975 %	0.89352 %	0.865549 %	360.54182052612305
800	0.2	100	|	50	-1	dot_product
0.7704 %	0.80413 %	0.809974 %	0.7750471 %	|	0.9054 %	0.9057 %	0.90173 %	0.9057 %	0.90173 %	0.874922 %	381.0911178588867
