Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	100	|	1	-1	dot_product
0.3409 %	0.41436 %	0.43169 %	0.2908349 %	|	0.4445 %	0.4482 %	0.44861 %	0.4482 %	0.44874 %	0.435579 %	160.75706481933594
800	0.2	100	|	2	-1	dot_product
0.4349 %	0.52738 %	0.566834 %	0.4433291 %	|	0.5762 %	0.581 %	0.58236 %	0.581 %	0.58251 %	0.577652 %	109.25078392028809
800	0.2	100	|	4	-1	dot_product
0.5071 %	0.61894 %	0.673519 %	0.5968546 %	|	0.6817 %	0.6877 %	0.69684 %	0.6878 %	0.69708 %	0.695193 %	117.51842498779297
800	0.2	100	|	8	-1	dot_product
0.5597 %	0.68 %	0.743362 %	0.7196483 %	|	0.7622 %	0.7696 %	0.77818 %	0.7697 %	0.77852 %	0.77905 %	136.19256019592285
800	0.2	100	|	16	-1	dot_product
0.5937 %	0.71598 %	0.782662 %	0.7959315 %	|	0.8154 %	0.8244 %	0.82928 %	0.8245 %	0.8299 %	0.830953 %	168.41554641723633
800	0.2	100	|	25	-1	dot_product
0.6111 %	0.73165 %	0.798581 %	0.8239426 %	|	0.8416 %	0.8515 %	0.853 %	0.8516 %	0.8538 %	0.853205 %	201.13253593444824
800	0.2	100	|	30	-1	dot_product
0.6175 %	0.73691 %	0.803475 %	0.8319283 %	|	0.8515 %	0.8615 %	0.86068 %	0.8616 %	0.86154 %	0.859973 %	217.13519096374512
800	0.2	100	|	35	-1	dot_product
0.6213 %	0.74134 %	0.807297 %	0.8377495 %	|	0.859 %	0.8693 %	0.86693 %	0.8694 %	0.86784 %	0.865406 %	229.17723655700684
800	0.2	100	|	40	-1	dot_product
0.6234 %	0.74421 %	0.810298 %	0.8420535 %	|	0.8628 %	0.8736 %	0.87126 %	0.8737 %	0.87221 %	0.869547 %	246.74582481384277
800	0.2	100	|	45	-1	dot_product
0.6255 %	0.74708 %	0.813014 %	0.8454048 %	|	0.8678 %	0.8789 %	0.87572 %	0.879 %	0.87669 %	0.873212 %	264.2192840576172
800	0.2	100	|	50	-1	dot_product
0.6274 %	0.74951 %	0.815307 %	0.8482243 %	|	0.8712 %	0.8826 %	0.87939 %	0.8827 %	0.88037 %	0.876357 %	276.43871307373047
800	0.2	100	|	55	-1	dot_product
0.63 %	0.75167 %	0.817198 %	0.8505312 %	|	0.8748 %	0.8866 %	0.88241 %	0.8867 %	0.88345 %	0.878995 %	294.76404190063477
800	0.2	100	|	60	-1	dot_product
0.6322 %	0.75372 %	0.819053 %	0.8526089 %	|	0.8783 %	0.8902 %	0.88536 %	0.8903 %	0.88641 %	0.881542 %	304.21924591064453
800	0.2	100	|	65	-1	dot_product
0.634 %	0.75551 %	0.820597 %	0.8544249 %	|	0.8804 %	0.8928 %	0.88799 %	0.8929 %	0.88911 %	0.883657 %	324.6138095855713
800	0.2	100	|	75	-1	dot_product
0.6375 %	0.75889 %	0.823685 %	0.8575116 %	|	0.8857 %	0.8984 %	0.89266 %	0.8985 %	0.89383 %	0.887726 %	345.12972831726074
800	0.2	100	|	90	-1	dot_product
0.6409 %	0.76329 %	0.827695 %	0.8613262 %	|	0.8918 %	0.9053 %	0.89896 %	0.9054 %	0.90018 %	0.893069 %	381.95323944091797
800	0.2	100	|	110	-1	dot_product
0.6458 %	0.76794 %	0.832319 %	0.8654614 %	|	0.8997 %	0.9137 %	0.90637 %	0.9138 %	0.90771 %	0.899245 %	442.5230026245117
800	0.2	100	|	130	-1	dot_product
0.6497 %	0.77215 %	0.836418 %	0.8689977 %	|	0.9061 %	0.9207 %	0.91276 %	0.921 %	0.91416 %	0.904693 %	491.38665199279785
800	0.2	100	|	150	-1	dot_product
0.6517 %	0.77543 %	0.840154 %	0.8720336 %	|	0.9101 %	0.925 %	0.91801 %	0.9253 %	0.91951 %	0.909615 %	551.7303943634033
800	0.2	100	|	170	-1	dot_product
0.6552 %	0.77906 %	0.843634 %	0.8747096 %	|	0.9166 %	0.932 %	0.92328 %	0.9323 %	0.9248 %	0.914194 %	607.5160503387451
800	0.2	100	|	200	-1	dot_product
0.658 %	0.78316 %	0.848412 %	0.8783995 %	|	0.9215 %	0.9379 %	0.92968 %	0.9382 %	0.93131 %	0.920515 %	692.5904750823975
800	0.2	100	|	220	-1	dot_product
0.6602 %	0.78587 %	0.85149 %	0.8807606 %	|	0.925 %	0.9417 %	0.93403 %	0.942 %	0.93568 %	0.924694 %	740.1621341705322
800	0.2	100	|	250	-1	dot_product
0.6635 %	0.78938 %	0.855757 %	0.8840007 %	|	0.9311 %	0.9481 %	0.93973 %	0.9484 %	0.94146 %	0.93057 %	818.5863494873047
800	0.2	100	|	310	-1	dot_product
0.6688 %	0.79564 %	0.863466 %	0.8898382 %	|	0.9412 %	0.9592 %	0.95026 %	0.9596 %	0.95217 %	0.941432 %	988.0244731903076
800	0.2	100	|	400	-1	dot_product
0.6753 %	0.80319 %	0.873566 %	0.8974234 %	|	0.9531 %	0.972 %	0.96379 %	0.9725 %	0.96596 %	0.956008 %	1245.9940910339355
800	0.2	100	|	500	-1	dot_product
0.6804 %	0.80956 %	0.88237 %	0.904436 %	|	0.9635 %	0.9829 %	0.97618 %	0.9834 %	0.97862 %	0.96977 %	1517.850637435913
800	0.2	100	|	800	-1	dot_product
0.6882 %	0.81878 %	0.898857 %	0.9211827 %	|	0.9782 %	0.9991 %	0.99694 %	1.0 %	0.99995 %	0.999693 %	2302.279472351074
800	0.2	50	|	1	-1	dot_product
0.2218 %	0.3333 %	0.407605 %	0.290696 %	|	0.4088 %	0.4473 %	0.44717 %	0.4483 %	0.44877 %	0.435593 %	78.28164100646973
800	0.2	50	|	2	-1	dot_product
0.273 %	0.40894 %	0.51538 %	0.4401673 %	|	0.5212 %	0.5786 %	0.57791 %	0.581 %	0.58251 %	0.577676 %	96.95959091186523
800	0.2	50	|	4	-1	dot_product
0.3103 %	0.46582 %	0.590622 %	0.576663 %	|	0.6074 %	0.6835 %	0.68753 %	0.6878 %	0.69708 %	0.695083 %	112.50543594360352
800	0.2	50	|	8	-1	dot_product
