Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	100	|	1	-1	squared_l2
0.1956 %	0.41878 %	0.201224 %	0.0682159 %	|	0.4943 %	0.4953 %	0.43253 %	0.4953 %	0.43254 %	0.202992 %	167.43087768554688
800	0.2	100	|	2	-1	squared_l2
0.249 %	0.64196 %	0.337738 %	0.1262035 %	|	0.7169 %	0.7275 %	0.72042 %	0.7275 %	0.72046 %	0.342576 %	161.3161563873291
800	0.2	100	|	4	-1	squared_l2
0.2787 %	0.70447 %	0.451589 %	0.2033572 %	|	0.793 %	0.8138 %	0.81982 %	0.8138 %	0.81992 %	0.461933 %	153.58734130859375
800	0.2	100	|	8	-1	squared_l2
0.2988 %	0.73307 %	0.607579 %	0.3159891 %	|	0.8312 %	0.8595 %	0.87407 %	0.8595 %	0.87421 %	0.630529 %	197.31903076171875
800	0.2	100	|	16	-1	squared_l2
0.3156 %	0.75072 %	0.836355 %	0.4590366 %	|	0.8581 %	0.8892 %	0.90503 %	0.8892 %	0.90523 %	0.892475 %	247.87116050720215
800	0.2	100	|	25	-1	squared_l2
0.3253 %	0.76114 %	0.856832 %	0.521515 %	|	0.8735 %	0.9054 %	0.92036 %	0.9054 %	0.92058 %	0.925527 %	291.4137840270996
800	0.2	100	|	30	-1	squared_l2
0.329 %	0.76452 %	0.862487 %	0.5443103 %	|	0.8793 %	0.9111 %	0.92523 %	0.9111 %	0.92545 %	0.937666 %	317.31343269348145
800	0.2	100	|	35	-1	squared_l2
0.332 %	0.76783 %	0.865982 %	0.6287311 %	|	0.8838 %	0.9157 %	0.92981 %	0.9157 %	0.93004 %	0.945459 %	344.038724899292
800	0.2	100	|	40	-1	squared_l2
0.3354 %	0.77151 %	0.868642 %	0.6537763 %	|	0.8898 %	0.9219 %	0.93483 %	0.9219 %	0.93506 %	0.950293 %	375.1864433288574
800	0.2	100	|	45	-1	squared_l2
0.339 %	0.77451 %	0.870664 %	0.6779937 %	|	0.8948 %	0.9272 %	0.93892 %	0.9272 %	0.93915 %	0.953841 %	390.23470878601074
800	0.2	100	|	50	-1	squared_l2
0.3425 %	0.77788 %	0.872587 %	0.7025144 %	|	0.8994 %	0.9316 %	0.94307 %	0.9316 %	0.94331 %	0.957105 %	422.79505729675293
800	0.2	100	|	55	-1	squared_l2
0.3453 %	0.78021 %	0.874695 %	0.7103541 %	|	0.9031 %	0.9355 %	0.94629 %	0.9355 %	0.94653 %	0.961409 %	441.0581588745117
800	0.2	100	|	60	-1	squared_l2
0.3478 %	0.78212 %	0.876662 %	0.7144037 %	|	0.9061 %	0.9388 %	0.94895 %	0.9388 %	0.94919 %	0.965749 %	466.8595790863037
800	0.2	100	|	65	-1	squared_l2
