Program: scann Topk: 1000 Num_split: 20 Batch: 128
L	Threashold	m	|	w	r	Metric
7000	0.55	64	|	1	-1	squared_l2
0.1958 %	0.25946 %	0.272393 %	0.2634302 %	|	0.3923 %	0.4502 %	0.39895 %	0.4581 %	0.42081 %	0.366733 %	3061.795949935913
7000	0.55	64	|	16	-1	squared_l2
0.3152 %	0.42626 %	0.491065 %	0.5404286 %	|	0.7388 %	0.9223 %	0.84621 %	0.9454 %	0.92739 %	0.866828 %	16556.80775642395
7000	0.55	64	|	32	-1	squared_l2
0.3183 %	0.43368 %	0.503116 %	0.5612781 %	|	0.7567 %	0.9515 %	0.87756 %	0.9763 %	0.96756 %	0.915314 %	27573.55284690857
7000	0.55	64	|	64	-1	squared_l2
0.3183 %	0.43617 %	0.50798 %	0.5705299 %	|	0.7646 %	0.967 %	0.891 %	0.9929 %	0.98609 %	0.938297 %	51415.817975997925
7000	0.55	64	|	128	-1	squared_l2
0.3194 %	0.43655 %	0.509399 %	0.5737109 %	|	0.7679 %	0.9712 %	0.89487 %	0.9971 %	0.99181 %	0.94671 %	98118.61777305603
7000	0.55	64	|	256	-1	squared_l2
0.3193 %	0.43678 %	0.509592 %	0.5744917 %	|	0.7671 %	0.9713 %	0.89556 %	0.9975 %	0.99343 %	0.948875 %	189520.58219909668
7000	0.55	64	|	320	-1	squared_l2
0.3195 %	0.43692 %	0.509564 %	0.5745303 %	|	0.7668 %	0.9713 %	0.89559 %	0.9975 %	0.99354 %	0.949058 %	234773.09799194336
7000	0.55	64	|	384	-1	squared_l2
0.3195 %	0.43674 %	0.509553 %	0.5745391 %	|	0.7669 %	0.9713 %	0.89567 %	0.9975 %	0.99362 %	0.949134 %	279808.78257751465
7000	0.55	64	|	448	-1	squared_l2
0.3195 %	0.43683 %	0.509549 %	0.5745577 %	|	0.7672 %	0.9713 %	0.89572 %	0.9976 %	0.99362 %	0.949164 %	324684.4174861908
7000	0.55	64	|	512	-1	squared_l2
0.3195 %	0.4369 %	0.509544 %	0.5745496 %	|	0.7671 %	0.9713 %	0.89573 %	0.9976 %	0.99364 %	0.949175 %	369364.57991600037
7000	0.55	64	|	576	-1	squared_l2
0.3195 %	0.43692 %	0.509515 %	0.5745511 %	|	0.7673 %	0.9713 %	0.89566 %	0.9976 %	0.99366 %	0.949197 %	413976.0503768921
7000	0.55	64	|	640	-1	squared_l2
0.3195 %	0.43683 %	0.509507 %	0.5745501 %	|	0.7672 %	0.9713 %	0.89573 %	0.9976 %	0.99366 %	0.949204 %	458440.3829574585
7000	0.55	64	|	704	-1	squared_l2
0.3195 %	0.43684 %	0.509507 %	0.5745517 %	|	0.7673 %	0.9713 %	0.89567 %	0.9976 %	0.99366 %	0.949207 %	502720.77465057373
7000	0.55	64	|	768	-1	squared_l2
0.3195 %	0.43682 %	0.509515 %	0.5745524 %	|	0.7672 %	0.9713 %	0.89567 %	0.9976 %	0.99366 %	0.949215 %	547093.5635566711
7000	0.55	64	|	1024	-1	squared_l2
0.3195 %	0.4368 %	0.509528 %	0.5745514 %	|	0.7673 %	0.9713 %	0.89567 %	0.9976 %	0.99366 %	0.949209 %	723658.4806442261
7000	0.55	64	|	1280	-1	squared_l2
0.3195 %	0.43683 %	0.509525 %	0.5745493 %	|	0.7673 %	0.9713 %	0.89571 %	0.9976 %	0.99367 %	0.949214 %	898690.8223628998
7000	0.55	64	|	1536	-1	squared_l2
0.3195 %	0.43683 %	0.509518 %	0.5745464 %	|	0.7673 %	0.9713 %	0.89571 %	0.9976 %	0.99367 %	0.949213 %	1073753.1571388245
7000	0.55	64	|	2048	-1	squared_l2
0.3195 %	0.43684 %	0.509519 %	0.5745493 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949215 %	1421664.4842624664
7000	0.55	64	|	2560	-1	squared_l2
0.3195 %	0.43685 %	0.509517 %	0.574549 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	1769276.0903835297
7000	0.55	64	|	3072	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745488 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	2118425.712585449
7000	0.55	64	|	4096	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745486 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	2825868.9925670624
7000	0.55	64	|	4608	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745486 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	3185772.0499038696
7000	0.55	64	|	5120	-1	squared_l2
0.3195 %	0.43685 %	0.509516 %	0.5745486 %	|	0.7673 %	0.9713 %	0.8957 %	0.9976 %	0.99367 %	0.949218 %	3548526.871204376
7000	0.55	64	|	5632	-1	squared_l2
