Program: scann Topk: 1000 Num_split: 1 Batch: 128
L	Threashold	m	|	w	r	Metric
800	0.2	128	|	1	-1	squared_l2
0.406 %	0.38831 %	0.315612 %	0.2046249 %	|	0.4747 %	0.4753 %	0.4061 %	0.4753 %	0.4061 %	0.319184 %	138.97275924682617
800	0.2	128	|	2	-1	squared_l2
0.5298 %	0.53417 %	0.462103 %	0.3288692 %	|	0.6413 %	0.642 %	0.57202 %	0.642 %	0.57202 %	0.47159 %	151.6854763031006
800	0.2	128	|	4	-1	squared_l2
0.6418 %	0.66099 %	0.61072 %	0.4787092 %	|	0.7915 %	0.7925 %	0.72801 %	0.7925 %	0.72801 %	0.632745 %	172.90377616882324
800	0.2	128	|	8	-1	squared_l2
0.712 %	0.7538 %	0.736518 %	0.6369554 %	|	0.8975 %	0.8985 %	0.85698 %	0.8985 %	0.85698 %	0.781574 %	219.0072536468506
800	0.2	128	|	16	-1	squared_l2
0.7507 %	0.8061 %	0.819211 %	0.7745659 %	|	0.9614 %	0.9626 %	0.94211 %	0.9626 %	0.94211 %	0.896834 %	305.556058883667
800	0.2	128	|	25	-1	squared_l2
0.7627 %	0.82226 %	0.848031 %	0.8359457 %	|	0.9812 %	0.9826 %	0.97322 %	0.9826 %	0.97322 %	0.945646 %	398.4990119934082
800	0.2	128	|	30	-1	squared_l2
0.7657 %	0.82585 %	0.855856 %	0.8542992 %	|	0.9867 %	0.9882 %	0.98151 %	0.9882 %	0.98151 %	0.960388 %	449.8605728149414
800	0.2	128	|	35	-1	squared_l2
0.7677 %	0.82827 %	0.860912 %	0.8667646 %	|	0.9896 %	0.9911 %	0.98656 %	0.9911 %	0.98656 %	0.970193 %	504.2879581451416
800	0.2	128	|	40	-1	squared_l2
0.7694 %	0.82972 %	0.864261 %	0.8755451 %	|	0.9925 %	0.994 %	0.9898 %	0.994 %	0.9898 %	0.97725 %	556.4167499542236
800	0.2	128	|	45	-1	squared_l2
0.7702 %	0.83089 %	0.8667 %	0.8819575 %	|	0.9939 %	0.9954 %	0.9924 %	0.9954 %	0.9924 %	0.982472 %	608.4713935852051
800	0.2	128	|	50	-1	squared_l2
0.7707 %	0.83185 %	0.868448 %	0.8867992 %	|	0.9954 %	0.9969 %	0.99451 %	0.9969 %	0.99451 %	0.986472 %	658.2529544830322
800	0.2	128	|	55	-1	squared_l2
0.7712 %	0.83228 %	0.869628 %	0.8904239 %	|	0.9963 %	0.9978 %	0.99578 %	0.9978 %	0.99578 %	0.989345 %	712.6684188842773
800	0.2	128	|	60	-1	squared_l2
0.7715 %	0.83276 %	0.870635 %	0.8932157 %	|	0.9967 %	0.9982 %	0.99676 %	0.9982 %	0.99676 %	0.991555 %	761.768102645874
800	0.2	128	|	65	-1	squared_l2
0.7717 %	0.8332 %	0.871329 %	0.8953784 %	|	0.9971 %	0.9986 %	0.99771 %	0.9986 %	0.99771 %	0.993257 %	813.9817714691162
800	0.2	128	|	75	-1	squared_l2
0.7724 %	0.83356 %	0.872321 %	0.8984289 %	|	0.9979 %	0.9994 %	0.99848 %	0.9994 %	0.99848 %	0.995662 %	918.4284210205078
800	0.2	128	|	90	-1	squared_l2
0.7725 %	0.83384 %	0.873099 %	0.9010721 %	|	0.9981 %	0.9996 %	0.99922 %	0.9996 %	0.99922 %	0.997682 %	1073.8873481750488
800	0.2	128	|	110	-1	squared_l2
0.7727 %	0.83408 %	0.873584 %	0.9028822 %	|	0.9984 %	0.9999 %	0.99973 %	0.9999 %	0.99973 %	0.998968 %	1272.1810340881348
800	0.2	128	|	130	-1	squared_l2
0.7728 %	0.83413 %	0.873774 %	0.9037055 %	|	0.9985 %	1.0 %	0.99988 %	1.0 %	0.99988 %	0.999511 %	1463.2420539855957
800	0.2	128	|	150	-1	squared_l2
0.7728 %	0.83419 %	0.873878 %	0.904118 %	|	0.9985 %	1.0 %	0.99998 %	1.0 %	0.99998 %	0.99977 %	1673.583745956421
800	0.2	128	|	170	-1	squared_l2
0.7728 %	0.8342 %	0.873917 %	0.9043302 %	|	0.9985 %	1.0 %	0.99999 %	1.0 %	0.99999 %	0.999883 %	1860.4657649993896
800	0.2	128	|	200	-1	squared_l2
0.7728 %	0.83421 %	0.87395 %	0.9044705 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999953 %	2190.0203227996826
800	0.2	128	|	220	-1	squared_l2
0.7728 %	0.83421 %	0.873961 %	0.9045077 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999978 %	2365.0920391082764
800	0.2	128	|	250	-1	squared_l2
0.7728 %	0.83421 %	0.873967 %	0.9045334 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999991 %	2686.758041381836
800	0.2	128	|	310	-1	squared_l2
0.7728 %	0.83421 %	0.873973 %	0.9045453 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	0.999995 %	3323.3468532562256
800	0.2	128	|	400	-1	squared_l2
0.7728 %	0.8342 %	0.873974 %	0.9045468 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	4265.988826751709
800	0.2	128	|	500	-1	squared_l2
0.7728 %	0.8342 %	0.873974 %	0.9045471 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	5068.2244300842285
800	0.2	128	|	800	-1	squared_l2
0.7728 %	0.8342 %	0.873974 %	0.9045475 %	|	0.9985 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	7998.85892868042
800	0.2	64	|	1	-1	squared_l2
0.3047 %	0.33501 %	0.299673 %	0.2042636 %	|	0.4611 %	0.4714 %	0.40596 %	0.4715 %	0.40665 %	0.319987 %	100.01873970031738
800	0.2	64	|	2	-1	squared_l2
0.3866 %	0.43824 %	0.421727 %	0.3251494 %	|	0.6221 %	0.6412 %	0.57067 %	0.6413 %	0.57201 %	0.472932 %	124.74274635314941
800	0.2	64	|	4	-1	squared_l2
0.4522 %	0.51702 %	0.527946 %	0.4615293 %	|	0.7617 %	0.7913 %	0.72557 %	0.7915 %	0.72809 %	0.633151 %	146.95000648498535
800	0.2	64	|	8	-1	squared_l2
0.4859 %	0.56757 %	0.605623 %	0.5872873 %	|	0.8529 %	0.8974 %	0.85159 %	0.8977 %	0.85648 %	0.781797 %	176.4075756072998
800	0.2	64	|	16	-1	squared_l2
0.5038 %	0.59416 %	0.650975 %	0.6768177 %	|	0.9072 %	0.9627 %	0.9333 %	0.9632 %	0.94125 %	0.896343 %	240.9052848815918
800	0.2	64	|	25	-1	squared_l2
0.5083 %	0.60223 %	0.666265 %	0.7116656 %	|	0.9227 %	0.9836 %	0.96357 %	0.9841 %	0.97312 %	0.945057 %	277.60791778564453
800	0.2	64	|	30	-1	squared_l2
0.5091 %	0.60412 %	0.670321 %	0.7215904 %	|	0.926 %	0.9883 %	0.97126 %	0.9889 %	0.9814 %	0.959603 %	301.64527893066406
800	0.2	64	|	35	-1	squared_l2
0.5092 %	0.60503 %	0.672787 %	0.7282188 %	|	0.9276 %	0.9909 %	0.97557 %	0.9915 %	0.98616 %	0.969224 %	329.06270027160645
800	0.2	64	|	40	-1	squared_l2
0.51 %	0.60579 %	0.674394 %	0.7328284 %	|	0.9297 %	0.9934 %	0.97874 %	0.994 %	0.98974 %	0.976167 %	346.22859954833984
800	0.2	64	|	45	-1	squared_l2
0.5102 %	0.60622 %	0.675613 %	0.7362249 %	|	0.9306 %	0.9947 %	0.98111 %	0.9953 %	0.99236 %	0.981295 %	371.4618682861328
800	0.2	64	|	50	-1	squared_l2
0.5105 %	0.60675 %	0.676462 %	0.7387066 %	|	0.9316 %	0.9959 %	0.98293 %	0.9967 %	0.99445 %	0.985142 %	395.8594799041748
800	0.2	64	|	55	-1	squared_l2
