Program: faissGPU Topk: 1000 Num_split: 20 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	48	256	|	1	-1	squared_l2
0.02 %	0.026 %	0.0212 %	0.01892 %	|	0.02 %	0.02 %	0.026 %	0.02 %	0.026 %	0.0212 %	12032167.911529541
8000	48	256	|	2	-1	squared_l2
0.04 %	0.032 %	0.0277 %	0.02569 %	|	0.04 %	0.04 %	0.032 %	0.04 %	0.032 %	0.0277 %	12080635.070800781
8000	48	256	|	4	-1	squared_l2
0.05 %	0.037 %	0.035 %	0.03267 %	|	0.05 %	0.05 %	0.037 %	0.05 %	0.037 %	0.035 %	12102386.474609375
8000	48	256	|	8	-1	squared_l2
0.05 %	0.044 %	0.0398 %	0.0388 %	|	0.05 %	0.05 %	0.044 %	0.05 %	0.044 %	0.0398 %	12112409.114837646
8000	48	256	|	16	-1	squared_l2
0.05 %	0.047 %	0.0437 %	0.04386 %	|	0.05 %	0.05 %	0.047 %	0.05 %	0.047 %	0.0437 %	12146159.648895264
8000	48	256	|	32	-1	squared_l2
0.05 %	0.049 %	0.0465 %	0.04676 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0465 %	12167476.177215576
8000	48	256	|	64	-1	squared_l2
0.05 %	0.049 %	0.0478 %	0.04858 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0478 %	12239181.04171753
8000	48	256	|	128	-1	squared_l2
0.05 %	0.049 %	0.0486 %	0.04957 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0486 %	12320276.260375977
8000	48	256	|	256	-1	squared_l2
0.05 %	0.049 %	0.0489 %	0.04997 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0489 %	12459142.208099365
8000	24	256	|	1	-1	squared_l2
0.02 %	0.026 %	0.0212 %	0.01892 %	|	0.02 %	0.02 %	0.026 %	0.02 %	0.026 %	0.0212 %	11813680.648803711
8000	24	256	|	2	-1	squared_l2
0.03 %	0.032 %	0.0277 %	0.02569 %	|	0.04 %	0.04 %	0.032 %	0.04 %	0.032 %	0.0277 %	11894589.4241333
8000	24	256	|	4	-1	squared_l2
0.04 %	0.037 %	0.035 %	0.03267 %	|	0.05 %	0.05 %	0.037 %	0.05 %	0.037 %	0.035 %	11907105.922698975
8000	24	256	|	8	-1	squared_l2
0.04 %	0.044 %	0.0398 %	0.0388 %	|	0.05 %	0.05 %	0.044 %	0.05 %	0.044 %	0.0398 %	11915851.593017578
8000	24	256	|	16	-1	squared_l2
0.04 %	0.047 %	0.0437 %	0.04386 %	|	0.05 %	0.05 %	0.047 %	0.05 %	0.047 %	0.0437 %	12212069.511413574
8000	24	256	|	32	-1	squared_l2
0.04 %	0.049 %	0.0465 %	0.04676 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0465 %	12461847.305297852
8000	24	256	|	64	-1	squared_l2
0.04 %	0.049 %	0.0477 %	0.04858 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0478 %	12533546.447753906
8000	24	256	|	128	-1	squared_l2
0.04 %	0.049 %	0.0485 %	0.04956 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0486 %	12600513.458251953
8000	24	256	|	256	-1	squared_l2
0.04 %	0.049 %	0.0488 %	0.04993 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0489 %	12723111.629486084
8000	12	256	|	1	-1	squared_l2
0.01 %	0.025 %	0.0207 %	0.0189 %	|	0.02 %	0.02 %	0.026 %	0.02 %	0.026 %	0.0212 %	12342305.183410645
8000	12	256	|	2	-1	squared_l2
0.03 %	0.03 %	0.0267 %	0.02562 %	|	0.04 %	0.04 %	0.032 %	0.04 %	0.032 %	0.0277 %	12390991.687774658
8000	12	256	|	4	-1	squared_l2
0.03 %	0.035 %	0.0332 %	0.03242 %	|	0.05 %	0.05 %	0.037 %	0.05 %	0.037 %	0.035 %	12415915.966033936
8000	12	256	|	8	-1	squared_l2
0.03 %	0.04 %	0.0373 %	0.03828 %	|	0.04 %	0.05 %	0.044 %	0.05 %	0.044 %	0.0398 %	12431999.206542969
8000	12	256	|	16	-1	squared_l2
0.03 %	0.041 %	0.0396 %	0.04293 %	|	0.04 %	0.05 %	0.047 %	0.05 %	0.047 %	0.0435 %	12455260.753631592
8000	12	256	|	32	-1	squared_l2
0.03 %	0.042 %	0.0418 %	0.04526 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0462 %	12445428.848266602
8000	12	256	|	64	-1	squared_l2
0.03 %	0.042 %	0.0423 %	0.04667 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0475 %	12551191.806793213
8000	12	256	|	128	-1	squared_l2
0.03 %	0.042 %	0.0426 %	0.04734 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0482 %	12624124.05014038
8000	12	256	|	256	-1	squared_l2
0.03 %	0.042 %	0.0427 %	0.04758 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0485 %	12754216.194152832
