Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	12	256	|	1	-1	squared_l2
0.32 %	0.33 %	0.3503 %	0.35126 %	|	0.56 %	0.62 %	0.539 %	0.65 %	0.56 %	0.4834 %	23857.2359085083
250	12	256	|	16	-1	squared_l2
0.34 %	0.442 %	0.5134 %	0.59536 %	|	0.81 %	0.95 %	0.898 %	1.0 %	0.989 %	0.9417 %	26003.408432006836
250	12	256	|	32	-1	squared_l2
0.34 %	0.442 %	0.5154 %	0.60124 %	|	0.81 %	0.95 %	0.9 %	1.0 %	0.994 %	0.9589 %	27109.479904174805
250	12	256	|	64	-1	squared_l2
0.34 %	0.442 %	0.5159 %	0.60309 %	|	0.81 %	0.95 %	0.901 %	1.0 %	0.999 %	0.965 %	28695.344924926758
250	12	256	|	128	-1	squared_l2
0.34 %	0.442 %	0.516 %	0.60339 %	|	0.81 %	0.95 %	0.902 %	1.0 %	1.0 %	0.966 %	31768.083572387695
250	24	256	|	1	-1	squared_l2
0.49 %	0.455 %	0.4391 %	0.38161 %	|	0.65 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	23534.274101257324
250	24	256	|	16	-1	squared_l2
0.64 %	0.687 %	0.7305 %	0.7756 %	|	1.0 %	1.0 %	0.989 %	1.0 %	0.989 %	0.9646 %	25986.766815185547
250	24	256	|	32	-1	squared_l2
0.64 %	0.688 %	0.7367 %	0.79116 %	|	1.0 %	1.0 %	0.994 %	1.0 %	0.994 %	0.9879 %	27155.780792236328
250	24	256	|	64	-1	squared_l2
0.64 %	0.688 %	0.7386 %	0.79694 %	|	1.0 %	1.0 %	0.999 %	1.0 %	0.999 %	0.9977 %	28908.967971801758
250	24	256	|	128	-1	squared_l2
0.64 %	0.688 %	0.739 %	0.79817 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	31143.522262573242
250	48	256	|	1	-1	squared_l2
0.6 %	0.542 %	0.4771 %	0.38882 %	|	0.65 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	23508.787155151367
250	48	256	|	16	-1	squared_l2
0.88 %	0.893 %	0.9028 %	0.89657 %	|	1.0 %	1.0 %	0.989 %	1.0 %	0.989 %	0.9646 %	25730.72910308838
250	48	256	|	32	-1	squared_l2
0.88 %	0.897 %	0.9159 %	0.92603 %	|	1.0 %	1.0 %	0.994 %	1.0 %	0.994 %	0.9882 %	26827.406883239746
250	48	256	|	64	-1	squared_l2
0.88 %	0.9 %	0.9196 %	0.93685 %	|	1.0 %	1.0 %	0.999 %	1.0 %	0.999 %	0.998 %	28456.06803894043
250	48	256	|	128	-1	squared_l2
0.88 %	0.901 %	0.9202 %	0.93929 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	31078.147888183594
