Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	10	256	|	1	-1	dot_product
0.13 %	0.213 %	0.2546 %	0.29356 %	|	0.35 %	0.5 %	0.453 %	0.56 %	0.572 %	0.4945 %	25683.76064300537
250	10	256	|	2	-1	dot_product
0.15 %	0.223 %	0.2789 %	0.33885 %	|	0.4 %	0.6 %	0.525 %	0.69 %	0.681 %	0.5805 %	26485.705375671387
250	10	256	|	4	-1	dot_product
0.15 %	0.232 %	0.2977 %	0.37094 %	|	0.43 %	0.66 %	0.573 %	0.78 %	0.782 %	0.6604 %	27891.30210876465
250	10	256	|	8	-1	dot_product
0.15 %	0.233 %	0.3016 %	0.38581 %	|	0.44 %	0.7 %	0.588 %	0.86 %	0.828 %	0.6914 %	28906.559944152832
250	10	256	|	16	-1	dot_product
0.15 %	0.236 %	0.3043 %	0.39548 %	|	0.44 %	0.72 %	0.602 %	0.9 %	0.86 %	0.7156 %	30198.88401031494
250	10	256	|	32	-1	dot_product
0.15 %	0.237 %	0.305 %	0.39992 %	|	0.44 %	0.72 %	0.606 %	0.91 %	0.881 %	0.7265 %	31097.126007080078
250	10	256	|	64	-1	dot_product
0.15 %	0.236 %	0.306 %	0.4023 %	|	0.44 %	0.7 %	0.603 %	0.92 %	0.894 %	0.7354 %	32627.70175933838
250	10	256	|	128	-1	dot_product
0.15 %	0.237 %	0.3067 %	0.40297 %	|	0.45 %	0.71 %	0.607 %	0.94 %	0.902 %	0.7385 %	31712.841987609863
250	25	256	|	1	-1	dot_product
0.25 %	0.413 %	0.4261 %	0.37845 %	|	0.52 %	0.56 %	0.575 %	0.56 %	0.58 %	0.534 %	22818.827629089355
250	25	256	|	2	-1	dot_product
0.32 %	0.48 %	0.4938 %	0.46608 %	|	0.64 %	0.7 %	0.69 %	0.7 %	0.698 %	0.6424 %	23718.690872192383
250	25	256	|	4	-1	dot_product
0.35 %	0.533 %	0.5544 %	0.55079 %	|	0.72 %	0.79 %	0.799 %	0.79 %	0.811 %	0.7646 %	24884.581565856934
250	25	256	|	8	-1	dot_product
0.37 %	0.555 %	0.5826 %	0.60019 %	|	0.79 %	0.87 %	0.849 %	0.87 %	0.867 %	0.8341 %	25758.981704711914
250	25	256	|	16	-1	dot_product
0.39 %	0.569 %	0.6026 %	0.6366 %	|	0.82 %	0.92 %	0.893 %	0.92 %	0.919 %	0.8968 %	26827.97908782959
250	25	256	|	32	-1	dot_product
0.39 %	0.581 %	0.614 %	0.66318 %	|	0.85 %	0.95 %	0.928 %	0.95 %	0.958 %	0.9395 %	27941.96605682373
250	25	256	|	64	-1	dot_product
0.39 %	0.589 %	0.6219 %	0.67737 %	|	0.86 %	0.96 %	0.954 %	0.96 %	0.986 %	0.9712 %	29514.551162719727
250	25	256	|	128	-1	dot_product
0.41 %	0.594 %	0.6241 %	0.68319 %	|	0.9 %	1.0 %	0.967 %	1.0 %	1.0 %	0.9852 %	32007.551193237305
250	50	256	|	1	-1	dot_product
0.45 %	0.538 %	0.5157 %	0.41279 %	|	0.56 %	0.56 %	0.58 %	0.56 %	0.58 %	0.5343 %	23460.698127746582
250	50	256	|	2	-1	dot_product
0.58 %	0.649 %	0.616 %	0.52094 %	|	0.7 %	0.7 %	0.698 %	0.7 %	0.698 %	0.6428 %	24446.03443145752
250	50	256	|	4	-1	dot_product
0.65 %	0.736 %	0.7242 %	0.64242 %	|	0.79 %	0.79 %	0.811 %	0.79 %	0.811 %	0.7661 %	25752.09140777588
250	50	256	|	8	-1	dot_product
0.71 %	0.774 %	0.7783 %	0.72587 %	|	0.87 %	0.87 %	0.867 %	0.87 %	0.867 %	0.8363 %	26779.00791168213
250	50	256	|	16	-1	dot_product
0.73 %	0.811 %	0.8285 %	0.79932 %	|	0.91 %	0.92 %	0.919 %	0.92 %	0.919 %	0.9013 %	28036.4990234375
250	50	256	|	32	-1	dot_product
0.76 %	0.836 %	0.8583 %	0.85489 %	|	0.94 %	0.95 %	0.958 %	0.95 %	0.958 %	0.9461 %	29262.971878051758
250	50	256	|	64	-1	dot_product
0.77 %	0.851 %	0.8754 %	0.88845 %	|	0.95 %	0.96 %	0.986 %	0.96 %	0.986 %	0.9806 %	31049.9906539917
250	50	256	|	128	-1	dot_product
0.8 %	0.858 %	0.882 %	0.90222 %	|	0.99 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9966 %	34151.434898376465
