Program: faissGPU Topk: 1000 Num_split: 20 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	64	256	|	1	-1	squared_l2
0.03 %	0.019 %	0.019 %	0.01564 %	|	0.03 %	0.03 %	0.019 %	0.03 %	0.019 %	0.019 %	11888133.04901123
8000	64	256	|	2	-1	squared_l2
0.03 %	0.027 %	0.0256 %	0.02314 %	|	0.03 %	0.03 %	0.027 %	0.03 %	0.027 %	0.0256 %	11915647.506713867
8000	64	256	|	4	-1	squared_l2
0.04 %	0.035 %	0.0334 %	0.03134 %	|	0.04 %	0.04 %	0.035 %	0.04 %	0.035 %	0.0334 %	11940095.4246521
8000	64	256	|	8	-1	squared_l2
0.04 %	0.038 %	0.0383 %	0.03776 %	|	0.04 %	0.04 %	0.038 %	0.04 %	0.038 %	0.0383 %	11963325.500488281
8000	64	256	|	16	-1	squared_l2
0.04 %	0.044 %	0.0423 %	0.04245 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0423 %	12008325.099945068
8000	64	256	|	32	-1	squared_l2
0.04 %	0.046 %	0.0445 %	0.04571 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0445 %	12060062.885284424
8000	64	256	|	64	-1	squared_l2
0.04 %	0.046 %	0.046 %	0.04783 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.046 %	12110645.771026611
8000	64	256	|	128	-1	squared_l2
0.04 %	0.046 %	0.0464 %	0.04885 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0464 %	12190785.884857178
8000	64	256	|	256	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.0493 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	12385989.18914795
8000	32	256	|	1	-1	squared_l2
0.03 %	0.019 %	0.019 %	0.01564 %	|	0.03 %	0.03 %	0.019 %	0.03 %	0.019 %	0.019 %	11908500.19454956
8000	32	256	|	2	-1	squared_l2
0.03 %	0.027 %	0.0256 %	0.02314 %	|	0.03 %	0.03 %	0.027 %	0.03 %	0.027 %	0.0256 %	12038531.78024292
8000	32	256	|	4	-1	squared_l2
0.04 %	0.035 %	0.0334 %	0.03134 %	|	0.04 %	0.04 %	0.035 %	0.04 %	0.035 %	0.0334 %	12051726.818084717
8000	32	256	|	8	-1	squared_l2
0.04 %	0.038 %	0.0383 %	0.03776 %	|	0.04 %	0.04 %	0.038 %	0.04 %	0.038 %	0.0383 %	12065411.567687988
8000	32	256	|	16	-1	squared_l2
0.04 %	0.044 %	0.0423 %	0.04245 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0423 %	12175156.593322754
8000	32	256	|	32	-1	squared_l2
0.04 %	0.046 %	0.0445 %	0.04571 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0445 %	12451568.126678467
8000	32	256	|	64	-1	squared_l2
0.04 %	0.046 %	0.046 %	0.04783 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.046 %	12503556.728363037
8000	32	256	|	128	-1	squared_l2
0.04 %	0.046 %	0.0464 %	0.04885 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0464 %	12573689.937591553
8000	32	256	|	256	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.0493 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	12715283.393859863
8000	16	256	|	1	-1	squared_l2
0.02 %	0.019 %	0.0189 %	0.01564 %	|	0.03 %	0.03 %	0.019 %	0.03 %	0.019 %	0.019 %	11885075.092315674
8000	16	256	|	2	-1	squared_l2
0.02 %	0.027 %	0.0255 %	0.02314 %	|	0.03 %	0.03 %	0.027 %	0.03 %	0.027 %	0.0256 %	11979304.790496826
8000	16	256	|	4	-1	squared_l2
0.02 %	0.035 %	0.0332 %	0.0313 %	|	0.04 %	0.04 %	0.035 %	0.04 %	0.035 %	0.0334 %	11979432.582855225
8000	16	256	|	8	-1	squared_l2
0.02 %	0.036 %	0.0379 %	0.03771 %	|	0.04 %	0.04 %	0.038 %	0.04 %	0.038 %	0.0383 %	11972660.541534424
8000	16	256	|	16	-1	squared_l2
0.02 %	0.041 %	0.0416 %	0.04239 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0423 %	11986959.457397461
8000	16	256	|	32	-1	squared_l2
0.02 %	0.043 %	0.0436 %	0.04555 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0445 %	12052591.323852539
8000	16	256	|	64	-1	squared_l2
0.02 %	0.043 %	0.0449 %	0.04751 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.046 %	12136583.805084229
8000	16	256	|	128	-1	squared_l2
0.02 %	0.043 %	0.0451 %	0.04847 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0464 %	12212066.173553467
8000	16	256	|	256	-1	squared_l2
0.02 %	0.043 %	0.0454 %	0.04889 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	12370523.929595947
