Program: faissGPU Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	16	256	|	1	-1	squared_l2
0.35 %	0.362 %	0.3827 %	0.32647 %	|	0.49 %	0.52 %	0.496 %	0.52 %	0.499 %	0.4359 %	23978.853225708008
250	16	256	|	16	-1	squared_l2
0.52 %	0.552 %	0.6381 %	0.70293 %	|	0.91 %	0.99 %	0.966 %	0.99 %	0.987 %	0.9758 %	26222.22900390625
250	16	256	|	32	-1	squared_l2
0.52 %	0.553 %	0.6415 %	0.71233 %	|	0.91 %	1.0 %	0.975 %	1.0 %	0.997 %	0.9938 %	27415.5855178833
250	16	256	|	64	-1	squared_l2
0.52 %	0.553 %	0.6424 %	0.71367 %	|	0.91 %	1.0 %	0.977 %	1.0 %	1.0 %	0.997 %	28895.282745361328
250	16	256	|	128	-1	squared_l2
0.52 %	0.553 %	0.6424 %	0.71374 %	|	0.91 %	1.0 %	0.977 %	1.0 %	1.0 %	0.997 %	31644.654273986816
250	32	256	|	1	-1	squared_l2
0.42 %	0.427 %	0.4147 %	0.33334 %	|	0.52 %	0.52 %	0.499 %	0.52 %	0.499 %	0.4359 %	22775.602340698242
250	32	256	|	16	-1	squared_l2
0.65 %	0.699 %	0.7689 %	0.81074 %	|	0.99 %	0.99 %	0.987 %	0.99 %	0.987 %	0.9779 %	25212.26406097412
250	32	256	|	32	-1	squared_l2
0.66 %	0.701 %	0.7741 %	0.8262 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9966 %	26327.46696472168
250	32	256	|	64	-1	squared_l2
0.66 %	0.701 %	0.7752 %	0.82841 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	27729.272842407227
250	32	256	|	128	-1	squared_l2
0.66 %	0.701 %	0.7752 %	0.82858 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	30574.631690979004
250	64	256	|	1	-1	squared_l2
0.46 %	0.482 %	0.4319 %	0.33642 %	|	0.52 %	0.52 %	0.499 %	0.52 %	0.499 %	0.4359 %	22448.205947875977
250	64	256	|	16	-1	squared_l2
0.85 %	0.879 %	0.8958 %	0.90017 %	|	0.99 %	0.99 %	0.987 %	0.99 %	0.987 %	0.9779 %	24734.37786102295
250	64	256	|	32	-1	squared_l2
0.86 %	0.885 %	0.9055 %	0.92417 %	|	1.0 %	1.0 %	0.997 %	1.0 %	0.997 %	0.9966 %	25860.238075256348
250	64	256	|	64	-1	squared_l2
0.86 %	0.885 %	0.9069 %	0.92814 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	27291.345596313477
250	64	256	|	128	-1	squared_l2
0.86 %	0.885 %	0.9069 %	0.92834 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	30266.904830932617
