Program: faiss Topk: 1000 Num_split: 20 Batch: 1
L	m	k_star	|	w	Reorder	Metric
8000	48	256	|	1	-1	squared_l2
0.02 %	0.026 %	0.0212 %	0.01892 %	|	0.02 %	0.02 %	0.026 %	0.02 %	0.026 %	0.0212 %	504091.2628173828
8000	48	256	|	2	-1	squared_l2
0.04 %	0.032 %	0.0277 %	0.02569 %	|	0.04 %	0.04 %	0.032 %	0.04 %	0.032 %	0.0277 %	787188.0531311035
8000	48	256	|	4	-1	squared_l2
0.05 %	0.037 %	0.035 %	0.03267 %	|	0.05 %	0.05 %	0.037 %	0.05 %	0.037 %	0.035 %	1273931.9801330566
8000	48	256	|	8	-1	squared_l2
0.05 %	0.044 %	0.0398 %	0.0388 %	|	0.05 %	0.05 %	0.044 %	0.05 %	0.044 %	0.0398 %	2339398.3840942383
8000	48	256	|	16	-1	squared_l2
0.05 %	0.047 %	0.0437 %	0.04386 %	|	0.05 %	0.05 %	0.047 %	0.05 %	0.047 %	0.0437 %	4293776.035308838
8000	48	256	|	32	-1	squared_l2
0.05 %	0.049 %	0.0465 %	0.04676 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0465 %	8141044.616699219
8000	48	256	|	64	-1	squared_l2
0.05 %	0.049 %	0.0478 %	0.04858 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0478 %	15599908.351898193
8000	48	256	|	128	-1	squared_l2
0.05 %	0.049 %	0.0486 %	0.04957 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0486 %	30012207.03125
8000	48	256	|	256	-1	squared_l2
0.05 %	0.049 %	0.0489 %	0.04997 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0489 %	57767884.25445557
8000	48	256	|	320	-1	squared_l2
0.05 %	0.049 %	0.049 %	0.05001 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.049 %	71545312.40463257
8000	48	256	|	384	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05005 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	84975615.02456665
8000	48	256	|	448	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05006 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	98470258.71276855
8000	48	256	|	512	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05007 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	116890692.71087646
8000	48	256	|	576	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05008 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	127435326.57623291
8000	48	256	|	640	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05008 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	143956494.33135986
8000	48	256	|	704	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05008 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	152501225.47149658
8000	48	256	|	768	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05008 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	167094416.61834717
8000	48	256	|	1024	-1	squared_l2
0.05 %	0.049 %	0.0491 %	0.05008 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	212057809.35287476
8000	24	256	|	1	-1	squared_l2
0.02 %	0.026 %	0.0212 %	0.01892 %	|	0.02 %	0.02 %	0.026 %	0.02 %	0.026 %	0.0212 %	350697.51739501953
8000	24	256	|	2	-1	squared_l2
0.03 %	0.032 %	0.0277 %	0.02569 %	|	0.04 %	0.04 %	0.032 %	0.04 %	0.032 %	0.0277 %	538938.5223388672
8000	24	256	|	4	-1	squared_l2
0.04 %	0.037 %	0.035 %	0.03267 %	|	0.05 %	0.05 %	0.037 %	0.05 %	0.037 %	0.035 %	822677.6123046875
8000	24	256	|	8	-1	squared_l2
0.04 %	0.044 %	0.0398 %	0.0388 %	|	0.05 %	0.05 %	0.044 %	0.05 %	0.044 %	0.0398 %	1371944.4274902344
8000	24	256	|	16	-1	squared_l2
0.04 %	0.047 %	0.0437 %	0.04386 %	|	0.05 %	0.05 %	0.047 %	0.05 %	0.047 %	0.0437 %	2416409.0156555176
8000	24	256	|	32	-1	squared_l2
0.04 %	0.049 %	0.0465 %	0.04676 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0465 %	4456631.660461426
8000	24	256	|	64	-1	squared_l2
0.04 %	0.049 %	0.0477 %	0.04858 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0478 %	8416036.128997803
8000	24	256	|	128	-1	squared_l2
0.04 %	0.049 %	0.0485 %	0.04956 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0486 %	16134033.679962158
8000	24	256	|	256	-1	squared_l2
0.04 %	0.049 %	0.0488 %	0.04993 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0489 %	30896572.589874268
8000	24	256	|	320	-1	squared_l2
0.04 %	0.049 %	0.0489 %	0.04997 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.049 %	38225268.36395264
8000	24	256	|	384	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05001 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	45377431.869506836
8000	24	256	|	448	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05002 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	52474112.98751831
8000	24	256	|	512	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05003 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	59584830.28411865
8000	24	256	|	576	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	66640716.552734375
8000	24	256	|	640	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	75304832.93533325
8000	24	256	|	704	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	80546504.49752808
8000	24	256	|	768	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	87704172.13439941
8000	24	256	|	1024	-1	squared_l2
0.04 %	0.049 %	0.049 %	0.05004 %	|	0.05 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0491 %	115565840.72113037
8000	12	256	|	1	-1	squared_l2
0.01 %	0.025 %	0.0207 %	0.0189 %	|	0.02 %	0.02 %	0.026 %	0.02 %	0.026 %	0.0212 %	282101.6311645508
8000	12	256	|	2	-1	squared_l2
0.03 %	0.03 %	0.0267 %	0.02562 %	|	0.04 %	0.04 %	0.032 %	0.04 %	0.032 %	0.0277 %	403467.65518188477
8000	12	256	|	4	-1	squared_l2
0.03 %	0.035 %	0.0332 %	0.03243 %	|	0.05 %	0.05 %	0.037 %	0.05 %	0.037 %	0.035 %	557282.9246520996
8000	12	256	|	8	-1	squared_l2
0.03 %	0.04 %	0.0373 %	0.03829 %	|	0.04 %	0.05 %	0.044 %	0.05 %	0.044 %	0.0398 %	843103.8856506348
8000	12	256	|	16	-1	squared_l2
0.03 %	0.041 %	0.0396 %	0.04293 %	|	0.04 %	0.05 %	0.047 %	0.05 %	0.047 %	0.0435 %	1393969.0589904785
8000	12	256	|	32	-1	squared_l2
0.03 %	0.042 %	0.0418 %	0.04526 %	|	0.04 %	0.05 %	0.049 %	0.05 %	0.049 %	0.0462 %	2434889.316558838
8000	12	256	|	64	-1	squared_l2
