Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
1000	32	16	|	1	-1	squared_l2
0.14 %	0.229 %	0.2221 %	0.17823 %	|	0.41 %	0.46 %	0.374 %	0.46 %	0.388 %	0.2884 %	6765.031814575195
1000	32	16	|	16	-1	squared_l2
0.19 %	0.31 %	0.3585 %	0.41815 %	|	0.62 %	0.84 %	0.701 %	0.9 %	0.879 %	0.7671 %	22402.73952484131
1000	32	16	|	32	-1	squared_l2
0.19 %	0.31 %	0.3615 %	0.42769 %	|	0.62 %	0.88 %	0.713 %	0.95 %	0.926 %	0.8024 %	38614.487648010254
1000	32	16	|	64	-1	squared_l2
0.19 %	0.31 %	0.3621 %	0.43017 %	|	0.62 %	0.89 %	0.716 %	0.97 %	0.944 %	0.8114 %	72231.26888275146
1000	32	16	|	128	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43051 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8137 %	138587.23640441895
1000	32	16	|	256	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	264831.8290710449
1000	32	16	|	320	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	338114.8099899292
1000	32	16	|	384	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	388972.1870422363
1000	32	16	|	448	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	448250.675201416
1000	32	16	|	512	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	519031.33392333984
1000	32	16	|	576	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	585479.1402816772
1000	32	16	|	640	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	651209.9742889404
1000	32	16	|	704	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	720772.5286483765
1000	32	16	|	768	-1	squared_l2
0.19 %	0.31 %	0.3623 %	0.43057 %	|	0.62 %	0.9 %	0.718 %	0.98 %	0.952 %	0.8139 %	774829.2684555054
1000	64	16	|	1	-1	squared_l2
0.2 %	0.311 %	0.2622 %	0.1805 %	|	0.46 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	7273.054122924805
1000	64	16	|	16	-1	squared_l2
0.3 %	0.473 %	0.519 %	0.53888 %	|	0.84 %	0.9 %	0.862 %	0.9 %	0.886 %	0.835 %	37131.11877441406
1000	64	16	|	32	-1	squared_l2
0.31 %	0.478 %	0.531 %	0.57136 %	|	0.87 %	0.95 %	0.903 %	0.95 %	0.945 %	0.9105 %	68418.71738433838
1000	64	16	|	64	-1	squared_l2
0.31 %	0.48 %	0.5344 %	0.58609 %	|	0.87 %	0.97 %	0.917 %	0.98 %	0.978 %	0.9492 %	128363.58547210693
1000	64	16	|	128	-1	squared_l2
0.31 %	0.482 %	0.5361 %	0.59057 %	|	0.88 %	0.98 %	0.927 %	0.99 %	0.995 %	0.9649 %	248514.17541503906
1000	64	16	|	256	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59151 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9686 %	483301.5203475952
1000	64	16	|	320	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59162 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9692 %	604788.0172729492
1000	64	16	|	384	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59164 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9693 %	716359.5199584961
1000	64	16	|	448	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59164 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9693 %	846797.2993850708
1000	64	16	|	512	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59164 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9693 %	966475.4152297974
1000	64	16	|	576	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59164 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9693 %	1075676.155090332
1000	64	16	|	640	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59164 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9693 %	1218924.4508743286
1000	64	16	|	704	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59164 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9693 %	1324276.2327194214
1000	64	16	|	768	-1	squared_l2
0.31 %	0.482 %	0.5362 %	0.59164 %	|	0.88 %	0.98 %	0.927 %	1.0 %	0.998 %	0.9693 %	1450010.9910964966
1000	128	16	|	1	-1	squared_l2
0.37 %	0.365 %	0.2837 %	0.18101 %	|	0.46 %	0.46 %	0.388 %	0.46 %	0.388 %	0.2884 %	8416.938781738281
1000	128	16	|	16	-1	squared_l2
0.64 %	0.668 %	0.7121 %	0.68033 %	|	0.88 %	0.9 %	0.886 %	0.9 %	0.886 %	0.8401 %	67158.1506729126
1000	128	16	|	32	-1	squared_l2
0.66 %	0.692 %	0.7503 %	0.75304 %	|	0.93 %	0.95 %	0.945 %	0.95 %	0.945 %	0.9235 %	127848.88744354248
1000	128	16	|	64	-1	squared_l2
0.66 %	0.705 %	0.7652 %	0.79023 %	|	0.96 %	0.98 %	0.978 %	0.98 %	0.978 %	0.9692 %	246172.1658706665
1000	128	16	|	128	-1	squared_l2
0.67 %	0.71 %	0.7714 %	0.80614 %	|	0.97 %	0.99 %	0.995 %	0.99 %	0.995 %	0.9908 %	478174.85332489014
1000	128	16	|	256	-1	squared_l2
0.67 %	0.711 %	0.774 %	0.81106 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9984 %	937263.5364532471
1000	128	16	|	320	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81168 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9996 %	1166868.0906295776
1000	128	16	|	384	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81191 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	1390026.307106018
1000	128	16	|	448	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81198 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	1655010.1280212402
1000	128	16	|	512	-1	squared_l2
0.67 %	0.711 %	0.7741 %	0.81208 %	|	0.98 %	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	1829173.231124878
1000	128	16	|	576	-1	squared_l2
