Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	24	16	|	1	-1	squared_l2
0.31 %	0.309 %	0.3405 %	0.34169 %	|	0.58 %	0.65 %	0.548 %	0.65 %	0.56 %	0.4833 %	14946.222305297852
250	24	16	|	2	-1	squared_l2
0.34 %	0.357 %	0.4132 %	0.43956 %	|	0.66 %	0.78 %	0.693 %	0.78 %	0.734 %	0.6488 %	22465.72971343994
250	24	16	|	4	-1	squared_l2
0.38 %	0.383 %	0.4595 %	0.51149 %	|	0.77 %	0.93 %	0.796 %	0.93 %	0.863 %	0.7993 %	37321.99668884277
250	24	16	|	8	-1	squared_l2
0.36 %	0.396 %	0.4826 %	0.55134 %	|	0.81 %	1.0 %	0.866 %	1.0 %	0.956 %	0.8918 %	65480.23223876953
250	24	16	|	16	-1	squared_l2
0.36 %	0.396 %	0.4893 %	0.56688 %	|	0.8 %	1.0 %	0.884 %	1.0 %	0.989 %	0.9316 %	119777.4887084961
250	24	16	|	32	-1	squared_l2
0.36 %	0.395 %	0.4901 %	0.5719 %	|	0.8 %	1.0 %	0.885 %	1.0 %	0.994 %	0.947 %	223379.89807128906
250	24	16	|	64	-1	squared_l2
0.36 %	0.395 %	0.4902 %	0.57338 %	|	0.8 %	1.0 %	0.885 %	1.0 %	0.997 %	0.9513 %	426521.1343765259
250	24	16	|	128	-1	squared_l2
0.36 %	0.395 %	0.4902 %	0.5736 %	|	0.8 %	1.0 %	0.885 %	1.0 %	0.998 %	0.9522 %	826153.3260345459
250	48	16	|	1	-1	squared_l2
0.37 %	0.446 %	0.4285 %	0.37885 %	|	0.64 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	21542.763710021973
250	48	16	|	2	-1	squared_l2
0.41 %	0.55 %	0.5534 %	0.51983 %	|	0.74 %	0.78 %	0.734 %	0.78 %	0.734 %	0.6521 %	35640.549659729004
250	48	16	|	4	-1	squared_l2
0.46 %	0.607 %	0.6438 %	0.64416 %	|	0.88 %	0.93 %	0.862 %	0.93 %	0.863 %	0.8098 %	63119.36378479004
250	48	16	|	8	-1	squared_l2
0.5 %	0.647 %	0.6908 %	0.71957 %	|	0.93 %	1.0 %	0.954 %	1.0 %	0.956 %	0.9143 %	116487.64610290527
250	48	16	|	16	-1	squared_l2
0.5 %	0.657 %	0.7079 %	0.755 %	|	0.93 %	1.0 %	0.986 %	1.0 %	0.989 %	0.9642 %	220521.1877822876
250	48	16	|	32	-1	squared_l2
0.5 %	0.657 %	0.7134 %	0.76998 %	|	0.93 %	1.0 %	0.991 %	1.0 %	0.994 %	0.9877 %	426494.28844451904
250	48	16	|	64	-1	squared_l2
0.5 %	0.656 %	0.7156 %	0.77528 %	|	0.93 %	1.0 %	0.996 %	1.0 %	0.999 %	0.9975 %	793675.4941940308
250	48	16	|	128	-1	squared_l2
0.5 %	0.656 %	0.7161 %	0.7766 %	|	0.93 %	1.0 %	0.997 %	1.0 %	1.0 %	0.9993 %	1554111.409187317
250	96	16	|	1	-1	squared_l2
0.54 %	0.537 %	0.4742 %	0.38848 %	|	0.65 %	0.65 %	0.56 %	0.65 %	0.56 %	0.4836 %	34266.25728607178
250	96	16	|	2	-1	squared_l2
0.67 %	0.684 %	0.6337 %	0.54819 %	|	0.78 %	0.78 %	0.734 %	0.78 %	0.734 %	0.6521 %	61366.43886566162
250	96	16	|	4	-1	squared_l2
0.81 %	0.782 %	0.771 %	0.70888 %	|	0.93 %	0.93 %	0.863 %	0.93 %	0.863 %	0.8098 %	118812.70408630371
250	96	16	|	8	-1	squared_l2
0.84 %	0.855 %	0.856 %	0.82182 %	|	1.0 %	1.0 %	0.956 %	1.0 %	0.956 %	0.9144 %	251261.83032989502
250	96	16	|	16	-1	squared_l2
0.83 %	0.873 %	0.8895 %	0.88441 %	|	1.0 %	1.0 %	0.989 %	1.0 %	0.989 %	0.9646 %	413861.68003082275
250	96	16	|	32	-1	squared_l2
0.83 %	0.874 %	0.9004 %	0.91147 %	|	1.0 %	1.0 %	0.994 %	1.0 %	0.994 %	0.9882 %	794931.9124221802
250	96	16	|	64	-1	squared_l2
0.83 %	0.874 %	0.9042 %	0.92173 %	|	1.0 %	1.0 %	0.999 %	1.0 %	0.999 %	0.998 %	1562904.8347473145
250	96	16	|	128	-1	squared_l2
0.83 %	0.874 %	0.9051 %	0.92406 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9999 %	3019580.292701721
250	12	256	|	1	-1	squared_l2
0.32 %	0.33 %	0.3503 %	0.35129 %	|	0.56 %	0.62 %	0.539 %	0.65 %	0.56 %	0.4834 %	7721.471786499023
250	12	256	|	2	-1	squared_l2
0.3 %	0.403 %	0.43 %	0.45605 %	|	0.68 %	0.75 %	0.703 %	0.78 %	0.734 %	0.6506 %	11211.347579956055
250	12	256	|	4	-1	squared_l2
0.33 %	0.42 %	0.4822 %	0.53563 %	|	0.77 %	0.9 %	0.811 %	0.93 %	0.863 %	0.8036 %	16874.217987060547
250	12	256	|	8	-1	squared_l2
0.35 %	0.438 %	0.5058 %	0.57898 %	|	0.81 %	0.95 %	0.88 %	1.0 %	0.956 %	0.9003 %	25536.108016967773
250	12	256	|	16	-1	squared_l2
0.34 %	0.442 %	0.5134 %	0.59532 %	|	0.81 %	0.95 %	0.898 %	1.0 %	0.989 %	0.9417 %	42012.596130371094
250	12	256	|	32	-1	squared_l2
0.34 %	0.442 %	0.5154 %	0.60123 %	|	0.81 %	0.95 %	0.9 %	1.0 %	0.994 %	0.9589 %	73626.78050994873
250	12	256	|	64	-1	squared_l2
0.34 %	0.442 %	0.5159 %	0.60311 %	|	0.81 %	0.95 %	0.901 %	1.0 %	0.999 %	0.965 %	135168.6954498291
250	12	256	|	128	-1	squared_l2
