Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	25	16	|	1	-1	dot_product
0.16 %	0.238 %	0.2831 %	0.30871 %	|	0.41 %	0.53 %	0.478 %	0.56 %	0.576 %	0.5073 %	35201.59721374512
250	25	16	|	16	-1	dot_product
0.2 %	0.287 %	0.3447 %	0.43013 %	|	0.55 %	0.81 %	0.658 %	0.9 %	0.879 %	0.7615 %	324538.779258728
250	25	16	|	32	-1	dot_product
0.2 %	0.288 %	0.3471 %	0.43631 %	|	0.56 %	0.83 %	0.669 %	0.92 %	0.897 %	0.775 %	560714.5547866821
250	25	16	|	64	-1	dot_product
0.2 %	0.289 %	0.3484 %	0.43956 %	|	0.56 %	0.83 %	0.675 %	0.93 %	0.917 %	0.7833 %	944977.7126312256
250	25	16	|	128	-1	dot_product
0.21 %	0.289 %	0.3486 %	0.44029 %	|	0.57 %	0.85 %	0.675 %	0.96 %	0.925 %	0.7865 %	1501036.4532470703
250	50	16	|	1	-1	dot_product
0.32 %	0.392 %	0.4163 %	0.37365 %	|	0.52 %	0.56 %	0.57 %	0.56 %	0.58 %	0.5339 %	59042.52529144287
250	50	16	|	16	-1	dot_product
0.44 %	0.513 %	0.5808 %	0.62025 %	|	0.81 %	0.91 %	0.887 %	0.92 %	0.919 %	0.8929 %	612006.3543319702
250	50	16	|	32	-1	dot_product
0.45 %	0.528 %	0.5918 %	0.64349 %	|	0.84 %	0.94 %	0.92 %	0.95 %	0.958 %	0.9333 %	1062140.703201294
250	50	16	|	64	-1	dot_product
0.45 %	0.533 %	0.598 %	0.65687 %	|	0.85 %	0.95 %	0.942 %	0.96 %	0.985 %	0.9632 %	1784749.0787506104
250	50	16	|	128	-1	dot_product
0.46 %	0.536 %	0.6001 %	0.66276 %	|	0.88 %	0.99 %	0.951 %	1.0 %	0.999 %	0.9763 %	2851387.4292373657
250	100	16	|	1	-1	dot_product
0.49 %	0.526 %	0.5087 %	0.41137 %	|	0.56 %	0.56 %	0.58 %	0.56 %	0.58 %	0.5343 %	107857.5849533081
250	100	16	|	16	-1	dot_product
0.76 %	0.773 %	0.8067 %	0.78812 %	|	0.92 %	0.92 %	0.919 %	0.92 %	0.919 %	0.9013 %	1202796.2923049927
250	100	16	|	32	-1	dot_product
0.78 %	0.799 %	0.8357 %	0.84096 %	|	0.95 %	0.95 %	0.958 %	0.95 %	0.958 %	0.9461 %	2052134.5376968384
250	100	16	|	64	-1	dot_product
0.79 %	0.816 %	0.8518 %	0.87198 %	|	0.96 %	0.96 %	0.986 %	0.96 %	0.986 %	0.9806 %	3535192.632675171
250	100	16	|	128	-1	dot_product
0.83 %	0.823 %	0.8593 %	0.88506 %	|	1.0 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9966 %	5546329.498291016
250	10	256	|	1	-1	dot_product
0.13 %	0.213 %	0.2546 %	0.29358 %	|	0.35 %	0.5 %	0.453 %	0.56 %	0.572 %	0.4945 %	12898.635864257812
250	10	256	|	16	-1	dot_product
0.15 %	0.236 %	0.3041 %	0.39554 %	|	0.44 %	0.72 %	0.602 %	0.9 %	0.86 %	0.7158 %	76516.67594909668
250	10	256	|	32	-1	dot_product
0.15 %	0.237 %	0.3047 %	0.39996 %	|	0.44 %	0.72 %	0.606 %	0.91 %	0.881 %	0.7267 %	128109.00211334229
250	10	256	|	64	-1	dot_product
0.15 %	0.236 %	0.3058 %	0.40234 %	|	0.44 %	0.7 %	0.603 %	0.92 %	0.894 %	0.7356 %	201245.26023864746
250	10	256	|	128	-1	dot_product
0.15 %	0.237 %	0.3065 %	0.40299 %	|	0.45 %	0.71 %	0.607 %	0.94 %	0.902 %	0.7386 %	314151.8831253052
250	25	256	|	1	-1	dot_product
0.25 %	0.414 %	0.4261 %	0.37845 %	|	0.52 %	0.56 %	0.575 %	0.56 %	0.58 %	0.534 %	22772.12142944336
250	25	256	|	16	-1	dot_product
0.39 %	0.569 %	0.6025 %	0.63659 %	|	0.82 %	0.92 %	0.893 %	0.92 %	0.919 %	0.8968 %	173349.80964660645
250	25	256	|	32	-1	dot_product
0.39 %	0.581 %	0.6139 %	0.66314 %	|	0.85 %	0.95 %	0.928 %	0.95 %	0.958 %	0.9395 %	295431.7331314087
250	25	256	|	64	-1	dot_product
0.39 %	0.589 %	0.6219 %	0.67736 %	|	0.86 %	0.96 %	0.954 %	0.96 %	0.986 %	0.9711 %	494871.6402053833
250	25	256	|	128	-1	dot_product
0.41 %	0.594 %	0.6241 %	0.68319 %	|	0.9 %	1.0 %	0.967 %	1.0 %	1.0 %	0.9852 %	782179.1648864746
250	50	256	|	1	-1	dot_product
0.45 %	0.538 %	0.5159 %	0.41279 %	|	0.56 %	0.56 %	0.58 %	0.56 %	0.58 %	0.5343 %	33186.84101104736
250	50	256	|	16	-1	dot_product
0.73 %	0.811 %	0.8287 %	0.79932 %	|	0.91 %	0.92 %	0.919 %	0.92 %	0.919 %	0.9013 %	316502.88105010986
250	50	256	|	32	-1	dot_product
0.76 %	0.836 %	0.8586 %	0.85489 %	|	0.94 %	0.95 %	0.958 %	0.95 %	0.958 %	0.9461 %	545324.0156173706
250	50	256	|	64	-1	dot_product
0.77 %	0.851 %	0.8755 %	0.88851 %	|	0.95 %	0.96 %	0.986 %	0.96 %	0.986 %	0.9806 %	919107.2225570679
250	50	256	|	128	-1	dot_product
0.8 %	0.858 %	0.8824 %	0.9022 %	|	0.99 %	1.0 %	1.0 %	1.0 %	1.0 %	0.9966 %	1457328.2957077026
