Program: faiss Topk: 1000 Num_split: 1 Batch: 1
L	m	k_star	|	w	Reorder	Metric
250	25	16	|	1	-1	dot_product
0.11 %	0.215 %	0.3134 %	0.31999 %	|	0.36 %	0.48 %	0.434 %	0.52 %	0.479 %	0.4399 %	20969.295501708984
250	25	16	|	16	-1	dot_product
0.1 %	0.286 %	0.4516 %	0.48143 %	|	0.43 %	0.73 %	0.661 %	0.85 %	0.805 %	0.758 %	155271.36325836182
250	25	16	|	32	-1	dot_product
0.1 %	0.287 %	0.4551 %	0.48757 %	|	0.42 %	0.73 %	0.671 %	0.87 %	0.825 %	0.7708 %	267093.1100845337
250	25	16	|	64	-1	dot_product
0.09 %	0.292 %	0.4634 %	0.49568 %	|	0.42 %	0.74 %	0.685 %	0.88 %	0.856 %	0.793 %	484807.01446533203
250	25	16	|	128	-1	dot_product
0.09 %	0.292 %	0.4699 %	0.50106 %	|	0.42 %	0.75 %	0.702 %	0.9 %	0.885 %	0.8098 %	951149.1060256958
250	50	16	|	1	-1	dot_product
0.21 %	0.324 %	0.3797 %	0.35953 %	|	0.49 %	0.52 %	0.472 %	0.52 %	0.481 %	0.4451 %	31681.013107299805
250	50	16	|	16	-1	dot_product
0.26 %	0.459 %	0.6088 %	0.63936 %	|	0.63 %	0.85 %	0.789 %	0.85 %	0.829 %	0.8122 %	274547.4576950073
250	50	16	|	32	-1	dot_product
0.26 %	0.467 %	0.6172 %	0.65839 %	|	0.63 %	0.86 %	0.808 %	0.87 %	0.86 %	0.8395 %	476286.53049468994
250	50	16	|	64	-1	dot_product
0.24 %	0.479 %	0.6329 %	0.67848 %	|	0.64 %	0.89 %	0.846 %	0.91 %	0.904 %	0.8739 %	869621.6106414795
250	50	16	|	128	-1	dot_product
0.24 %	0.484 %	0.6442 %	0.6949 %	|	0.64 %	0.91 %	0.873 %	0.93 %	0.939 %	0.9009 %	1878653.2163619995
250	100	16	|	1	-1	dot_product
0.37 %	0.4 %	0.4267 %	0.37124 %	|	0.51 %	0.52 %	0.481 %	0.52 %	0.481 %	0.4452 %	57880.90229034424
250	100	16	|	16	-1	dot_product
0.5 %	0.636 %	0.7314 %	0.72611 %	|	0.83 %	0.84 %	0.828 %	0.86 %	0.832 %	0.819 %	548044.5861816406
250	100	16	|	32	-1	dot_product
0.49 %	0.647 %	0.7475 %	0.75717 %	|	0.85 %	0.86 %	0.857 %	0.88 %	0.863 %	0.8502 %	958514.3089294434
250	100	16	|	64	-1	dot_product
0.5 %	0.675 %	0.7715 %	0.79005 %	|	0.88 %	0.9 %	0.9 %	0.92 %	0.908 %	0.8887 %	1757198.6436843872
250	100	16	|	128	-1	dot_product
0.5 %	0.692 %	0.7883 %	0.81774 %	|	0.9 %	0.92 %	0.935 %	0.94 %	0.946 %	0.9197 %	3547086.524963379
250	10	256	|	1	-1	dot_product
0.1 %	0.176 %	0.2898 %	0.315 %	|	0.29 %	0.49 %	0.425 %	0.52 %	0.477 %	0.4365 %	9697.556495666504
250	10	256	|	16	-1	dot_product
0.11 %	0.255 %	0.4254 %	0.48167 %	|	0.4 %	0.69 %	0.644 %	0.84 %	0.8 %	0.7535 %	38730.645179748535
250	10	256	|	32	-1	dot_product
0.11 %	0.259 %	0.4292 %	0.48889 %	|	0.4 %	0.69 %	0.653 %	0.86 %	0.826 %	0.77 %	64152.47917175293
250	10	256	|	64	-1	dot_product
0.1 %	0.261 %	0.4365 %	0.49758 %	|	0.39 %	0.71 %	0.672 %	0.9 %	0.856 %	0.7934 %	110203.26614379883
250	10	256	|	128	-1	dot_product
0.1 %	0.265 %	0.4396 %	0.50328 %	|	0.39 %	0.72 %	0.69 %	0.92 %	0.882 %	0.8105 %	210509.8009109497
250	25	256	|	1	-1	dot_product
0.19 %	0.326 %	0.3901 %	0.36253 %	|	0.46 %	0.52 %	0.475 %	0.52 %	0.481 %	0.4451 %	12958.168983459473
250	25	256	|	16	-1	dot_product
0.27 %	0.493 %	0.644 %	0.66041 %	|	0.71 %	0.84 %	0.802 %	0.86 %	0.831 %	0.8163 %	85370.51677703857
250	25	256	|	32	-1	dot_product
0.27 %	0.5 %	0.6555 %	0.68258 %	|	0.7 %	0.86 %	0.826 %	0.88 %	0.862 %	0.8458 %	142845.22533416748
250	25	256	|	64	-1	dot_product
0.27 %	0.514 %	0.6741 %	0.7065 %	|	0.71 %	0.9 %	0.864 %	0.92 %	0.907 %	0.8829 %	255386.8532180786
250	25	256	|	128	-1	dot_product
0.26 %	0.524 %	0.6853 %	0.72583 %	|	0.73 %	0.92 %	0.894 %	0.94 %	0.945 %	0.9124 %	496055.4361343384
250	50	256	|	1	-1	dot_product
0.38 %	0.424 %	0.4337 %	0.37211 %	|	0.52 %	0.52 %	0.481 %	0.52 %	0.481 %	0.4452 %	19096.660614013672
250	50	256	|	16	-1	dot_product
0.57 %	0.684 %	0.7584 %	0.73942 %	|	0.84 %	0.86 %	0.828 %	0.86 %	0.832 %	0.8189 %	151731.3003540039
250	50	256	|	32	-1	dot_product
0.56 %	0.697 %	0.7797 %	0.77385 %	|	0.86 %	0.88 %	0.859 %	0.88 %	0.863 %	0.8501 %	259916.97311401367
250	50	256	|	64	-1	dot_product
0.56 %	0.724 %	0.8061 %	0.80914 %	|	0.9 %	0.92 %	0.904 %	0.92 %	0.908 %	0.8887 %	469309.97371673584
250	50	256	|	128	-1	dot_product
0.57 %	0.737 %	0.8255 %	0.83981 %	|	0.91 %	0.94 %	0.941 %	0.94 %	0.946 %	0.9205 %	923885.4885101318
