Program: faiss Topk: 1000 Num_split: 20 Batch: 1
L	m	k_star	|	w	Reorder	Metric
7000	128	256	|	1	-1	squared_l2
0.02 %	0.024 %	0.0205 %	0.01657 %	|	0.02 %	0.02 %	0.024 %	0.02 %	0.024 %	0.0205 %	487298.01177978516
7000	128	256	|	16	-1	squared_l2
0.03 %	0.042 %	0.0424 %	0.04242 %	|	0.03 %	0.03 %	0.042 %	0.03 %	0.042 %	0.0424 %	3966811.6569519043
7000	128	256	|	32	-1	squared_l2
0.04 %	0.044 %	0.0451 %	0.04589 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0451 %	7527266.979217529
7000	128	256	|	64	-1	squared_l2
0.04 %	0.046 %	0.0463 %	0.04797 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0463 %	14462971.687316895
7000	128	256	|	128	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04893 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	27886319.160461426
7000	128	256	|	256	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04926 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	51055205.34515381
7000	128	256	|	320	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04932 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	60955924.98779297
7000	128	256	|	384	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04935 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	71002362.7281189
7000	128	256	|	448	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04937 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	81126117.70629883
7000	128	256	|	512	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	90814734.45892334
7000	128	256	|	576	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	99398401.73721313
7000	128	256	|	640	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	109108935.8329773
7000	128	256	|	704	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	118787770.74813843
7000	128	256	|	768	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	130300220.48950195
7000	128	256	|	1024	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	169107600.21209717
7000	64	256	|	1	-1	squared_l2
0.02 %	0.024 %	0.0205 %	0.01657 %	|	0.02 %	0.02 %	0.024 %	0.02 %	0.024 %	0.0205 %	334513.18740844727
7000	64	256	|	16	-1	squared_l2
0.03 %	0.042 %	0.0424 %	0.04242 %	|	0.03 %	0.03 %	0.042 %	0.03 %	0.042 %	0.0424 %	2001489.6392822266
7000	64	256	|	32	-1	squared_l2
0.04 %	0.044 %	0.0451 %	0.04589 %	|	0.04 %	0.04 %	0.044 %	0.04 %	0.044 %	0.0451 %	3675785.0646972656
7000	64	256	|	64	-1	squared_l2
0.04 %	0.046 %	0.0463 %	0.04797 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0463 %	6930107.116699219
7000	64	256	|	128	-1	squared_l2
0.04 %	0.046 %	0.0469 %	0.04893 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.0469 %	13267313.003540039
7000	64	256	|	256	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04926 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	25457838.535308838
7000	64	256	|	320	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04932 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	31339316.844940186
7000	64	256	|	384	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04935 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	37263163.0897522
7000	64	256	|	448	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04937 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	42136512.2795105
7000	64	256	|	512	-1	squared_l2
0.04 %	0.046 %	0.047 %	0.04939 %	|	0.04 %	0.04 %	0.046 %	0.04 %	0.046 %	0.047 %	46477858.06655884
7000	64	256	|	576	-1	squared_l2
